t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00095455],0.0,0.0,9.998999999999999
0.005,[0.00463836],0.005,0.0,10.098989999999999
0.01,[0.01162788],0.01,0.0,5.76823463638761
0.015,[0.02145629],0.015,0.0,3.159908359677811
0.02,[0.03366897],0.02,0.002344784600840043,1.7172808423186576
0.025,[0.04783996],0.025,0.006057360218836778,1.363901194503169
0.03,[0.0636139],0.03,0.009379138403360172,1.0260844882220255
0.035,[0.08066968],0.035,0.013873308888303588,0.8181125827587353
0.04,[0.09868953],0.04,0.016999688356090312,0.5673792144521786
0.045,[0.11739015],0.045,0.02129846012429706,0.661583665320913
0.05,[0.13653509],0.05,0.02462023830882045,0.4700803890246758
0.055,[0.15590222],0.055,0.027746617776607176,0.46268826453580336
0.06,[0.17530819],0.06,0.032045389544813924,0.5746327312675087
0.065,[0.19460593],0.065,0.035953363879547326,0.4023667595947595
0.07,[0.21363254],0.07,0.03907974334733405,0.2951730961506045
0.075,[0.232238],0.075,0.04279231896533078,0.3134858177810436
0.08,[0.25031894],0.08,0.04591869843311751,0.3203796174593334
0.085,[0.2678003],0.085,0.04943587533437757,0.3152525086855348
0.09,[0.2846206],0.09,0.053343849669110974,0.30127829592523653
0.095,[0.30072329],0.095,0.056665627853634375,0.21526307379987789
0.1,[0.31605758],0.1,0.06018280475489443,0.21769657723915717
0.105,[0.3306003],0.105,0.06448157652310119,0.2674369569698842
0.11,[0.34435087],0.11,0.06878034829130793,0.2310180118268249
0.115,[0.35730178],0.115,0.07210212647583132,0.15934391618813173
0.12,[0.3694412],0.12,0.07561930337709137,0.14912775812088475
0.125,[0.38077193],0.125,0.07874568284487811,0.13802281831596508
0.13,[0.39130493],0.13,0.08226285974613817,0.102057267893104
0.135,[0.40105765],0.135,0.08656163151434493,0.12773081029138023
0.14,[0.41006263],0.14,0.09105580199928834,0.12096624967494113
0.145,[0.41834847],0.145,0.09398678275033838,0.12410949299165927
0.15,[0.42594108],0.15,0.09750395965159846,0.154953178571841
0.155,[0.43289212],0.155,0.10141193398633185,0.19553562771287258
0.16,[0.43926124],0.16,0.10492911088759192,0.14714137904380617
0.165,[0.44508892],0.165,0.10805549035537865,0.1203493060287659
0.17,[0.45042145],0.17,0.11196346469011205,0.20585614218017542
0.17500000000000002,[0.45532829],0.17500000000000002,0.11587143902484545,0.23573294682861134
0.18,[0.45987976],0.18,0.12017021079305219,0.273136281529902
0.185,[0.46413954],0.185,0.12407818512778561,0.3181491155578368
0.19,[0.46817099],0.19,0.12779076074578233,0.36813885005671376
0.195,[0.47204652],0.195,0.1318941337972524,0.5795638660624584
0.2,[0.47584506],0.2,0.1365837029989325,0.5944223815188346
0.20500000000000002,[0.47961663],0.20500000000000002,0.14029627861692923,0.44107754457373816
0.21,[0.48338464],0.21,0.144008854234926,0.506574383184859
0.215,[0.48719392],0.215,0.14772142985292272,0.7679357179141538
0.22,[0.49109449],0.22,0.15182480290439276,0.5510545391327417
0.225,[0.49510423],0.225,0.15514658108891616,0.5943298887908813
0.23,[0.49923637],0.23,0.1594453528571229,0.6208045405636121
0.23500000000000001,[0.50351093],0.23500000000000001,0.16257173232490962,0.6328034281126914
0.24,[0.50793006],0.24,0.16569811179269636,0.46241235790216384
0.245,[0.51248083],0.245,0.1694106874106931,0.5051217233804067
0.25,[0.51714946],0.25,0.1725370668784798,0.3821010069932666
0.255,[0.52192167],0.255,0.17605424377973988,0.43638792889555034
