t_qd,qd_rad,t_q,q_rad,tau
0.0,[5.45365728e-05],0.0,-0.039470540780807396,0.04512932763075937
0.005,[0.00026328],0.005,-0.039470540780807396,0.021628492497577912
0.01,[0.00065357],0.01,-0.039470540780807396,0.010360365992987609
0.015,[0.00119136],0.015,-0.039470540780807396,0.004866134722436715
0.02,[0.00184582],0.02,-0.03927514206407072,0.002366937954750988
0.025,[0.00258937],0.025,-0.039470540780807396,0.0011135974038684667
0.03,[0.00339742],0.03,-0.039470540780807396,0.0005498107356247527
0.035,[0.00424836],0.035,-0.039470540780807396,0.00028833519530032894
0.04,[0.00512352],0.04,-0.039470540780807396,0.0001718304765849654
0.045,[0.00600692],0.045,-0.039470540780807396,0.00012939492660725532
0.05,[0.006885],0.05,-0.039470540780807396,0.00010731768159093043
0.055,[0.00774611],0.055,-0.03927514206407072,0.0001050002907327089
0.06,[0.00858077],0.06,-0.039470540780807396,0.000110971593963008
0.065,[0.00938157],0.065,-0.03927514206407072,0.00011571813485183591
0.07,[0.01014257],0.07,-0.03927514206407072,0.00012264606328260647
0.075,[0.01085918],0.075,-0.039470540780807396,0.00013095044976851322
0.08,[0.01152822],0.08,-0.039470540780807396,0.00013570215412432956
0.085,[0.01214784],0.085,-0.03927514206407072,0.00013872815885164
0.09,[0.01271712],0.09,-0.039470540780807396,0.00014616777306999547
0.095,[0.01323566],0.095,-0.039470540780807396,0.00015351405820129577
0.1,[0.01370358],0.1,-0.039470540780807396,0.00015757288854029625
0.105,[0.01412177],0.105,-0.039470540780807396,0.00016115222287964
0.11,[0.01449181],0.11,-0.03927514206407072,0.0001606666091925151
0.115,[0.01481589],0.115,-0.039470540780807396,0.00016391762841914625
0.12,[0.01509645],0.12,-0.039470540780807396,0.00016717103753523195
0.125,[0.01533594],0.125,-0.03927514206407072,0.0001680428098687992
0.13,[0.0155368],0.13,-0.039470540780807396,0.0001736987962911868
0.135,[0.01570164],0.135,-0.03927514206407072,0.0001712104983429474
