t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00560064],0.0,-0.032045389544813924,9.998999999999999
0.005,[0.02706616],0.005,-0.032045389544813924,10.098989999999999
0.01,[0.0672703],0.01,-0.032045389544813924,10.099989899999999
0.015,[0.12279986],0.015,-0.03224078826155059,10.099999898999998
0.02,[0.19056992],0.02,-0.03224078826155059,10.099999998989999
0.025,[0.2678132],0.025,-0.03224078826155059,10.0999999999899
0.03,[0.35206682],0.03,-0.03224078826155059,10.099999999999898
0.035,[0.44115724],0.035,-0.032045389544813924,10.099999999999998
0.04,[0.53318377],0.04,-0.032045389544813924,10.099999999999998
0.045,[0.62650106],0.045,-0.032045389544813924,10.099999999999998
0.05,[0.71970101],0.05,-0.032045389544813924,5.100499999999999
0.055,[0.81159439],0.055,-0.032045389544813924,4.5145386876772715
0.06,[0.90119245],0.06,-0.03028680109418389,3.006441631702111
0.065,[0.98768878],0.065,-0.026574225476187156,2.2946632045993933
0.07,[1.07044164],0.07,-0.023252447291663758,2.068911252770338
0.075,[1.14895685],0.075,-0.019539871673667025,2.1219170571683854
0.08,[1.22287139],0.08,-0.015436498622196948,2.3401641710061094
0.085,[1.29193787],0.085,-0.012114720437673556,2.661008203410132
0.09,[1.3560099],0.09,-0.00840214481967682,3.0367850209933103
0.095,[1.41502837],0.095,-0.004689569201680086,3.4430208159581785
0.1,[1.46900878],0.1,-0.0007815948669466809,3.858335777893099
0.105,[1.51802948],0.105,0.0029309807510500534,4.2720883295388195
0.11,[1.56222101],0.11,0.006057360218836778,4.677893255731107
0.115,[1.60175628],0.115,0.010746929420516863,5.045788212346026
0.12,[1.63684186],0.12,0.014264106321776927,5.397522151098853
0.125,[1.66771006],0.125,0.018172080656510332,5.712511172727793
0.13,[1.69461198],0.13,0.021493858841033726,5.999140014007946
0.135,[1.71781132],0.135,0.024815637025557124,6.249137967948622
0.14,[1.73757908],0.14,0.028528212643553853,6.456861149926134
0.145,[1.75418884],0.145,0.03263158569502393,6.622304201740433
0.15,[1.76791291],0.15,0.035757965162810657,6.764849635883979
0.155,[1.77901892],0.155,0.039470540780807396,6.865944722904354
0.16,[1.78776709],0.16,0.04279231896533078,6.940924681424484
0.165,[1.79440805],0.165,0.046700293300064186,6.979163862830082
0.17,[1.79918101],0.17,0.050608267634797595,6.991522555234374
0.17500000000000002,[1.80231247],0.17500000000000002,0.05412544453605766,6.986415372337749
0.18,[1.80401524],0.18,0.05705642528710771,6.969576214144501
0.185,[1.80448779],0.185,0.061550595772051124,6.914580103076354
0.19,[1.80391388],0.19,0.0656539688235212,6.85067731997493
0.195,[1.80246248],0.195,0.06917114572478127,6.783229110320039
0.2,[1.80028784],0.2,0.07268832262604133,6.706634939230913
0.20500000000000002,[1.79752976],0.20500000000000002,0.0762054995273014,6.622951322763899
0.21,[1.79431402],0.21,0.07952727771182479,6.536562194960234
0.215,[1.79075292],0.215,0.08382604948003153,6.433976906998951
0.22,[1.7869459],0.22,0.08734322638129159,6.339292072346522
0.225,[1.78298024],0.225,0.09125120071602501,6.238811972566721
0.23,[1.77893179],0.23,0.09476837761728506,6.143345029570881
0.23500000000000001,[1.77486581],0.23500000000000001,0.09945794681896515,6.034376905672618
0.24,[1.77083785],0.24,0.10317052243696188,5.93856036905355
0.245,[1.76689475],0.245,0.10746929420516863,5.837330095316477
0.25,[1.7630757],0.25,0.11118186982316537,5.745085312785598
0.255,[1.75941363],0.255,0.11606683774158212,5.6403047372353114
0.26,[1.75593544],0.26,0.1195840146428422,5.558255991158512
0.265,[1.75266251],0.265,0.12388278641104894,5.468249585825417
0.27,[1.74961157],0.27,0.12720456459557233,5.395367677489283
0.275,[1.74679537],0.275,0.1318941337972524,5.31323506261305
0.28,[1.74422313],0.28,0.13541131069851248,5.244070258799615
0.28500000000000003,[1.74189946],0.28500000000000003,0.1391238863165092,5.181279898125581
0.29,[1.73982662],0.29,0.14283646193450597,5.124297935929699
0.295,[1.73800608],0.295,0.14693983498597601,5.068638428169174
0.3,[1.73643525],0.3,0.14987081573702607,5.014457825516137
0.305,[1.73510788],0.305,0.1535833913550228,4.973159383811867
0.31,[1.73401863],0.31,0.15690516953954617,4.940733343841968
0.315,[1.73316311],0.315,0.16022694772406962,4.912302224086794
0.32,[1.73253581],0.32,0.16374412462532967,4.885182223389649
0.325,[1.73212753],0.325,0.16726130152658972,4.823875510935508
0.33,[1.7319231],0.33,0.1705830797111131,4.77562470389506
0.335,[1.73190777],0.335,0.17468645276258318,4.760407545822125
0.34,[1.73207632],0.34,0.17937602196426328,4.801150200579096
0.34500000000000003,[1.73242953],0.34500000000000003,0.18308859758226,4.7884921596601355
0.35000000000000003,[1.73296077],0.35000000000000003,0.18601957833331006,4.7141632310257195
0.355,[1.73365684],0.355,0.19012295138478016,4.719161514119868
0.36,[1.7345093],0.36,0.1938355270027769,4.731108127279345
0.365,[1.73551837],0.365,0.19950208978814032,4.845928814586394
0.37,[1.73668844],0.37,0.20321466540613706,4.840899102488819
0.375,[1.73801442],0.375,0.20595024744045046,4.715489924913757
0.38,[1.73948277],0.38,0.2100536204919205,4.751206149660228
0.385,[1.74108118],0.385,0.2133753986764439,4.651363519774081
0.39,[1.7428037],0.39,0.21806496787812396,4.875743863929007
0.395,[1.74465525],0.395,0.22216834092959406,4.897192674059144
0.4,[1.74663981],0.4,0.2270533088480108,4.913270080401109
0.405,[1.74876139],0.405,0.23154747933295422,5.197539801081335
0.41000000000000003,[1.75102322],0.41000000000000003,0.23545545366768764,4.904417347048841
0.41500000000000004,[1.75341607],0.41500000000000004,0.23877723185221103,4.96775488183163
0.42,[1.75593214],0.42,0.2422944087534711,5.032542506686864
0.425,[1.75857087],0.425,0.2462023830882045,5.093627407584432
0.43,[1.76133871],0.43,0.2508919522898846,5.506492483806558
0.435,[1.764241],0.435,0.254213730474408,5.112802544000696
0.44,[1.76726087],0.44,0.25792630609240474,4.873728684459004
0.445,[1.77037648],0.445,0.26183428042713813,5.016617993824
0.45,[1.77359025],0.45,0.2661330521953449,5.5233339314420205
0.455,[1.77691824],0.455,0.2700410265300783,5.521066456151879
0.46,[1.78036613],0.46,0.273167405997865,5.531594230905559
0.465,[1.78391541],0.465,0.27629378546565175,5.536167442822212
0.47000000000000003,[1.78753446],0.47000000000000003,0.2798109623669118,5.550096029255548
0.47500000000000003,[1.79121857],0.47500000000000003,0.2850867277188019,6.033088945225297
0.48,[1.79498598],0.48,0.2887993033367986,5.905238676448485
0.485,[1.79883612],0.485,0.292121081521322,5.370092073425776
0.49,[1.80276004],0.49,0.29622445457279206,5.9067066784709015
0.495,[1.80676468],0.495,0.3009140237744722,5.817657626847665
0.5,[1.81084717],0.5,0.3046265993924689,5.315876502929937
0.505,[1.81498857],0.505,0.309316168594149,5.389973360664954
0.51,[1.8191796],0.51,0.3132241429288824,5.451911996941372
0.515,[1.82341925],0.515,0.31771831341382584,5.488413935320124
0.52,[1.8277058],0.52,0.3218216864652959,5.514886374178276
0.525,[1.83204444],0.525,0.3263158569502393,5.995428437281151
0.53,[1.83644608],0.53,0.32983303385149937,5.8647252680795825
0.535,[1.8409113],0.535,0.33335021075275945,5.773727846203087
0.54,[1.84543214],0.54,0.3366719889372828,5.7174071327638645
0.545,[1.84999366],0.545,0.33999376712180623,5.268271717739168
0.55,[1.8545753],0.55,0.34370634273980294,5.363657985235482
0.555,[1.85915948],0.555,0.34683272220758965,5.071132386557151
0.56,[1.86373135],0.56,0.3507406965423231,5.222922605623444
0.5650000000000001,[1.86828606],0.5650000000000001,0.3542578734435831,5.346995867630486
0.5700000000000001,[1.87283466],0.5700000000000001,0.3595336387954733,5.85849907930032
0.5750000000000001,[1.87738644],0.5750000000000001,0.36324621441346994,5.366004590756749
0.58,[1.88192668],0.58,0.36676339131473,5.074158134205716
0.585,[1.88643545],0.585,0.37086676436620014,5.221693897632173
0.59,[1.89091108],0.59,0.37497013741767016,5.33483275043623
0.595,[1.89535986],0.595,0.3780965168854569,5.425733924288726
0.6,[1.89977989],0.6,0.381027497636507,5.1267702810125195
0.605,[1.90416965],0.605,0.38532626940471365,5.646784246679864
0.61,[1.90853524],0.61,0.38825725015576373,5.261999864406589
0.615,[1.91288157],0.615,0.3939238129411272,5.72325288166821
0.62,[1.91721237],0.62,0.3978317872758606,5.285639013523312
0.625,[1.92152328],0.625,0.401153565460384,5.349732745349159
0.63,[1.92581002],0.63,0.4046707423616441,5.388264727915778
0.635,[1.9300886],0.635,0.41053270386374413,6.171848818195683
0.64,[1.93437812],0.64,0.41463607691521426,5.514685205813362
0.645,[1.93867351],0.645,0.417762456383001,5.4481107446048
0.65,[1.94296249],0.65,0.42186582943447104,5.3874226005693995
0.655,[1.94724009],0.655,0.4251876076189945,5.336155666913036
0.66,[1.95149512],0.66,0.42850938580351783,5.025448379530908
0.665,[1.95571148],0.665,0.4322219614215146,5.061496037443772
0.67,[1.95988105],0.67,0.43593453703951135,5.079138419985448
0.675,[1.96400248],0.675,0.439647112657508,5.082036188407586
0.68,[1.96807423],0.68,0.4433596882755048,5.073671023253608
0.685,[1.97209467],0.685,0.44629066902655484,5.066459538508629
0.6900000000000001,[1.97605692],0.6900000000000001,0.44961244721107824,4.85535077035856
0.6950000000000001,[1.97994485],0.6950000000000001,0.45273882667886495,4.731595709180397
0.7000000000000001,[1.98374523],0.7000000000000001,0.456256003580125,4.798873377312124
0.705,[1.9874577],0.705,0.45977318048138505,4.843191737350474
0.71,[1.9910874],0.71,0.46446274968306517,4.855766102970792
0.715,[1.99463889],0.715,0.4679799265843252,4.865668607518422
0.72,[1.99811623],0.72,0.4724740970692687,4.8554074533602565
0.725,[2.00152304],0.725,0.476382071404002,4.84340728485188
0.73,[2.00486255],0.73,0.47989924830526204,4.8315438759725415
0.735,[2.00813332],0.735,0.48302562777304886,4.6853114762044195
0.74,[2.01133452],0.74,0.4869336021077822,4.845989433846507
0.745,[2.01447034],0.745,0.49025538029230564,4.6863263373973245
0.75,[2.01753636],0.75,0.4935771584768291,4.589776552601881
0.755,[2.02052951],0.755,0.4982667276785091,4.743460808354506
0.76,[2.02346107],0.76,0.5021747020132425,4.735623398855057
0.765,[2.02634142],0.765,0.507255068648396,4.714910755420978
0.77,[2.0291758],0.77,0.5111630429831293,4.70538344751017
0.775,[2.03197363],0.775,0.5156572134680728,4.839471913194167
0.78,[2.03474333],0.78,0.5189789916525962,4.64487321525195
0.785,[2.03748364],0.785,0.5228869659873295,4.6430770045520084
0.79,[2.04019382],0.79,0.5275765351890096,4.630353942696032
0.795,[2.04287779],0.795,0.531484509523743,4.621311781853647
