t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00023806],0.0,0.0,0.42928961915492597
0.005,[0.00119693],0.005,0.0,0.32733542504205076
0.01,[0.00308388],0.01,0.00019539871673667023,0.3524192513717624
0.015,[0.00582344],0.015,0.0005861961502100108,0.30435791823490915
0.02,[0.00937044],0.02,0.0011723923004200215,0.22666763887518201
0.025,[0.01370722],0.025,0.002344784600840043,0.24140257343046115
0.03,[0.01881083],0.03,0.0035171769012600643,0.21133973169976347
0.035,[0.02462375],0.035,0.004494170484943416,0.15066861911995558
0.04,[0.03106031],0.04,0.005861961502100107,0.16859966091015555
0.045,[0.03806126],0.045,0.007034353802520129,0.1972692143031953
0.05,[0.04557286],0.05,0.00840214481967682,0.1605942615690779
0.055,[0.05354994],0.055,0.010160733270306851,0.3092826388890789
0.06,[0.06199336],0.06,0.012114720437673556,0.36033552326306073
0.065,[0.07088335],0.065,0.013677910171566917,0.2913810710120156
0.07,[0.08016289],0.07,0.01563189733893362,0.3834114282051083
0.075,[0.08982858],0.075,0.018367479373247002,0.6850876204107125
0.08,[0.09989953],0.08,0.020712263974087045,0.5311769176816853
0.085,[0.1103219],0.085,0.02305704857492709,0.43983138482764317
0.09,[0.12105042],0.09,0.026378826759450486,0.8612742642231772
0.095,[0.13211778],0.095,0.02989600366071055,0.9644826462594752
0.1,[0.1435498],0.1,0.033803977995443955,1.0614245338443915
0.105,[0.15531614],0.105,0.03712575617996735,0.8148569917414394
0.11,[0.16738736],0.11,0.04142452794817409,1.3670816241575816
0.115,[0.17978395],0.115,0.04533250228290749,1.4179108710627844
0.12,[0.19249299],0.12,0.04865428046743089,1.0522582571124968
0.125,[0.20544745],0.125,0.05217145736869095,1.1927391735930597
0.13,[0.2186307],0.13,0.056665627853634375,1.7415024102392658
0.135,[0.23204503],0.135,0.06018280475489443,1.2434904327076726
0.14,[0.24563785],0.14,0.06369998165615451,1.3091398431207968
0.145,[0.25937502],0.145,0.06780335470762457,1.761348884181742
0.15,[0.27324071],0.15,0.07151593032562131,1.2235681836637482
0.155,[0.28715369],0.155,0.07503310722688138,0.8935745376890899
0.16,[0.30103626],0.16,0.07952727771182479,1.3051044409943702
0.165,[0.31487141],0.165,0.0834352520465582,1.2357172785703625
0.17,[0.32863792],0.17,0.08773402381476494,1.1576681777966291
0.17500000000000002,[0.34227881],0.17500000000000002,0.09105580199928834,0.8143984329168966
0.18,[0.3557404],0.18,0.09535457376749508,1.0847264486678807
0.185,[0.36900159],0.185,0.0996533455357018,0.9770352997072874
0.19,[0.38202797],0.19,0.10258432628675188,0.673626618873879
0.195,[0.39477171],0.195,0.10688309805495863,0.8443506331268701
0.2,[0.40721249],0.2,0.1109864711064287,0.7357319122705075
0.20500000000000002,[0.41932088],0.20500000000000002,0.1143082492909521,0.4991564588395206
0.21,[0.43104937],0.21,0.11763002747547549,0.4719826389440503
0.215,[0.44237534],0.215,0.12153800181020889,0.5518594194903346
0.22,[0.45328941],0.22,0.12485977999473229,0.37301128901179814
0.225,[0.46376122],0.225,0.127986159462519,0.2668410309989253
0.23,[0.4737602],0.23,0.1315033363637791,0.2715053975250683
0.23500000000000001,[0.48327268],0.23500000000000001,0.13502051326503914,0.20518506983863097
0.24,[0.49229873],0.24,0.13892848759977253,0.2880162552706237
0.245,[0.50085664],0.245,0.14342265808471594,0.2775773655041651
0.25,[0.50896676],0.25,0.14733063241944935,0.26780891069480095
0.255,[0.51663798],0.255,0.1510432080374461,0.19972585361953693
0.26,[0.52387607],0.26,0.1549511823721795,0.208070447952914
0.265,[0.53070218],0.265,0.15924995414038626,0.26777971737174855
0.27,[0.53714972],0.27,0.16335332719185633,0.24645835454589804
0.275,[0.54323856],0.275,0.16667510537637972,0.18121834114652965
0.28,[0.54898158],0.28,0.17116927586132313,0.21882086885413074
0.28500000000000003,[0.55439715],0.28500000000000003,0.1748818514793199,0.160531381223931
0.29,[0.55949828],0.29,0.17781283223036992,0.15482637621308665
0.295,[0.56429756],0.295,0.18172080656510334,0.14709118740816396
0.3,[0.56881228],0.3,0.18562878089983675,0.13972631512014383
0.305,[0.57305564],0.305,0.18875516036762346,0.11203580765054594
0.31,[0.57704259],0.31,0.19285853341909354,0.14275367646104528
0.315,[0.58079906],0.315,0.19715730518730026,0.14686767217666705
0.32,[0.58435397],0.32,0.20106527952203365,0.16045266093518218
0.325,[0.58772965],0.325,0.20458245642329373,0.13696006437468833
0.33,[0.59095497],0.33,0.2086858294747638,0.24581155503376312
0.335,[0.59406952],0.335,0.21181220894255054,0.20872114006948425
0.34,[0.59710751],0.34,0.21572018327728396,0.2820669014644395
0.34500000000000003,[0.60010851],0.34500000000000003,0.21923736017854403,0.37342118429823107
0.35000000000000003,[0.60312374],0.35000000000000003,0.22294993579654077,0.48003230631914334
0.355,[0.60619234],0.355,0.22627171398106416,0.4002651849468147
0.36,[0.60935474],0.36,0.22998428959906086,0.7951660942788852
0.365,[0.61267684],0.365,0.23467385880074096,0.902252921913287
0.37,[0.61620318],0.37,0.23799563698526438,0.6996500843835254
0.375,[0.61994529],0.375,0.24131741516978775,0.8647894282996444
0.38,[0.62394442],0.38,0.24581158565473116,1.412722001479832
0.385,[0.62825032],0.385,0.24971955998946457,1.037888846615673
0.39,[0.63285578],0.39,0.253041338173988,0.8112416942218668
0.395,[0.63775325],0.395,0.257144711225458,1.428868128057075
0.4,[0.64298329],0.4,0.26105268556019146,1.4986049196244484
0.405,[0.64856034],0.405,0.26437446374471485,1.11153452145177
0.41000000000000003,[0.65447665],0.41000000000000003,0.26750084321250156,1.7567414436720041
0.41500000000000004,[0.66075561],0.41500000000000004,0.2717996149807083,1.7553492111848703
0.42,[0.66737856],0.42,0.274925994448495,1.7721470329790754
0.425,[0.6742914],0.425,0.2784431713497551,2.3477527958526
0.43,[0.68147847],0.43,0.28176494953427844,1.6332230956736453
0.435,[0.68892267],0.435,0.2854775251522752,1.6761737426676129
0.44,[0.69660555],0.44,0.28938549948700865,1.7081654781325173
0.445,[0.70452409],0.445,0.2930980751050054,1.7236682310448708
0.45,[0.71265481],0.45,0.29622445457279206,1.2603772093310406
0.455,[0.72097288],0.455,0.3005232263409988,1.8606160772319198
0.46,[0.72948454],0.46,0.30560359297615225,1.7891877878623739
0.465,[0.73818985],0.465,0.3100977634610957,1.7178188275746573
0.47000000000000003,[0.74705261],0.47000000000000003,0.3132241429288824,1.2322809207213477
0.47500000000000003,[0.75603702],0.47500000000000003,0.31713211726361584,1.72595575022674
0.48,[0.76513731],0.48,0.32104009159834923,1.6252813537027369
0.485,[0.77433049],0.485,0.3241664710661359,1.1578509397217542
0.49,[0.78356516],0.49,0.32729285053392265,1.205043731789957
0.495,[0.79280894],0.495,0.3313962235853927,1.2302650046254027
0.5,[0.80204589],0.5,0.3356949953535995,1.2385079987849086
0.505,[0.81126057],0.505,0.33921217225485956,1.2376787096106379
0.51,[0.82043824],0.51,0.34331554530632963,1.2269504055482887
0.515,[0.82956504],0.515,0.3474189183577997,1.2107674579903887
0.52,[0.83861612],0.52,0.3501545003921131,0.8952290422004603
0.525,[0.84756956],0.525,0.3552348670272665,1.2653553473793218
0.53,[0.8564301],0.53,0.3593382400787366,1.2157460590591416
0.535,[0.86519001],0.535,0.3628554169799967,0.8898504736056714
0.54,[0.8738197],0.54,0.3655909990143101,0.9461628875621049
0.545,[0.88230676],0.545,0.3700851694992534,0.9906014013797695
0.55,[0.89064266],0.55,0.3732115489670402,0.7665055410476795
0.555,[0.89882333],0.555,0.37731492201851025,1.1767568161817596
0.56,[0.90687241],0.56,0.3818090925034536,1.2079229076592544
0.5650000000000001,[0.91481415],0.5650000000000001,0.38591246555492376,1.2525130110342557
0.5700000000000001,[0.92264886],0.5700000000000001,0.38962504117292046,0.9615546375896564
