t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00168516],0.0,-0.05901041245447442,9.998999999999999
0.005,[0.00814384],0.005,-0.05901041245447442,10.098989999999999
0.01,[0.02022328],0.01,-0.05901041245447442,10.099989899999999
0.015,[0.03685586],0.015,-0.05901041245447442,10.099999898999998
0.02,[0.05706296],0.02,-0.05920581117121108,10.099999998989999
0.025,[0.07995428],0.025,-0.05920581117121108,7.703344199903374
0.03,[0.1047429],0.03,-0.05901041245447442,3.5767446775776843
0.035,[0.13074819],0.035,-0.056665627853634375,1.5460109514805325
0.04,[0.15737959],0.04,-0.052562254802164296,0.5905870173150699
0.045,[0.18413033],0.045,-0.048458881750694224,0.17911084917796088
0.05,[0.21057108],0.05,-0.04435550869922414,0.03730303431443318
0.055,[0.2363435],0.055,-0.040252135647754074,0.025121137323948793
0.06,[0.26114625],0.06,-0.03556256644607399,0.10898929688031513
0.065,[0.28473014],0.065,-0.031849990828077254,0.17607234550658388
0.07,[0.30690133],0.07,-0.027942016493343845,0.3158037774694672
0.075,[0.32751528],0.075,-0.02383864344187377,0.3519171376838257
0.08,[0.34647831],0.08,-0.020907662690823715,0.3813583710216109
0.085,[0.36374079],0.085,-0.018562878089983675,0.4053305349753254
0.09,[0.37929066],0.09,-0.015436498622196948,0.3311396393363754
0.095,[0.39315472],0.095,-0.012505517871146895,0.2847228782578855
0.1,[0.4053779],0.1,-0.008988340969886831,0.33396847096534144
0.105,[0.41600556],0.105,-0.005666562785363437,0.3720529808146267
0.11,[0.4250902],0.11,-0.002344784600840043,0.39912466897206145
0.115,[0.43269005],0.115,0.0017585884506300322,0.5177400113031104
0.12,[0.43886748],0.12,0.006448157652310118,0.49546561177986487
0.125,[0.44370788],0.125,0.010160733270306851,0.3832074203120896
0.13,[0.44731487],0.13,0.013873308888303588,0.39575526939715694
0.135,[0.44977939],0.135,0.017976681939773663,0.49579888596428995
0.14,[0.45118702],0.14,0.02129846012429706,0.3773000524854756
0.145,[0.45164379],0.145,0.024034042158610443,0.30307663720256944
0.15,[0.45125857],0.15,0.027942016493343845,0.32379418713324304
0.155,[0.45012191],0.155,0.031459193394603915,0.3358475753262169
0.16,[0.4483143],0.16,0.034390174145653964,0.3405005482159236
0.165,[0.44591318],0.165,0.0381027497636507,0.3380336174397734
0.17,[0.44299844],0.17,0.04181532538164743,0.26433927072783137
0.17500000000000002,[0.43964531],0.17500000000000002,0.04709109073353753,0.33778603651437306
0.18,[0.43591792],0.18,0.050608267634797595,0.2567335452428905
0.185,[0.43187669],0.185,0.05588403298668769,0.3129821921829637
0.19,[0.42757291],0.19,0.06018280475489443,0.28538922882544865
0.195,[0.42305503],0.195,0.06409077908962785,0.25938085635071706
0.2,[0.41837424],0.2,0.06780335470762457,0.23482603357717025
0.20500000000000002,[0.41357807],0.20500000000000002,0.07171132904235797,0.2105309583296359
0.21,[0.40871038],0.21,0.07522850594361805,0.18898003647207787
0.215,[0.40381131],0.215,0.0781594866946681,0.16853548914828764
0.22,[0.39892106],0.22,0.08128586616245481,0.12547143032294536
0.225,[0.39407565],0.225,0.08558463793066157,0.13874691076339554
0.23,[0.38930279],0.23,0.08871101739844828,0.10287024207771751
0.23500000000000001,[0.38462967],0.23500000000000001,0.09261899173318171,0.09481281626311786
0.24,[0.38007958],0.24,0.09633156735117841,0.0867733777801462
0.245,[0.37566585],0.245,0.10063033911938518,0.09177280912121444
0.25,[0.37139926],0.25,0.1037567185871719,0.0678006719411214
0.255,[0.36729375],0.255,0.10629690190474862,0.061808349298624034
0.26,[0.3633604],0.26,0.10922788265579866,0.05576166610783637
0.265,[0.35960497],0.265,0.11176806597337538,0.04996892742295528
0.27,[0.35603153],0.27,0.11469904672442544,0.044169668963876446
0.275,[0.35264268],0.275,0.11743462875873882,0.03868197965486674
0.28,[0.34944135],0.28,0.11977941335957885,0.029999403449432752
0.28500000000000003,[0.3464305],0.28500000000000003,0.12271039411062891,0.026928062012556635
0.29,[0.34360874],0.29,0.1252505774282056,0.026193641983233054
0.295,[0.34097126],0.295,0.12759536202904564,0.022205550712823017
0.3,[0.3385151],0.3,0.12954934919641237,0.017657434836544257
0.305,[0.33623837],0.305,0.1315033363637791,0.015877758214086483
0.31,[0.33413662],0.31,0.13345732353114578,0.014450289971172628
0.315,[0.33220395],0.315,0.13482511454830248,0.012378738262255383
0.32,[0.33043406],0.32,0.13619290556545915,0.011902923834392117
0.325,[0.3288185],0.325,0.1379514940160892,0.011474379011629558
0.33,[0.32734693],0.33,0.13951468374998255,0.011180563371342392
0.335,[0.32600824],0.335,0.14107787348387593,0.011003350596588185
0.34,[0.32479081],0.34,0.14264106321776926,0.010901784363146047
0.34500000000000003,[0.32368388],0.34500000000000003,0.1438134555181893,0.00964417047763788
0.35000000000000003,[0.32267765],0.35000000000000003,0.14479044910187266,0.009967787751093837
0.355,[0.32176102],0.355,0.14596284140229268,0.010199522516625993
0.36,[0.32092323],0.36,0.1471352337027127,0.00901338836057782
0.365,[0.32015528],0.365,0.14811222728639603,0.00939167835478902
0.37,[0.31944732],0.37,0.14889382215334274,0.009601813160455617
0.375,[0.31878911],0.375,0.14967541702028941,0.009599815088040437
0.38,[0.31817162],0.38,0.1504570118872361,0.009411201751093536
0.385,[0.31758823],0.385,0.1510432080374461,0.008055284813869376
0.39,[0.31703451],0.39,0.15143400547091945,0.00801218940393069
0.395,[0.3165058],0.395,0.1522156003378661,0.0077113195717630895
0.4,[0.31599752],0.4,0.15260639777133944,0.007296491965600568
0.405,[0.31550715],0.405,0.1529971952048128,0.006313562558804428
0.41000000000000003,[0.31503335],0.41000000000000003,0.15338799263828612,0.006340895167152908
0.41500000000000004,[0.3145749],0.41500000000000004,0.15377879007175946,0.005523617588566947
0.42,[0.31413162],0.42,0.15416958750523282,0.005267781903796772
0.425,[0.31370407],0.425,0.1543649862219695,0.004804280052371806
0.43,[0.31329352],0.43,0.15456038493870616,0.004438240779871225
0.435,[0.31290213],0.435,0.15456038493870616,0.004199454434078104
0.44,[0.31253219],0.44,0.15475578365544285,0.00401980366524234
0.445,[0.31218702],0.445,0.15475578365544285,0.003920711860712531
0.45,[0.31187472],0.45,0.15475578365544285,0.005163282476349677
0.455,[0.31161137],0.455,0.15475578365544285,0.00921543139485328
0.46,[0.31142294],0.46,0.15475578365544285,0.02411785830288689
0.465,[0.31134131],0.465,0.15475578365544285,0.033279588981006226
0.47000000000000003,[0.31139359],0.47000000000000003,0.15475578365544285,0.04377887870129255
0.47500000000000003,[0.31160134],0.47500000000000003,0.15475578365544285,0.055328334384987306
0.48,[0.31198449],0.48,0.15475578365544285,0.06743656122192151
0.485,[0.31256097],0.485,0.15475578365544285,0.07991946135212373
0.49,[0.31334641],0.49,0.1549511823721795,0.09249899066938967
0.495,[0.31434672],0.495,0.1549511823721795,0.07334412078684095
0.5,[0.31555901],0.5,0.1549511823721795,0.09209859557338017
0.505,[0.31699512],0.505,0.1549511823721795,0.1523069530847697
0.51,[0.31867123],0.51,0.15514658108891616,0.11438496593112905
0.515,[0.32058403],0.515,0.15534197980565284,0.1318308973229268
0.52,[0.32272911],0.52,0.1555373785223895,0.14751123349668582
0.525,[0.32510866],0.525,0.15573277723912618,0.16089115234183138
0.53,[0.32772213],0.53,0.15592817595586284,0.17179765220184265
0.535,[0.33056611],0.535,0.1563189733893362,0.17942993413960157
0.54,[0.3336344],0.54,0.15690516953954617,0.1852193296638383
0.545,[0.33691832],0.545,0.15768676440649287,0.18828609765169257
0.55,[0.34039897],0.55,0.15807756183996624,0.13914090407231613
0.555,[0.34404886],0.555,0.15905455542364957,0.15281464203666587
0.56,[0.3478495],0.56,0.15983615029059628,0.16187961000098444
0.5650000000000001,[0.35178991],0.5650000000000001,0.1608131438742796,0.16642520097351154
0.5700000000000001,[0.35585734],0.5700000000000001,0.16198553617469966,0.16691413644531458
0.5750000000000001,[0.36003749],0.5750000000000001,0.16315792847511965,0.16464592770703124
0.58,[0.36432125],0.58,0.16452571949227635,0.20533504333112648
0.585,[0.36870353],0.585,0.16569811179269636,0.1824528713280508
0.59,[0.37316342],0.59,0.1668705040931164,0.1264688185186176
0.595,[0.37766168],0.595,0.1680428963935364,0.09279392284963471
0.6,[0.38216327],0.6,0.1694106874106931,0.09834021315538993
0.605,[0.38664857],0.605,0.17077847842784977,0.09990094139301497
0.61,[0.39110483],0.61,0.17214626944500647,0.09823391896059969
0.615,[0.39551921],0.615,0.17370945917889985,0.09422198861172132
0.62,[0.39987888],0.62,0.17507725019605655,0.08832496171394093
0.625,[0.40417063],0.625,0.17624964249647657,0.08000725576649102
0.63,[0.40838003],0.63,0.17742203479689655,0.0685375862920243
0.635,[0.41249058],0.635,0.17878982581405328,0.055428541441478796
0.64,[0.41648206],0.64,0.1799622181144733,0.03813354836395752
0.645,[0.42033175],0.645,0.18113461041489332,0.029891553759542236
0.65,[0.42401833],0.65,0.1823070027153133,0.022260922776418356
0.655,[0.42752138],0.655,0.18387019244920672,0.017050861398813764
0.66,[0.43082123],0.66,0.18484718603289005,0.015426343870669644
0.665,[0.43390029],0.665,0.18582417961657338,0.015671221467899704
0.67,[0.43674374],0.67,0.18680117320025674,0.016771175530827638
0.675,[0.43934273],0.675,0.18777816678394008,0.017863729326476705
0.68,[0.4416945],0.68,0.18895055908436015,0.018542675920315985
0.685,[0.44380134],0.685,0.18992755266804345,0.018258361585771914
0.6900000000000001,[0.44566922],0.6900000000000001,0.19129534368520015,0.019100908763993
0.6950000000000001,[0.44730516],0.6950000000000001,0.19207693855214686,0.019264662550387737
0.7000000000000001,[0.44871811],0.7000000000000001,0.19285853341909354,0.019297103899469748
0.705,[0.44991935],0.705,0.19364012828604024,0.019229607188876122
0.71,[0.45092146],0.71,0.19442172315298686,0.019074106941347767
0.715,[0.4517385],0.715,0.19481252058646023,0.01859510796755199
0.72,[0.45238507],0.72,0.19559411545340694,0.018817054074788595
0.725,[0.45287552],0.725,0.1961803116036169,0.01827282091297297
0.73,[0.45322439],0.73,0.19676650775382695,0.01829322225211445
0.735,[0.45344624],0.735,0.19735270390403695,0.017800412604253656
0.74,[0.45355547],0.74,0.19793890005424694,0.017648732629848358
0.745,[0.45356607],0.745,0.19832969748772028,0.017346069831343982
0.75,[0.4534916],0.75,0.19872049492119365,0.017064368754177064
0.755,[0.45334533],0.755,0.1989158936379303,0.016853576972012327
0.76,[0.45313978],0.76,0.19911129235466699,0.01666780483492251
0.765,[0.45288664],0.765,0.19950208978814032,0.01647107285534378
0.77,[0.45259664],0.77,0.19969748850487698,0.016325453715522357
0.775,[0.45227967],0.775,0.19989288722161366,0.01619263534942955
0.78,[0.45194539],0.78,0.20008828593835032,0.016104003303763634
0.785,[0.45160365],0.785,0.20008828593835032,0.016139982081670192
0.79,[0.45126487],0.79,0.20028368465508697,0.01667205174364187
0.795,[0.45094061],0.795,0.20028368465508697,0.017541594874822382
0.8,[0.4506421],0.8,0.20028368465508697,0.018293263729770165
0.805,[0.45037824],0.805,0.20028368465508697,0.018603306326174313
0.81,[0.4501549],0.81,0.20028368465508697,0.018338722179301912
0.8150000000000001,[0.44997465],0.8150000000000001,0.20028368465508697,0.01767153404645775
0.8200000000000001,[0.44983697],0.8200000000000001,0.20028368465508697,0.01688600351963114
0.8250000000000001,[0.44973879],0.8250000000000001,0.20028368465508697,0.016225511213079802
0.8300000000000001,[0.44967535],0.8300000000000001,0.20028368465508697,0.01582427200572302
0.835,[0.44964132],0.835,0.20028368465508697,0.015676902936487734
0.84,[0.44963161],0.84,0.20028368465508697,0.015609733579369752
0.845,[0.44964172],0.845,0.20028368465508697,0.015605969448029248
0.85,[0.44966869],0.85,0.20028368465508697,0.015652607952073284
0.855,[0.44971184],0.855,0.20028368465508697,0.01586267598801028
0.86,[0.44977296],0.86,0.20028368465508697,0.016457757919255515
0.865,[0.44985618],0.865,0.20028368465508697,0.017692348917731228
0.87,[0.44996981],0.87,0.20028368465508697,0.022511989480934448
0.875,[0.45012359],0.875,0.20028368465508697,0.0219165026538763
0.88,[0.45032427],0.88,0.20028368465508697,0.0260814996378584
0.885,[0.45058001],0.885,0.20028368465508697,0.03147676902273789
0.89,[0.45090218],0.89,0.20028368465508697,0.038076130447844914
0.895,[0.45130259],0.895,0.20028368465508697,0.04585817628901647
0.9,[0.45179326],0.9,0.20028368465508697,0.054680188942740134
0.905,[0.45238603],0.905,0.20028368465508697,0.06425647678039133
0.91,[0.45309215],0.91,0.20028368465508697,0.07424437200315337
0.915,[0.453917],0.915,0.20028368465508697,0.062437885774984256
0.92,[0.45486042],0.92,0.20028368465508697,0.07624805626209423
