t_qd,qd_rad,t_q,q_rad,tau
0.0,0.00017482145038745628,0.0,-0.00019539871673667023,0.0
0.005,0.0008494609168750771,0.005,-0.00019539871673667023,0.0
0.01,0.0021267147047558162,0.01,-0.00019539871673667023,0.0
0.015,0.00392039610513234,0.015,-0.00019539871673667023,0.0
0.02,0.006165593808773702,0.02,-0.00019539871673667023,0.0
0.025,0.008816586026852946,0.025,-0.00019539871673667023,0.04505992371794808
0.03,0.011830023885262896,0.03,-0.00019539871673667023,0.06012711300999783
0.035,0.015159961270484707,0.035,-0.00019539871673667023,0.07677679993610688
0.04,0.018758547405537104,0.04,-0.00019539871673667023,0.09476973061136887
0.045,0.022571884875134715,0.045,-0.00019539871673667023,0.11383641795935692
0.05,0.02655131661487496,0.05,0.0,0.1327565830743748
0.055,0.0306579935318551,0.055,0.0,0.1532899676592755
0.06,0.03485680121501504,0.06,0.00019539871673667023,0.17330586233155987
0.065,0.039116076302819824,0.065,0.0005861961502100108,0.1926473304753515
0.07,0.043407332058960406,0.07,0.0007815948669466809,0.21312357925041459
0.075,0.04770914435132715,0.075,0.0013677910171566918,0.23169808066380104
0.08,0.052006137200696335,0.08,0.0019539871673667024,0.2502457502421832
0.085,0.056275993076085266,0.085,0.0027355820343133836,0.26767970383079953
0.09,0.06049113120224009,0.09,0.0031263794677867237,0.286793225811667
0.095,0.06463206056291401,0.095,0.0042987717682067455,0.3016259154474085
0.1,0.06868274942057463,0.1,0.005275765351890096,0.3169817946455445
0.105,0.07263000432528104,0.105,0.006838955085783458,0.3288874421228815
0.11,0.07647049936194508,0.11,0.008011347386203481,0.342211612463391
0.115,0.08020224376935403,0.115,0.009965334553570182,0.35108042303204184
0.12,0.08381758859116005,0.12,0.011723923004200214,0.3603424735835135
0.125,0.08731128047845525,0.125,0.014264106321776927,0.3650857304295873
0.13,0.09068365191464604,0.13,0.016999688356090312,0.3682410473583035
0.135,0.09393642030699789,0.135,0.020516865257350376,0.3668880496304018
0.14,0.09707577126680299,0.14,0.02305704857492709,0.3698510725760312
0.145,0.10010828763856319,0.145,0.025988029325977144,0.37032559750818
0.15,0.10303418955279518,0.15,0.02872361136029053,0.3712426232518275
0.155,0.10585162622964583,0.155,0.031849990828077254,0.36966334941339873
0.16,0.10856351099027443,0.16,0.0347809715791273,0.36853447075513274
0.165,0.11117668879721948,0.165,0.03868894591386071,0.3620257180324401
0.17,0.11369795027645976,0.17,0.04220612281512077,0.35701142389634855
0.17500000000000002,0.11613395088123926,0.17500000000000002,0.04611409714985418,0.34961688066679286
0.18,0.11849114558739954,0.18,0.04963127405111425,0.34378232906847295
0.185,0.12077271723541934,0.185,0.05314845095237431,0.337570839504855
0.19,0.12298209930823975,0.19,0.05764262143731772,0.3261143760071468
0.195,0.125125992532338,0.195,0.061355197055314455,0.31824149640848376
0.2,0.12720772474414407,0.2,0.06487237395657452,0.3110383985382133
0.20500000000000002,0.1292277477044793,0.20500000000000002,0.06819415214109792,0.30450777271904006
0.21,0.13119007603492833,0.21,0.07268832262604133,0.2918287818683182
0.215,0.13310170466701607,0.215,0.07581470209382805,0.2857392036272234
0.22,0.13496624608997596,0.22,0.07952727771182479,0.2764863734019592
0.225,0.1367873891604009,0.225,0.0826536571796115,0.2699500640150864
0.23,0.13857183611766885,0.23,0.08617083408087158,0.26127831237507465
0.23500000000000001,0.14032287167980076,0.23500000000000001,0.08949261226539497,0.2534181177270763
0.24,0.14204085166962616,0.24,0.09261899173318171,0.24637093510843683
0.245,0.14372659998300252,0.245,0.09574537120096842,0.2391636311533189
0.25,0.1453844144311057,0.25,0.0996533455357018,0.2279095131737149
0.255,0.14702150921045848,0.255,0.10336592115369855,0.21752945414333272
0.26,0.14863828230690118,0.26,0.10668769933822195,0.20900230483319937
0.265,0.1502356400714365,0.265,0.11000947752274534,0.20037850363747506
0.27,0.15182102585681534,0.27,0.11372205314074207,0.18974119519775848
0.275,0.15339795929393565,0.275,0.1168484326085288,0.18199287762312472
0.28,0.15496982081023583,0.28,0.12017021079305219,0.17324242434496726
0.28500000000000003,0.15653968754021183,0.28500000000000003,0.12407818512778561,0.1615511903715471
0.29,0.158107116388022,0.29,0.1281815581792557,0.14887091259354102
0.295,0.1596751855016353,0.295,0.1318941337972524,0.13814793466385877
0.3,0.16124987830236878,0.3,0.13560670941524913,0.12745816425133044
0.305,0.16283620445221691,0.305,0.13951468374998255,0.11584963826593431
0.31,0.16443816027022454,0.31,0.14342265808471594,0.10431931763352971
0.315,0.16605868937201343,0.315,0.14772142985292272,0.09092792186241964
0.32,0.16769966196023123,0.32,0.15123860675418274,0.08154675434599203
0.325,0.16935883524772602,0.325,0.1549511823721795,0.07127962593250899
0.33,0.1710305082976491,0.33,0.15807756183996624,0.06400600043441214
0.335,0.17270935113359812,0.335,0.16120394130775295,0.05676939270803282
0.34,0.17439040856413976,0.34,0.164134922058803,0.05052178661157008
0.34500000000000003,0.17607192769342417,0.34500000000000003,0.1674567002433264,-0.0007528873504182393
0.35000000000000003,0.17775480960823242,0.35000000000000003,0.17116927586132313,-0.000749530338829888
0.355,0.17943917534205034,0.355,0.17468645276258318,-0.0007456945697272124
0.36,0.181121905754702,0.36,0.1780082309471066,-0.0007414757946130775
0.365,0.1827997972260438,0.365,0.18172080656510334,-0.000734650295025786
0.37,0.18447482642400934,0.37,0.1850425847496267,-0.0007257394158599694
0.375,0.18614815058130627,0.375,0.18797356550067676,-0.000716310392863327
0.38,0.18781533055110533,0.38,0.19070914753499016,-0.0007053166949700295
0.385,0.18946998359582348,0.385,0.1938355270027769,-0.0006930712571594082
0.39,0.19110897362849663,0.39,0.1961803116036169,-0.000678674267582933
0.395,0.19273418875970694,0.395,0.19872049492119365,-0.0006637061964257694
0.4,0.19434712082729774,0.4,0.20086988080529702,-0.000648281260004055
0.405,0.19594451432308277,0.405,0.20301926668940037,-0.0006313406715387055
0.41000000000000003,0.19752154733785607,0.41000000000000003,0.20497325385676707,-0.0006131875614384478
0.41500000000000004,0.1990743998270039,0.41500000000000004,0.2067318423073971,-0.0005929142741982692
0.42,0.20060234645578445,0.42,0.20849043075802715,-0.0005732451649101427
0.425,0.20210727779252918,0.425,0.21024901920865718,-0.0005517590783196691
0.43,0.2035910084074422,0.43,0.21181220894255054,-0.0005288194098873176
0.435,0.20505525689255819,0.435,0.2133753986764439,-0.0005035667161494694
0.44,0.20650164150164113,0.44,0.2145477909768639,-0.00047761376199921833
0.445,0.20793168036889004,0.445,0.2155247845605473,-0.0004488002798550559
0.45,0.20934678613810787,0.45,0.21650177814423063,-0.00041999869497975353
0.455,0.21074825574164455,0.455,0.21728337301117734,-0.000391206627919539
0.46,0.2121372749346417,0.46,0.21806496787812396,-0.00036242217511139494
0.465,0.21351280336177794,0.465,0.21845576531159733,-0.0003347939735369016
0.47000000000000003,0.2148720024889056,0.47000000000000003,0.21884656274507067,-0.00030809077294932896
0.47500000000000003,0.2162149718009968,0.47500000000000003,0.21923736017854403,-0.0002821275731512928
0.48,0.21754447411900413,0.48,0.21962815761201734,-0.0002567563739848859
0.485,0.21886355430008103,0.485,0.219823556328754,-0.00023185877532378232
0.49,0.22017568713040492,0.49,0.219823556328754,-0.00020734005706692142
0.495,0.2214848875548753,0.495,0.22001895504549068,-0.00018312444313345468
0.5,0.22279291863578427,0.5,0.22001895504549068,-0.00015915131265870332
0.505,0.22410265584225472,0.505,0.22001895504549068,-0.0001365223287829187
0.51,0.22542379357833708,0.51,0.22001895504549068,-0.00011611882201830201
0.515,0.22676621486647558,0.515,0.22001895504549068,-9.749569694261962e-05
0.52,0.22813726721565933,0.52,0.22001895504549068,-8.029687721808472e-05
0.525,0.22954516919148915,0.525,0.219823556328754,0.048542676652069294
0.53,0.23099441750759778,0.53,0.22001895504549068,0.0548250021812503
0.535,0.2324860754761218,0.535,0.22001895504549068,0.06229375404972742
0.54,0.23402704645292358,0.54,0.22001895504549068,0.07000697855442196
0.545,0.23563487597323976,0.545,0.22001895504549068,0.07805282185255139
0.55,0.2373260801122222,0.55,0.22021435376222737,0.08553720552101896
0.555,0.239104910573962,0.555,0.22040975247896405,0.09345864949182556
0.56,0.24097595441649203,0.56,0.2206051511957007,0.10183915315759329
0.5650000000000001,0.24294294041793854,0.5650000000000001,0.22080054991243736,0.11069776185075125
0.5700000000000001,0.2450028685824054,0.5700000000000001,0.22099594862917407,0.12001979674525687
0.5750000000000001,0.24715275370124473,0.5750000000000001,0.22138674606264738,0.12881359513693902
0.58,0.24938945944075183,0.58,0.22177754349612072,0.1380395243193254
0.585,0.2517228854458451,0.585,0.22236373964633074,0.14677048339585164
0.59,0.25417373321421416,0.59,0.22294993579654077,0.15608728900867094
0.595,0.2567451143839283,0.595,0.22373153066348742,0.16502875822046356
0.6,0.25942502213621915,0.6,0.22412232809696078,0.17646603965325133
0.605,0.2622085368153343,0.605,0.22529472039738077,0.18451158493819128
0.61,0.2650967405154974,0.61,0.22627171398106416,0.19405728191409735
0.615,0.26808916963178087,0.615,0.2270533088480108,0.20509971979609123
0.62,0.2711773713429115,0.62,0.22822570114843083,0.21466592967839615
0.625,0.274346266263875,0.625,0.22959349216558755,0.2236577289809356
