t_qd,qd_rad,t_q,q_rad,tau
0.0,6.922692908673092e-05,0.0,-0.07132053160888463,0.35695224316935276
0.005,0.0003345523581758409,0.005,-0.07132053160888463,0.3582816306983951
0.01,0.000830759936706604,0.01,-0.07132053160888463,0.36076487689792636
0.015,0.0015139460760857863,0.015,-0.0709297341754113,0.36222743691312564
0.02,0.002343514202663903,0.02,-0.07014813930846461,0.3624654960801547
0.025,0.0032818843201897476,0.025,-0.06917114572478127,0.36226748256496877
0.03,0.004296285051211344,0.03,-0.06819415214109792,0.36244485055498127
0.035,0.00535947509809933,0.035,-0.06702175984067789,0.36188535429081814
0.04,0.006447232126012407,0.04,-0.06526317139004786,0.3585123580612071
0.045,0.007537897347320762,0.045,-0.06311378550594449,0.353194482175755
0.05,0.008614444578197147,0.05,-0.06174599448878779,0.3517119442281799
0.055,0.009663680959872072,0.055,-0.05920581117121108,0.34422810321690817
0.06,0.01067405748323758,0.06,-0.05744722272058106,0.3404568575561833
0.065,0.011636165952812727,0.065,-0.05471164068626767,0.33155843995397843
0.07,0.01254332842963896,0.07,-0.05275765351890097,0.32629372587930516
0.075,0.01339096293815946,0.075,-0.05002207148458758,0.3168214646339399
0.08,0.014175724003418022,0.08,-0.046895692016800855,0.3050804527691866
0.085,0.014895542905677765,0.085,-0.044550907415960815,0.29692353759543505
0.09,0.015549899192827838,0.09,-0.04122912923143742,0.2835515574852325
0.095,0.016139283250861048,0.095,-0.03771195233017736,0.2688777958114375
0.1,0.016665202468040267,0.1,-0.034194775428917294,0.2538879186257447
0.105,0.01713012117741967,0.105,-0.030677598527657227,0.23859400585495055
0.11,0.017536960488243793,0.11,-0.026965022909660494,0.22203347607081486
0.115,0.017889005213162244,0.115,-0.022666251141453746,0.20226861145659528
0.12,0.0181898922352517,0.12,-0.018758276806720344,0.1842035907358251
0.125,0.01844433321668181,0.125,-0.014654903755250269,0.16493066242025695
0.13,0.01866675879035968,0.13,-0.010942328137253534,0.147453847346872
0.135,0.018894676077070103,0.135,-0.007034353802520129,0.12903040990566056
0.14,0.019177753933400953,0.14,-0.003907974334733405,0.11479307976784
0.145,0.01958425903837479,0.145,0.0007815948669466809,0.09335765114037982
0.15,0.020217440538187314,0.15,0.004689569201680086,0.07696645029080026
0.155,0.0211597617373187,0.155,0.008011347386203481,0.0650542258640281
0.16,0.02245557884614797,0.16,0.011137726853990204,0.055889462469391166
0.165,0.02415883808040959,0.165,0.014850302471986938,0.04583331927083584
0.17,0.026326929023098734,0.17,0.018562878089983675,-0.0007170077951812237
0.17500000000000002,0.028998550140261366,0.17500000000000002,0.021493858841033726,-0.00072197685447227
0.18,0.03219423211883001,0.18,0.025401833175767132,-0.0007248019420731126
0.185,0.03591852177000721,0.185,0.0289190100770272,-0.0007247616924897976
0.19,0.04014847127862781,0.19,0.03165459211134058,-0.0007224291731591566
0.195,0.04485314562838263,0.195,0.03497637029586397,0.04866561382456262
0.2,0.050011086850094366,0.2,0.03790735104691403,0.05980604956563783
0.20500000000000002,0.05558082965196619,0.20500000000000002,0.04103373051470075,0.07203082342577273
0.21,0.061516500154055395,0.21,0.04318311639880412,0.09097206274696543
0.215,0.06778141568428768,0.215,0.046309495866590854,0.1066760465237
0.22,0.07432194350255769,0.22,0.04865428046743089,0.1276672558619513
0.225,0.08107699507718313,0.225,0.05158526121848094,0.14680105506020535
0.23,0.08799539714889694,0.23,0.054907039403004336,0.1647972308801231
0.23500000000000001,0.0950150391941458,0.23500000000000001,0.05764262143731772,0.18623027636163705
0.24,0.10205490626854989,0.24,0.06037820347163111,0.20776304806339177
0.245,0.10903003094789852,0.245,0.06389538037289116,0.22506186415487564
0.25,0.11585793744660632,0.25,0.06721715855741456,0.24259976748663042
0.255,0.12246515638040129,0.255,0.07034353802520128,0.2600086240655059
0.26,0.12879383079204146,0.26,0.07366531620972468,0.2750456824403251
0.265,0.13480071009895128,0.265,0.07737789182772142,0.2865181125164468
0.27,0.1404532109091996,0.27,0.08109046744571814,0.29621501730345395
0.275,0.14572764485148976,0.275,0.08578003664739824,0.2991348637474395
0.28,0.15060690148884046,0.28,0.09007880841560498,0.30202910564657953
0.28500000000000003,0.1550809067661083,0.28500000000000003,0.09340058660012837,0.307780244673542
0.29,0.15914656001284316,0.29,0.0971131622181251,0.3095341851883288
0.295,0.16280611409328655,0.295,0.10043494040264851,0.31121160624514166
0.3,0.16606753735556362,0.3,0.10356131987043524,0.3118742079998678
0.305,0.16894367350299155,0.305,0.1076646929219053,0.30572447922598067
0.31,0.1714493063717415,0.31,0.11157266725663871,0.2986996361734581
0.315,0.17360078167946796,0.315,0.11528524287463544,0.2908813257243587
0.32,0.1754167511106513,0.32,0.11977941335957885,0.2774789231775278
0.325,0.17691859779959992,0.325,0.12329659026083893,0.26739200413371417
0.33,0.17812977038411623,0.33,0.126813767162099,0.25585376816419025
0.335,0.17907337001603502,0.335,0.1301355453466224,0.24395630389252312
0.34,0.1797720348898621,0.34,0.1332619248144091,0.2318124737158097
0.34500000000000003,0.18024874640142738,0.34500000000000003,0.13697450043240583,0.21562894741812022
0.35000000000000003,0.18052654004120652,0.35000000000000003,0.14107787348387593,0.19649653558740768
0.355,0.18062865834799435,0.355,0.14479044910187266,0.17844063721355696
0.36,0.18057815555443885,0.36,0.14869842343660605,0.1586465122776995
0.365,0.18039674404019065,0.365,0.15260639777133944,0.1381981915972612
0.37,0.18010484806819607,0.37,0.15573277723912618,0.12110570124993031
0.375,0.17972207775504953,0.375,0.1586637579901762,0.10453605541020802
0.38,0.17926699385548572,0.38,0.16257173232490962,0.08272005182373035
0.385,0.17875857309578275,0.385,0.1660889092261697,0.06259264374675383
0.39,0.17822294895717755,0.39,0.16960608612742978,-0.0007552114190404006
0.395,0.17769329316184315,0.395,0.17292786431195314,-0.0007548400732236005
0.4,0.1772066423564876,0.4,0.17644504121321322,-0.0007533928367381659
0.405,0.17681045747674795,0.405,0.17937602196426328,-0.0007522350475498182
0.41000000000000003,0.17655068178828373,0.41000000000000003,0.18211160399857668,-0.0007490084965351512
0.41500000000000004,0.17646437538754903,0.41500000000000004,0.18523798346636342,-0.044611017170299375
0.42,0.17660979365524843,0.42,0.1891459578010968,-0.06341437148989516
0.425,0.17706326605120898,0.425,0.1918815398354102,-0.0748127782298721
0.43,0.17786892966681916,0.43,0.1942263244362502,-0.08249291919543139
0.435,0.1790401152338137,0.435,0.19657110903709027,-0.08834164223719525
0.44,0.18061403745832158,0.44,0.1989158936379303,-0.09217248529806095
0.445,0.18264738416229512,0.445,0.20126067823877036,-0.09370514892659758
0.45,0.1851562080901441,0.45,0.20262846925592706,-0.08797116240984341
0.455,0.18812057264214693,0.455,0.20419165898982042,-0.08093763010933387
0.46,0.19153219745350575,0.46,0.2055594500069771,-0.07068713329169746
0.465,0.19537806950062586,0.465,0.2067318423073971,-0.05728777132190445
0.47000000000000003,0.1996407127917091,0.47000000000000003,0.20770883589108044,-0.00048643574002223654
0.47500000000000003,0.20432719969723717,0.47500000000000003,0.2086858294747638,-0.000454707702441476
0.48,0.20942313868542073,0.48,0.20927202562497385,-0.0004224243133849005
0.485,0.21488216404697458,0.485,0.21024901920865718,-0.00039084680297966765
0.49,0.22067331180972194,0.49,0.21063981664213055,0.04980879200229343
0.495,0.22679238316695535,0.495,0.21142141150907717,0.07652765562674028
0.5,0.23323069950413972,0.5,0.21161681022581388,0.10777202930671684
0.505,0.23994929623327269,0.505,0.21200760765928722,0.13943945488653361
0.51,0.24689782698148566,0.51,0.21259380380949724,0.17127732163725923
0.515,0.25404376106489523,0.515,0.2131799999597072,0.20410041679132196
0.52,0.2613700172327301,0.52,0.21376619610991726,0.2378225415895619
0.525,0.26885927868088677,0.525,0.2147431896936006,0.270402490839853
0.53,0.2765072214933435,0.53,0.21572018327728396,0.3037709747662276
0.535,0.2843201895931887,0.535,0.21689257557770397,0.3369825436696957
0.54,0.2922872895150095,0.54,0.21806496787812396,0.37095958322227734
0.545,0.30037065963840415,0.545,0.219823556328754,0.4025816921032347
0.55,0.30853561745231134,0.55,0.22158214477938404,0.43460749869399984
0.555,0.3167632615900512,0.555,0.22314533451327742,0.4679203378934077
0.56,0.32503543223929726,0.56,0.22529472039738077,0.49851981450426974
0.5650000000000001,0.33333477286045504,0.5650000000000001,0.22783490371495752,0.5272959921314698
0.5700000000000001,0.34163307294615375,0.5700000000000001,0.23076588446600757,0.554110000733157
0.5750000000000001,0.3498934233014595,0.5750000000000001,0.23350146650032094,0.5817077207620499
0.58,0.3580955050842729,0.58,0.23662784596810765,0.6070561337976723
0.585,0.3662220184582473,0.585,0.2397542254358944,0.6320223730585138
0.59,0.37425804112062633,0.59,0.24327140233715447,0.6545798563693752
0.595,0.38220247943286495,0.595,0.24698397795515117,0.6757017223259741
0.6,0.39003291714895144,0.6,0.24971955998946457,0.7011345411248311
0.605,0.39772044388693695,0.605,0.25460452790788135,0.715104966256012
0.61,0.40527517574388866,0.61,0.25890329967608805,0.7313451207272469
0.615,0.41272886352975746,0.615,0.26281127401082144,0.7490339200861078
0.62,0.42008745621974003,0.62,0.2665238496288182,0.7672298908089201
0.625,0.4273457116056401,0.625,0.27062722268028827,0.7829735602918807
0.63,0.4345213368745694,0.63,0.27394900086481166,0.8022182019625586
0.635,0.44161918501348923,0.635,0.2776615764828084,0.8191237394062607
0.64,0.44862252028137684,0.64,0.2809833546673318,0.8375137145345191
0.645,0.4555387823118701,0.645,0.28664991745269525,0.8437479625293183
0.65,0.46239571163587384,0.65,0.29114408793763863,0.85555035813994
0.655,0.46920668691888423,0.655,0.29544285970584544,0.8681022568462138
0.66,0.47597305107225774,0.66,0.2985692391736321,0.8862937350201208
0.665,0.4826966357714734,0.665,0.3026726122251022,0.8993880370556269
0.67,0.48936945436286633,0.67,0.306385187843099,0.9141838469600302
0.675,0.49597540480058094,0.675,0.3102931621778323,0.9276694035048746
0.68,0.5025235151837811,0.68,0.31498273137951244,0.9369586502364253
0.685,0.5090335571232154,0.685,0.3188907057142458,0.9499662209190901
0.6900000000000001,0.5155024107064963,0.6900000000000001,0.32221248389876916,0.9656993840402059
0.6950000000000001,0.5219290382662363,0.6950000000000001,0.325925059516766,0.9792678726507845
0.7000000000000001,0.5283247514943267,0.7000000000000001,0.33041923000170936,0.9887741694880098
0.705,0.53470022247974,0.705,0.33413180561970607,1.002086362662453
0.71,0.5410540008329372,0.71,0.33764898252096615,1.0162675429920267
0.715,0.5473741470903762,0.715,0.3417523555724363,1.0273499474777816
0.72,0.5536621564967354,0.72,0.34566032990716966,1.0392501037604711
0.725,0.5599306616944026,0.725,0.34956830424190305,1.0510515926549564
0.73,0.5662012067492421,0.73,0.3532808798598998,1.063840507503023
0.735,0.5725026726507964,0.735,0.35757965162810657,1.073853232300843
0.74,0.5788370026815649,0.74,0.36129222724610327,1.086961407669568
0.745,0.5851835761098934,0.745,0.36500480286410003,1.1001309193651194
0.75,0.59154763668214,0.75,0.3698897707825168,1.1075260007493832
0.755,0.597956598967314,0.755,0.37379774511725017,1.1200306349936775
0.76,0.6044112651570895,0.76,0.37751032073524693,1.1337408434462444
0.765,0.6108897038997039,0.765,0.3808320989197703,1.1495239507116377
0.77,0.6173851495645941,0.77,0.3851308706879771,1.1605071637750057
0.775,0.6239037791022244,0.775,0.38982043988965714,1.1696523403187173
0.78,0.6304510955684434,0.78,0.3941192116578639,1.180894963699947
0.785,0.63703166357936,0.785,0.3978317872758606,1.1952348455774817
0.79,0.6436487413979668,0.79,0.4021305590440673,1.2068263117598297
0.795,0.6503039780463001,0.795,0.40545233722859075,1.2234935528231574
0.8,0.6569971849657754,0.8,0.4095557102800608,1.236442681158606
0.805,0.6637261912430998,0.805,0.4134636846147942,1.2505478080678996
0.81,0.6704760974682492,0.81,0.41678546279931766,1.2676884220280995
0.8150000000000001,0.6772215170337036,0.8150000000000001,0.420693437134051,1.281875627187361
0.8200000000000001,0.683950260730368,0.8200000000000001,0.42440601275204776,1.2969564507852247
0.8250000000000001,0.6906712342529182,0.8250000000000001,0.4290955819537278,1.3071134589531952
0.8300000000000001,0.6973900744881477,0.8300000000000001,0.4328081575717246,1.3221447712902552
0.835,0.7040896130467394,0.835,0.43652073318972134,1.3370795773939468
0.84,0.7107536595439616,0.84,0.4406241062411914,1.3498829377432806
0.845,0.717377109237614,0.845,0.44453208057592475,1.3634603090343347
0.85,0.7239543926022356,0.85,0.4484400549106582,1.3768068497809425
0.855,0.7304797263552592,0.855,0.45215263052865495,1.3908706369338102
0.86,0.7369558118461021,0.86,0.4566468010135984,1.4007802091454948
0.865,0.7433923952533901,0.865,0.4613363702152784,1.4095152779192839
0.87,0.7497798052409803,0.87,0.4650489458332752,1.4228894479638508
0.875,0.7560926051167012,0.875,0.46915231888474523,1.4339365806423845
0.88,0.7623257689367352,0.88,0.47384188808642536,1.441654552579978
0.885,0.7684835650631346,0.885,0.4765774701207387,1.4587656221170673
0.89,0.7745538616949169,0.89,0.48107164060568214,1.4666462521125887
0.895,0.7805269416728138,0.895,0.4851750136571522,1.4759947861537845
0.9,0.7864109849710881,0.9,0.49045077900904227,1.479036175412955
0.905,0.7922134687801646,0.905,0.4935771584768291,1.4924166967412034
0.91,0.7979258150227702,0.91,0.4970943353780891,1.5033925431453703
0.915,0.8035416279296737,0.915,0.5002207148458758,1.5158397100989058
0.92,0.8090643871314946,0.92,0.5049102840475559,1.520005659905972
0.925,0.8144983151293913,0.925,0.5086228596655527,1.5286124216505605
0.93,0.8198405866862489,0.93,0.5117492391333394,1.5396918819719865
0.935,0.8250902131196047,0.935,0.5164388083350194,1.542492168031222
0.9400000000000001,0.8302554486594913,0.9400000000000001,0.5199559852362795,1.5507324611450404
0.9450000000000001,0.8353367919700893,0.9450000000000001,0.523863959571013,1.5565993059609111
0.9500000000000001,0.8403359464847272,0.9500000000000001,0.5277719339057463,1.5620552068096731
0.9550000000000001,0.8452632500286559,0.9550000000000001,0.5318753069572164,1.566174859231357
0.96,0.8501360938635797,0.96,0.5361740787254231,1.5690452195324553
0.965,0.8549697443886398,0.965,0.5396912556266832,1.5756275876254657
0.97,0.8597618424809599,0.97,0.5445762235450999,1.5751632384741905
0.975,0.864518165266892,0.975,0.5494611914635167,1.5745200127951338
0.98,0.8692513706993863,0.98,0.5527829696480401,1.5815782991815137
0.985,0.8739567268901302,0.985,0.5568863426995102,1.5845891349951027
0.99,0.8786299603387748,0.99,0.5600127221672969,1.5923241409931685
0.995,0.883282019354199,0.995,0.564702291368977,1.59213717893691
1.0,0.8879217135141261,1.0,0.5682194682702371,1.5977502363302618
1.0050000000000001,0.8925485973963376,1.0050000000000001,0.5729090374719171,1.5974383367727647
1.01,0.8971689773601488,1.01,0.5764262143731771,1.6029544235575648
1.0150000000000001,0.9017878999752749,1.0150000000000001,0.5809203848581206,1.6035782413861133
1.02,0.90640218819623,1.02,0.584828359192854,1.607111006719162
1.025,0.9110089443827207,1.025,0.5881501373773773,1.6135368534505516
1.03,0.9155985844203613,1.03,0.5924489091455841,1.6149919601749625
1.035,0.920156037784193,1.035,0.5967476809137909,1.61628598045488
1.04,0.9246757773754857,1.04,0.6000694590983143,1.6222762773301613
1.045,0.9291605524033719,1.045,0.6035866359995743,1.6271146598364405
1.05,0.933606294850346,1.05,0.6065176167506244,1.6346887818145783
1.055,0.9380033035858041,1.055,0.6102301923686212,1.6381111982006997
1.06,0.9423584348575162,1.06,0.6155059577205113,1.6335082284388616
1.065,0.9466854887902196,1.065,0.618632337188298,1.6395117612746863
1.07,0.9509828016927749,1.07,0.6223449128062948,1.642435576106472
1.075,0.9552499820184213,1.075,0.6258620897075547,1.6461856959555985
1.08,0.9594949822378014,1.08,0.6293792666088148,1.6498248947279541
1.085,0.9637181329129786,1.085,0.6325056460766015,1.6553088165103111
1.09,0.9679133619923936,1.09,0.6364136204113349,1.6567451428300433
1.095,0.9720845540333152,1.095,0.640516993462805,1.657084279854359
1.1,0.9762525604565395,1.1,0.6459881575314318,1.650568525288994
1.105,0.9804367306024085,1.105,0.6489191382824818,1.6568344991924067
1.11,0.9846470224720951,1.11,0.6534133087674253,1.655415127659576
1.115,0.9889018332830123,1.115,0.6581028779691054,1.6532413529405248
1.12,0.9932173943267353,1.12,0.6624016497373121,1.6533253131059171
1.125,0.9975902407478023,1.125,0.6657234279218355,1.6585806653188837
1.1300000000000001,1.0020174188878577,1.1300000000000001,0.6698268009733056,1.6601996995860089
1.135,1.0065141084114977,1.135,0.674320971458249,1.6602123018388508
1.1400000000000001,1.0110834360755727,1.1400000000000001,0.6774473509260357,1.6674270484677798
1.145,1.0157091225878734,1.145,0.6823323188444524,1.6661294957953572
1.1500000000000001,1.0203944020610793,1.1500000000000001,0.6866310906126593,1.6680611178068792
1.155,1.0251498518283755,1.155,0.6897574700804461,1.6762057360936466
1.16,1.0299651309338702,1.16,0.693274646981706,1.6826956605461971
1.165,1.0348300971947209,1.165,0.6965964251662294,1.6904111316729349
1.17,1.0397438921741522,1.17,0.7006997982176995,1.6944628659088228
1.175,1.0447048045225913,1.175,0.7051939687026428,1.6967962749031664
1.18,1.0497106816939072,1.18,0.7091019430373763,1.7022866989874028
1.185,1.0547680897303708,1.185,0.7135961135223197,1.705103614666063
1.19,1.0598912040469506,1.19,0.7182856827239998,1.707270772417576
1.195,1.0650831452171479,1.195,0.7227798532089431,1.7107591715854584
