t_qd,qd_rad,t_q,q_rad,tau
0.0,[2.87961762e-05],0.0,0.0,0.0007597211642167864
0.005,[0.00013777],0.005,0.0,0.0002321186892329303
0.01,[0.00033955],0.01,0.0,0.00010134305853384572
0.015,[0.00061996],0.015,0.0,0.00010287217012297461
0.02,[0.00097043],0.02,0.0,5.073598953765986e-05
0.025,[0.00137899],0.025,0.0,2.7007411058694764e-05
0.03,[0.00183138],0.03,0.0,1.5094511743674046e-05
0.035,[0.00231498],0.035,0.0,8.604820410877526e-06
0.04,[0.00281871],0.04,0.0,4.888435166248177e-06
0.045,[0.00333293],0.045,0.0,2.7946719416095074e-06
0.05,[0.00384935],0.05,0.0,1.5907058789663776e-06
0.055,[0.00436096],0.055,0.0,9.350865433073345e-07
0.06,[0.00486188],0.06,0.0,5.733316240429808e-07
0.065,[0.00534725],0.065,0.0,3.9475201201377567e-07
0.07,[0.00581319],0.07,0.0,3.2738780296009474e-07
0.075,[0.00625666],0.075,0.0,3.169772783492707e-07
0.08,[0.0066754],0.08,0.0,3.326187318991566e-07
0.085,[0.00706779],0.085,0.0,3.7127173894438294e-07
0.09,[0.00743281],0.09,0.0,4.193509291292635e-07
0.095,[0.00776995],0.095,0.0,4.7374043264473653e-07
0.1,[0.00807916],0.1,0.0,5.297607604986459e-07
0.105,[0.00836075],0.105,0.0,5.858012404616125e-07
0.11,[0.00861534],0.11,0.0,6.40076374181995e-07
0.115,[0.0088438],0.115,0.0,6.91451790818374e-07
0.12,[0.00904719],0.12,0.00019539871673667023,6.935869074437761e-07
0.125,[0.00922675],0.125,0.0,7.846793910939267e-07
0.13,[0.00938381],0.13,0.0,8.260116479798134e-07
0.135,[0.00951984],0.135,0.0,8.624023888632524e-07
0.14,[0.00963631],0.14,0.0,8.9460199765554e-07
0.145,[0.00973473],0.145,0.0,9.223153913098334e-07
0.15,[0.00981663],0.15,0.0,9.458191882484136e-07
0.155,[0.00988349],0.155,0.0,9.653182048816477e-07
0.16,[0.00993677],0.16,0.0,9.809967275936982e-07
