t_qd,qd_rad,t_q,q_rad,tau
0.0,[-9.50394487e-06],0.0,0.0,-2.731248405837019e-05
0.005,[-4.5929629e-05],0.005,0.0,-1.0232002897148982e-05
0.01,[-0.00011415],0.01,0.0,-4.122520449588512e-06
0.015,[-0.00020838],0.015,0.0,-1.884092223086009e-06
0.02,[-0.00032339],0.02,0.0,-9.650823381324285e-07
0.025,[-0.00045446],0.025,0.0,-5.320685490059603e-07
0.03,[-0.00059744],0.03,-0.00019539871673667023,-2.201968790186467e-07
0.035,[-0.00074862],0.035,0.0,-1.735840791113126e-07
0.04,[-0.00090478],0.04,0.0,-9.99743040792604e-08
0.045,[-0.00106313],0.045,0.0,-5.714001391688563e-08
0.05,[-0.00122129],0.05,0.0,-3.293008500094008e-08
0.055,[-0.00137723],0.055,0.0,-3.729963557515709e-08
0.06,[-0.00152927],0.06,0.0,-2.251436610013079e-08
0.065,[-0.00167605],0.065,0.0,-1.4847152330233318e-08
0.07,[-0.00181647],0.07,0.0,-1.1368280967295778e-08
0.075,[-0.00194971],0.075,0.0,-1.0234654779900065e-08
0.08,[-0.00207514],0.08,0.0,-1.1912533638299026e-08
0.085,[-0.00219234],0.085,0.0,-1.2090332791351985e-08
0.09,[-0.00230107],0.09,0.0,-1.2979333900118488e-08
0.095,[-0.00240122],0.095,0.0,-1.4247259821910177e-08
0.1,[-0.00249282],0.1,0.0,-1.5690129326084687e-08
0.105,[-0.002576],0.105,0.0,-1.7189168603936238e-08
0.11,[-0.00265099],0.11,0.0,-1.8728914332379405e-08
0.115,[-0.00271808],0.115,0.0,-2.012588429182222e-08
0.12,[-0.00277762],0.12,0.0,-2.1447172063456213e-08
0.125,[-0.00283],0.125,0.0,-2.268408085868526e-08
0.13,[-0.00287565],0.13,0.0,-2.3785245936961753e-08
0.135,[-0.00291502],0.135,0.0,-2.4768850660843178e-08
0.14,[-0.00294857],0.14,-0.00019539871673667023,-2.0912192608923394e-08
0.145,[-0.00297675],0.145,0.0,-2.6325194087196263e-08
0.15,[-0.00300004],0.15,0.0,-2.6997062403418493e-08
0.155,[-0.00301889],0.155,0.0,-2.7509578813447572e-08
0.16,[-0.00303373],0.16,0.0,-2.7917871189326367e-08
0.165,[-0.003045],0.165,0.0,-2.8230779384332047e-08
0.17,[-0.0030531],0.17,0.0,-2.8457332025787254e-08
0.17500000000000002,[-0.00305841],0.17500000000000002,0.0,-2.8606839348970825e-08
0.18,[-0.0030613],0.18,0.0,-2.868860441517448e-08
0.185,[-0.00306211],0.185,0.0,-2.8711696878775985e-08
0.19,[-0.00306113],0.19,0.0,-2.8684782931002283e-08
0.195,[-0.00305867],0.195,0.0,-2.861600283602894e-08
0.2,[-0.00305498],0.2,-0.00019539871673667023,-2.3435718380258324e-08
0.20500000000000002,[-0.0030503],0.20500000000000002,0.0,-2.8331543151141848e-08
0.21,[-0.00304484],0.21,0.0,-2.8229969490412153e-08
0.215,[-0.0030388],0.215,0.0,-2.8062886696935408e-08
0.22,[-0.00303234],0.22,-0.00019539871673667023,-2.2884658131882702e-08
0.225,[-0.00302561],0.225,0.0,-2.7649257944871034e-08
0.23,[-0.00301874],0.23,-0.00019539871673667023,-2.255700613464595e-08
0.23500000000000001,[-0.00301184],0.23500000000000001,0.0,-2.7273307726235224e-08
0.24,[-0.003005],0.24,0.0,-2.713672929606101e-08
0.245,[-0.00299831],0.245,0.0,-2.6956269632727738e-08
0.25,[-0.00299183],0.25,0.0,-2.678168449024257e-08
0.255,[-0.0029856],0.255,0.0,-2.6614774199181916e-08
0.26,[-0.00297967],0.26,0.0,-2.6456539843789322e-08
0.265,[-0.00297408],0.265,0.0,-2.630769560985049e-08
0.27,[-0.00296884],0.27,0.0,-2.6168711102833355e-08
0.275,[-0.00296396],0.275,0.0,-2.6039847238326703e-08
0.28,[-0.00295945],0.28,0.0,-2.5921187466445666e-08
0.28500000000000003,[-0.00295532],0.28500000000000003,0.0,-2.581266667126824e-08
0.29,[-0.00295156],0.29,0.0,-2.5714096918315963e-08
0.295,[-0.00294816],0.295,0.0,-2.562519037541352e-08
0.3,[-0.0029451],0.3,0.0,-2.5545579594048503e-08
0.305,[-0.00294239],0.305,0.0,-2.5474835349045557e-08
0.31,[-0.00293999],0.31,0.0,-2.541248223750021e-08
0.315,[-0.00293789],0.315,0.0,-2.5358012234581895e-08
0.32,[-0.00293607],0.32,0.0,-2.5310896396125173e-08
0.325,[-0.00293451],0.325,0.0,-2.5270594887525494e-08
0.33,[-0.0029332],0.33,0.0,-2.523656550657118e-08
0.335,[-0.0029321],0.335,0.0,-2.520827085651556e-08
0.34,[-0.00293121],0.34,0.0,-2.518518430493667e-08
0.34500000000000003,[-0.0029305],0.34500000000000003,0.0,-2.516679487801013e-08
0.35000000000000003,[-0.00292995],0.35000000000000003,0.0,-2.5152611183134388e-08
0.355,[-0.00292954],0.355,0.0,-2.514216449032329e-08
0.36,[-0.00292927],0.36,0.0,-2.5135011060435926e-08
0.365,[-0.0029291],0.365,0.0,-2.513073381892026e-08
0.37,[-0.00292903],0.37,0.0,-2.512894344891594e-08
0.375,[-0.00292905],0.375,0.0,-2.512927898519378e-08
0.38,[-0.00292913],0.38,0.0,-2.513140797794508e-08
0.385,[-0.00292927],0.385,0.0,-2.5135026285343398e-08
0.39,[-0.00292946],0.39,-0.00019539871673667023,-2.0484377230202496e-08
0.395,[-0.00292969],0.395,0.0,-2.5099097646388067e-08
0.4,[-0.00292994],0.4,0.0,-2.5151722102352593e-08
0.405,[-0.00293022],0.405,0.0,-2.5159260048467276e-08
0.41000000000000003,[-0.0029305],0.41000000000000003,0.0,-2.5166708682161292e-08
0.41500000000000004,[-0.0029308],0.41500000000000004,0.0,-2.517436702781103e-08
0.42,[-0.0029311],0.42,0.0,-2.5182107638377843e-08
0.425,[-0.0029314],0.425,0.0,-2.5189817835121497e-08
0.43,[-0.0029317],0.43,0.0,-2.519740262799327e-08
0.435,[-0.00293198],0.435,-0.00019539871673667023,-2.0541014410073908e-08
0.44,[-0.00293226],0.44,0.0,-2.516525803284724e-08
0.445,[-0.00293252],0.445,0.0,-2.5218222947480962e-08
0.45,[-0.00293277],0.45,0.0,-2.5225120633557835e-08
0.455,[-0.002933],0.455,0.0,-2.5231175414698188e-08
0.46,[-0.00293322],0.46,0.0,-2.5236820965189896e-08
0.465,[-0.00293343],0.465,0.0,-2.5242051097848358e-08
0.47000000000000003,[-0.00293361],0.47000000000000003,0.0,-2.5246862171320778e-08
0.47500000000000003,[-0.00293378],0.47500000000000003,0.0,-2.5251256492635247e-08
0.48,[-0.00293394],0.48,0.0,-2.5255241409821265e-08
0.485,[-0.00293407],0.485,0.0,-2.5258828441447654e-08
0.49,[-0.0029342],0.49,-0.00019539871673667023,-2.0590969079085156e-08
0.495,[-0.00293431],0.495,0.0,-2.521816047160375e-08
0.5,[-0.0029344],0.5,0.0,-2.5266896787263434e-08
0.505,[-0.00293449],0.505,0.0,-2.5269527230836372e-08
0.51,[-0.00293456],0.51,0.0,-2.5271397099418873e-08
0.515,[-0.00293462],0.515,-0.00019539871673667023,-2.0600525243344235e-08
0.52,[-0.00293467],0.52,0.0,-2.522758510586088e-08
0.525,[-0.00293472],0.525,0.0,-2.527493494932218e-08
0.53,[-0.00293475],0.53,0.0,-2.5276277162977358e-08
0.535,[-0.00293478],0.535,0.0,-2.5276970003565194e-08
0.54,[-0.0029348],0.54,-0.00019539871673667023,-2.0604457740273153e-08
0.545,[-0.00293481],0.545,0.0,-2.5231123436681747e-08
0.55,[-0.00293482],0.55,0.0,-2.5277620137632204e-08
0.555,[-0.00293482],0.555,0.0,-2.5278201343681624e-08
0.56,[-0.00293482],0.56,0.0,-2.527822564947793e-08
0.5650000000000001,[-0.00293482],0.5650000000000001,0.0,-2.5278161488690274e-08
0.5700000000000001,[-0.00293482],0.5700000000000001,0.0,-2.527802717595241e-08
0.5750000000000001,[-0.00293481],0.5750000000000001,0.0,-2.5277835318442397e-08
0.58,[-0.0029348],0.58,0.0,-2.527759728510298e-08
0.585,[-0.00293479],0.585,0.0,-2.5277323287899622e-08
0.59,[-0.00293478],0.59,-0.00019539871673667023,-2.060405302244523e-08
0.595,[-0.00293476],0.595,0.0,-2.5229973057213852e-08
0.6,[-0.00293475],0.6,0.0,-2.527590400612534e-08
0.605,[-0.00293474],0.605,0.0,-2.527602952210467e-08
0.61,[-0.00293473],0.61,-0.00019539871673667023,-2.0602896220278593e-08
0.615,[-0.00293471],0.615,0.0,-2.5228635156280993e-08
0.62,[-0.0029347],0.62,0.0,-2.5274570092253894e-08
0.625,[-0.00293469],0.625,0.0,-2.5274717659389932e-08
0.63,[-0.00293468],0.63,0.0,-2.5274420415937845e-08
0.635,[-0.00293467],0.635,0.0,-2.5274133640918323e-08
0.64,[-0.00293466],0.64,-0.00019539871673667023,-2.060129643078899e-08
0.645,[-0.00293465],0.645,0.0,-2.5226884618595243e-08
0.65,[-0.00293464],0.65,0.0,-2.5272908052217564e-08
0.655,[-0.00293463],0.655,-0.00019539871673667023,-2.0600676828686862e-08
0.66,[-0.00293462],0.66,-0.00019539871673667023,-2.055378348912681e-08
0.665,[-0.00293461],0.665,0.0,-2.522558790200426e-08
0.67,[-0.00293461],0.67,-0.00019539871673667023,-2.059973674628568e-08
0.675,[-0.0029346],0.675,0.0,-2.5225742036610307e-08
0.68,[-0.0029346],0.68,0.0,-2.5271873848825503e-08
0.685,[-0.00293459],0.685,0.0,-2.5272222172695163e-08
0.6900000000000001,[-0.00293459],0.6900000000000001,0.0,-2.5272127018463042e-08
0.6950000000000001,[-0.00293458],0.6950000000000001,0.0,-2.5272040847925977e-08
0.7000000000000001,[-0.00293458],0.7000000000000001,0.0,-2.5271967218409205e-08
0.705,[-0.00293458],0.705,0.0,-2.5271905186210554e-08
0.71,[-0.00293458],0.71,0.0,-2.527185376516962e-08
0.715,[-0.00293458],0.715,0.0,-2.5271811983511454e-08
0.72,[-0.00293457],0.72,0.0,-2.527177889458914e-08
0.725,[-0.00293457],0.725,0.0,-2.5271753585271087e-08
0.73,[-0.00293457],0.73,0.0,-2.5271735182596058e-08
0.735,[-0.00293457],0.735,0.0,-2.527172285888051e-08
0.74,[-0.00293457],0.74,0.0,-2.527171583545115e-08
0.745,[-0.00293457],0.745,0.0,-2.5271713385166548e-08
0.75,[-0.00293457],0.75,0.0,-2.5271714833882117e-08
0.755,[-0.00293457],0.755,0.0,-2.527171956100241e-08
0.76,[-0.00293457],0.76,0.0,-2.5271726999254712e-08
0.765,[-0.00293457],0.765,0.0,-2.5271736633806764e-08
0.77,[-0.00293457],0.77,0.0,-2.5271748000841453e-08
0.775,[-0.00293457],0.775,0.0,-2.5271760685690716e-08
0.78,[-0.00293457],0.78,0.0,-2.5271774320620817e-08
0.785,[-0.00293457],0.785,0.0,-2.5271788582351508e-08
0.79,[-0.00293458],0.79,0.0,-2.527180318938228e-08
0.795,[-0.00293458],0.795,0.0,-2.527181789919016e-08
0.8,[-0.00293458],0.8,0.0,-2.527183250535502e-08
0.805,[-0.00293458],0.805,0.0,-2.5271846834661105e-08
0.81,[-0.00293458],0.81,0.0,-2.5271860744215606e-08
0.8150000000000001,[-0.00293458],0.8150000000000001,0.0,-2.5271874118619343e-08
0.8200000000000001,[-0.00293458],0.8200000000000001,0.0,-2.5271886867217984e-08
0.8250000000000001,[-0.00293458],0.8250000000000001,0.0,-2.5271898921456902e-08
0.8300000000000001,[-0.00293458],0.8300000000000001,0.0,-2.5271910232358138e-08
0.835,[-0.00293458],0.835,0.0,-2.5271920768133126e-08
0.84,[-0.00293458],0.84,0.0,-2.527193051194127e-08
0.845,[-0.00293458],0.845,0.0,-2.527193945980085e-08
0.85,[-0.00293458],0.85,0.0,-2.5271947618655735e-08
0.855,[-0.00293458],0.855,0.0,-2.5271955004599073e-08
0.86,[-0.00293458],0.86,0.0,-2.5271961641252596e-08
0.865,[-0.00293458],0.865,0.0,-2.5271967558298542e-08
0.87,[-0.00293458],0.87,0.0,-2.5271972790159625e-08
0.875,[-0.00293458],0.875,0.0,-2.5271977374821465e-08
0.88,[-0.00293458],0.88,0.0,-2.5271981352790516e-08
