t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00036729],0.0,-0.07366531620972468,4.960935700415464
0.005,[0.0017747],0.005,-0.07366531620972468,2.2776361663208586
0.01,[0.00441005],0.01,-0.07151593032562131,1.0397722513521812
0.015,[0.00804894],0.015,-0.06878034829130793,0.48504072201290144
0.02,[0.01248876],0.02,-0.06584936754025787,0.23058842858217157
0.025,[0.01754764],0.025,-0.06272298807247115,0.1100771425778306
0.03,[0.02306333],0.03,-0.05822881758752774,0.05113809402309509
0.035,[0.02889246],0.035,-0.05471164068626767,0.023856822021400645
0.04,[0.03491002],0.04,-0.0511944637850076,0.010986294193819619
0.045,[0.04100798],0.045,-0.04767728688374754,0.004733608514700798
0.05,[0.04709367],0.05,-0.044550907415960815,0.0021237579092526528
0.055,[0.05308902],0.055,-0.0420107240983841,0.0012094089301143546
0.06,[0.05892934],0.06,-0.038493547197124035,0.0009445143580464514
0.065,[0.0645618],0.065,-0.035757965162810657,0.0010289641041383065
0.07,[0.06994441],0.07,-0.0328269844117606,0.0012220964200635052
0.075,[0.07504475],0.075,-0.02989600366071055,0.0014012863810738642
0.08,[0.07983895],0.08,-0.026965022909660494,0.001568826490690791
0.085,[0.08431096],0.085,-0.02501103574229379,0.0016757376317105806
0.09,[0.08845163],0.09,-0.02305704857492709,0.0017870422410915555
0.095,[0.09225753],0.095,-0.021493858841033726,0.001890133487755597
0.1,[0.09573008],0.1,-0.020321466540613703,0.001950274049920118
0.105,[0.09887495],0.105,-0.018953675523457014,0.00202645804672693
0.11,[0.10170118],0.11,-0.01739048578956365,0.0020375073551886095
0.115,[0.10422054],0.115,-0.01621809348914363,0.0020877047812178006
0.12,[0.10644671],0.12,-0.014654903755250269,0.002130321527390581
0.125,[0.10839477],0.125,-0.013287112738093578,0.0021215106662581997
0.13,[0.11008109],0.13,-0.012310119154410226,0.002141673502788918
0.135,[0.11152308],0.135,-0.011528524287463544,0.002100907266989843
0.14,[0.11273884],0.14,-0.010942328137253534,0.0021067606994575735
0.145,[0.1137465],0.145,-0.010356131987043523,0.002123719443653773
0.15,[0.11456398],0.15,-0.009965334553570182,0.002089934029018742
0.155,[0.11520926],0.155,-0.009574537120096843,0.0020650024070298285
0.16,[0.11569994],0.16,-0.009183739686623501,0.0020613902491529554
0.165,[0.1160525],0.165,-0.009183739686623501,0.00208273993675914
0.17,[0.11628241],0.17,-0.009183739686623501,0.0020741764597623394
0.17500000000000002,[0.11640461],0.17500000000000002,-0.009183739686623501,0.0020505367022599463
0.18,[0.11643328],0.18,-0.009183739686623501,0.002054330142084233
0.185,[0.1163815],0.185,-0.009574537120096843,0.002044609104441782
0.19,[0.11626153],0.19,-0.009574537120096843,0.0020335472356344786
0.195,[0.11608444],0.195,-0.009574537120096843,0.0020301685294159028
0.2,[0.11586012],0.2,-0.009574537120096843,0.0020124473891281777
0.20500000000000002,[0.1155977],0.20500000000000002,-0.009574537120096843,0.0019961386826958323
0.21,[0.11530548],0.21,-0.009574537120096843,0.001980477160048534
0.215,[0.11499089],0.215,-0.009574537120096843,0.0019646511786525077
0.22,[0.1146605],0.22,-0.009574537120096843,0.001947631783619954
0.225,[0.11432021],0.225,-0.009574537120096843,0.0019240173894741553
0.23,[0.11397526],0.23,-0.009769935836833513,0.0019182433397106709
0.23500000000000001,[0.11363002],0.23500000000000001,-0.009574537120096843,0.001894923466669657
0.24,[0.11328808],0.24,-0.009574537120096843,0.0018802442742001902
0.245,[0.11295241],0.245,-0.009769935836833513,0.0018742144429893162
0.25,[0.11262546],0.25,-0.009769935836833513,0.0018592767576118428
0.255,[0.11230923],0.255,-0.009769935836833513,0.0018451556193225542
0.26,[0.11200524],0.26,-0.009769935836833513,0.0018315693967043026
0.265,[0.11171462],0.265,-0.009769935836833513,0.0018187033792033797
0.27,[0.11143817],0.27,-0.009769935836833513,0.0018069336367874697
0.275,[0.11117622],0.275,-0.009769935836833513,0.001802691381146537
0.28,[0.11092879],0.28,-0.009769935836833513,0.0017887027374610374
0.28500000000000003,[0.11069597],0.28500000000000003,-0.009769935836833513,0.0017701293991433035
0.29,[0.11047784],0.29,-0.009965334553570182,0.0017695601297610846
0.295,[0.11027429],0.295,-0.009965334553570182,0.001755719118945752
0.3,[0.11008502],0.3,-0.009965334553570182,0.0017495046366552169
0.305,[0.1099095],0.305,-0.009965334553570182,0.0017431739617665407
0.31,[0.109747],0.31,-0.009965334553570182,0.0017368087880880341
0.315,[0.10959684],0.315,-0.009965334553570182,0.0017257095791495354
0.32,[0.1094584],0.32,-0.009965334553570182,0.0017213627183013211
0.325,[0.1093309],0.325,-0.009965334553570182,0.0017172302465261484
0.33,[0.10921332],0.33,-0.009965334553570182,0.0017206130367647939
0.335,[0.10910453],0.335,-0.010160733270306851,0.0017225093090939808
0.34,[0.10900361],0.34,-0.010160733270306851,0.0017171093139050067
0.34500000000000003,[0.10890977],0.34500000000000003,-0.010160733270306851,0.0017130404198223762
0.35000000000000003,[0.10882238],0.35000000000000003,-0.010160733270306851,0.001702127991825535
0.355,[0.10874092],0.355,-0.010160733270306851,0.0017007781669940271
0.36,[0.10866467],0.36,-0.010160733270306851,0.0017042858780705276
0.365,[0.10859282],0.365,-0.010160733270306851,0.001693879076061066
0.37,[0.10852479],0.37,-0.010160733270306851,0.0016975748492369738
0.375,[0.10845991],0.375,-0.010160733270306851,0.001693793380773296
0.38,[0.10839769],0.38,-0.010160733270306851,0.0016850384937755003
0.385,[0.10833786],0.385,-0.010356131987043523,0.0016914743531738904
0.39,[0.10828008],0.39,-0.010356131987043523,0.0016896141612457317
0.395,[0.10822396],0.395,-0.010356131987043523,0.0016874218114511792
0.4,[0.10816905],0.4,-0.010356131987043523,0.0016905142937280334
0.405,[0.10811486],0.405,-0.010356131987043523,0.0016868754333465071
0.41000000000000003,[0.10806108],0.41000000000000003,-0.010356131987043523,0.0016828069191418334
0.41500000000000004,[0.10800765],0.41500000000000004,-0.010356131987043523,0.0016748147701249837
0.42,[0.10795442],0.42,-0.010356131987043523,0.0016836057004569257
0.425,[0.10790109],0.425,-0.010356131987043523,0.0016725401237423921
0.43,[0.10784755],0.43,-0.010356131987043523,0.0016745997873363373
0.435,[0.10779377],0.435,-0.010356131987043523,0.0016658216895298508
0.44,[0.10773977],0.44,-0.010356131987043523,0.0016681289143047253
0.445,[0.10768555],0.445,-0.010356131987043523,0.0016596614306932456
0.45,[0.10763123],0.45,-0.010356131987043523,0.0016574215940576525
0.455,[0.10757693],0.455,-0.010551530703780192,0.0016630228716728258
0.46,[0.10752259],0.46,-0.010551530703780192,0.001664816492542179
0.465,[0.10746808],0.465,-0.010551530703780192,0.0016613891511513496
0.47000000000000003,[0.10741336],0.47000000000000003,-0.010551530703780192,0.001658053341212746
0.47500000000000003,[0.10735859],0.47500000000000003,-0.010551530703780192,0.0016511451681463366
0.48,[0.10730392],0.48,-0.010551530703780192,0.0016532057995133462
0.485,[0.1072493],0.485,-0.010551530703780192,0.0016496534920169613
0.49,[0.10719472],0.49,-0.010746929420516863,0.0016548279525606911
0.495,[0.10714026],0.495,-0.010551530703780192,0.001644082314384857
0.5,[0.10708596],0.5,-0.010551530703780192,0.0016415914868385625
0.505,[0.10703177],0.505,-0.010551530703780192,0.0016435001010402957
0.51,[0.10697762],0.51,-0.010746929420516863,0.0016444317542727916
0.515,[0.10692371],0.515,-0.010746929420516863,0.0016391110457123314
0.52,[0.10687022],0.52,-0.010746929420516863,0.001640900189940501
0.525,[0.10681709],0.525,-0.010746929420516863,0.001638281482630507
0.53,[0.10676421],0.53,-0.010746929420516863,0.001636447461637413
0.535,[0.10671166],0.535,-0.010746929420516863,0.0016306230119194295
0.54,[0.10665952],0.54,-0.010746929420516863,0.0016329747835553752
0.545,[0.10660766],0.545,-0.010746929420516863,0.001630168617786026
0.55,[0.10655599],0.55,-0.010942328137253534,0.0016360091282493587
0.555,[0.10650457],0.555,-0.010942328137253534,0.0016305990226076759
0.56,[0.10645347],0.56,-0.010942328137253534,0.0016323822360358796
0.5650000000000001,[0.10640267],0.5650000000000001,-0.010942328137253534,0.0016266811119642467
0.5700000000000001,[0.10635212],0.5700000000000001,-0.010942328137253534,0.0016286209276700232
0.5750000000000001,[0.10630172],0.5750000000000001,-0.010942328137253534,0.0016260751280126056
0.58,[0.10625137],0.58,-0.011137726853990204,0.001631784493899298
0.585,[0.10620099],0.585,-0.010942328137253534,0.00162481536832759
0.59,[0.10615042],0.59,-0.011137726853990204,0.0016296673830522902
0.595,[0.10609963],0.595,-0.011137726853990204,0.0016268112390444606
0.6,[0.10604866],0.6,-0.011137726853990204,0.0016233758178847292
0.605,[0.10599759],0.605,-0.011137726853990204,0.0016207107424817885
0.61,[0.10594649],0.61,-0.011137726853990204,0.0016180469626009698
0.615,[0.10589542],0.615,-0.011137726853990204,0.0016156787735809137
0.62,[0.10584442],0.62,-0.011137726853990204,0.0016129411073920442
0.625,[0.10579356],0.625,-0.011137726853990204,0.0016109773178678063
0.63,[0.10574287],0.63,-0.011137726853990204,0.0016086345733500036
0.635,[0.10569247],0.635,-0.011137726853990204,0.0016031975051323257
0.64,[0.1056425],0.64,-0.011137726853990204,0.0016043189255475665
0.645,[0.10559289],0.645,-0.011333125570726873,0.0016098845226064273
0.65,[0.10554368],0.65,-0.011333125570726873,0.0016052798853268225
0.655,[0.10549502],0.655,-0.011333125570726873,0.0016034117370252734
0.66,[0.10544697],0.66,-0.011333125570726873,0.0016019071724462668
0.665,[0.10539953],0.665,-0.011333125570726873,0.0016002646068387276
0.67,[0.10535259],0.67,-0.011333125570726873,0.0016001788079664655
0.675,[0.10530612],0.675,-0.011333125570726873,0.0015956559578829993
0.68,[0.10526018],0.68,-0.011333125570726873,0.001593514580134964
0.685,[0.10521484],0.685,-0.011333125570726873,0.0015918311482157298
0.6900000000000001,[0.1051701],0.6900000000000001,-0.011528524287463544,0.0015980129040111485
0.6950000000000001,[0.10512592],0.6950000000000001,-0.011528524287463544,0.0015963918801265194
0.7000000000000001,[0.10508226],0.7000000000000001,-0.011528524287463544,0.00159475355246295
0.705,[0.1050391],0.705,-0.011528524287463544,0.001592705403014232
0.71,[0.10499648],0.71,-0.011528524287463544,0.001589131821390288
0.715,[0.10495441],0.715,-0.011528524287463544,0.0015901160002161296
0.72,[0.10491279],0.72,-0.011528524287463544,0.0015879884265660412
0.725,[0.1048715],0.725,-0.011723923004200214,0.0015940395428810283
0.73,[0.10483056],0.73,-0.011528524287463544,0.0015840858974585361
0.735,[0.10478994],0.735,-0.011723923004200214,0.0015904997878570342
0.74,[0.10474957],0.74,-0.011723923004200214,0.0015907167218482342
0.745,[0.10470931],0.745,-0.011723923004200214,0.0015883850736090155
0.75,[0.10466911],0.75,-0.011723923004200214,0.0015864552095879892
0.755,[0.10462899],0.755,-0.011723923004200214,0.0015841421397859675
0.76,[0.10458898],0.76,-0.011723923004200214,0.0015821687119048917
0.765,[0.10454911],0.765,-0.011723923004200214,0.0015804876759410748
0.77,[0.10450939],0.77,-0.011723923004200214,0.0015787426189618548
0.775,[0.10446982],0.775,-0.011723923004200214,0.0015768087576293363
0.78,[0.10443043],0.78,-0.011723923004200214,0.0015753444448179709
0.785,[0.10439116],0.785,-0.011723923004200214,0.001575539042647418
0.79,[0.10435189],0.79,-0.011919321720936885,0.0015815260031637065
0.795,[0.10431258],0.795,-0.011723923004200214,0.0015713639016511247
0.8,[0.10427322],0.8,-0.011919321720936885,0.0015794501158618163
0.805,[0.10423377],0.805,-0.011919321720936885,0.0015750301557871853
0.81,[0.10419435],0.81,-0.011919321720936885,0.0015735741655181052
0.8150000000000001,[0.10415496],0.8150000000000001,-0.011919321720936885,0.0015739153433021974
0.8200000000000001,[0.10411552],0.8200000000000001,-0.011919321720936885,0.0015715543695788235
0.8250000000000001,[0.10407607],0.8250000000000001,-0.011919321720936885,0.0015679065126278941
0.8300000000000001,[0.10403668],0.8300000000000001,-0.011919321720936885,0.001568694168330474
0.835,[0.10399729],0.835,-0.011919321720936885,0.0015667556705308303
0.84,[0.10395786],0.84,-0.011919321720936885,0.0015647156255762787
0.845,[0.10391847],0.845,-0.011919321720936885,0.0015614552417603646
0.85,[0.10387923],0.85,-0.011919321720936885,0.0015602099849729878
0.855,[0.1038402],0.855,-0.011919321720936885,0.0015588092905864418
0.86,[0.10380134],0.86,-0.011919321720936885,0.00155800853382183
0.865,[0.1037626],0.865,-0.012114720437673556,0.0015639787709598185
0.87,[0.10372398],0.87,-0.012114720437673556,0.0015627052934541715
0.875,[0.10368539],0.875,-0.012114720437673556,0.001563459161428654
0.88,[0.10364669],0.88,-0.012114720437673556,0.0015612908965808572
0.885,[0.10360782],0.885,-0.012310119154410226,0.0015673813871966257
0.89,[0.10356878],0.89,-0.012114720437673556,0.001557797257966169
0.895,[0.10352959],0.895,-0.012114720437673556,0.0015560032725494915
0.9,[0.10349025],0.9,-0.012310119154410226,0.0015620500759995887
0.905,[0.10345077],0.905,-0.012310119154410226,0.0015606601508036284
0.91,[0.10341116],0.91,-0.012310119154410226,0.001558731153972582
0.915,[0.10337138],0.915,-0.012310119154410226,0.001559552473171567
0.92,[0.10333125],0.92,-0.012310119154410226,0.0015596437068824097
