t_qd,qd_rad,t_q,q_rad,tau
0.0,0.0010975559449845976,0.0,-0.0767916956775114,0.38944740827231195
0.005,0.005303178555968317,0.005,-0.0767916956775114,0.4104764414550962
0.01,0.013175454643614828,0.01,-0.07659629696077475,0.44886041425210593
0.015,0.024038970039080405,0.015,-0.0762054995273014,0.5012236728160354
0.02,0.037284966530809795,0.02,-0.07522850594361805,0.5625661220397764
0.025,0.052367280172653026,0.025,-0.07386071492646136,0.6311309321108578
0.03,0.06879884483269935,0.03,-0.07190672775909465,0.7035045260135507
0.035,0.08615071675647855,0.035,-0.06917114572478127,0.7765641891738277
0.04,0.10404865036562361,0.04,-0.06663096240720455,0.853326310323372
0.045,0.12217013026093201,0.045,-0.06291838678920783,0.9253357255453084
0.05,0.14024115878549095,0.05,-0.059987406038157755,1.0009952277230032
0.055,0.1580309143550358,0.055,-0.054907039403004336,1.064487730006273
0.06,0.17534625821488253,0.06,-0.050803666351534264,1.130492528538886
0.065,0.19203024642493205,0.065,-0.046895692016800855,1.1943136014302347
0.07,0.2079598023031084,0.07,-0.0420107240983841,1.2494743919630313
0.075,0.22304082542385648,0.075,-0.0381027497636507,1.3052807152016475
0.08,0.23720539203564217,0.08,-0.03458557286239063,1.35846477640195
0.085,0.2504081335141874,0.085,-0.03126379467786724,1.4078226823508706
0.09,0.26262325438168294,0.09,-0.028332813926817187,1.4542035541964833
0.095,0.27384232399577507,0.095,-0.02462023830882045,1.4917018608680044
0.1,0.28407081707131826,0.1,-0.020907662690823715,1.5242529673487402
0.105,0.29332591435547395,0.105,-0.01680428963935364,1.549987653706739
0.11,0.30163493164147376,0.11,-0.012700916587883566,1.570996727035044
0.115,0.30903340557168757,0.115,-0.008988340969886831,1.5894109003206547
0.12,0.3155636593143485,0.12,-0.005275765351890096,1.6034870363235958
0.125,0.32127317799830996,0.125,-0.0015631897338933619,1.6134619479571155
0.13,0.32621228933813345,0.13,0.0029309807510500534,1.615678809274473
0.135,0.3304331167213334,0.135,0.006838955085783458,1.6172368001511712
0.14,0.3339895211449086,0.14,0.010942328137253534,1.614496937519189
0.145,0.33693612156449726,0.145,0.015045701188723608,1.608707908605944
0.15,0.339327187160351,0.15,0.019930669107140364,1.5962342643900584
0.155,0.34121598154541255,0.155,0.02383864344187377,1.586135058559243
0.16,0.34265422508512267,0.16,0.027746617776607176,1.5737837597181614
0.165,0.34369168124337685,0.165,0.031849990828077254,1.5584520593593099
0.17,0.34437582826766416,0.17,0.035757965162810657,1.5423312300928618
0.17500000000000002,0.3447515841297318,0.17500000000000002,0.040056736931017405,1.5227147963907919
0.18,0.3448610690617368,0.18,0.04591869843311751,1.4939513302032172
0.185,0.34474354059552254,0.185,0.04963127405111425,1.474799943112483
0.19,0.3444354035106115,0.19,0.05314845095237431,1.4556726798458839
0.195,0.34397009768524883,0.195,0.05705642528710771,1.4338057243768088
0.2,0.34337814146615936,0.2,0.06194139320552447,1.4064206599544018
0.20500000000000002,0.34268731023695004,0.20500000000000002,0.06663096240720455,1.379518302812054
0.21,0.3419224996222907,0.21,0.07053893674193797,1.3561540940747696
0.215,0.34110577393719754,0.215,0.07522850594361805,1.3286223924486469
0.22,0.3402566071441092,0.22,0.07952727771182479,1.3028825178883665
0.225,0.3393918696132523,0.225,0.08363065076329486,1.2780418195736873
0.23,0.3385261579674701,0.23,0.08773402381476494,1.2531951296051587
0.23500000000000001,0.33767205405189904,0.23500000000000001,0.09144659943276168,1.2303607187515058
0.24,0.336840139932162,0.24,0.09476837761728506,1.2095925968413845
0.245,0.33603939340653144,0.245,0.0996533455357018,1.1811631461502607
0.25,0.33527711336076066,0.25,0.10356131987043524,1.15781117147103
0.255,0.3345588710586991,0.255,0.10786009163864198,1.1327255388983208
0.26,0.33388933740731247,0.26,0.11313585699053208,1.1029997442646746
0.265,0.3332721363424026,0.265,0.11802082490894884,1.075489459654232
0.27,0.3327092881092145,0.27,0.12153800181020889,1.0550886320671111
0.275,0.33220137947386685,0.275,0.12466438127799562,1.0369166300195354
0.28,0.3317482437605132,0.28,0.1301355453466224,1.007295832043942
0.28500000000000003,0.33134956324830006,0.28500000000000003,0.13482511454830248,0.981855144221923
0.29,0.33100412252849526,0.29,0.1379514940160892,0.9644953417220913
0.295,0.33070972151696904,0.295,0.14107787348387593,0.947390878076027
0.3,0.3304638711564784,0.3,0.144008854234926,0.931507423678556
0.305,0.3302638638950741,0.305,0.14772142985292272,0.9119450702097368
0.31,0.33010711987882385,0.31,0.15202020162112945,0.8896679400300006
0.315,0.32999121629741285,0.315,0.15573277723912618,0.870525903027001
0.32,0.32991363064998397,0.32,0.15983615029059628,0.8496213967277372
0.325,0.3298718040601564,0.325,0.1627671310416463,0.8347575897795344
0.33,0.32986352750378295,0.33,0.16843369382700976,0.8063835768757978
0.335,0.329886940939793,0.335,0.1725370668784798,0.7859827756826241
0.34,0.32993952523374914,0.34,0.17605424377973988,0.7686590101534055
0.34500000000000003,0.33001822957653454,0.34500000000000003,0.17937602196426328,0.7524429989505566
0.35000000000000003,0.3301206130729543,0.35000000000000003,0.18289319886552335,0.7353696684908597
0.355,0.3302448100162265,0.355,0.18680117320025674,0.7164512907851575
0.36,0.3303891525562747,0.36,0.1909045462517268,0.6966565456293313
0.365,0.33055169886598906,0.365,0.1942263244362502,0.6808607121763123
0.37,0.33072979425335725,0.37,0.1975481026207736,0.6651425589273574
0.375,0.33092111937863905,0.375,0.20086988080529702,0.6494905022206061
0.38,0.3311246379622777,0.38,0.2043870577065571,0.6329223775040645
0.385,0.3313400027343092,0.385,0.20829503204129046,0.6144594631878076
0.39,0.33156700496623676,0.39,0.21220300637602388,0.5960558596314123
0.395,0.331805538031189,0.395,0.2161109807107573,0.5777096588486137
0.4,0.33205557819946174,0.4,0.22040975247896405,0.5574668053018293
0.405,0.3323171887514369,0.405,0.22470852424717075,0.5372816427829802
0.41000000000000003,0.3325904966547389,0.41000000000000003,0.2280303024316942,0.5220398062267197
0.41500000000000004,0.3328756509754539,0.41500000000000004,0.23213367548316424,0.502949124452822
0.42,0.3331720776301462,0.42,0.23526005495095098,0.4887996898912519
0.425,0.33347933217298703,0.425,0.23936342800242105,0.46981936095122717
0.43,0.3337977555701203,0.43,0.24327140233715447,0.4518718171457238
0.435,0.33412763393247225,0.435,0.24776557282209788,0.4310505252387642
0.44,0.33446920231132893,0.44,0.2510873510066213,0.41614961117522886
0.445,0.33482181812982065,0.445,0.25499532534135466,0.39837292656585915
0.45,0.3351849211280803,0.45,0.2598802932597714,0.37576368834254453
0.455,0.3355588002509962,0.455,0.26359286887776817,0.35907027496911703
0.46,0.3359436561839287,0.46,0.2678916406459749,0.339500751074327
0.465,0.3363404744737468,0.465,0.2723858111309183,0.3190140343239658
0.47000000000000003,0.33675090068736463,0.47000000000000003,0.27687998161586175,0.29859534834754975
0.47500000000000003,0.3371754032531053,0.47500000000000003,0.2811787533840685,0.279224030639389
0.48,0.33761343383939696,0.48,0.2846959302853286,0.2638283217078826
0.485,0.3380644334214467,0.485,0.2887993033367986,0.24556647247544985
0.49,0.3385269292728728,0.49,0.29251187895479536,0.22931608813433144
0.495,0.3389986914103468,0.495,0.29622445457279206,0.21311088216527363
0.5,0.33947967275289503,0.5,0.3005232263409988,0.19402216934365787
0.505,0.33997073811186884,0.505,0.3044312006757322,0.17693781591020133
0.51,0.34047068657617235,0.51,0.3089253711606756,0.15696685896327509
0.515,0.3409784938881461,0.515,0.31244254806193567,0.14191898338202993
0.52,0.3414942586046335,0.52,0.3165459211134058,0.12398011959926547
0.525,0.34201807835203224,0.525,0.3208446928816125,0.105104701808945
0.53,0.3425490192457152,0.53,0.3237756736326626,0.09310397637308476
0.535,0.34308631454251354,0.535,0.32885604026781606,0.07038819876208949
