t_qd,qd_rad,t_q,q_rad,tau
0.0,0.0012440360837024048,0.0,-0.0767916956775114,0.390182109285565
0.005,0.0059956270180705346,0.005,-0.0767916956775114,0.41394282434100244
0.01,0.014847003478190398,0.01,-0.07659629696077475,0.45722377120496394
0.015,0.026986637770951383,0.015,-0.07640089824403806,0.5169446454428898
0.02,0.04168725183474186,0.02,-0.07581470209382805,0.5875153419372036
0.025,0.05830214268797941,0.025,-0.07503310722688138,0.6666784070901232
0.03,0.07626107507812603,0.03,-0.07405611364319802,0.7515819188201157
0.035,0.0950728920911421,0.035,-0.07268832262604133,0.8387902019985615
0.04,0.11431259326815237,0.04,-0.07034353802520128,0.9232461061600759
0.045,0.1336092126367602,0.045,-0.06819415214109792,1.008955829008809
0.05,0.15265619133692515,0.05,-0.06526317139004786,1.0895020113371998
0.055,0.17119246838550695,0.055,-0.060769000905104446,1.1596682458241652
0.06,0.188992068647183,0.06,-0.05744722272058106,1.232005815307299
0.065,0.20588135283599257,0.065,-0.05353924838584765,1.296856179777761
0.07,0.221727076541526,0.07,-0.049045077900904226,1.3535551961227914
0.075,0.2364311736250055,0.075,-0.04513710356617083,1.4074761583020343
0.08,0.24993835188065885,0.08,-0.04122912923143742,1.4554129550567243
0.085,0.2622183485837286,0.085,-0.03771195233017736,1.4991727748268528
0.09,0.2732564967203321,0.09,-0.03458557286239063,1.5386847443003044
0.095,0.2830627757947854,0.095,-0.031459193394603915,1.5720444429174678
0.1,0.29166774283357705,0.1,-0.027746617776607176,1.596472260168843
0.105,0.2991132953796273,0.105,-0.02442483959208378,1.6170626699345656
0.11,0.3054503817484459,0.11,-0.020321466540613703,1.6282084668877788
0.115,0.31073189205680807,0.115,-0.0164134922058803,1.6350579310490991
0.12,0.31500689174533597,0.12,-0.012700916587883566,1.6378554788362965
0.125,0.31833075770063624,0.125,-0.009769935836833513,1.6398082468051802
0.13,0.32077325013720503,0.13,-0.006448157652310118,1.635402491623514
0.135,0.32240563457109966,0.135,-0.0035171769012600643,1.6289020488842219
0.14,0.32329915052314695,0.14,0.0,1.6157789253751778
0.145,0.32352885369865414,0.145,0.0037125756179967346,1.5983607081523463
0.15,0.323162925015164,0.15,0.0072297525192568,1.5789420962202882
0.155,0.32226296665185095,0.155,0.011528524287463544,1.5529448281962115
0.16,0.3208888415354647,0.16,0.014850302471986938,1.5294624177984812
0.165,0.31910219670596485,0.165,0.017781283223036994,1.5058731249410175
0.17,0.3169652739907278,0.17,0.02129846012429706,1.4776016948947615
0.17500000000000002,0.31453571607340197,0.17500000000000002,0.02501103574229379,1.4468902816471316
0.18,0.31186644637103594,0.18,0.02911440879376387,1.4130264714211376
0.185,0.30899819449281957,0.185,0.03321778184523394,1.3781678696072546
0.19,0.30596111707494333,0.19,0.03732115489670401,1.3424652355281625
0.195,0.3027910956992874,0.195,0.04044753436449074,1.310982925925061
0.2,0.29952813822290253,0.2,0.04357391383227746,1.2790359968954923
0.20500000000000002,0.2962042032775944,0.20500000000000002,0.04748188816701086,1.2428762550483157
