t_qd,qd_rad,t_q,q_rad,tau
0.0,0.007513620520619653,0.0,-0.040056736931017405,0.2378517872581853
0.005,0.03631121176821123,0.005,-0.040056736931017405,0.3818397434961432
0.01,0.09024853971370587,0.01,-0.03986133821428073,0.650549389639933
0.015,0.16474693199588103,0.015,-0.03966593949754405,1.0220643574671253
0.02,0.25566811972135733,0.02,-0.038884344630597374,1.4727600214401093
0.025,0.35929985564294126,0.025,-0.03751655361344069,1.9840744552270186
0.03,0.47233816929188155,0.03,-0.03536716772933732,2.5385079605040297
0.035,0.5918673176691518,0.035,-0.03106839596113057,3.11463483447396
0.04,0.7153376376879662,0.04,-0.027160421626397167,3.712415054035736
0.045,0.840542066351046,0.045,-0.023447846008400428,4.3198307096169355
0.05,0.9655917573960779,0.05,-0.020126067823877037,4.928416983646794
0.055,1.0888911709869824,0.055,-0.0164134922058803,5.526290138735873
0.06,1.2091137431371142,0.06,-0.012310119154410226,6.106820054011334
0.065,1.3251777335883126,0.065,-0.008988340969886831,6.670463299092615
0.07,1.4362221653038818,0.07,-0.005275765351890096,7.207061425619811
0.075,1.5415839839498424,0.075,-0.0015631897338933619,7.715250666472273
0.08,1.6407762098290681,0.08,0.0015631897338933619,8.195530868620086
0.085,1.7334668762252647,0.085,0.004689569201680086,8.643310779014966
0.09,1.8194592801014182,0.09,0.008011347386203481,9.056628387755715
0.095,1.8986739621046036,0.095,0.011919321720936885,9.433133510324058
0.1,1.9711317469155762,0.1,0.014850302471986938,9.780743647844702
0.105,2.036937683004155,0.105,0.018172080656510332,10.093145331141805
0.11,2.09626678647256,0.11,0.021493858841033726,10.1
0.115,2.1493509716846666,0.115,0.02501103574229379,10.1
0.12,2.1964671532570144,0.12,0.029700604943973877,10.1
0.125,2.2379269320874795,0.125,0.034390174145653964,10.1
0.13,2.2740672240673896,0.13,0.03751655361344069,10.1
0.135,2.3052417564076197,0.135,0.040642933081227406,10.1
0.14,2.33181375759928,0.14,0.04376931254901414,10.1
0.145,2.354150016308268,0.145,0.04709109073353753,10.1
0.15,2.3726159509445464,0.15,0.05197605865195429,10.1
0.155,2.387570966161808,0.155,0.05627483042016103,10.1
0.16,2.399364222568735,0.16,0.0597920073214211,10.1
0.165,2.4083318445709656,0.165,0.06467697523983784,10.1
0.17,2.4147948114631648,0.17,0.06799875342436125,10.1
0.17500000000000002,2.4190568783816095,0.17500000000000002,0.07151593032562131,10.1
0.18,2.4214034536203375,0.18,0.07522850594361805,10.1
0.185,2.422100978024029,0.185,0.08011347386203481,10.1
0.19,2.421396277574356,0.19,0.08558463793066157,10.1
0.195,2.4195161294765284,0.195,0.08890641611518496,10.1
0.2,2.416667402028119,0.2,0.09281439044991838,10.1
0.20500000000000002,2.413037590640188,0.20500000000000002,0.09613616863444177,10.1
0.21,2.408795383099647,0.21,0.10004414296917516,10.1
0.215,2.4040912337431415,0.215,0.10336592115369855,10.1
0.22,2.399058224965975,0.22,0.10668769933822195,10.1
0.225,2.393813430032141,0.225,0.11079107238969202,10.1
