t_qd,qd_rad,t_q,q_rad,tau
0.0,0.0002992589606563746,0.0,-0.06604476625699454,0.3317201260882546
0.005,0.0014471587664663717,0.005,-0.06604476625699454,0.33745962511730454
0.01,0.0036010224255323834,0.01,-0.06584936754025787,0.34725194982895125
0.015,0.006586294531405535,0.015,-0.06526317139004786,0.35924617944743503
0.02,0.010247886709176092,0.02,-0.0642861778063645,0.37266595197034136
0.025,0.014445948519793509,0.025,-0.06330918422268116,0.38876526626749214
0.03,0.01905521392737546,0.03,-0.06233219063899781,0.4069172032776414
0.035,0.02396552513151595,0.035,-0.061550595772051124,0.4275474964769755
0.04,0.029080933265631867,0.04,-0.059401209887947753,0.44235892581890635
0.045,0.03431667711175357,0.045,-0.05744722272058106,0.4587424122476879
0.05,0.03960068038672598,0.05,-0.05451624196953099,0.47047578569698484
0.055,0.044876734345786894,0.055,-0.05197605865195429,0.48412054628949824
0.06,0.050098622963734,0.06,-0.04865428046743089,0.49358307292620257
0.065,0.05522710777196565,0.065,-0.04494170484943416,0.5006218470145579
0.07,0.060231464520045325,0.07,-0.04181532538164743,0.5099653140077833
0.075,0.06508859460987007,0.075,-0.03771195233017736,0.5136877623943092
0.08,0.06978218066517265,0.08,-0.03360857927870728,0.516591406530786
0.085,0.07429853096229388,0.085,-0.03028680109418389,0.5225171291089704
0.09,0.078626231400381,0.09,-0.026965022909660494,0.5275009788701213
0.095,0.08276635142301746,0.095,-0.02247085242471708,0.5256872163942604
0.1,0.08672698524421575,0.1,-0.019149074240193686,0.528839785487182
0.105,0.09051139912848895,0.105,-0.015436498622196948,0.529161008906874
0.11,0.09412639071853231,0.11,-0.010942328137253534,0.5247324397833576
0.115,0.09758088582364592,0.115,-0.007425151235993469,0.5243905907637483
0.12,0.10088636836465179,0.12,-0.002540183317576713,0.5164692616857604
0.125,0.10406571746596323,0.125,0.0007815948669466809,0.5157368443571219
0.13,0.10714207562859046,0.13,0.0037125756179967346,0.5164475138849446
0.135,0.1101227478295743,0.135,0.006838955085783458,0.5157060035268797
0.14,0.11301730392344984,0.14,0.013287112738093578,0.4979264663556345
0.145,0.11585939669663879,0.145,0.017781283223036994,0.48965685429360417
0.15,0.11868030284448584,0.15,0.02188465627450707,0.4832371409728828
0.155,0.1214977124735314,0.155,0.02579263060924047,0.4777784144023585
0.16,0.12432866672230318,0.16,0.029309807510500538,0.4743425787062491
0.165,0.12718935421753647,0.165,0.03302238312849727,0.4700793601454974
0.17,0.13009490853767264,0.17,0.03693035746323068,0.4650642377149637
0.17500000000000002,0.1330591925508264,0.17500000000000002,0.04161992666491077,0.45643539388629406
0.18,0.13609465132345797,0.18,0.046309495866590854,0.4481629074322209
0.185,0.13921219586915265,0.185,0.050217470201324256,0.4442092110399631
0.19,0.14242906755490894,0.19,0.05471164068626767,0.437821479086376
0.195,0.14576750250540543,0.195,0.0584242163042644,0.4359509355425856
0.2,0.14922946575914217,0.2,0.06233219063899781,0.43372100797257085
0.20500000000000002,0.15279941181950726,0.20500000000000002,0.06643556369046788,0.43105282512518894
0.21,0.1564791600723725,0.21,0.07053893674193797,0.428933862818679
0.215,0.16028512653877747,0.215,0.07522850594361805,0.42451632865134686
0.22,0.1642133988631762,0.22,0.07894108156161479,0.42559404563075964
0.225,0.16824277401276225,0.225,0.08323985332982153,0.4242464492955783
0.23,0.17236187064166492,0.23,0.08636623279760824,0.42920954450749593
0.23500000000000001,0.176575504955603,0.23500000000000001,0.09164199814949833,0.42389849684280617
0.24,0.18088599340851558,0.24,0.09496377633402173,0.42884173420480826
0.245,0.18527759096154156,0.245,0.09828555451854513,0.434190579863366
0.25,0.18973518078271231,0.25,0.10219352885327855,0.4369384563483887
0.255,0.1942446823049193,0.255,0.10571070575453859,0.4418999186953923
0.26,0.1987926284904673,0.26,0.11059567367295536,0.44021468142486336
0.265,0.20338125628654027,0.265,0.11450364800768877,0.4436178458466132
0.27,0.20801095759584162,0.27,0.1182162236256855,0.4482033919951779
0.275,0.21267299638204748,0.275,0.12290579282736558,0.4480656740714401
0.28,0.21735853166472335,0.28,0.12720456459557233,0.44999943896669226
0.28500000000000003,0.22205872778580896,0.28500000000000003,0.1313079376470424,0.4529835121730952
0.29,0.2267582102467531,0.29,0.1346297158315658,0.4598719998418593
0.295,0.23143640544029148,0.295,0.13775609529935254,0.4676310514999456
0.3,0.23608212005272466,0.3,0.1412732722006126,0.47327486863910584
