time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00071523,-0.00175858845063,9.999,0.00247381845063,390.7974334733999,3965.0200000000095
0.005,0.00345648,-0.00175858845063,10.09899,0.00521506845063,3712.5756179966997,3169.4800000000077
0.01,0.00859877,-0.00175858845063,5.156340744023746,0.01035735845063,6643.5563690466015,-325.29000000000997
0.015,0.01572357,-0.0015631897338933,2.261294857103234,0.0172867597338933,-195.3987167365981,-2872.4400000000032
0.02,0.02445387,0.0019539871673667,1.0824899553803649,0.022499882832633298,-6057.3602188365,-2574.130000000006
0.025,0.03444996,0.0054711640686267,0.5384000748857648,0.0289787959313733,-3126.379467786797,-2285.8500000000076
0.03,0.04540809,0.0091837396866235,0.3130284676533819,0.0362243503133765,-586.1961502100885,-2012.4699999999564
0.035,0.05706152,0.0132871127380935,0.1830797871040873,0.0437744072619065,-390.79743347330685,-1760.5100000000016
0.04,0.06917558,0.0168042896393536,0.1135063100055102,0.0523712903606464,-1563.1897338934148,-1534.9600000000416
0.045,0.08154578,0.021298460124297,0.0789920578375831,0.060247319875703,195.39871673671612,-1339.799999999957
0.05,0.09399583,0.0244248395920837,0.0468960236678017,0.06957099040791631,2930.980751049996,-1149.4300000000007
0.055,0.10636778,0.0279420164933438,0.0281609149093249,0.0784257635066562,-976.9935836833304,-942.1300000000833
0.06,0.11852904,0.0322407882615505,0.025557567128919,0.0862882517384495,-3126.3794677865862,-751.9799999999833
0.065,0.13037809,0.0361487625962839,0.0199366613654291,0.0942293274037161,586.1961502098306,-607.5599999999436
0.07,0.14183308,0.0392751420640707,0.0166265874624261,0.1025579379359293,1172.392300419982,-482.9100000000267
0.075,0.15282473,0.0427923189653307,0.0111735656608275,0.11003241103466929,-976.9935836831232,-355.799999999954
0.08,0.16330039,0.0461140971498541,0.0145886462161463,0.1171862928501459,-195.39871673678613,-238.63999999989278
0.085,0.17322479,0.0490450779009042,0.0103927750660025,0.12417971209909578,1563.1897338932054,-144.3300000001159
0.09,0.18257517,0.0517806599352176,0.0145105019063663,0.1307945100647824,586.1961502102116,-70.34000000018386
0.095,0.19133963,0.0547116406862676,0.0106637995498745,0.1366279893137324,-1563.1897338933777,-6.609999999937827
0.1,0.19951309,0.0578380201540544,0.0114946811451105,0.1416750698459456,-976.9935836835397,50.25000000014188
0.105,0.20709891,0.0603782034716311,0.0123881745815892,0.14672070652836888,1563.1897338934662,98.26000000004478
0.11,0.21410754,0.0627229880724711,0.0099332181128146,0.15138455192752892,2344.78460084005,149.0199999999545
0.115,0.22055288,0.0650677726733112,0.0116086411514711,0.1554851073266888,-586.1961502100793,207.01999999996156
0.12,0.22645678,0.0679987534243612,0.0131376547706591,0.1584580265756388,-2149.385884103245,249.09999999998695
0.125,0.23185056,0.0711251328921479,0.0192276272676959,0.1607254271078521,586.19615021008,263.2999999999099
0.13,0.23676783,0.0730791200595146,0.0148179534455521,0.1636887099404854,195.39871673664686,266.6000000000322
0.135,0.24124105,0.076400898244038,0.0216664547524545,0.164840151755962,-1563.1897338934907,270.9700000001146
0.14,0.24530399,0.0785502841281414,0.0165748670610337,0.16675370587185862,-586.1961502100486,270.1399999999362
0.145,0.24899095,0.0810904674457181,0.0242013775931552,0.1679004825542819,390.79743347350745,255.9200000000003
0.15,0.25233623,0.0828490558963481,0.0183637007578419,0.16948717410365188,1953.987167366609,236.60000000010723
0.155,0.2553704,0.0846076443469782,0.0200650765954818,0.1707627556530218,1758.5884506298626,234.59999999992897
0.16,0.25812047,0.0863662327976082,0.0160083632468043,0.1717542372023918,-976.9935836831662,250.28999999992755
0.165,0.260616,0.0889064161151849,0.024176698718359,0.1717095838848151,-1563.1897338932513,253.2500000000217
0.17,0.26289131,0.0908604032825516,0.0243087541472608,0.1720309067174484,-976.9935836834528,227.36999999992054
0.175,0.26497804,0.093009789166655,0.0241848483198289,0.17196825083334502,-781.5948669467175,187.21000000006552
0.18,0.266902,0.094768377617285,0.0238953965781272,0.17213362238271496,1367.7910171566373,153.63000000015023
0.185,0.26868389,0.0959407699177051,0.0181018896165007,0.17274312008229487,2149.3858841033702,140.1999999999499
0.19,0.27033975,0.0973085609348617,0.0192311356557533,0.17303118906513829,1.0692247087717988e-10,140.7500000000186
0.195,0.27188718,0.0990671493854918,0.0197764003489375,0.1728200306145082,-976.9935836832565,133.29999999996204
0.2,0.27334476,0.1006303391193851,0.0198797019516219,0.17271442088061492,-586.1961502101395,111.1999999998038
0.205,0.27472866,0.1023889275700152,0.0195932169797899,0.1723397324299848,-2.312958713446278e-10,90.5900000000776
0.21,0.27605033,0.1037567185871719,0.0150367734194231,0.17229361141282812,586.196150210103,82.10000000012548
0.215,0.27731953,0.1053199083210652,0.0196893389662101,0.1719996216789348,195.39871673689595,76.53999999995159
0.22,0.27854705,0.1066876993382219,0.0148524498715731,0.1718593506617781,-390.797433473259,63.98000000004339
0.225,0.27974189,0.1084462877888519,0.0186202918140182,0.1712956022111481,-195.39871673687995,46.2800000000033
0.23,0.28091146,0.109618680089272,0.0140347419954682,0.171292779910728,-586.1961502101431,33.52999999986362
0.235,0.28205972,0.111377268539902,0.0140093922063545,0.17068245146009803,-195.39871673642082,29.539999999954325
0.24,0.28318984,0.1123542621235853,0.0140195313067471,0.17083557787641473,976.9935836833084,22.480000000122743
0.245,0.28430655,0.1135266544240054,0.0138903731288234,0.1707798955759946,-1.7763568394002505e-10,8.350000000163497
0.25,0.28541173,0.1146990467244254,0.0111196075148006,0.1707126832755746,-390.79743347317014,-1.4200000000030855
0.255,0.28650486,0.1158714390248454,0.0116703656677992,0.17063342097515458,781.5948669466607,-1.2700000001686362
0.26,0.28758548,0.1166530338917921,0.0098276974274537,0.1709324461082079,-1.4244960766518489e-10,7.049999999928495
0.265,0.28865323,0.1180208249089488,0.0106327595213138,0.17063240509105118,-586.1961502098533,18.340000000058847
0.27,0.28970982,0.1189978184926321,0.0113002935814416,0.17071200150736793,390.79743347345504,24.680000000110148
0.275,0.29075871,0.1199748120763155,0.0118320417627154,0.17078389792368448,-1.2718714970105793e-10,27.390000000018922
0.28,0.29180309,0.1211472043767355,0.0123091566467103,0.1706558856232645,-390.7974334734738,33.23999999988543
0.285,0.29284598,0.1221241979604189,0.0128545785880999,0.1707217820395811,195.39871673670228,34.75999999995542
0.29,0.29389268,0.1231011915441022,0.0169130907215701,0.1707914884558978,390.79743347333397,23.459999999993265
0.295,0.29494828,0.1240781851277856,0.0133965430851251,0.1708700948722144,195.39871673668313,16.970000000071632
0.3,0.29601335,0.1250551787114689,0.0145198554361937,0.1709581712885311,-781.5948669464657,30.28000000007578
0.305,0.29708907,0.1262275710118889,0.0157222101542082,0.17086149898811112,-976.9935836833796,40.5599999999495
0.31,0.29818207,0.1272045645955723,0.021909983621958,0.17097750540442772,586.1961502097648,28.56999999995186
0.315,0.29929863,0.1277907607457823,0.0171655312619656,0.1715078692542177,1172.3923004199914,15.849999999950256
0.32,0.3004394,0.128572355612729,0.0189740189638105,0.17186704438727102,195.39871673687853,20.580000000017037
0.325,0.30160553,0.1293539504796756,0.0208376796859077,0.1722515795203244,-586.1961502098716,29.210000000077557
0.33,0.30280119,0.130330944063359,0.0226491520689475,0.172470245936641,-390.7974334734196,30.20000000002908
0.335,0.30403035,0.1311125389303057,0.0244476558670596,0.1729178110696943,-1.4495071809506044e-10,23.8799999999994
0.34,0.30529665,0.1318941337972524,0.02616451642846,0.1734025162027476,-1.986109054996632e-10,10.739999999956467
0.345,0.30660329,0.1326757286641991,0.0277400474561938,0.17392756133580087,390.7974334733312,1.8000000000014893
0.35,0.30794966,0.1332619248144091,0.0219727277960293,0.17468773518559091,390.7974334736713,3.0500000000081684
0.355,0.30933509,0.1340435196813557,0.0328534381092545,0.17529157031864429,-390.7974334732238,-0.13000000009776613
0.36,0.31076202,0.1348251145483024,0.0253263321344369,0.17593690545169763,-390.79743347354355,-3.359999999972274
0.365,0.3122288,0.1356067094152491,0.0277723500128034,0.17662209058475087,586.1961502100135,10.080000000129616
0.37,0.3137336,0.1361929055654591,0.0297554176425524,0.1775406944345409,390.79743347340144,17.50999999998689
0.375,0.31528106,0.1369745004324058,0.0401811563558244,0.1783065595675942,-976.9935836834861,-3.280000000102831
0.38,0.31687448,0.1379514940160892,0.0297817778400646,0.17892298598391082,-390.7974334733482,-27.57000000002523
0.385,0.31850938,0.1385376901662992,0.03125091264566,0.17997168983370082,781.5948669467675,-37.95999999990582
0.39,0.32018138,0.1391238863165092,0.0323391255406079,0.1810574936834908,-3.552713678800501e-11,-43.17000000003898
0.395,0.32188619,0.1399054811834559,0.0252117542539443,0.18198070881654413,-390.7974334733659,-40.57000000003082
0.4,0.32361634,0.1404916773336659,0.0278458780944234,0.1831246626663341,390.79743347338683,-34.45999999993103
0.405,0.32536832,0.1410778734838759,0.0298568119068818,0.18429044651612408,586.196150209963,-35.3900000000353
0.41,0.32713879,0.1416640696340859,0.0238532013141997,0.18547472036591411,-195.39871673668074,-29.549999999930307
0.415,0.32892131,0.1424456645010326,0.026752608341648,0.18647564549896742,-586.1961502098554,-11.620000000007728
0.42,0.33071334,0.1432272593679792,0.0289405305380947,0.18748608063202082,195.3987167366119,0.10999999986438525
0.425,0.33251561,0.1438134555181893,0.0304822968148339,0.1887021544818107,390.79743347325933,-0.11999999991019195
0.43,0.33432837,0.1445950503851359,0.0314414407369934,0.1897333196148641,-390.7974334732238,-6.939999999957529
0.435,0.33615133,0.1453766452520826,0.0319442217876171,0.19077468474791742,-586.1961502100844,-21.78000000014888
0.44,0.33798376,0.1461582401190293,0.0320926917864111,0.1918255198809707,390.7974334733126,-34.309999999919654
0.445,0.33982153,0.1467444362692393,0.025104428752298,0.19307709373076068,586.1961502101021,-24.1399999998748
0.45,0.34165773,0.1473306324194493,0.026879614570235,0.1943270975805507,-781.5948669468029,-6.240000000090612
0.455,0.3434919,0.1483076260031327,0.035031340108848,0.19518427399686733,-390.79743347340144,-10.899999999978139
0.46,0.34532614,0.148698423436606,0.0267313832048373,0.196627716563394,781.5948669468905,-26.140000000011533
0.465,0.3471562,0.149284619586816,0.0275078305954946,0.19787158041318403,390.7974334733982,-32.340000000132974
0.47,0.34897809,0.149870815737026,0.0278365147178948,0.19910727426297403,-2.476383542671101e-10,-33.10999999996597
0.475,0.35078829,0.1504570118872361,0.0224827891892027,0.2003312781127639,-390.79743347325825,-27.319999999946248
0.48,0.35258124,0.1512386067541827,0.024295919774031,0.20134263324581733,-195.39871673638098,-16.679999999951164
0.485,0.35435506,0.1518248029043927,0.0256676824145147,0.2025302570956073,586.1961502097114,-4.670000000004393
0.49,0.35610827,0.1524109990546028,0.0212360101383063,0.2036972709453972,390.79743347306413,14.209999999863484
0.495,0.35783983,0.1531925939215495,0.0293167932635696,0.20464723607845053,-390.79743347304617,28.52000000011398
0.5,0.35955451,0.1539741887884961,0.0296481962222713,0.20558032121150388,-976.9935836832553,25.68000000017887
0.505,0.36125681,0.1549511823721795,0.0300934929358693,0.20630562762782048,-195.39871673689612,18.789999999810888
0.51,0.36294848,0.1555373785223895,0.0308937948348272,0.20741110147761052,976.9935836833617,18.819999999877254
0.515,0.36463168,0.1561235746725995,0.0319491609916129,0.20850810532740052,195.39871673696717,21.80000000009839
0.52,0.36630897,0.1569051695395461,0.0331752656653789,0.2094038004604539,-586.1961502099423,24.410000000045763
0.525,0.36798326,0.1576867644064928,0.0346178714593715,0.2102964955935072,-3.375077994860473e-10,19.830000000098362
0.53,0.36965778,0.1582729605567029,0.0362720125097561,0.2113848194432971,195.3987167366119,-0.9900000000584434
0.535,0.37133596,0.1590545554236495,0.0380319785503738,0.21228140457635053,390.7974334736148,-15.710000000197496
0.54,0.37301474,0.1596407515738595,0.0383431156231856,0.2133739884261405,390.7974334733128,11.67000000009465
0.545,0.37468879,0.1604223464408062,0.0511922260739055,0.2142664435591938,-781.594866946821,58.52000000018615
0.55,0.37636414,0.1613993400244896,0.0502395163149667,0.2149647999755104,-781.5948669465013,67.38999999996048
0.555,0.37805342,0.1621809348914362,0.0635662906878203,0.21587248510856377,781.5948669466256,39.90999999984976
0.56,0.3797645,0.1627671310416463,0.0472988789423906,0.2169973689583537,781.5948669463414,27.099999999933274
0.5650000000000001,0.38149724,0.163548725908593,0.0493378416363448,0.217948514091407,-781.594866946519,29.040000000080084
0.5700000000000001,0.38325573,0.1645257194922763,0.0661783992041434,0.21873001050772373,-586.1961502097183,2.290000000116507
0.5750000000000001,0.38504735,0.165307314359223,0.0498184133368697,0.21974003564077702,976.993583683299,-28.099999999966172
0.58,0.38686687,0.165893510509433,0.0401032768115671,0.22097335949056698,390.79743347317225,-6.9300000000559265
0.585,0.38870604,0.1668705040931164,0.0460144227631464,0.22183553590688357,-1172.3923004200644,29.809999999839917
0.59,0.39056982,0.1678474976767997,0.0664537328688368,0.2227223223232003,-586.1961502098361,24.119999999925994
0.595,0.39246638,0.1686290925437464,0.0509787365624791,0.22383728745625361,976.9935836833438,-1.4099999997789325
0.6,0.39439439,0.1692152886939564,0.0553346948156605,0.22517910130604357,781.5948669465545,-15.66999999987216
0.605,0.39635249,0.1699968835609031,0.0587754150083446,0.2263556064390969,-195.3987167365412,-24.210000000266504
0.61,0.39833917,0.1709738771445864,0.046602045491084,0.22736529285541363,-3.5697667044587433e-11,-19.34000000012756
0.615,0.4003487,0.1717554720115331,0.0523389115093164,0.2285932279884669,-390.79743347347215,0.9600000002762954
0.62,0.40237995,0.1729278643119531,0.0566540087896662,0.2294520856880469,-781.5948669464121,13.650000000069426
0.625,0.40443567,0.1739048578956364,0.0597544594818594,0.23053081210436363,586.1961502101908,11.749999999821611
0.63,0.40651769,0.1746864527625831,0.062018199517816,0.2318312372374169,976.9935836831304,5.990000000082304
0.635,0.40862705,0.1756634463462665,0.0635267622317183,0.2329636036537335,-390.79743347365013,1.310000000103173
