time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00376907,-0.0328269844117606,9.999,0.0365960544117606,0.0,20627.140000000047
0.005,0.01821475,-0.0328269844117606,10.09899,0.0510417344117606,-4.440892098500628e-12,16254.090000000037
0.01,0.04527099,-0.0328269844117606,10.0999899,0.0780979744117606,-1.5407439555097894e-27,-2370.890000000065
0.015,0.0826408,-0.0328269844117606,10.099999898999998,0.1154677844117606,4.440892098500629e-12,-15769.510000000013
0.02,0.12824812,-0.0328269844117606,10.09999999899,0.1610751044117606,9.244463733058732e-27,-14098.029999999959
0.025,0.18023065,-0.0328269844117606,10.0999999999899,0.2130576344117606,4.440892098500636e-12,-12501.960000000028
0.03,0.23693095,-0.0328269844117606,10.099999999999898,0.2697579344117606,6.162975822039156e-27,-10990.259999999922
0.035,0.29688627,-0.0328269844117606,10.099999999999998,0.3297132544117606,1953.987167366801,-9569.510000000124
0.04,0.35881752,-0.0328269844117606,6.882274439683604,0.3916445044117606,5080.3666351535,-8244.100000000053
0.045,0.4216174,-0.0328269844117606,3.930459075911599,0.4544443844117606,2930.9807510497976,-7016.4799999997285
0.05,0.48433832,-0.0308729972443938,2.2574479362150943,0.5152113172443938,-3321.778184523599,-5887.460000000146
0.055,0.54617994,-0.0277466177766071,1.3466503060473598,0.5739265577766072,-4884.967918416505,-4856.430000000185
0.06,0.60647687,-0.0240340421586104,0.876030483132319,0.6305109121586103,-1172.3923004198039,-3921.639999999864
0.065,0.66468643,-0.0209076626908237,0.658840970903731,0.6855940926908237,390.79743347320994,-3080.3399999998383
0.07,0.72037674,-0.0171950870728269,0.5852845700627706,0.7375718270728269,-390.7974334735118,-2329.000000000222
0.075,0.77321523,-0.0134825114548302,0.5941798108075971,0.7866977414548302,-5.343281372915953e-12,-1663.4500000002754
0.08,0.82295759,-0.0099653345535701,0.6511805142434989,0.8329229245535701,-1563.1897338932818,-1079.0499999993117
0.085,0.86943734,-0.0058619615021001,0.7337274153229979,0.8752993015021,-1563.189733893409,-570.9099999997416
0.09,0.91255597,-0.00234478460084,0.8324119219607632,0.91490075460084,2540.1833175767856,-133.85000000097352
0.095,0.95227371,0.0003907974334733,0.9399279931252886,0.9518829125665268,2344.784600840321,237.5200000000168
0.1,0.98860097,0.00410337305147,1.0457028965194997,0.98449759694853,-781.5948669468082,548.5200000008062
0.105,1.02159049,0.0078159486694668,1.1488332623589788,1.013774541330533,-976.9935836836132,804.3799999997464
0.11,1.05133011,0.0117239230042002,1.2460548963643536,1.0396061869958,-1367.7910171566782,1010.3299999997253
0.115,1.0779362,0.0156318973389336,1.3362621273235502,1.0623043026610663,-1367.791017156609,1171.4299999999657
0.12,1.10154777,0.019539871673667,1.4182111004483042,1.082007898326333,1953.9871673667662,1292.4599999999646
0.125,1.12232117,0.022470852424717,1.4953060163811656,1.099850317575283,1563.1897338933115,1378.0400000004756
0.13,1.14042538,0.0261834280427138,1.5597365788647102,1.1142419519572861,-1953.9871673666553,1432.5799999998835
0.135,1.15603786,0.0302868010941838,1.6126446675778958,1.1257510589058164,1.2789769243681803e-10,1460.159999999294
0.14,1.16934098,0.0332177818452339,1.6612865242477204,1.1361231981547661,1758.588450629852,1464.5800000002127
0.145,1.18051885,0.0371257561799673,1.6961123482266236,1.1433930938200325,781.594866946557,1449.3200000007046
0.15,1.18975473,0.0406429330812274,1.7238234344011525,1.1491117969187725,390.79743347350825,1417.6199999998817
0.155,1.19722872,0.0447463061326974,1.740394477517201,1.1524824138673027,-1367.791017156684,1372.4899999996842
0.16,1.20311595,0.0492404766176409,1.7474019849863778,1.153875473382359,-1758.5884506301552,1316.5399999999727
0.165,1.20758509,0.0535392483858476,1.748367050863768,1.1540458416141524,390.79743347340747,1252.1300000000092
0.17,1.21079713,0.0576426214373177,1.7440575346252822,1.1531545085626822,-195.39871673657274,1181.4599999999473
0.175,1.2129045,0.0617459944887877,1.7343929238463205,1.1511585055112123,-781.5948669467199,1106.419999999856
0.18,1.2140504,0.0662401649737312,1.718300085899913,1.1478102350262689,2344.78460084004,1028.6000000000786
0.185,1.21436841,0.0691711457247812,1.7057267344652074,1.1451972642752188,586.1961502099173,949.460000000498
0.19,1.21398218,0.0742515123599347,1.67972765009161,1.1397306676400651,-2735.582034313483,870.280000000319
0.195,1.21300542,0.0781594866946681,1.6566069397401015,1.134845933305332,-195.39871673651402,792.0599999992764
0.2,1.21154193,0.0822628597461381,1.630614801594861,1.129279070253862,1563.1897338933409,715.6399999993789
0.205,1.20968581,0.0859754353641349,1.6048951188818616,1.1237103746358652,1172.3923004200026,642.0600000007017
0.21,1.20752171,0.0900788084156049,1.576326264994626,1.1174429015843952,-586.1961502098789,572.5200000004835
0.215,1.20512522,0.094182181467075,1.546983455187972,1.110943038532925,-2540.183317576807,507.5199999994584
0.22,1.20256358,0.0988717506687551,1.5140821562560105,1.103691829331245,781.5948669466785,447.4099999997346
