time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00058755,-0.0474818881670108,9.999,0.0480694381670108,2735.5820343133882,3192.480000000002
0.005,0.0028378,-0.0474818881670108,5.136822380776731,0.0503196881670108,5080.366635153394,2502.240000000003
0.01,0.00704761,-0.0474818881670108,2.2896314571371046,0.054529498167010804,4494.170484943415,-403.0300000000034
0.015,0.01285366,-0.0461140971498541,1.0547395764693903,0.0589677571498541,-2540.183317576684,-2479.5999999999995
0.02,0.01992903,-0.0424015215318574,0.4958563080618499,0.0623305515318574,-4689.5692016801095,-2211.6900000000005
0.025,0.02798185,-0.0388843446305973,0.2365167400068732,0.0668661946305973,-1953.9871673666134,-1960.3300000000047
0.03,0.03675221,-0.0347809715791273,0.1126725801756034,0.0715331815791273,-1367.791017156693,-1723.209999999972
0.035,0.04601068,-0.0304821998109205,0.0530272278603342,0.0764928798109205,-1172.3923004201886,-1499.2100000000103
0.04,0.05555682,-0.0265742254761871,0.0234416985693907,0.0821310454761871,-1367.7910171566105,-1286.0900000000534
0.045,0.06521694,-0.0222754537079804,0.0097051797310436,0.0874923937079804,-781.5948669465064,-1084.239999999963
0.05,0.07484365,-0.018953675523457,0.0043612872415297,0.093797325523457,586.1961502100019,-900.0999999999491
0.055,0.08431454,-0.0156318973389336,0.0019890304259427,0.09994643733893359,781.5948669464913,-736.4000000000377
0.06,0.09352846,-0.0127009165878835,0.001330462254788,0.10622937658788349,1367.7910171565093,-590.010000000038
0.065,0.10240338,-0.0099653345535701,0.00142109189461,0.1123687145535701,586.1961502102142,-459.75999999997975
0.07,0.11087485,-0.0070343538025201,0.0017758134689452,0.1179092038025201,-586.1961502098194,-345.169999999993
0.075,0.11889345,-0.0039079743347334,0.0022105714579032,0.1228014243347334,-3.1088131356291956e-10,-243.54000000000474
0.08,0.12642306,-0.0013677910171566,0.0026621041984848,0.1277908510171566,-781.5948669467808,-153.0999999999592
0.085,0.13343958,0.0019539871673667,0.0030206748031311,0.1314855928326333,-781.5948669463025,-74.43000000002235
0.09,0.13992955,0.0042987717682067,0.0032774205775493,0.13563077823179331,1172.3923004200933,-8.480000000045948
0.095,0.14588867,0.0068389550857834,0.0035830472148974,0.1390497149142166,976.9935836831187,45.91000000003169
0.1,0.15131989,0.0091837396866235,0.0038506863344335,0.1421361503133765,-195.39871673661287,91.03000000001089
0.105,0.15623224,0.0119193217209368,0.0040371868883641,0.1443129182790632,-586.1961502099175,127.93999999999801
0.11,0.16063999,0.0142641063217769,0.0041971673270889,0.1463758836782231,-781.5948669468796,157.90000000002624
0.115,0.16456132,0.0169996883560903,0.0044411394005093,0.1475616316439097,390.79743347330606,182.27999999994904
0.12,0.16801779,0.018953675523457,0.0043701751677027,0.149064114476543,586.1961502101893,201.12999999995236
0.125,0.17103381,0.021298460124297,0.0046046240677436,0.149735349875703,-976.9935836833972,214.60000000008517
0.13,0.17363557,0.0236432447251371,0.0044290576215286,0.1499923252748629,-8.242295734817162e-11,222.06000000004133
0.135,0.17585084,0.0254018331757671,0.0044953303607252,0.1504490068242329,976.9935836834093,223.059999999929
0.14,0.17770793,0.0273558203431338,0.0045207670473038,0.15035210965686618,-195.39871673662654,221.40999999997325
0.145,0.17923447,0.0293098075105005,0.0047426001167237,0.1499246624894995,-781.5948669466178,220.34000000008928
0.15,0.18045793,0.0310683959611305,0.0044499332449428,0.14938953403886948,-586.1961502100962,217.40999999999042
0.155,0.18140611,0.0328269844117606,0.0044364906437923,0.1485791255882394,390.7974334732152,211.09999999989475
0.16,0.18210591,0.0339993767121806,0.0044551357364485,0.14810653328781942,976.9935836834288,202.1800000000694
0.165,0.18258317,0.0353671677293373,0.0041860834280204,0.1472160022706627,195.39871673669523,189.2600000000025
0.17,0.18286297,0.0365395600297573,0.0042248735411363,0.1463234099702427,-390.79743347333755,174.91999999993436
0.175,0.18296783,0.037907351046914,0.0045186186783375,0.145060478953086,195.39871673679696,164.53000000009354
0.18,0.18291837,0.0388843446305973,0.0041549624263704,0.14403402536940269,195.39871673661312,155.40999999999093
0.185,0.18273501,0.0400567369310174,0.0041331295936075,0.14267827306898262,-781.5948669469099,143.76999999992495
0.19,0.18243664,0.0412291292314374,0.0040855447828062,0.1412075107685626,195.39871673671865,132.56000000005457
0.195,0.18204012,0.0420107240983841,0.0040237373852564,0.1400293959016159,1172.3923004202081,121.85000000002242
0.2,0.18156155,0.0427923189653307,0.0036703429256307,0.1387692310346693,-586.1961502101453,109.3099999999574
0.205,0.18101572,0.0439647112657508,0.0038699029129388,0.1370510087342492,-1172.3923004200155,99.26000000003728
0.21,0.18041495,0.0447463061326974,0.0037013281523426,0.1356686438673026,586.1961502102248,93.75000000002194
0.215,0.17977112,0.0453325022829074,0.0033186841754413,0.1344386177170926,1172.3923004198223,86.26999999993512
0.22,0.1790961,0.0459186984331175,0.0032165189800358,0.13317740156688251,-195.39871673670072,74.5699999999869
0.225,0.17840007,0.0467002933000641,0.0030794420953704,0.13169977669993588,-1172.3923004198243,64.6699999999709
0.23,0.17769127,0.0474818881670108,0.0030685168973854,0.13020938183298922,-2.106048668792937e-10,59.489999999975495
0.235,0.17697714,0.0478726856004842,0.0027512268759121,0.1291044543995158,976.993583683314,54.93000000011973
0.24,0.17626513,0.0482634830339575,0.0026210197738192,0.1280016469660425,2.0818902157770935e-10,48.13000000005725
0.245,0.17556182,0.0488496791841675,0.0024794808779506,0.1267121408158325,-586.1961502101021,41.139999999941566
0.25,0.17487261,0.0492404766176409,0.0023490186950456,0.12563213338235912,-195.39871673678957,35.70999999993753
0.255,0.17420224,0.0496312740511142,0.0022268236374745,0.12457096594888581,390.79743347340144,31.36999999995298
0.26,0.17355485,0.0498266727678509,0.0021186929579326,0.1237281772321491,195.39871673678957,27.290000000057702
0.265,0.17293411,0.0500220714845875,0.0020032541984702,0.12291203851541249,-586.1961502099956,22.83000000009119
0.27,0.17234322,0.0504128689180609,0.0019200794733548,0.12193035108193909,195.39871673661187,18.329999999977346
0.275,0.17178472,0.0502174702013242,0.0018643526080851,0.12156724979867581,586.1961502099824,17.32999999990969
0.28,0.17126055,0.0504128689180609,0.0018079082948789,0.1208476810819391,-195.398716736725,25.890000000005074
0.285,0.1707724,0.0504128689180609,0.0017559274092287,0.12035953108193909,1.7763568394002718e-11,44.830000000074904
0.29,0.17032417,0.0504128689180609,0.0019317274553934,0.11991130108193909,195.39871673671286,66.5099999999787
0.295,0.16992304,0.0504128689180609,0.0022353010417103,0.11951017108193909,-8.881784197001238e-12,86.86999999994757
0.3,0.16957891,0.0504128689180609,0.0041612026677634,0.1191660410819391,0.0,111.12000000000651
0.305,0.16930315,0.0504128689180609,0.0047173489571456,0.11889028108193911,0.0,131.96000000004187
0.31,0.16911164,0.0504128689180609,0.0139578367385605,0.1186987710819391,0.0,132.9900000000349
0.315,0.16902385,0.0504128689180609,0.0128676466521447,0.1186109810819391,0.0,127.3399999999466
0.32,0.16905432,0.0504128689180609,0.0198844308132471,0.1186414510819391,0.0,134.2599999999547
0.325,0.16921813,0.0504128689180609,0.0279846424010943,0.11880526108193909,-195.39871673669182,133.28000000004874
0.33,0.16953429,0.0504128689180609,0.0366983910298871,0.1191214210819391,-195.39871673669182,103.49000000005037
0.335,0.17002025,0.0504128689180609,0.0453892448305232,0.11960738108193911,390.79743347337796,68.46999999997365
0.34,0.17068483,0.0502174702013242,0.036575231655881,0.12046735979867582,586.1961502100787,47.469999999915785
0.345,0.1715337,0.0502174702013242,0.0628125979702592,0.12131622979867582,1.887201506178826e-11,15.640000000015107
0.35,0.17257441,0.0502174702013242,0.045798613022882,0.12235693979867582,-781.5948669467695,-46.13999999993405
0.355,0.17380595,0.0504128689180609,0.0577128024852808,0.12339308108193908,-390.7974334733925,-126.79000000002122
0.36,0.17521867,0.0504128689180609,0.0374877826698177,0.12480580108193909,781.5948669467673,-207.060000000005
0.365,0.17679086,0.0502174702013242,0.0282666383676902,0.1265733897986758,195.39871673669182,-270.5199999999754
0.37,0.17849082,0.0504128689180609,0.0169766066623996,0.1280779510819391,-586.1961502100755,-307.57000000001193
0.375,0.18028137,0.0504128689180609,0.0072742426590526,0.1298685010819391,0.0,-306.57000000001466
0.38,0.18212034,0.0504128689180609,0.0037669728065428,0.1317074710819391,195.39871673669182,-267.84999999996705
0.385,0.18396991,0.0504128689180609,0.0028415733802821,0.13355704108193908,0.0,-219.30999999998573
0.39,0.18580066,0.0504128689180609,0.0026369137086654,0.1353877910819391,0.0,-183.4900000000415
0.395,0.18758863,0.0504128689180609,0.0025899231237388,0.1371757610819391,-195.39871673669182,-156.1899999999737
0.4,0.18931247,0.0504128689180609,0.0027936066792454,0.1388996010819391,-4.5430611109356565e-12,-127.05000000000581
0.405,0.19095404,0.0504128689180609,0.0030981175600454,0.1405411710819391,586.196150210083,-97.60000000007341
0.41,0.19249958,0.0502174702013242,0.0032163467016757,0.1422821097986758,2.2102291480068422e-11,-74.65999999997132
0.415,0.19393909,0.0504128689180609,0.0035615508384353,0.1435262210819391,-586.1961502100776,-57.379999999970664
0.42,0.19526439,0.0504128689180609,0.0039032951390561,0.1448515210819391,-8.881784197001238e-12,-39.080000000026814
0.425,0.19646912,0.0504128689180609,0.0041858563909335,0.1460562510819391,195.39871673669182,-16.940000000005625
0.43,0.19754952,0.0504128689180609,0.0043790873162215,0.1471366510819391,0.0,5.480000000091138
0.435,0.19850505,0.0504128689180609,0.0041361476226938,0.14809218108193908,0.0,23.420000000058337
0.44,0.19933803,0.0504128689180609,0.0042612994369254,0.1489251610819391,0.0,35.99999999984482
0.445,0.20005236,0.0504128689180609,0.0040434014859009,0.1496394910819391,0.0,44.809999999912975
0.45,0.20065334,0.0504128689180609,0.0040791872636147,0.1502404710819391,0.0,51.99000000008158
0.455,0.20114705,0.0504128689180609,0.004016217250554,0.1507341810819391,8.881784197001238e-12,60.44000000009913
0.46,0.20154026,0.0504128689180609,0.0039365694333186,0.1511273910819391,-195.39871673671286,70.4699999999986
0.465,0.20184111,0.0504128689180609,0.0037305113503464,0.15142824108193909,-195.39871673671172,84.55999999988103
0.47,0.20205923,0.0504128689180609,0.0036042954581584,0.1516463610819391,390.79743347342026,122.18000000004452
0.475,0.20220501,0.0502174702013242,0.0035415645968199,0.1519875397986758,586.1961502100876,205.56000000009948
0.48,0.20229481,0.0502174702013242,0.0052981855997007,0.1520773397986758,-195.3987167367096,320.4799999999603
0.485,0.20236093,0.0502174702013242,0.0169254745577361,0.1521434597986758,-586.1961502100755,437.3199999999492
0.49,0.20245256,0.0504128689180609,0.0435258559659936,0.1520396910819391,195.39871673669182,542.4699999999651
0.495,0.20262935,0.0502174702013242,0.0869501263142328,0.15241187979867582,586.1961502099955,582.1800000000002
0.5,0.2029698,0.0504128689180609,0.23101880606551,0.1525569310819391,195.39871673662077,517.5700000000196
0.505,0.20355274,0.0504128689180609,0.1965403227159368,0.1531398710819391,-390.797433473206,427.7300000000031
0.51,0.20442871,0.0508036663515342,0.2878056568130705,0.1536250436484658,195.398716736683,377.6400000000276
0.515,0.20564867,0.0509990650682709,0.3894247496708452,0.1546496049317291,1172.3923004197957,359.43000000003144
0.52,0.20725702,0.0511944637850076,0.3242727372151632,0.15606255621499238,-8.753886504564434e-12,366.86999999996874
0.525,0.20929478,0.0521714573686909,0.6614101258793632,0.15712332263130913,-195.39871673649623,359.42999999995936
0.53,0.21181416,0.0527576535189009,0.5135377807661864,0.1590565064810991,586.1961502101287,264.46000000003505
0.535,0.21485794,0.0539300458193209,0.9020021123151676,0.1609278941806791,781.5948669466959,54.590000000019245
0.54,0.21845956,0.0552978368364776,0.6714107234563124,0.1631617231635224,1367.7910171565586,-134.2100000000803
0.545,0.22260261,0.056861026570371,0.5287139113286224,0.165741583429629,-586.196150210093,-123.98999999998478
0.55,0.22724781,0.0595966086046844,0.6662695536118097,0.16765120139531559,-1758.588450630058,-21.93999999988705
0.555,0.23239458,0.0623321906389978,0.7769919637328074,0.17006238936100218,195.39871673659422,-56.7300000000173
0.56,0.23805492,0.0650677726733112,0.8595621267903697,0.1729871473266888,390.79743347346437,-186.52000000006547
0.5650000000000001,0.24421191,0.0685849495745712,0.6429044424960115,0.1756269604254288,3.112745616817847e-10,-220.5299999998515
0.5700000000000001,0.25082416,0.0719067277590946,0.7501299797556342,0.17891743224090542,-1172.392300419998,-153.5899999998419
0.5750000000000001,0.25786808,0.0760101008105647,0.8258767409653258,0.1818579791894353,-1953.9871673671382,-117.1100000002848
