time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.0048557734357078,-0.0486542804674308,0.2675502695156938,0.053510053903138594,781.5948669465977,26707.74703308285
0.005,0.023476530661358,-0.0482634830339575,0.3587000684765778,0.07174001369531549,1563.1897338932959,21124.61860138922
0.01,0.0583821978114561,-0.0482634830339575,0.5332284042270685,0.10664568084541359,2149.3858841034134,-2836.365129858619
0.015,0.1066417384780956,-0.0478726856004842,0.7725721203928995,0.1545144240785798,1367.7910171567023,-20121.630081565607
0.02,0.1656030606374894,-0.0470910907335375,1.063468456535471,0.21269415137102687,1172.3923004198691,-18005.51077491559
0.025,0.2328942745304119,-0.0457232997163808,1.3930791300192404,0.2786175742467927,976.9935836833056,-16015.705716373075
0.03,0.3063967318322421,-0.0437693125490141,1.7508105771763505,0.3501660443812562,-1172.392300419868,-14115.04019878951
0.035,0.3842286280433912,-0.0406429330812274,2.124319086642509,0.4248715611246186,-2540.183317576606,-12304.872043670157
0.04,0.4647475056793412,-0.037321154896704,2.510276672740967,0.5020686605760452,-1172.3923004201224,-10618.925196004426
0.045,0.5465297588182438,-0.0338039779954439,2.901561322444928,0.5803337368136877,-195.39871673688918,-9044.859760793861
0.05,0.6283505101351166,-0.0302868010941838,3.29302935693811,0.6586373112293004,-8.753886504564434e-11,-7575.856462198315
0.055,0.7091787416589658,-0.0263788267594504,3.677575820737968,0.7355575684184161,1.7053025658242404e-10,-6239.222849408683
0.06,0.788160885438774,-0.0228616498581904,4.054836094537156,0.8110225352969644,-1758.588450629798,-5041.657060967827
0.065,0.8645997201033585,-0.018367479373247,4.414493965042535,0.8829671994766055,-976.9935836833616,-3967.3476049534165
0.07,0.9379394087409054,-0.0150457011887236,4.764519655395072,0.952985109929629,2149.3858841031874,-3006.288256901553
0.075,1.007751037090454,-0.0115285242874635,5.095933922147458,1.0192795613779175,1563.189733893284,-2147.706644679467
0.08,1.073718732436557,-0.0078159486694668,5.407158527757415,1.0815346811060238,-1758.5884506300772,-1381.532004499195
0.085,1.1356264043633513,-0.0037125756179967,5.69613462707025,1.139338979981348,-2540.1833175766087,-728.4212735897199
0.09,1.193351149881049,0.0003907974334733,5.9642040231905264,1.1929603524475756,1563.1897338936815,-210.4893452383185
0.095,1.2468442899175505,0.0033217781845233,6.216984846649094,1.243522511733027,2930.9807510500195,209.82223867722496
0.1,1.2961082398007924,0.0070343538025201,6.444716589440538,1.2890738859982722,-976.9935836837171,590.8751686351134
0.105,1.3411942044078136,0.0111377268539902,6.649609444390466,1.3300564775538233,-1953.9871673668158,947.5559433472881
0.11,1.3821998244344638,0.0150457011887236,6.83508159058779,1.3671541232457403,2.2737367544323206e-10,1255.8783183928408
0.115,1.419267023002776,0.0187582768067203,7.001841839529558,1.4005087461960557,781.5948669468942,1488.6680793909945
0.12,1.452573459725411,0.022470852424717,7.149800852404902,1.430102607300694,390.7974334731746,1647.7758365192767
0.125,1.48231862402083,0.0261834280427138,7.279955561673736,1.4561351959781161,-195.39871673689345,1754.221986214763
0.13,1.5087178137530246,0.0300914023774472,7.392403901206587,1.4786264113755774,-781.5948669465706,1814.202901396684
0.135,1.531996783298495,0.0338039779954439,7.490229680880394,1.498192805303051,-781.5948669464824,1814.6398567369997
0.14,1.5523871085035197,0.0377119523301773,7.572636483260998,1.5146751561733425,976.9935836833705,1764.6149934091354
0.145,1.570115703737168,0.040838331797964,7.645643600513624,1.529277371939204,1367.7910171564743,1724.2344661608186
0.15,1.585395983833633,0.0445509074159608,7.70347895364462,1.540845076417672,-586.1961502100778,1731.2564713771271
0.155,1.598440000330258,0.0482634830339575,7.750133622628689,1.5501765172963005,-781.5948669464653,1739.391604077975
0.16,1.609468674209525,0.0519760586519542,7.786712085607779,1.5574926155575708,781.5948669467311,1696.6900879049253
0.165,1.618700929549142,0.0554932355532143,7.8152858551377555,1.5632076939959276,976.9935836832906,1611.718361959036
0.17,1.6263445712352744,0.059205811171211,7.8349398873489875,1.5671387600640634,-1367.7910171567728,1505.9065416300937
0.175,1.6325951814817246,0.0633091842226811,7.84567503482033,1.5692859972590434,-1758.5884506300354,1384.7945586229707
