time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00752271,-0.0392751420640707,9.999,0.0467978520640707,0.0,41171.08000000008
0.005,0.036355,-0.0392751420640707,10.09899,0.0756301420640707,-4.440892098500628e-12,32443.38000000004
0.01,0.09035712,-0.0392751420640707,10.0999899,0.1296322620640707,-1.5407439555097894e-27,-4730.0500000001775
0.015,0.16494478,-0.0392751420640707,10.099999898999998,0.20421992206407072,8.881784197001252e-12,-31472.74000000005
0.02,0.25597457,-0.0392751420640707,10.09999999899,0.2952497120640707,3.0814879110195766e-27,-28136.639999999847
0.025,0.35972971,-0.0392751420640707,10.0999999999899,0.39900485206407066,-4.440892098500622e-12,-24950.99999999988
0.03,0.47290232,-0.0392751420640707,10.099999999999898,0.5121774620640707,0.0,-21933.999999999836
0.035,0.59257315,-0.0392751420640707,10.099999999999998,0.6318482920640707,0.0,-19098.60000000048
0.04,0.71618937,-0.0392751420640707,10.099999999999998,0.7554645120640707,0.0,-16453.41000000045
0.045,0.8415411,-0.0392751420640707,10.099999999999998,0.8808162420640707,1758.5884506301047,-14003.38999999917
0.05,0.96673712,-0.0392751420640707,5.100499999999999,1.0060122620640708,5080.3666351535085,-11750.209999999739
0.055,1.09018015,-0.0392751420640707,5.050504999999999,1.1294552920640706,3517.1769012598834,-9692.650000000782
0.06,1.21054218,-0.0375165536134406,5.050005049999999,1.2480587336134406,-2344.7846008402057,-7827.12999999967
0.065,1.32674009,-0.0341947754289172,5.9811558286675375,1.360934865428917,-4494.170484943275,-6148.119999999693
0.07,1.4379119,-0.0304821998109205,5.473904435578648,1.4683940998109206,-3126.3794677867054,-4648.64000000064
0.075,1.54339379,-0.0263788267594504,5.676560857317036,1.5697726167594506,-1563.1897338934068,-3320.6199999999444
0.08,1.64269816,-0.0226662511414537,6.333850553433618,1.6653644111414536,586.1961502102199,-2154.689999999595
0.085,1.73549261,-0.018953675523457,7.267881873742334,1.754446285523457,1563.189733893381,-1140.4800000002942
0.09,1.82158034,-0.0156318973389336,8.38115257207027,1.8372122373389335,-390.79743347360113,-267.6499999997977
0.095,1.90088186,-0.0113331255707268,9.576048561492808,1.9122149855707267,-976.993583683275,473.9100000009312
0.1,1.97341796,-0.0078159486694668,10.094760485614929,1.9812339086694668,-195.39871673651623,1094.5099999989252
0.105,2.03929389,-0.0039079743347334,10.099947604856148,2.0432018643347334,195.39871673639186,1604.739999998812
0.11,2.09868493,-0.0001953987167366,10.09999947604856,2.098880328716737,1953.987167366722,2015.3800000016963
0.115,2.15182321,0.0031263794677867,10.099999994760484,2.1486968305322134,3.821210584959246e-10,2336.880000000543
0.12,2.19898599,0.0074251512359934,10.099999999947604,2.1915608387640066,-2930.9807510501264,2578.6399999984387
0.125,2.2404852,0.0117239230042002,10.099999999999476,2.2287612769958,195.39871673640033,2749.520000000175
0.13,2.27665802,0.0150457011887236,10.099999999999994,2.2616123188112764,1367.791017156732,2858.5600000010854
0.135,2.3078585,0.018953675523457,5.100499999999999,2.288904824476543,-976.9935836832707,2914.0799999989977
0.14,2.33445054,0.0228616498581904,5.050504999999999,2.3115888901418096,-586.1961502100386,2923.089999999269
0.145,2.35680167,0.0261834280427138,5.050005049999999,2.330618241957286,2344.784600840051,2892.3800000015817
0.15,2.37527763,0.0298960036607105,5.0500000505,2.3453816263392895,3321.778184523305,2829.060000000587
0.155,2.3902378,0.0328269844117606,5.050000000504999,2.3574108155882394,-2930.9807510500805,2739.3799999992953
0.16,2.40203167,0.038493547197124,5.050000000005049,2.363538122802876,-4884.967918416549,2628.0199999996457
0.165,2.41099595,0.0422061228151207,5.05000000000005,2.3687898271848797,2735.5820343134374,2499.399999999503
0.17,2.41745204,0.0457232997163808,5.05,2.3717287402836194,2930.9807510499213,2358.299999999904
0.175,2.42170414,0.0494358753343775,5.05,2.372268264665623,-1563.1897338934575,2208.5500000008788
0.18,2.42403814,0.0543208432527943,5.05,2.3697172967472055,1172.392300420042,2053.1099999999687
0.185,2.42472067,0.057447222720581,5.05,2.3672734472794192,390.79743347342026,1895.0799999993224
0.19,2.42399852,0.0627229880724711,5.05,2.361275531927529,-3321.7781845233885,1736.9700000003245
0.195,2.42209865,0.0674125572741512,5.05,2.354686092725849,-586.1961502100878,1580.5299999993745
0.2,2.41922826,0.0713205316088846,5.05,2.3479077283911156,586.1961502099424,1427.6699999993452
0.205,2.41557505,0.0760101008105647,5.05,2.3395649491894357,195.39871673675927,1280.0900000021995
0.21,2.41130789,0.0795272777118247,5.05,2.331780612288175,1.1368683772161603e-11,1138.7200000010073
0.215,2.40657754,0.0838260494800315,5.05,2.3227514905199684,-1172.3923004200776,1004.1199999980654
0.22,2.4015175,0.0875386250980282,5.05,2.313978874901972,586.196150210156,877.169999999692
0.225,2.39624484,0.0908604032825516,5.05,2.3053844367174485,1563.1897338934368,758.8300000000438
0.23,2.39086121,0.094182181467075,5.05,2.296679028532925,976.993583683131,649.1599999992583
0.235,2.38545412,0.0976993583683351,5.05,2.287754761631665,781.5948669465222,547.9600000012424
