time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00120798,-0.0486542804674308,9.999,0.049862260467430794,-1.7763568394002505e-11,6713.66000000001
0.005,0.00584528,-0.0486542804674308,10.09899,0.0544995604674308,-8.881784197001254e-12,5349.790000000005
0.01,0.0145533,-0.0486542804674308,10.0999899,0.0632075804674308,2149.3858841033125,-600.3300000000163
0.015,0.02661815,-0.0486542804674308,7.247771959570063,0.07527243046743079,5666.562785363413,-4909.540000000003
0.02,0.04138985,-0.0486542804674308,3.893649497606463,0.09004413046743079,3126.3794677869055,-4359.0399999999945
0.025,0.05828896,-0.0465048945833275,2.187638194326231,0.1047938545833275,-4103.373051470011,-3849.8700000000163
0.03,0.07680809,-0.0429877176820674,1.36751843094863,0.11979580768206739,-5275.765351890205,-3409.6899999999496
0.035,0.09649867,-0.039079743347334,0.784932567574819,0.135578413347334,-586.1961502100875,-2997.449999999969
0.04,0.11695815,-0.0357579651628106,0.5193985416986309,0.15271611516281058,195.3987167365811,-2581.890000000091
0.045,0.13783759,-0.0316545921113405,0.3651260259403958,0.1694921821113405,-1367.7910171565004,-2187.9499999999953
0.05,0.15884258,-0.0275512190598705,0.2731905836369386,0.18639379905987052,781.5948669468296,-1836.2299999999714
0.055,0.17972383,-0.0240340421586104,0.2201886499587365,0.2037578721586104,586.1961502096879,-1519.890000000107
0.06,0.20027343,-0.0197352703904036,0.1885146901130457,0.2200087003904036,-1563.1897338934136,-1232.8999999999096
0.065,0.22032116,-0.0154364986221969,0.1720039199935616,0.2357576586221969,1563.1897338936187,-968.1899999998836
0.07,0.23973081,-0.0117239230042002,0.1657636358840936,0.2514547330042002,1953.9871673665875,-712.9800000001696
0.075,0.25839668,-0.0074251512359934,0.1657410710345962,0.2658218312359934,-2930.9807510502014,-481.3499999999467
0.08,0.27624653,-0.0019539871673667,0.2211501155919935,0.2782005171673667,-2735.5820343132755,-310.3299999997944
0.085,0.29323741,0.0019539871673667,0.2161740947740356,0.29128342283263325,-976.9935836831203,-200.2900000001946
0.09,0.30933924,0.0066435563690467,0.2166996213794506,0.30269568363095334,1367.7910171567771,-113.0500000001407
0.095,0.32453302,0.0099653345535701,0.2228181149863522,0.3145676854464299,3712.575617996419,-6.1899999997535815
0.1,0.33880865,0.0130917140213569,0.1728254688320629,0.3257169359786431,-1953.987167366826,123.89999999992096
0.105,0.35217046,0.0179766819397736,0.261636087468974,0.33419377806022643,-2735.5820343131277,210.35999999981232
0.11,0.36464857,0.0211030614075603,0.2692055179879105,0.3435455085924397,2735.5820343133146,231.84000000021842
0.115,0.37627363,0.0240340421586104,0.2080620474609764,0.35223958784138965,976.9935836831814,268.4800000000796
0.12,0.38706936,0.0279420164933438,0.2346606974086187,0.35912734350665615,1.7780621419660747e-10,337.9999999997867
0.125,0.39707437,0.0308729972443938,0.2596571631272193,0.3662013727556062,976.993583683417,369.8799999998696
0.13,0.4063395,0.0345855728623906,0.2817793426868044,0.3717539271376094,586.1961502098447,370.5400000003292
0.135,0.41491068,0.038493547197124,0.2221651378522621,0.376417132802876,1953.9871673666196,427.6800000000858
0.14,0.42282887,0.0420107240983841,0.2573882966155603,0.38081814590161595,-1563.1897338932943,532.6499999996008
0.145,0.4301531,0.0474818881670108,0.3804026710857547,0.3826712118329892,-4689.5692016799685,553.9500000000514
0.15,0.43696515,0.0521714573686909,0.4949333073761244,0.38479369263130914,586.1961502099357,456.6500000002163
0.155,0.44333428,0.056274830420161,0.3558571811942823,0.387059449579839,3321.7781845232194,377.2000000000003
0.16,0.44930229,0.0603782034716311,0.370766373377928,0.3889240865283689,-1953.9871673666792,392.9699999999766
0.165,0.45491087,0.0654585701067845,0.3848754398881909,0.3894522998932155,-4298.771768206584,407.9199999998888
0.17,0.46021749,0.0699527405917279,0.5260323055780108,0.3902647494082721,976.9935836834729,348.48999999986495
0.175,0.46527584,0.0730791200595146,0.382736530681214,0.3921967199404854,4103.3730514699955,285.90000000015664
0.18,0.47011867,0.0765962969607747,0.4069346814367993,0.3935223730392253,1953.9871673665016,280.26000000025965
0.185,0.47477768,0.0801134738620348,0.4302459358629948,0.39466420613796516,-781.5948669465974,288.5399999998141
0.19,0.47929173,0.0844122456302415,0.4500700141953249,0.3948794843697585,-1367.7910171565234,274.3499999998972
0.195,0.48369665,0.0885156186817116,0.4686951476031892,0.3951810313182884,-195.39871673674565,249.78000000011468
0.2,0.48802521,0.0926189917331817,0.4857673683685051,0.3954062182668183,-781.5948669467911,225.08999999985127
0.205,0.4923071,0.0969177635013884,0.5010970956893662,0.39538933649861163,-586.1961502101112,200.51000000002165
0.21,0.49656889,0.1010211365528585,0.5154455325954036,0.3955477534471415,1172.3923004201315,176.30000000011262
0.215,0.50083412,0.1045383134541185,0.5293501817726906,0.39629580654588153,-390.797433473011,152.83000000003696
0.22,0.50512328,0.1090324839390619,0.5403123284027532,0.39609079606093806,-781.5948669467865,130.47000000007347
0.225,0.50945401,0.112549660840322,0.5520155938871788,0.396904349159678,1367.7910171563371,109.42999999976442
0.23,0.51384121,0.1162622364583188,0.5626490337721998,0.39757897354168126,-195.3987167365308,79.92999999984681
0.235,0.51829724,0.1201702107930521,0.5719673957442644,0.39812702920694787,-1367.791017156578,23.820000000323432
0.24,0.52283211,0.1240781851277856,0.5808803096106584,0.3987539248722144,1367.7910171564922,-34.45999999996724
0.245,0.52744374,0.1272045645955723,0.4342771432388182,0.40023917540442777,1563.1897338934111,-34.58000000016028
0.25,0.5321198,0.1311125389303057,0.4826471589247923,0.4010072610696943,-586.1961502099059,14.800000000009561
0.255,0.53685905,0.1350205132650391,0.521142153177673,0.4018385367349609,-390.7974334733123,46.529999999904646
0.26,0.5416697,0.1389284875997725,0.5505130498027925,0.40274121240022753,-390.79743347336625,43.25000000015672
0.265,0.54655797,0.1430318606512426,0.5729010310146876,0.4035261093487573,-781.5948669468036,30.090000000200234
0.27,0.55152834,0.1471352337027127,0.5904507205330287,0.40439310629728725,976.9935836834512,18.599999999935335
0.275,0.55658375,0.1508478093207094,0.6052060035925716,0.40573594067929064,390.7974334734217,8.709999999825868
0.28,0.56172581,0.1549511823721795,0.6168904936204291,0.40677462762782046,-2735.582034313562,0.3599999997319969
0.285,0.56695499,0.1594453528571229,0.626436994053711,0.40750963714287713,-976.9935836835075,-16.68999999978803
0.29,0.57227082,0.1627671310416463,0.6370013924068056,0.40950368895835365,2930.980751050038,-61.19999999967541
0.295,0.57767205,0.1660889092261697,0.6478459087124023,0.4115831407738303,2540.183317576949,-97.59000000030787
0.3,0.58314668,0.1696060861274297,0.4846957435138604,0.41354059387257036,-195.39871673657512,-44.48000000017626
0.305,0.58867373,0.1737094591788998,0.5395173471621745,0.4149642708211002,-2735.5820343135965,52.880000000286
0.31,0.5942558,0.1780082309471066,0.7805905726181549,0.4162475690528934,-2344.784600839983,52.70000000010097
0.315,0.59991555,0.1821116039985766,0.7640372017348631,0.41780394600142334,976.9935836834143,-30.020000000163805
0.32,0.60565106,0.1852379834663634,0.5621116034625875,0.42041307653363663,2344.7846008399106,-89.54000000002787
0.325,0.61145021,0.1889505590843601,0.8230454729549945,0.4224996509156399,390.79743347336625,-108.0000000000324
0.33,0.61730244,0.1922723372688835,0.8315851311245135,0.4250301027311165,-1563.189733893178,-90.06999999996872
0.335,0.62318817,0.1965711090370902,1.0665091130991289,0.42661706096290986,-586.1961502100465,-52.12999999990441
0.34,0.62910194,0.1995020897881403,0.7534666517378966,0.42959985021185965,1172.3923004197854,-29.85000000016818
0.345,0.63503936,0.2034100641228737,0.7752944454641345,0.43162929587712634,2735.582034313524,-21.030000000054528
0.35,0.64099743,0.2063410448739237,0.8026974428952207,0.4346563851260763,1758.5884506300772,10.05000000013608
0.355,0.64697393,0.2106398166421305,0.604497040638226,0.43633411335786954,-3126.379467786926,82.45000000023586
0.36,0.65296788,0.2155247845605473,0.9239934989429254,0.43744309543945264,-3712.575617996478,131.319999999988
0.365,0.65900193,0.2200189550454906,0.9286219121658164,0.43898297495450933,-195.3987167365766,102.30999999976112
0.37,0.66509574,0.2239269293802241,0.9378200130640822,0.441168810619776,976.9935836829538,53.230000000040405
0.375,0.67125468,0.2278349037149575,0.9507779042097408,0.4434197762850425,195.39871673657512,21.229999999972904
0.38,0.67748332,0.2313520806162176,0.9677812137444296,0.4461312393837824,586.1961502104742,-31.480000000099977
0.385,0.68378541,0.2350646562342142,0.9869202434432626,0.44872075376578585,2735.5820343135624,-76.14999999986901
0.39,0.69015185,0.2379956369852643,0.7396582872717299,0.45215621301473574,976.9935836829169,-28.609999999815727
0.395,0.69656264,0.2422944087534711,0.8274288496210964,0.45426823124652893,-2930.9807510500677,47.71000000005182
0.4,0.70302518,0.2465931805216778,1.2055615781342772,0.45643199947832225,2.800106813083403e-10,50.979999999756814
0.405,0.70955776,0.2505011548564112,0.879395675549664,0.4590566051435888,2735.5820343131963,79.01999999973077
0.41,0.71615102,0.254213730474408,0.9480331384377108,0.461937289525592,-2344.78460084016,150.4000000001302
0.415,0.72282175,0.2596848945430347,1.714453046867314,0.4631368554569653,-3517.1769012599607,95.72000000019892
0.42,0.72960839,0.2635928688777681,1.186470473981785,0.4660155211222319,976.9935836834868,-51.99999999987881
0.425,0.73650501,0.2675008432125015,1.1824302737222756,0.4690041667874985,2149.385884103513,-127.42000000017117
0.43,0.74349301,0.2712134188304982,1.187576966617217,0.4722795911695018,195.3987167365396,-115.59000000033836
0.435,0.75055554,0.274925994448495,0.8817398997588951,0.475629545551505,-781.5948669469457,-79.5499999998128
0.44,0.75767746,0.2792247662167018,1.3025958129972015,0.47845269378329824,1172.3923004200262,-73.55999999958831
0.445,0.76485775,0.2821557469677518,0.958103911329632,0.4827020030322482,1.4352963262354024e-10,-80.49999999997218
0.45,0.77208219,0.2868453161694319,1.0323536221544003,0.4852368738305681,-1563.189733893215,-47.96000000041542
0.455,0.77933808,0.2903624930706919,1.0943665704487875,0.48897558692930815,1367.79101715685,-7.4299999999993815
0.46,0.7866267,0.2940750686886886,1.1409388855342395,0.4925516313113114,1172.3923004198473,1.810000000264722
0.465,0.79394857,0.2979830430234221,1.1761829367102443,0.49596552697657786,-2149.3858841036035,-15.250000000293312
