time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.0005306487331062,-0.0732745187762513,0.3690304381861159,0.07380516750935749,-2.007283228522283e-11,2903.7825987084075
0.005,0.0025644317817439,-0.073469917492988,0.3801800275244502,0.07603434927473189,-195.39871673680977,2287.970566478202
0.01,0.0063735649659334,-0.0732745187762513,0.3982516442708843,0.0796480837421847,-1.6086687537608668e-10,-334.367435037414
0.015,0.0116345894494771,-0.0730791200595146,0.4235809784724234,0.0847137095089917,586.196150210032,-2220.787021760098
0.02,0.0180551520363424,-0.0726883226260413,0.4537296183735542,0.0907434746623837,-390.79743347322466,-1985.4259522930784
0.025,0.0253729712526307,-0.0719067277590946,0.4864082911079354,0.0972796990117253,-781.5948669466003,-1760.5124006915105
0.03,0.0333546229225731,-0.0709297341754113,0.5214261718498727,0.1042843570979844,2344.7846008399056,-1547.51357042411
0.035,0.0417941512389116,-0.0703435380252012,0.5606839042897014,0.1121376892641128,2930.9807510499923,-1347.5963431236034
0.04,0.050511465223934,-0.0687803482913079,0.5964404818737029,0.1192918135152419,-1563.189733893202,-1161.255073715808
0.045,0.0593506158378957,-0.0660447662569945,0.6269367383961422,0.1253953820948902,-2930.9807510501005,-988.4655051276809
0.05,0.0681780825973015,-0.0633091842226811,0.6573685414824745,0.1314872668199826,-8.594724931754172e-11,-829.2334855811133
0.055,0.0768811099758672,-0.0605736021883677,0.6871721701741119,0.13745471216423488,781.5948669466782,-683.7586213489462
0.06,0.0853660095375479,-0.057447222720581,0.7139263906215629,0.1428132322581289,195.39871673659104,-552.0268116426562
0.065,0.093556400167245,-0.0539300458193209,0.7372479533281486,0.1474864459865659,1.3278622645884752e-10,-433.5522718162222
0.07,0.1013914874233243,-0.0504128689180609,0.7587892485956135,0.1518043563413852,-2149.385884103224,-327.6903027209528
0.075,0.1088244596003864,-0.0459186984331175,0.7734320000927498,0.1547431580335039,-1563.1897338935346,-233.94428230793983
0.08,0.1158209639828144,-0.0422061228151207,0.7897979865859889,0.1580270867979351,2735.582034313318,-151.76175675023273
0.085,0.1223575979725705,-0.0386889459138607,0.8048431448866787,0.1610465438864312,586.1961502101042,-80.2902924451173
0.09,0.1284204949337103,-0.0343901741456539,0.8136117176994245,0.1628106690793642,-3907.974334733397,-18.604983027948947
0.095,0.134004053527047,-0.0295052062272372,0.8170561275934961,0.1635092597542842,586.1961502099086,33.918650042431864
0.1,0.1391097899835669,-0.0263788267594504,0.8269094771134117,0.1654886167430173,3126.3794677867772,77.75316354086226
0.105,0.143745221280788,-0.0222754537079804,0.8295304193638388,0.1660206749887684,-586.1961502098034,113.67915151117677
0.11,0.1479227677824266,-0.0175858845063003,0.8269365263613044,0.1655086522887269,-781.5948669468789,142.62957228456912
0.115,0.1516588543973344,-0.0138733088883035,0.8270259075841666,0.16553216328563788,-1758.5884506303255,165.31406374809603
0.12,0.1549731074818006,-0.0085975435364134,0.8171958072376928,0.163570651018214,-1172.3923004199373,182.35053536038708
0.125,0.1578875824489707,-0.0050803666351534,0.814164266359759,0.1629679490841241,1172.3923004202097,194.37985654004774
0.13,0.160426123145437,-0.00117239230042,0.8073026732024365,0.161598515445857,-586.1961502098561,202.05183895514665
0.135,0.1626137559710573,0.00293098075105,0.7977124321003981,0.1596827752200073,-7.247535904753022e-11,205.9880272460075
0.14,0.1644761946298758,0.0058619615021001,0.7923604896610089,0.1586142331277757,976.993583683145,206.6443814500974
0.145,0.1660394268025493,0.0095745371200968,0.7816063868518071,0.1564648896824525,1758.588450630139,204.38845369739443
0.15,0.1673293099623631,0.0125055178711468,0.7733961405893897,0.1548237920912163,3517.1769012602176,199.6722567993487
0.155,0.1683712393248969,0.0158272960556702,0.761993089834453,0.15254394326922668,195.39871673663197,193.04860081657364
0.16,0.1691898575965962,0.0205168652573503,0.7426352898685579,0.14867299233924589,-3321.7781845234654,185.01459946161663
0.165,0.1698088657948994,0.0252064344590304,0.7222800485988801,0.144602431335869,-2540.1833175767943,175.89134610531528
0.17,0.1702508861333917,0.0300914023774472,0.7000633616970235,0.1401594837559445,-195.3987167366491,165.958980982948
0.175,0.1705373208120184,0.0343901741456539,0.6800001170473357,0.1361471466663645,781.5948669466858,155.46425760014586
0.18,0.170688286918855,0.0386889459138607,0.659259841379055,0.13199934100499428,781.5948669466145,144.49639899641812
0.185,0.1707225633572369,0.0431831163988041,0.6369593732571034,0.1275394469584328,1758.5884506301043,133.15266956599442
0.19,0.1706575242105861,0.0470910907335375,0.6170935075388673,0.12356643347704861,-1563.1897338932433,121.76959183548757
0.195,0.1705090898295513,0.0523668560854276,0.5899718702251906,0.11814223374412369,-4494.170484943482,110.783449501745
0.2,0.1702917506781511,0.0570564252871077,0.5654368175405474,0.11323532539104342,586.196150209832,100.33267260855135
0.205,0.170018669820797,0.0603782034716311,0.5474621135957665,0.1096404663491659,2735.582034313494,90.22967920447718
0.21,0.1697017497710517,0.0640907790896278,0.5273143082687419,0.1056109706814239,1367.7910171569524,80.34699948972028
0.215,0.1693516360035827,0.0678033547076245,0.5070005997507615,0.10154828129595819,2344.784600839912,70.7122952733385
0.22,0.1689777511684924,0.0709297341754113,0.4894990689638548,0.09804801699308109,195.39871673653965,61.42069238183718
0.225,0.168588335377398,0.0760101008105647,0.4621499894145986,0.09257823456683331,-2149.3858841032757,52.78398199429524
0.23,0.1681904671657465,0.0799180751452981,0.4406194925884282,0.08827239202044841,-1563.1897338933861,45.13156738472196
0.235,0.1677901886346248,0.0851938404971882,0.4122382458979727,0.0825963481374366,-390.79743347335034,38.297145491022015
0.24,0.1673926817448084,0.0889064161151849,0.39168701153859,0.07848626562962349,-976.9935836833703,31.905757876273604
0.245,0.1670023273426478,0.0937913840336017,0.3653097424794495,0.07321094330904611,-1953.9871673666798,26.112153784971852
0.25,0.166622692051169,0.0975039596515984,0.3448481619670687,0.0691187323995706,3907.974334733518,21.187462415142093
0.255,0.1662566572593433,0.1008257378361218,0.326408676313321,0.0654309194232215,6252.758935573287,16.624374956073396
0.26,0.1659066102386133,0.1037567185871719,0.3100032008368183,0.0621498916514414,-5080.36663515349,11.955905008562596
0.265,0.1655743658471264,0.110204876239482,0.2761009213237516,0.0553694896076444,-7620.549952729961,7.850836666243296
0.27,0.1652610606820974,0.1139174518574787,0.2559713019733578,0.05134360882461869,3126.379467786731,4.923743773233014
0.275,0.1649674090110057,0.1168484326085288,0.239846817354605,0.04811897640247691,4103.373051470087,2.6117834070054045
0.28,0.1646938942182875,0.1203656095097888,0.2208923008782782,0.0443282847084987,390.7974334732747,0.2622598696793972
0.285,0.1644407104947544,0.1238827864110489,0.2020408015089961,0.040557924083705496,390.79743347316526,-1.953129287209265
0.29,0.1642077226305907,0.1272045645955723,0.1842660641094759,0.037003158035018385,390.79743347341025,-3.686115546166974
0.295,0.1639945325582422,0.1316987350805157,0.1607285355981479,0.03229579747772651,1563.1897338935178,-5.133052651906667
0.3,0.1638005927897197,0.1348251145483024,0.1441263588367075,0.028975478241417302,-1563.189733893357,-6.5862212722933435
0.305,0.1636251890859229,0.1406870760504025,0.1139390683433076,0.022938113035520402,-3321.7781845234867,-7.706263967754921
0.31,0.1634673716430226,0.1447904491018726,0.092632744300323,0.01867692254115,195.3987167366476,-9.202627214861536
0.315,0.1633260938565243,0.149284619586816,0.069455205686209,0.01404147426970831,-195.39871673652397,-13.798160675051456
0.32,0.1632003529265317,0.1537787900717594,0.0463565609658359,0.009421562854772303,-1172.3923004199012,-19.780579750516814
0.325,0.1630880442428314,0.1576867644064928,-0.0007493732647476,0.005401279836338618,-976.9935836835555,-19.214147267305705
0.33,0.1629857384795719,0.1615947387412263,-0.0007467190702933,0.0013909997383456107,-195.3987167368091,-10.862002933258445
0.335,0.1628912596650938,0.164721118209013,-0.000743445554898,-0.001829858543919205,2735.5820343135756,-3.425345372818221
0.34,0.1628043141548759,0.1672613015265897,-0.0007385264229177,-0.004456987371713794,1953.9871673665807,-1.6845164507015902
0.345,0.1627248781203782,0.1701922822776398,-0.0007311406378375,-0.0074674041572616034,-1758.5884506301554,-2.5592636132999758
0.35,0.1626526546070709,0.1735140604621632,-0.0550288108057384,-0.010861405855092293,-1172.3923004197216,-2.885072841074706
0.355,0.1625872150922339,0.1760542437797398,-0.068044837042431,-0.013467028687505905,195.39871673664697,-2.3476964993918124
0.36,0.1625282005725436,0.1785944270973166,-0.0810265552491374,-0.016066226524772992,-586.1961502102619,-1.6616138968927778
0.365,0.1624753855078198,0.1811346104148933,-0.0939766798974406,-0.0186592249070735,1172.3923004202047,-1.121387937708107
0.37,0.1624286043547946,0.1826978001487866,-0.1020100398821465,-0.020269195793992,1953.9871673669004,-0.35496631017651836
0.375,0.162387727753239,0.18484718603289,-0.1129412557915394,-0.022459458279650985,-1172.392300420169,0.9481868750427225
0.38,0.1623527445658862,0.1869965719169934,-0.1238389728148749,-0.024643827351107206,-2540.18331757695,2.28653921148236
0.385,0.1623238868621814,0.1891459578010968,-0.1347005366482715,-0.026822070938915393,-586.1961502100131,2.665529903325133
0.39,0.1623015693926934,0.1903183501015168,-0.1406434612543041,-0.02801678070882338,1172.3923004202402,1.9992460685358537
0.395,0.1622861493738584,0.1914907424019368,-0.1465499723369493,-0.0292045930280784,1172.3923004200974,1.9088562265068276
0.4,0.1622777443651196,0.1920769385521468,-0.1494900367617978,-0.0297991941870272,-390.79743347348744,3.389955922195224
0.405,0.1622765145343386,0.1930539321358302,-0.1543409988202189,-0.03077741760149158,-976.9935836834276,4.1930546943549025
0.41,0.1622831783393912,0.1934447295693035,-0.1562214918323782,-0.031161551229912293,586.1961502100207,2.5009134416718695
0.415,0.1622983722995442,0.1934447295693035,-0.1561053308088336,-0.03114635726975931,781.5948669467103,0.6238885309882036
0.42,0.1623220643702027,0.1934447295693035,-0.1559478165183255,-0.031122665199100813,-195.3987167365409,0.5292168620130013
0.425,0.1623542235829168,0.1932493308525668,-0.1547695824426433,-0.030895107269650002,0.0,0.6719184989378988
0.43,0.162395026346085,0.1928585334190935,-0.1525688744782049,-0.030463507073008517,-7.116796041373163e-11,-0.24431559481286058
0.435,0.1624445976013184,0.1922723372688835,-0.1493489709070112,-0.02982773966756508,-586.1961502100133,-0.7166096528266053
0.44,0.162502736185537,0.1916861411186735,-0.1460875430406949,-0.02918340493313648,390.7974334732239,0.47004432929044526
0.445,0.1625692500391543,0.1905137488182535,-0.1398531577963461,-0.027944498779099214,1758.5884506300754,1.404803600237841
0.45,0.162644477278906,0.1893413565178334,-0.1335762755571651,-0.026696879238927412,586.1961502101556,0.22582676244553568
0.455,0.1627286509407537,0.1883643629341501,-0.1282336608996925,-0.0256357119933964,-1172.392300420062,-2.2657785980584038
0.46,0.1628216544297921,0.1875827680672034,-0.123827795896417,-0.02476111363741129,-1367.7910171568628,-3.8632650869628193
0.465,0.1629230261328791,0.1864103757667834,-0.1174280766608738,-0.02348734963390431,-781.5948669467415,-2.4150559361045225
0.47,0.1630320018595973,0.1852379834663634,-0.1109919165114485,-0.022205981606766095,976.9935836836289,0.7775802631824256
0.475,0.1631485123504435,0.1832839962989966,-0.1006090712504046,-0.020135483948553107,2344.784600840099,1.2794784867152558
0.48,0.1632731045123855,0.1815254078483666,-0.091164281972233,-0.0182523033359811,390.7974334731531,-1.5341451107531157
0.485,0.1634058871737101,0.1799622181144733,-0.0826578605443978,-0.016556330940763198,-1758.588450629899,-3.207260576161314
0.49,0.1635462418666434,0.1787898258140532,-0.0760694275367389,-0.015243583947409794,-586.1961502100494,-1.5303208879657397
0.495,0.1636936164575681,0.1768358386466866,-0.0655405599929042,-0.01314222218911848,976.9935836831312,-0.09360658864916616
0.5,0.1638482066617949,0.1752726489127932,-0.0569305628209053,-0.011424442250998312,586.1961502100849,-2.0500334496631893
0.505,0.1640101698811296,0.1733186617454265,-0.0463304824227838,-0.009308491864296914,-781.5948669465542,-4.373475864945004
0.51,0.1641789052912513,0.1719508707282698,0.0002305399900561,-0.007771965437018524,-781.5948669466608,-2.03933071425406
0.515,0.1643534974109449,0.1699968835609031,0.0002476907828046,-0.005643386149958185,1563.1897338932501,3.123257968589183
0.52,0.1645339642791476,0.1680428963935364,0.0002637117366673,-0.0035089321143887964,2149.385884103264,2.9500130343151447
0.525,0.1647215597162998,0.1660889092261697,0.0002765284997575,-0.001367349509869914,-586.1961502098711,-3.3944763135096814
0.53,0.1649165068834525,0.1651119156424863,0.0002867819102297,-0.00019540875903381605,-1953.9871673665098,-6.0791611092980204
0.535,0.1651173068102285,0.1637441246253296,0.0002938344787755,0.0013731821848988746,-195.3987167366828,-1.3942373182728822
0.54,0.1653231386278524,0.1625717323249096,0.00029832637378,0.0027514063029427938,1172.3923004197247,3.0393390255056794
0.545,0.1655346595316218,0.1610085425910163,0.0002984694102877,0.004526116940605507,-1.2468603927118238e-10,3.923011981861176
0.55,0.1657524652750291,0.1602269477240696,0.0002951333599979,0.005525517550959508,-586.1961502096583,5.991322292331255
0.555,0.1659766572195052,0.1590545554236495,0.0002890140402701,0.006922101795855701,390.797433473384,8.107423191176977
0.56,0.1662084098369644,0.1580775618399662,0.0002795179451598,0.008130847996998175,390.7974334730998,3.9311580652069154
0.5650000000000001,0.166449291196171,0.1572959669730195,0.0460339415455009,0.009153324223151488,1.418811734765768e-10,-3.4838419547965778
0.5700000000000001,0.1666990797368495,0.1565143721060728,0.0511788002516299,0.010184707630776696,-390.79743347333283,-5.556731996349736
0.5750000000000001,0.1669564926196844,0.1561235746725995,0.0544056045282456,0.010832917947084908,-195.39871673681841,-1.7110650774651255
0.58,0.1672209911327296,0.1555373785223895,0.0586442295210855,0.011683612610340094,390.7974334734968,2.967313227130912
0.585,0.1674927047580491,0.1551465810889161,0.0619403055169726,0.012346123669132986,-195.39871673669646,4.72471509826952
0.59,0.1677724329595272,0.1549511823721795,0.0642981560302568,0.012821250587347705,-390.79743347347244,3.853922476331114
0.595,0.1680608949244922,0.1547557836554428,0.066698631537205,0.013305111269049402,390.7974334734903,3.8845425727630243
0.6,0.1683581299323407,0.1545603849387061,0.0691432873593872,0.013797744993634592,195.39871673673625,4.4837162678491325
0.605,0.16866491704149,0.1545603849387061,0.0706589621850429,0.014104532102783895,-586.1961502100489,2.871278466898275
0.61,0.1689819665937427,0.1547557836554428,0.0712491573070544,0.014226182938299914,-195.39871673673625,1.6424304186556569
0.615,0.1693092548253104,0.1547557836554428,0.072867700740942,0.014553471169867604,-1.598721155460224e-10,4.462484578802069
0.62,0.1696468142222002,0.1549511823721795,0.0735618856428827,0.014695631850020707,-390.7974334732238,7.622101212234696
0.625,0.169995550706372,0.1551465810889161,0.0743129793613348,0.01484896961745591,390.79743347352576,3.7619752399820925
0.63,0.170357135302292,0.1551465810889161,0.0761072760861236,0.015210554213375888,781.5948669465364,-3.630239400749332
0.635,0.1707314267858871,0.1553419798056528,0.0769896887567349,0.015389446980234284,-195.39871673670072,-2.2879622752115267
0.64,0.171116691809258,0.1557327772391261,0.0769500854556139,0.015383914570131912,-195.39871673657638,7.37521334965416
0.645,0.1715132528244549,0.1561235746725995,0.0769682002039126,0.015389678151855407,0.0,12.94153812359874
0.65,0.1719231957808231,0.1565143721060728,0.0770530649704681,0.0154088236747503,-781.5948669466964,8.501244731533568
0.655,0.1723484040354251,0.1572959669730195,0.0752612914705772,0.015052437062405583,-8.881784197001252e-11,-1.305244131657446
0.66,0.1727895887551108,0.1574913656897562,0.0764800488151248,0.01529822306535461,781.5948669466252,-7.157922209728618
0.665,0.1732453816635292,0.1580775618399662,0.0758187443101762,0.015167819823562995,-390.7974334733126,-6.540475505794234
0.67,0.1737145654879895,0.1586637579901762,0.0752251018848039,0.01505080749781329,-390.7974334733126,-6.180981816221546
0.675,0.1741970277865575,0.1592499541403862,0.0746972676696299,0.014947073646171288,781.5948669467496,-5.825379431669653
0.68,0.1746915855039534,0.1596407515738595,0.0752075869638403,0.015050833930093876,586.196150210049,0.6312306468103657
0.685,0.1751971614226937,0.1604223464408062,0.0738195563626542,0.014774814981887513,-586.1961502099778,8.035950327460732
0.6900000000000001,0.1757148234235708,0.1612039413077529,0.0724912430245192,0.014510882115817914,-976.9935836831842,5.821850424858603
0.6950000000000001,0.1762464138025847,0.1621809348914362,0.0702561576351099,0.01406547891114851,390.79743347320994,-3.4846264078675233
0.7000000000000001,0.1767923151971692,0.1627671310416463,0.0700459280444688,0.014025184155522896,1172.392300419622,-5.099119422453114
0.705,0.1773506067766553,0.163548725908593,0.0689212567973231,0.013801880868062277,-586.1961502099398,4.009120716474165
0.71,0.1779205761983407,0.164721118209013,0.0659014683959441,0.013199457989327701,-1367.7910171564072,5.2285896937215455
0.715,0.1785046412254831,0.1656981117926963,0.0639295362472422,0.01280652943278679,195.39871673675384,-9.717619886053605
0.72,0.1791036155478018,0.166479706659643,0.0630094518714726,0.012623908888158786,976.9935836833083,-20.120854114402654
0.725,0.1797137457387618,0.1672613015265897,0.0621453930096037,0.01245244421217212,-195.39871673682524,-12.747933113388392
0.73,0.1803317156256664,0.1682382951102731,0.0603437359803292,0.012093420515393305,-976.9935836833793,-4.180171390260053
0.735,0.180957799462377,0.1692152886939564,0.0585828062493291,0.011742510768420589,390.7974334734018,-8.450809847886369
0.74,0.1815921284988212,0.1698014848441664,0.0588172157237594,0.011790643654654792,976.9935836832728,-16.13958050707963
0.745,0.1822326222249384,0.1705830797111131,0.0581067060542191,0.0116495425138253,1.772946234268602e-10,-15.01319579407577
0.75,0.1828764033574182,0.1715600732947964,0.0564354904660549,0.01131633006262181,1.7746515368344262e-10,-7.471299254113711
0.755,0.183522074445939,0.1723416681617431,0.0557517489082085,0.011180406284195893,-195.39871673693148,-2.0001423905213747
