time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.005261009466207,-0.0679987534243612,0.3663022649323375,0.0732597628905682,781.5948669465911,28610.112537006273
0.005,0.0254121260203193,-0.0679987534243612,0.4670606080864959,0.09341087944468049,976.9935836833812,22435.546329221957
0.01,0.063116878159465,-0.0679987534243612,0.6555865770891015,0.1311156315838262,781.5948669468045,-3591.5825196484
0.015,0.1151266865671138,-0.0676079559908879,0.9136822484456488,0.1827346425580017,586.1961502099427,-22227.487669152135
0.02,0.1785155643520117,-0.0670217598406778,1.2276938494879603,0.24553732419268953,1953.9871673666114,-19852.18708485241
0.025,0.2506619920328299,-0.0660447662569945,1.5835384241089,0.3167067582898244,1758.5884506300706,-17573.927907494064
0.03,0.3292295803746951,-0.0644815765231011,1.9685514394979795,0.3937111568977962,-1563.1897338934127,-15394.705250180323
0.035,0.4121658553326152,-0.0613551970553144,2.3675845335493664,0.4735210523879296,-2149.38588410339,-13364.761660466862
0.04,0.497684998320021,-0.058619615021001,2.7814777299970856,0.556304613341022,9.731593308970332e-11,-11517.830358641351
0.045,0.5842435712162891,-0.055102438119741,3.1966489210802838,0.6393460093360301,-976.9935836833002,-9836.726877949786
0.05,0.6705170565275227,-0.0515852612184809,3.6103834294593646,0.7221023177460036,-2735.5820343133964,-8262.999665529125
0.055,0.7553773093252106,-0.0472864894502742,4.013133654952998,0.8026637987754849,390.79743347328866,-6770.627736463921
0.06,0.8378890281192501,-0.0443555086992241,4.410972048727783,0.8822445368184743,2344.7846008400147,-5414.702780411813
0.065,0.9173040699938506,-0.0406429330812274,4.78941949110052,0.957947003075078,-781.5948669466813,-4233.734132909602
0.07,0.9930302853587398,-0.0365395600297573,5.147467989621406,1.0295698453884972,-1172.3923004199182,-3186.343715799627
0.075,1.064609150441797,-0.0328269844117606,5.4867388153909165,1.0974361348535575,390.7974334734918,-2230.3064713507447
0.08,1.1317070941130816,-0.0289190100770272,5.802635564189711,1.1606261041901087,-195.3987167368764,-1381.5221836071687
0.085,1.1941062069532502,-0.0250110357422937,6.095045327930222,1.219117242695544,-976.993583683605,-674.5974666519469
0.09,1.2516891479109251,-0.0211030614075603,6.363382267855768,1.2727922093184854,-390.7974334732197,-102.01350962330616
0.095,1.304413717344603,-0.0173904857895636,6.608410772223012,1.3218042031341668,1367.7910171568133,378.42220970602284
0.1,1.3523018492856185,-0.0140687076050402,6.83121736923654,1.3663705568906588,781.594866946695,813.3424444652082
0.105,1.3954296681062324,-0.0103561319870435,7.028272297674649,1.405785800093276,-1758.588450630003,1225.2860332766759
0.11,1.4339236204468675,-0.0064481576523101,7.2011851576441765,1.4403717780991776,-390.7974334733819,1562.970612517358
0.115,1.4679674016826034,-0.0031263794677867,7.354781548852254,1.4710937811503901,2540.183317576687,1768.1532727101367
0.12,1.4977797474279488,0.0,7.488200481001659,1.4977797474279488,195.39871673668867,1880.5250857445935
0.125,1.5235898886862334,0.0039079743347334,7.597702596228705,1.5196819143515,-2735.582034313382,1972.6165127687673
0.13,1.5456383835015728,0.0078159486694668,7.688398223119166,1.537822434832106,-390.7974334732668,2062.2784131217013
0.135,1.5641776542028671,0.0109423281372535,7.76545709887665,1.5532353260656135,1563.1897338934125,2127.023202656317
0.14,1.5794721451805078,0.0142641063217769,7.825317348674024,1.5652080388587308,781.5948669465479,2143.2370507110554
0.145,1.5917929766456258,0.0175858845063003,7.870309963742428,1.5742070921393254,-1.3710632629226893e-10,2107.8607379522273
0.15,1.6014080556674108,0.0209076626908237,7.901773196701249,1.580500392976587,-781.594866946572,2034.8504412490693
0.155,1.608579093065221,0.0246202383088204,7.919062888618327,1.5839588547564007,-390.79743347317157,1951.8663260802732
0.16,1.6135539757002335,0.0277466177766071,7.928303310868863,1.5858073579236265,586.1961502100352,1866.7962569205047
0.165,1.6165708539029018,0.0312637946778672,7.92580014250743,1.5853070592250347,586.1961502099101,1755.1287352332956
0.17,1.617861771605056,0.0343901741456539,7.916621493784489,1.5834715974594022,195.39871673642682,1642.9227430901801
0.175,1.617635055415588,0.0381027497636507,7.896923962831342,1.5795323056519373,781.5948669467614,1562.8504618209327
0.18,1.6160865721171125,0.041424527948174,7.872571797883688,1.5746620441689385,3.410605131648481e-10,1454.400001020147
0.185,1.6134146203463706,0.0453325022829074,7.839671481330187,1.5680821180634632,-781.5948669467766,1297.4917177186258
0.19,1.6097912276982231,0.0496312740511142,7.800060110427514,1.560159953647109,976.9935836831073,1158.4136191021312
0.195,1.6053639486962694,0.0529530522356376,7.761314385438407,1.5524108964606318,-1953.987167366722,1046.6565111926152
0.2,1.6002732300661064,0.0582288175875277,7.709481614282764,1.5420444124785788,-3712.5756179966356,948.8653282718897
