time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.005072080386148,-0.0439647112657508,0.2451839582594941,0.0490367916518988,1172.3923004199776,27730.962824005415
0.005,0.0245106217206553,-0.0437693125490141,0.3413996713483475,0.0682799342696694,1172.3923004200933,21830.870861161333
0.01,0.0609137153762721,-0.0437693125490141,0.5234151396264315,0.10468302792528619,390.79743347340343,-3244.1870733101387
0.015,0.1111822904438916,-0.0431831163988041,0.7718258840536469,0.1543654068426957,390.79743347318833,-21258.16105368478
0.02,0.1725153258697765,-0.0427923189653307,1.0765350037280073,0.2153076448351072,1758.588450630092,-18987.968059926086
0.025,0.2424043581480395,-0.0420107240983841,1.4220682342347664,0.2844150822464236,1758.5884506303,-16831.577567499044
0.03,0.3186187508129764,-0.0406429330812274,1.7962934765944822,0.3592616838942038,781.5948669466084,-14795.529731190301
0.035,0.3991888567731729,-0.038493547197124,2.188383963312607,0.4376824039702969,390.7974334731034,-12876.747342667106
0.04,0.4823924126383729,-0.0355625664460739,2.589727146674828,0.5179549790844468,-1367.7910171567162,-11082.774991154003
0.045,0.5667402565881013,-0.0318499908280772,2.9928635812101927,0.5985902474161785,-3907.9743347332856,-9424.085880507755
0.05,0.6509595640032988,-0.0271604216263971,3.390463094181664,0.6781199856296959,-1953.9871673665832,-7901.678007375288
0.055,0.733975782601671,-0.0234478460084004,3.786928164688664,0.7574236286100714,195.3987167366763,-6510.355297267691
0.06,0.8148961190272461,-0.0193444729569303,4.170944012367153,0.8342405919841764,-1.9520030036801472e-10,-5246.968605507025
0.065,0.8929937568065066,-0.0152410999054602,4.54084520857466,0.9082348567119668,2344.7846008399274,-4109.37459380461
0.07,0.9676917224129478,-0.0119193217209368,4.897660842460436,0.9796110441338846,976.993583683473,-3092.0155167317043
0.075,1.038547210597101,-0.0072297525192568,5.228427843355265,1.0457769631163578,-2344.7846008399165,-2188.0907173794894
0.08,1.1052369995665985,-0.0025401833175767,5.538373116181159,1.1077771828841751,-1563.189733893276,-1396.6020909072067
0.085,1.1675441284567227,0.0015631897338933,5.829344934244215,1.1659809387228295,-2540.183317576819,-720.1791828113564
0.09,1.2253438597708193,0.0064481576523101,6.093880032158609,1.2188957021185092,-781.5948669468271,-148.40530463714458
0.095,1.2785879082944642,0.0095745371200968,6.344436252026864,1.2690133711743674,4103.373051470219,343.76824714570466
0.1,1.3272921238427986,0.0125055178711468,6.573275575524625,1.3147866059716518,3321.7781845234877,771.701042784207
0.105,1.3715301448056887,0.0160226947724069,6.776858315441847,1.3555074500332818,586.1961502099844,1132.6372839264113
0.11,1.411425560029682,0.0197352703904036,6.957755329159087,1.3916902896392782,-2344.784600840179,1418.735770611327
0.115,1.44714253903318,0.0242294408753471,7.1138556243016655,1.4229130981578328,-3907.974334733606,1626.7912933170574
0.12,1.4788768056153958,0.0287236113602905,7.250045106827873,1.4501531942551054,-586.1961502099194,1771.373818407672
0.125,1.5068438267475497,0.0318499908280772,7.374239516781584,1.4749938359194725,2149.3858841036167,1879.0113372463766
0.13,1.5312726518932578,0.0355625664460739,7.477813725725642,1.4957100854471839,2149.385884103405,1955.4548493019338
0.135,1.5524053817672054,0.0382981484803873,7.569794984128044,1.5141072332868182,-1.1226575225009574e-10,1988.0117172709488
0.14,1.5704921102005136,0.0424015215318574,7.639708176400621,1.5280905886686562,-1172.3923004201076,1982.1277948463157
0.145,1.585782658941449,0.0457232997163808,7.69954916147339,1.5400593592250682,1367.7910171565854,1959.7926998477815
0.15,1.5985231922544345,0.0492404766176409,7.745663649364585,1.5492827156367937,586.1961502099939,1926.1071144459002
0.155,1.6089577860651267,0.0529530522356376,7.779271904994115,1.5560047338294891,-3126.3794677865735,1868.1671107174225
0.16,1.6173256907548683,0.057447222720581,7.798639107750949,1.5598784680342874,1.4921397450962104e-10,1783.345959807144
0.165,1.623856870252685,0.0605736021883677,7.815661933287373,1.5632832680643174,3517.176901260106,1688.724401311374
0.17,1.6287677728125318,0.0638953803728911,7.823606615473009,1.5648723924396408,-1563.1897338934962,1593.9554788451305
0.175,1.6322632574639306,0.0685849495745712,7.817634290808987,1.5636783078893595,-2735.5820343135592,1489.7776607171108
0.18,1.6345381628287374,0.0721021264758313,7.811421411596627,1.5624360363529062,2540.183317576635,1383.302144457744
0.185,1.6357709031777086,0.0754239046603547,7.800975005194791,1.560346998517354,2149.385884103406,1290.6394460077286
0.19,1.6361266384642017,0.0793318789950881,7.78321283617433,1.5567947594691136,-2149.385884103192,1192.2839869447425
0.195,1.6357631095384766,0.0836306507632948,7.759900553681263,1.5521324587751817,-2344.78460083998,1065.8865834781693
0.2,1.634823839164932,0.0877340238147649,7.734686713337465,1.547089815350167,781.5948669465969,932.170236494296
0.205,1.6334321605331794,0.0910558019992883,7.711118930681103,1.5423763585338912,976.9935836832996,822.2044124590915
0.21,1.6316956515144072,0.0949637763340217,7.682897265213422,1.5367318751803856,781.5948669465919,745.2668652703704
0.215,1.6297102263983116,0.0984809532352818,7.655384856166521,1.53122927316303,976.9935836833957,688.9155221179508
0.22,1.627564279925086,0.1019981301365418,7.627069720125995,1.5255661497885442,-1172.3923004198657,618.8820259134774
0.225,1.6253425739991436,0.1066876993382219,7.592513729153405,1.5186548746609216,-390.79743347327246,519.446000272126
0.23,1.6231186399190862,0.1098140788060086,7.565762469146602,1.5133045611130775,586.1961502099589,429.77975780672955
0.235,1.6209480853615883,0.1145036480076887,7.5314620965366466,1.5064444373538997,586.1961502098451,388.46791919581773
0.24,1.6188781774966805,0.1180208249089488,7.503526869654553,1.5008573525877318,-9.237055564881302e-11,370.0118948299267
0.245,1.6169565402434531,0.1225149953938922,7.471447988522698,1.494441544849561,-2735.582034313277,313.14304864537246
0.25,1.615231360577064,0.1272045645955723,7.439375520389381,1.4880267959814917,586.1961502102099,209.90713823749672
0.255,1.6137379505395677,0.1307217414968323,7.414323606661222,1.4830162090427355,3321.7781845233094,129.02100471705944
0.26,1.6124913322088827,0.1346297158315658,7.388551460106631,1.477861616377317,-1563.1897338936242,113.55572865937813
0.265,1.6115022233881693,0.1397100824667192,7.358204736245296,1.47179214092145,-3321.778184523292,107.27696398078024
0.27,1.6107871133968532,0.1436180568014526,7.335089837349448,1.4671690565954005,-1172.3923004197081,34.81732460500098
0.275,1.6103629145179177,0.1479168285696593,7.311475402301256,1.4624460859482584,1758.5884506300458,-68.71539405607905
0.28,1.6102259811049566,0.1508478093207094,7.296136166031217,1.4593781717842473,4103.373051469808,-99.2763827721833
0.285,1.6103548412534174,0.1541695875052328,7.280171843490916,1.4561852537481847,781.5948669466464,-49.99907077121338
