time,qd,q,tau,position_error,jerk,jerk_d
0.0,-9.503944866859592e-06,0.0,0.0,-9.503944866859592e-06,390.7974334732002,-52.01259975921044
0.005,-4.592962896270519e-05,0.0,0.0,-4.592962896270519e-05,6.779254821974447e-14,-40.98569320126117
0.01,-0.0001141536303031,0.0,0.0,-0.0001141536303031,-586.1961502098003,5.978343842898568
0.015,-0.0002083839315231,0.0001953987167366,0.0,-0.00040378264825970003,-4.745478375382112e-13,39.763882864259614
0.02,-0.0003233856434297,0.0,0.0,-0.0003233856434297,586.1961502097997,35.552370530705076
0.025,-0.0004544628246093,0.0,0.0,-0.0004544628246093,-1.355850964394889e-13,31.54274290520008
0.03,-0.0005974361013824,0.0,0.0,-0.0005974361013824,-195.3987167366001,27.752933233399848
0.035,-0.0007486139376906,0.0,0.0,-0.0007486139376906,0.0,24.173880366100185
0.04,-0.000904762261256,0.0,0.0,-0.000904762261256,0.0,20.818645394900205
0.045,-0.0010630843375336,0.0,0.0,-0.0010630843375336,0.0,17.73340197939941
0.05,-0.0012211902426844,0.0,0.0,-0.0012211902426844,0.0,14.927784037600263
0.055,-0.0013770553787434,0.0,0.0,-0.0013770553787434,0.0,12.352652135900362
0.06,-0.0015289866436882,0.0,0.0,-0.0015289866436882,0.0,9.975120457999463
0.065,-0.0016755992772824,0.0,0.0,-0.0016755992772824,0.0,7.831609829400094
0.07,-0.0018157988121315,0.0,0.0,-0.0018157988121315,0.0,5.955871858100494
0.075,-0.0019487409126926,0.0,0.0,-0.0019487409126926,0.0,4.314176094099853
0.08,-0.0020737951381849,0.0,0.0,-0.0020737951381849,0.0,2.84948594329952
0.085,-0.0021905244131159,0.0,0.0,-0.0021905244131159,0.0,1.5225682567998575
0.09,-0.0022986614457543,0.0,0.0,-0.0022986614457543,0.0,0.3469370371008935
0.095,-0.002398100292609,0.0,0.0,-0.002398100292609,0.0,-0.6327104675998712
0.1,-0.0024888751665829,0.0,0.0,-0.0024888751665829,0.0,-1.4462646444015874
0.105,-0.0025711216141348,0.0,0.0,-0.0025711216141348,0.0,-2.1865205244001373
0.11,-0.0026450690111383,0.0,0.0,-0.0026450690111383,195.39871673660002,-2.8981770354988186
