time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00776545,-0.0484588817506942,9.999,0.0562243317506942,0.0,42486.120000000185
0.005,0.03752719,-0.0484588817506942,10.09899,0.0859860717506942,-195.39871673661233,33470.680000000124
0.01,0.09326749,-0.0484588817506942,10.0999899,0.1417263717506942,-195.39871673660346,-4906.200000000128
0.015,0.17025085,-0.0484588817506942,10.099999898999998,0.2187097317506942,390.7974334732244,-32506.18000000013
0.02,0.26419733,-0.0486542804674308,10.09999999899,0.3128516104674308,390.7974334732066,-29056.09000000007
0.025,0.37126849,-0.0486542804674308,10.0999999999899,0.4199227704674308,-195.39871673661236,-25763.419999999925
0.03,0.48804879,-0.0486542804674308,10.099999999999898,0.5367030704674308,-195.3987167366035,-22646.629999999415
0.035,0.61152402,-0.0486542804674308,10.099999999999998,0.6601783004674308,0.0,-19717.580000000264
0.04,0.73905845,-0.0486542804674308,10.099999999999998,0.7877127304674308,0.0,-16985.63000000055
0.045,0.86837081,-0.0486542804674308,10.099999999999998,0.9170250904674309,3712.575617996706,-14455.999999999312
0.05,0.99750873,-0.0486542804674308,5.100499999999999,1.0461630104674307,8988.340969886793,-12129.140000000096
0.055,1.12482323,-0.0486542804674308,5.050504999999999,1.1734775104674309,1563.1897338933804,-10003.610000000986
0.06,1.24894363,-0.0449417048494341,5.050005049999999,1.2938853348494341,-9379.138403360066,-8075.5299999996605
0.065,1.36875214,-0.039665939497544,6.409138937700201,1.408418079497544,-4103.373051469973,-6338.929999999022
0.07,1.48335954,-0.0359533638795473,5.9365702143132,1.5193129038795472,1758.588450629962,-4789.530000000195
0.075,1.59208201,-0.0310683959611305,6.219826935949425,1.6231504059611304,-1172.3923004202013,-3421.2300000005635
0.08,1.69441753,-0.0257926306092404,6.9618554800515104,1.7202101606092404,-781.5948669466727,-2220.5699999997923
0.085,1.79002331,-0.0211030614075603,8.029270233126317,1.8111263714075603,1758.5884506301693,-1173.1800000001167
0.09,1.87869637,-0.0156318973389336,9.275615676947096,1.8943282673389334,4884.967918416584,-271.3700000003446
0.095,1.96035547,-0.0105515307037801,10.09175615676947,1.97090700070378,-390.7974334734629,491.89000000037413
0.1,2.03502288,-0.0037125756179967,10.099917561567691,2.0387354556179966,-11723.923004199942,1130.4800000001487
0.105,2.10280712,0.0054711640686267,10.099999175615675,2.0973359559313733,-4298.771768206659,1659.060000000114
0.11,2.16388895,0.0095745371200968,10.099999991756157,2.1543144128799034,5666.562785363329,2086.260000000402
0.115,2.21850874,0.0152410999054602,10.09999999991756,2.2032676400945395,2540.1833175766906,2419.6999999994914
0.12,2.26695364,0.0199306691071403,10.099999999999174,2.2470229708928597,390.79743347338245,2669.619999999235
0.125,2.30954659,0.0244248395920837,10.09999999999999,2.2851217504079164,195.3987167366206,2846.030000000359
0.13,2.34663665,0.0298960036607105,10.099999999999998,2.31674064633929,1172.3923004199098,2957.850000001359
0.135,2.37859029,0.0334131805619706,5.100499999999999,2.3451771094380294,9.521272659185342e-11,3013.4199999994307
0.14,2.40578401,0.039665939497544,5.050504999999999,2.366118070502456,586.1961502099949,3020.8999999984553
0.145,2.42859769,0.0433785151155408,5.050005049999999,2.3852191748844596,7034.35380251998,2987.660000000904
0.15,2.44740914,0.0492404766176409,5.0500000505,2.398168663382359,3712.575617996795,2919.1900000004043
0.155,2.46258969,0.0549070394030043,5.050000000504999,2.4076826505969957,-8792.942253150073,2822.659999999638
0.16,2.4744997,0.0656539688235212,5.050000000005049,2.408845731176479,-2149.3858841031906,2706.66000000062
0.165,2.48348548,0.0717113290423579,5.05000000000005,2.4117741509576422,4494.170484943429,2573.9499999991494
0.17,2.48987835,0.0801134738620348,5.05,2.4097648761379653,-11723.92300420056,2426.7499999996044
0.175,2.49399172,0.0916419981494983,5.05,2.4023497218505017,-7620.549952730416,2274.130000001288
0.18,2.49611904,0.0971131622181251,5.05,2.399005877781875,10746.929420516883,2120.3499999995984
0.185,2.49653516,0.1029751237202252,5.05,2.393560036279775,4103.373051470396,1961.3999999995685
0.19,2.4954959,0.1090324839390619,5.05,2.386463416060938,-3517.1769012598143,1798.3300000005866
0.195,2.49323615,0.1164576351750554,5.05,2.3767785148249447,2540.1833175765055,1636.509999999862
0.2,2.48997033,0.1199748120763155,5.05,2.3699955179236842,-2735.5820343137093,1478.6300000000033
0.205,2.48589302,0.128572355612729,5.05,2.3573206643872706,-2149.3858841034094,1327.0399999999076
0.21,2.48117884,0.1324803299474624,5.05,2.3486985100525377,8792.94225315017,1181.599999999327
0.215,2.4759844,0.1365837029989325,5.05,2.339400697001068,-3126.379467786731,1041.290000000287
0.22,2.47044847,0.1443996516683993,5.05,2.326048818331601,-9183.739686623227,910.7300000010789
0.225,2.46469189,0.149284619586816,5.05,2.3154072704131843,4884.9679184168535,791.7799999998444
0.23,2.45882051,0.1526063977713394,5.05,2.3062141122286604,7034.353802519858,679.189999998756
0.235,2.45292622,0.1574913656897562,5.05,2.295434854310244,-781.5948669467791,571.3800000000915
0.24,2.44708674,0.1619855361746996,5.05,2.2851012038253002,-3517.1769012600316,472.0900000009461
0.245,2.44136658,0.1682382951102731,5.05,2.2731282848897267,2540.1833175768065,383.1600000000872
0.25,2.43581854,0.1717554720115331,5.05,2.264063067988467,3517.176901260099,303.2199999992696
0.255,2.43048506,0.1780082309471066,5.05,2.2524768290528936,-3517.176901260221,231.19999999977506
0.26,2.42539907,0.1844563885994167,5.05,2.2409426814005835,-1953.9871673666876,167.38000000060515
0.265,2.42058488,0.1903183501015168,5.05,2.230266529898483,195.39871673682387,111.22999999997614
0.27,2.41605953,0.1965711090370902,5.05,2.21948842096291,-5471.164068626698,63.31000000074164
0.275,2.41183342,0.203214665406137,5.05,2.208618754593863,-976.9935836832466,25.599999999890542
0.28,2.40791115,0.2082950320412904,5.05,2.1996161179587093,10551.530703780181,-6.250000002118895
0.285,2.40429399,0.2112260127923405,5.05,2.19306797720766,1172.3923004198662,-38.01999999922782
0.29,2.40097953,0.218651164028334,5.05,2.182328365971666,-8988.340969886798,-65.21999999848458
0.295,2.39796034,0.2249039229639074,5.05,2.1730564170360926,586.1961502102981,-83.950000000925
0.3,2.39522665,0.2288118972986408,5.05,2.1664147527013595,586.1961502100835,-98.25000000034743
0.305,2.39276725,0.2352600549509509,5.05,2.157507195049049,-1953.9871673667944,-108.76999999993654
0.31,2.39056856,0.239363428002421,5.05,2.151205131997579,7815.948669466609,-115.63000000023737
0.315,2.38861647,0.2428806049036811,5.05,2.145735865096319,4494.170484943282,-123.36999999916884
0.32,2.38689649,0.2483517689723079,5.05,2.1385447210276918,-8597.54353641327,-130.70999999939647
0.325,2.38539237,0.2555815214915646,5.05,2.1298108485084355,-6448.157652310005,-132.17000000082658
0.33,2.38408707,0.2602710906932448,5.05,2.1238159793067553,3712.5756179967634,-129.05000000046118
0.335,2.38296424,0.2647652611781881,5.05,2.118198978821812,5666.5627853634305,-126.07999999971435
0.34,2.38200813,0.2686732355129216,5.05,2.1133348944870782,586.1961502098225,-123.65000000016505
0.345,2.38120303,0.2741443995815483,5.05,2.1070586304184515,-2149.3858841034744,-119.8400000004118
0.35,2.38053359,0.2792247662167018,5.05,2.1013088237832984,-390.79743347342173,-114.35999999946813
0.355,2.37998509,0.2843051328518552,5.05,2.095679957148145,781.5948669468733,-107.98999999877867
0.36,2.37954361,0.2897762969204819,5.05,2.089767313079518,781.5948669468378,-101.2500000001636
0.365,2.37919606,0.2948566635556354,5.05,2.0843393964443644,195.3987167365069,-94.35000000138399
0.37,2.3789302,0.3011094224912088,5.05,2.077820777508791,-781.5948669466957,-87.49000000022963
0.375,2.37873469,0.3065805865598356,5.05,2.0721541034401643,-195.39871673661207,-80.92999999888644
0.38,2.37859901,0.3134195416456191,5.05,2.0651794683543807,781.5948669466259,-74.96999999972323
0.385,2.37851349,0.3186953069975092,5.05,2.059818183002491,-2930.9807510502114,-68.97000000066089
0.39,2.37846911,0.326511255666976,5.05,2.051957854333024,-2930.9807510500696,-61.36000000054753
0.395,2.37845749,0.3319824197356028,5.05,2.0464750702643975,3321.778184523755,-52.529999999819566
0.4,2.37847153,0.3374535838042294,5.05,2.0410179461957707,2344.7846008400174,-44.6999999994088
0.405,2.37850533,0.3435109440230663,5.05,2.0349943859769337,-2344.7846008403585,-38.55000000044108
0.41,2.37855374,0.349568304241903,5.05,2.028985435758097,-1953.9871673664998,-33.29000000007947
0.415,2.37861231,0.3556256644607398,5.05,2.02298664553926,586.1961502100082,-28.459999999199933
0.42,2.37867719,0.3605106323791566,5.05,2.018166557620843,390.79743347308056,-24.039999999843033
0.425,2.37874514,0.3663725938812567,5.05,2.012372546118743,195.39871673685934,-20.00000000094813
0.43,2.37881342,0.3708667643662001,5.05,2.0079466556338,1758.5884506301836,-16.290000000651602
0.435,2.37887978,0.3761425297180902,5.05,2.00273725028191,2149.3858841031224,-12.97999999934515
0.44,2.37894243,0.3808320989197703,5.05,1.9981103310802295,-1367.7910171568174,-9.969999999555016
0.445,2.37899994,0.3866940604218704,5.05,1.9923058795781294,-4298.771768206529,-7.079999999746171
0.45,2.37905124,0.3925560219239705,5.05,1.9864952180760294,586.1961502102981,-4.559999999855798
0.455,2.37909565,0.3966593949754405,5.05,1.9824362550245596,2930.980751049997,-2.6500000006990376
0.46,2.37913277,0.401739761610594,5.05,1.977393008389406,-1367.7910171571143,-0.9900000006270311
