time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00396068,0.0001953987167366,9.999,0.0037652812832634002,6.938893903907228e-14,21675.800000000014
0.005,0.01914077,0.0001953987167366,10.09899,0.0189453712832634,3.469446951953615e-14,17080.460000000025
0.01,0.04757251,0.0001953987167366,10.0999899,0.0473771112832634,-6.93889390390723e-14,-2491.3800000000774
0.015,0.08684215,0.0001953987167366,10.099999898999998,0.0866467512832634,-195.39871673660014,-16571.240000000038
0.02,0.1347681,0.0001953987167366,10.09999999899,0.1345727012832634,-195.39871673660005,-14814.789999999957
0.025,0.18939335,0.0001953987167366,10.0999999999899,0.1891979512832634,586.1961502098005,-13137.520000000019
0.03,0.24897621,0.0,10.099999999999898,0.24897621,781.5948669465007,-11548.969999999803
0.035,0.31197958,0.0,10.099999999999998,0.31197958,4884.967918417002,-10055.990000000018
0.04,0.37705932,0.0001953987167366,7.320284155028649,0.3768639212832634,10551.530703780303,-8663.180000000359
0.045,0.44305187,0.0003907974334733,4.217897611397033,0.4426610725665267,781.5948669465242,-7373.109999999792
0.05,0.50896144,0.0056665627853634,2.405017201610537,0.5032948772146366,-8988.340969886696,-6186.629999999762
0.055,0.57394704,0.0119193217209368,1.4089369438144377,0.5620277182790632,-3321.7781845232234,-5103.110000000404
0.06,0.63730946,0.0171950870728269,0.8901450510438713,0.6201143729271731,-4298.7717682069715,-4120.67000000013
0.065,0.69847846,0.0255972318925038,0.6413960886062205,0.6728812281074962,-2344.7846008402576,-3236.469999999528
0.07,0.75700027,0.0314591933946039,0.556166133897756,0.7255410766053961,4884.967918416885,-2446.7500000000327
0.075,0.81252546,0.0371257561799673,0.5632006142722574,0.7753997038200328,-3321.778184523095,-1747.1500000004435
0.08,0.8647974,0.0461140971498541,0.6132895321502224,0.8186833028501459,-5080.366635153374,-1133.0199999997585
0.085,0.91364129,0.0513898625017442,0.6978467599427032,0.8622514274982559,2344.7846008397873,-599.12999999981
0.09,0.9589537,0.0578380201540544,0.7927302306646611,0.9011156798459456,1758.5884506299808,-139.82000000009975
0.095,1.00069293,0.0633091842226811,0.8952236733611654,0.937383745777319,976.99358368343,250.49000000021806
0.1,1.03887004,0.0689757470080446,0.9972748561733212,0.9698942929919554,195.39871673659047,577.3299999998144
0.105,1.07354056,0.074642309793408,1.09596116056836,0.9988982502065921,-1367.7910171566507,846.2699999998658
