t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.0053215],0.0,-0.06018280475489443,9.998999999999999
0.005,[0.02571186],0.005,-0.06037820347163111,10.098989999999999
0.01,[0.0638825],0.01,-0.06018280475489443,10.099989899999999
0.015,[0.11656792],0.015,-0.06018280475489443,10.099999898999998
0.02,[0.18082204],0.02,-0.06018280475489443,10.099999998989999
0.025,[0.25400566],0.025,-0.06037820347163111,10.0999999999899
0.03,[0.33377557],0.03,-0.06018280475489443,10.099999999999898
0.035,[0.4180639],0.035,-0.06018280475489443,10.099999999999998
0.04,[0.50505868],0.04,-0.06018280475489443,10.099999999999998
0.045,[0.5931932],0.045,-0.06018280475489443,9.840485187066253
0.05,[0.68112972],0.05,-0.06018280475489443,5.312206207309116
0.055,[0.76773912],0.055,-0.06018280475489443,3.0540989759776513
0.06,[0.85208344],0.06,-0.05725182400384438,1.903748210921712
0.065,[0.93340129],0.065,-0.05412544453605766,1.571286459708711
0.07,[1.01108728],0.07,-0.0472864894502742,1.4321823138701109
0.075,[1.0846743],0.075,-0.04220612281512077,1.6481147282245647
0.08,[1.1538205],0.08,-0.036148762596283995,1.927685753873548
0.085,[1.2182954],0.085,-0.03263158569502393,2.2698248287815956
0.09,[1.27796466],0.09,-0.024034042158610443,2.6979300296343136
0.095,[1.33277037],0.095,-0.019149074240193686,3.0750620484438005
0.1,[1.38272661],0.1,-0.012896315304620235,3.4465733024018808
0.105,[1.42791278],0.105,-0.007425151235993469,3.7938944874620613
0.11,[1.46845785],0.11,-0.002344784600840043,4.120410262326798
0.115,[1.50452867],0.115,0.005080366635153426,4.474036847753942
0.12,[1.5363243],0.12,0.00840214481967682,4.660858199612247
0.125,[1.56407128],0.125,0.01563189733893362,4.9596785868412105
0.13,[1.58801264],0.13,0.020712263974087045,5.091279557969173
0.135,[1.60840599],0.135,0.024815637025557124,5.243882546775564
0.14,[1.62551713],0.14,0.02989600366071055,5.388139964809595
0.145,[1.63961058],0.145,0.03556256644607399,5.490829215553306
0.15,[1.65094675],0.15,0.04220612281512077,5.592100531689343
0.155,[1.65978156],0.155,0.046700293300064186,5.592168968334638
0.16,[1.66636624],0.16,0.05197605865195429,5.624807037188795
0.165,[1.6709424],0.165,0.05764262143731772,5.601941472338434
0.17,[1.67373977],0.17,0.06252758935573448,5.581972602773809
0.17500000000000002,[1.67497571],0.17500000000000002,0.06741255727415124,5.543170927573005
0.18,[1.67485032],0.18,0.07542390466035472,5.565609367517756
0.185,[1.67354835],0.185,0.07991807514529814,5.423661971309446
0.19,[1.67124838],0.19,0.08441224563024154,5.276138857578603
0.195,[1.66811543],0.195,0.09203279558297167,5.268088684461358
0.2,[1.66429635],0.2,0.09554997248423175,5.073036788398683
0.20500000000000002,[1.65992372],0.20500000000000002,0.10395211730390858,5.099592888014414
0.21,[1.65511247],0.21,0.10903248393906198,4.940643046579378
0.215,[1.64997074],0.215,0.11254966084032206,4.7512203196258
0.22,[1.64459809],0.22,0.11977941335957885,4.735911684810605
0.225,[1.63907465],0.225,0.1254459761449423,4.60039787725193
0.23,[1.63347098],0.23,0.1315033363637791,4.469469356078421
0.23500000000000001,[1.62785168],0.23500000000000001,0.13697450043240583,4.346513654677162
0.24,[1.62227164],0.24,0.14283646193450597,4.237943162915316
0.245,[1.61677638],0.245,0.14791682856965938,4.134924317209493
0.25,[1.61139896],0.25,0.15612357467259955,4.1319486583081
0.255,[1.60616367],0.255,0.16042234644080625,3.9488179565786714
0.26,[1.60109795],0.26,0.16491651692574968,3.800516517283677
0.265,[1.59622732],0.265,0.16999688356090312,3.7260399434256395
0.27,[1.59156414],0.27,0.1766404399299499,3.696392019260318
0.275,[1.58711386],0.275,0.18074381298141998,3.559798156453214
0.28,[1.5828779],0.28,0.18934135651783346,3.592197754319572
0.28500000000000003,[1.57885128],0.28500000000000003,0.19403092571951355,3.4498350994029363
0.29,[1.57503377],0.29,0.19813429877098362,3.31976859735425
0.295,[1.57142807],0.295,0.20321466540613706,3.270327372101651
0.3,[1.56803072],0.3,0.20770883589108044,3.1858636252362458
0.305,[1.56483352],0.305,0.21435239226012726,3.164792886887574
0.31,[1.56182373],0.31,0.219823556328754,3.109700826239742
0.315,[1.55898975],0.315,0.22412232809696078,3.016477285691247
0.32,[1.5563245],0.32,0.22842109986516748,2.9504315962938787
0.325,[1.55381995],0.325,0.2344784600840043,2.8972755370095857
0.33,[1.55146176],0.33,0.24190361131999777,2.90520486694669
0.335,[1.54923516],0.335,0.24542078822125782,2.7780654328597327
0.34,[1.54712783],0.34,0.25460452790788135,2.8125900248029323
0.34500000000000003,[1.54512795],0.34500000000000003,0.25773090737566806,2.7787500247748853
0.35000000000000003,[1.54322779],0.35000000000000003,0.26476526117818816,2.7573848277654665
0.355,[1.54141965],0.355,0.2676962419292382,2.6215505620134354
0.36,[1.53969257],0.36,0.274925994448495,2.647651650400146
0.365,[1.53803633],0.365,0.2780523739162818,2.4958164238257607
0.37,[1.53644673],0.37,0.2833281392681718,2.4586408429619824
0.375,[1.53491938],0.375,0.2876269110363786,2.4211717060381286
0.38,[1.53344312],0.38,0.2952474609891087,2.4242420350486555
0.385,[1.53200782],0.385,0.29954623275731546,2.3220198972588557
0.39,[1.53060896],0.39,0.3054081942594156,2.298219222630437
0.395,[1.52923786],0.395,0.3130287442121457,2.320272020776199
0.4,[1.52788039],0.4,0.3186953069975092,2.2720835276277995
0.405,[1.52652794],0.405,0.32475266721634594,2.214242522451897
0.41000000000000003,[1.52517698],0.41000000000000003,0.32983303385149937,2.168611026779038
0.41500000000000004,[1.52382485],0.41500000000000004,0.3360857927870728,2.121424661637428
0.42,[1.52246908],0.42,0.3417523555724363,2.0807593266480033
0.425,[1.52110646],0.425,0.34839591194148306,2.0561152275178056
0.43,[1.51972883],0.43,0.3564072593276865,2.094263945068478
0.435,[1.51832593],0.435,0.3616830246795766,2.0287816383683963
0.44,[1.51689432],0.44,0.36774038489841343,1.9703094243638701
0.445,[1.51543557],0.445,0.37301615025030344,1.923678818756888
0.45,[1.51394729],0.45,0.3814182950699803,1.9494654540783911
0.455,[1.51242383],0.455,0.38708485785534374,1.8844536439560755
0.46,[1.51086287],0.46,0.3933376167909172,1.862365610157746
0.465,[1.50926495],0.465,0.39900417957628065,1.8040936693109395
0.47000000000000003,[1.50763336],0.47000000000000003,0.40486614107838076,1.7368215775636344
0.47500000000000003,[1.50597283],0.47500000000000003,0.4111189000139542,1.7118268492679822
0.48,[1.50428594],0.48,0.4169808615160543,1.6699952394938382
0.485,[1.50257514],0.485,0.42225662686794435,1.6339340947875167
0.49,[1.50084352],0.49,0.42714159478636116,1.6019465368369143
0.495,[1.49909386],0.495,0.4318311639880412,1.5724772172767316
0.5,[1.49732867],0.5,0.437888524206878,1.5384823874787268
0.505,[1.49555016],0.505,0.4431642895587681,1.5087466943510996
0.51,[1.49376029],0.51,0.44824465619392156,1.4806173102162965
0.515,[1.49196079],0.515,0.4541066176960216,1.4499614579477034
0.52,[1.49015316],0.52,0.4591869843311751,1.4229436246489067
0.525,[1.48833872],0.525,0.4652443445500118,1.3925478308335362
0.53,[1.48651861],0.53,0.47052010990190196,1.365537931305961
0.535,[1.48469384],0.535,0.4754050778203187,1.3402992780139893
0.54,[1.48286183],0.54,0.4828302290563122,1.3706535556886417
0.545,[1.48101811],0.545,0.4879105956914656,1.3045522011902893
0.55,[1.47916475],0.55,0.492404766176409,1.254384960117163
0.555,[1.47730736],0.555,0.49768053152829916,1.2249749544543642
0.56,[1.47544741],0.56,0.5039332904638726,1.2224754949027934
