t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00775294],0.0,-0.058619615021001076,9.998999999999999
0.005,[0.03746758],0.005,-0.058815013737737745,10.098989999999999
0.01,[0.09312202],0.01,-0.058815013737737745,10.099989899999999
0.015,[0.16999138],0.015,-0.058619615021001076,10.099999898999998
0.02,[0.26380523],0.02,-0.058619615021001076,10.099999998989999
0.025,[0.37073282],0.025,-0.058619615021001076,10.0999999999899
0.03,[0.48736479],0.03,-0.058815013737737745,10.099999999999898
0.035,[0.61069233],0.035,-0.058619615021001076,10.099999999999998
0.04,[0.73808431],0.04,-0.058619615021001076,10.099999999999998
0.045,[0.86726308],0.045,-0.058619615021001076,10.099999999999998
0.05,[0.99627942],0.05,-0.058619615021001076,5.100499999999999
0.055,[1.12348706],0.055,-0.058619615021001076,5.050504999999999
0.06,[1.24751729],0.06,-0.05549323555321435,5.050005049999999
0.065,[1.36725385],0.065,-0.05002207148458758,6.708896513181443
0.07,[1.48180839],0.07,-0.04611409714985418,6.1631597906426885
0.075,[1.59049682],0.075,-0.04083833179796408,6.400693031870503
0.08,[1.69281668],0.08,-0.03497637029586397,7.136238782612926
0.085,[1.78842559],0.085,-0.030482199810920558,8.200541836383394
0.09,[1.87712103],0.09,-0.021103061407560384,9.37713466592961
0.095,[1.95882145],0.095,-0.015241099905460279,10.092771346659294
0.1,[2.03354851],0.1,-0.009379138403360172,10.099927713466592
0.105,[2.1014109],0.105,-0.0033217781845233945,10.099999277134664
0.11,[2.16258955],0.11,0.0021493858841033727,10.099999992771345
0.115,[2.21732406],0.115,0.006838955085783458,10.099999999927713
0.12,[2.26590051],0.12,0.010160733270306851,10.099999999999277
0.125,[2.30864058],0.125,0.014850302471986938,10.09999999999999
0.13,[2.34589209],0.13,0.019149074240193686,5.100499999999999
0.135,[2.37802041],0.135,0.02383864344187377,5.050504999999999
0.14,[2.40540101],0.14,0.029309807510500538,5.050005049999999
0.145,[2.42841294],0.145,0.03341318056197061,5.0500000505
0.15,[2.44743338],0.15,0.03927514206407072,5.050000000504999
0.155,[2.46283313],0.155,0.04298771768206745,5.050000000005049
0.16,[2.47497253],0.16,0.046895692016800855,5.05000000000005
0.165,[2.48419859],0.165,0.05314845095237431,5.05
0.17,[2.49084282],0.17,0.05764262143731772,5.05
