t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00396068],0.0,0.00019539871673667023,9.998999999999999
0.005,[0.01914077],0.005,0.00019539871673667023,10.098989999999999
0.01,[0.04757251],0.01,0.00019539871673667023,10.099989899999999
0.015,[0.08684215],0.015,0.00019539871673667023,10.099999898999998
0.02,[0.1347681],0.02,0.00019539871673667023,10.099999998989999
0.025,[0.18939335],0.025,0.00019539871673667023,10.0999999999899
0.03,[0.24897621],0.03,0.0,10.099999999999898
0.035,[0.31197958],0.035,0.0,10.099999999999998
0.04,[0.37705932],0.04,0.00019539871673667023,7.320284155028649
0.045,[0.44305187],0.045,0.00039079743347334047,4.217897611397033
0.05,[0.50896144],0.05,0.005666562785363437,2.405017201610537
0.055,[0.57394704],0.055,0.011919321720936885,1.4089369438144377
0.06,[0.63730946],0.06,0.017195087072826982,0.8901450510438713
0.065,[0.69847846],0.065,0.0255972318925038,0.6413960886062205
0.07,[0.75700027],0.07,0.031459193394603915,0.556166133897756
0.075,[0.81252546],0.075,0.03712575617996735,0.5632006142722574
0.08,[0.8647974],0.08,0.04611409714985418,0.6132895321502224
0.085,[0.91364129],0.085,0.05138986250174427,0.6978467599427032
0.09,[0.9589537],0.09,0.0578380201540544,0.7927302306646611
0.095,[1.00069293],0.095,0.06330918422268116,0.8952236733611654
0.1,[1.03887004],0.1,0.0689757470080446,0.9972748561733213
0.105,[1.07354056],0.105,0.07464230979340802,1.0959611605683601
0.11,[1.10479691],0.11,0.08050427129550815,1.188215946275733
0.115,[1.13276151],0.115,0.08558463793066157,1.2759417881218127
0.12,[1.15758058],0.12,0.09105580199928834,1.353608970105833
0.125,[1.17941858],0.125,0.09613616863444177,1.4235019350060458
0.13,[1.19845324],0.13,0.10199813013654188,1.480156973210136
0.135,[1.21487126],0.135,0.10688309805495863,1.5310313879925705
0.14,[1.22886444],0.14,0.11274505955705873,1.5677095024986276
0.145,[1.24062644],0.145,0.11841162234242215,1.5954916713710847
0.15,[1.25035004],0.15,0.12368738769431226,1.6159470605696418
0.155,[1.25822481],0.155,0.13033094406335904,1.621517235836194
0.16,[1.26443535],0.16,0.13775609529935254,1.6153888785759902
0.165,[1.26915963],0.165,0.144008854234926,1.6083329892140756
0.17,[1.27256725],0.17,0.14967541702028941,1.597949804175524
0.17500000000000002,[1.27481862],0.17500000000000002,0.1543649862219695,1.5866706878096324
0.18,[1.2760645],0.18,0.1608131438742796,1.5630467670247288
0.185,[1.27644551],0.185,0.1660889092261697,1.540897660598871
0.19,[1.2760919],0.19,0.17136467457805982,1.5157383490850072
0.195,[1.27512345],0.195,0.1772266360801599,1.4856884457701152
0.2,[1.27365007],0.2,0.18601957833331006,1.4406028036091136
0.20500000000000002,[1.27177192],0.20500000000000002,0.19207693855214686,1.407118890689742
0.21,[1.26957855],0.21,0.198525096204457,1.3713933922366832
0.215,[1.26714933],0.215,0.20399626027308376,1.3392276498786015
0.22,[1.26455512],0.22,0.21220300637602388,1.2955321142602678
0.225,[1.26185864],0.225,0.21845576531159733,1.2607319628014941
0.23,[1.25911369],0.23,0.22470852424717075,1.2264745959648575
0.23500000000000001,[1.25636576],0.23500000000000001,0.2303750870325342,1.1950088944710042
0.24,[1.25365337],0.24,0.23545545366768764,1.1663773007232203
