t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00393082],0.0,0.0,9.998999999999999
0.005,[0.01899632],0.005,0.0,10.098989999999999
0.01,[0.04721309],0.01,0.0,10.099989899999999
0.015,[0.0861846],0.015,0.0,10.099999898999998
0.02,[0.13374414],0.02,0.0,10.099999998989999
0.025,[0.18794803],0.025,0.0,10.0999999999899
0.03,[0.24706694],0.03,0.0,10.099999999999898
0.035,[0.30957506],0.035,0.0,10.099999999999998
0.04,[0.37413815],0.04,0.0,7.087280770086493
0.045,[0.43960121],0.045,0.0,4.066302078216463
0.05,[0.50497606],0.05,0.0031263794677867237,2.3327859901920456
0.055,[0.5694283],0.055,0.010356131987043523,1.3520795295565746
0.06,[0.63226366],0.06,0.018367479373247002,0.8378285582814438
0.065,[0.69291573],0.065,0.02442483959208378,0.6039940020165554
0.07,[0.75093415],0.07,0.033803977995443955,0.5188372465252892
0.075,[0.80597244],0.075,0.0381027497636507,0.5356381587217532
0.08,[0.85777659],0.08,0.04357391383227746,0.5962927339410469
0.085,[0.90617396],0.085,0.04826348303395755,0.683437533756191
0.09,[0.95106269],0.09,0.053343849669110974,0.7818115543100068
0.095,[0.99240201],0.095,0.060964399621841116,0.8772561182395059
0.1,[1.03020329],0.1,0.06624016497373121,0.9788041891220995
0.105,[1.06452222],0.105,0.07034353802520128,1.080824308159782
0.11,[1.0954512],0.11,0.0762054995273014,1.1714008235589901
0.115,[1.12311234],0.115,0.07991807514529814,1.2622801209885866
0.12,[1.14765134],0.12,0.0840214481967682,1.3438897834552042
0.125,[1.16923175],0.125,0.09222819429970835,1.3998768751381567
0.13,[1.18803014],0.13,0.09535457376749508,1.466182115520662
0.135,[1.20423203],0.135,0.10160733270306853,1.5099867496741055
0.14,[1.21802791],0.14,0.10981407880600867,1.535363414800424
0.145,[1.22960991],0.145,0.1156760403081088,1.5609030001398185
0.15,[1.23916936],0.15,0.12192879924368223,1.5758348511536429
0.155,[1.24689445],0.155,0.12779076074578233,1.5841880719104457
0.16,[1.25296818],0.16,0.13306652609767244,1.5876312891302895
0.165,[1.25756685],0.165,0.1385376901662992,1.5834308449835353
0.17,[1.26085869],0.17,0.1416640696340859,1.5841338485126812
0.17500000000000002,[1.26300287],0.17500000000000002,0.14596284140229268,1.5743477300537487
0.18,[1.26414915],0.18,0.1531925939215495,1.5460993820783557
0.185,[1.26443781],0.185,0.15964075157385957,1.5177680794273536
0.19,[1.26399868],0.19,0.16315792847511965,1.500270255779891
