t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.0010656],0.0,-0.06194139320552447,9.998999999999999
0.005,[0.00515025],0.005,-0.06194139320552447,10.098989999999999
0.01,[0.01280401],0.01,-0.06194139320552447,10.099989899999999
0.015,[0.02338426],0.015,-0.06194139320552447,5.66055542479015
0.02,[0.03630983],0.02,-0.06194139320552447,2.861044302143182
0.025,[0.05105664],0.025,-0.05901041245447442,1.4807931631505293
0.03,[0.06715804],0.03,-0.054320843252794335,0.7774941991116519
0.035,[0.08420282],0.035,-0.04865428046743089,0.4156500685964594
0.04,[0.10183111],0.04,-0.044160109982487476,0.22497527282918447
0.045,[0.11973086],0.045,-0.03790735104691403,0.12244365253399281
0.05,[0.13763492],0.05,-0.031459193394603915,0.06822898190979358
0.055,[0.15531916],0.055,-0.023252447291663758,0.04351297129874426
0.06,[0.17259822],0.06,-0.01739048578956365,0.02729684911853322
0.065,[0.18931898],0.065,-0.011723923004200214,0.01939726276095797
0.07,[0.20535772],0.07,-0.006448157652310118,0.01590185339652881
0.075,[0.22061864],0.075,-0.0005861961502100108,0.014598889084857933
0.08,[0.23503085],0.08,0.004494170484943416,0.014620763460356857
0.085,[0.24854519],0.085,0.009379138403360172,0.015170358184655298
0.09,[0.26113177],0.09,0.013677910171566917,0.016407466190516803
0.095,[0.27277801],0.095,0.018758276806720344,0.017599651647991956
0.1,[0.2834864],0.1,0.02462023830882045,0.018714004867000276
0.105,[0.29327211],0.105,0.030482199810920558,0.019863101505186106
0.11,[0.3021599],0.11,0.0347809715791273,0.020517108433288272
0.115,[0.31018093],0.115,0.03868894591386071,0.02123192402539787
0.12,[0.31737199],0.12,0.04279231896533078,0.02183012532581549
0.125,[0.32377522],0.125,0.04787268560048421,0.02226000706331085
0.13,[0.32943642],0.13,0.050608267634797595,0.022661773089246585
0.135,[0.33440327],0.135,0.05471164068626767,0.022847441475324987
0.14,[0.338725],0.14,0.05764262143731772,0.023164485737282556
0.145,[0.34245185],0.145,0.061355197055314455,0.023155275185130123
0.15,[0.34563388],0.15,0.0656539688235212,0.022872197824216695
0.155,[0.34832093],0.155,0.06995274059172794,0.02277150328380993
0.16,[0.35056142],0.16,0.07268832262604133,0.022261442940122493
0.165,[0.35240247],0.165,0.07796408797793142,0.022428710718911383
0.17,[0.35389053],0.17,0.08089506872898149,0.021772415436333153
0.17500000000000002,[0.35506837],0.17500000000000002,0.08441224563024154,0.02104199961169052
0.18,[0.35597464],0.18,0.08753862509802827,0.020421402476139352
0.185,[0.35664554],0.185,0.09066500456581499,0.0198203699566584
0.19,[0.35711328],0.19,0.09242359301644502,0.019560869659267965
0.195,[0.35740779],0.195,0.09613616863444177,0.01989951070791541
0.2,[0.35755982],0.2,0.09945794681896515,0.018899967451653874
0.20500000000000002,[0.35759729],0.20500000000000002,0.1018027314198052,0.018204660222420625
0.21,[0.35754393],0.21,0.1043429147373819,0.017655241920532933
0.215,[0.35742128],0.215,0.10688309805495863,0.017119805237432933
0.22,[0.35724865],0.22,0.11000947752274534,0.016538251210537095
0.225,[0.35704445],0.225,0.11391745185747876,0.01684232679386901
0.23,[0.35682689],0.23,0.11704383132526547,0.01667006299871836
0.23500000000000001,[0.35661129],0.23500000000000001,0.11938861592610552,0.01598599381057422
0.24,[0.35640902],0.24,0.12173340052694555,0.01547932573539811
0.245,[0.35622914],0.245,0.12427358384452228,0.015048431280849685
0.25,[0.35608027],0.25,0.12700916587883565,0.01556890657997563
0.255,[0.35597018],0.255,0.12896315304620237,0.014769190215118673
0.26,[0.35590364],0.26,0.13111253893030572,0.014153466788643031
0.265,[0.35588335],0.265,0.1332619248144091,0.013943739258626383
0.27,[0.35591186],0.27,0.13502051326503914,0.013933001450478313
0.275,[0.35599334],0.275,0.1379514940160892,0.01590923443290901
0.28,[0.35613261],0.28,0.14010087990019257,0.014914064777394336
0.28500000000000003,[0.35633184],0.28500000000000003,0.14205486706755927,0.015406540785411416
0.29,[0.35659174],0.29,0.14420425295166264,0.015399519080240537
0.295,[0.35691102],0.295,0.14557204396881931,0.01344190691385384
0.3,[0.35728716],0.3,0.14772142985292272,0.015417684574029745
0.305,[0.35772015],0.305,0.14967541702028941,0.015155380242115915
0.31,[0.35820952],0.31,0.15143400547091945,0.015040664859588418
0.315,[0.35875467],0.315,0.1535833913550228,0.01729883674626303
0.32,[0.35935815],0.32,0.1555373785223895,0.019700316810530135
0.325,[0.36002208],0.325,0.15710056825628288,0.01864713934320587
0.33,[0.36074459],0.33,0.15885915670691292,0.018036504492739292
0.335,[0.36152525],0.335,0.1610085425910163,0.02362668992296481
0.34,[0.3623675],0.34,0.1627671310416463,0.023552359092355972
0.34500000000000003,[0.36327179],0.34500000000000003,0.16433032077553966,0.022253118933180376
0.35000000000000003,[0.36423907],0.35000000000000003,0.1668705040931164,0.03166434964870553
0.355,[0.36527338],0.355,0.1682382951102731,0.02750762829131452
0.36,[0.36637381],0.36,0.1701922822776398,0.0274068760411675
0.365,[0.36754124],0.365,0.1725370668784798,0.03986837840645275
0.37,[0.36877841],0.37,0.17370945917889985,0.02776127865494304
0.375,[0.37007821],0.375,0.1748818514793199,0.026545613740686428
0.38,[0.37143527],0.38,0.1766404399299499,0.035438391277654295
0.385,[0.37284779],0.385,0.17761743351363324,0.024446247888510752
0.39,[0.37430722],0.39,0.17878982581405328,0.026011546251733277
0.395,[0.37580839],0.395,0.18054841426468332,0.031758375329011004
0.4,[0.37735196],0.4,0.18172080656510334,0.030563303546376333
0.405,[0.37893687],0.405,0.18308859758226,0.03336315546310834
0.41000000000000003,[0.38056991],0.41000000000000003,0.18543338218310007,0.05985141342924035
0.41500000000000004,[0.38226056],0.41500000000000004,0.18621497705004675,0.038961107344884394
0.42,[0.38400226],0.42,0.18758276806720342,0.03498715109705778
0.425,[0.38579319],0.425,0.1897321539513068,0.06658081326218251
0.43,[0.3876475],0.43,0.19149074240193684,0.06310534049570164
0.435,[0.38957746],0.435,0.19364012828604024,0.08494953805393646
0.44,[0.39159089],0.44,0.1950079193031969,0.07617479119101672
0.445,[0.39369162],0.445,0.19715730518730026,0.08654824586973447
0.45,[0.39587951],0.45,0.19872049492119365,0.07584295960312461
0.455,[0.3981443],0.455,0.19989288722161366,0.05131479691590023
0.46,[0.40047428],0.46,0.20223767182245372,0.07804151827165116
0.465,[0.40286344],0.465,0.2034100641228737,0.04608842160869299
0.47000000000000003,[0.40530822],0.47000000000000003,0.20653644359066042,0.09239642522959866
0.47500000000000003,[0.40781749],0.47500000000000003,0.20829503204129046,0.08751750966122356
0.48,[0.41039881],0.48,0.21063981664213055,0.0928485058629399
0.485,[0.41305798],0.485,0.2133753986764439,0.12755415763807285
0.49,[0.41580584],0.49,0.2155247845605473,0.1173548011379338
0.495,[0.41864258],0.495,0.21826036659486067,0.10641777203617754
0.5,[0.42155959],0.5,0.22099594862917407,0.09973148209442649
0.505,[0.42454827],0.505,0.22334073323001408,0.09591538521384198
0.51,[0.42760333],0.51,0.2266625114145375,0.1055199117073713
0.515,[0.43072235],0.515,0.2292026947321142,0.10139700332539046
0.52,[0.43389821],0.52,0.2313520806162176,0.0874852031918558
0.525,[0.43711987],0.525,0.23389226393379428,0.08988597475971066
0.53,[0.44038785],0.53,0.238191035702001,0.1321388326820295
0.535,[0.44370752],0.535,0.24053582030284107,0.09592272427984529
0.54,[0.4470781],0.54,0.24444379463757446,0.13766561398708238
0.545,[0.45050551],0.545,0.24796097153883453,0.13827078617222824
0.55,[0.45399426],0.55,0.25186894587356795,0.12845209449474454
0.555,[0.45753898],0.555,0.25558152149156466,0.12248760465126982
0.56,[0.46113412],0.56,0.2592940971095614,0.12410942770505956
0.5650000000000001,[0.4647873],0.5650000000000001,0.2639836663112415,0.19446051512195905
0.5700000000000001,[0.46851549],0.5700000000000001,0.2678916406459749,0.1694416713305309
0.5750000000000001,[0.47232037],0.5750000000000001,0.2723858111309183,0.15255520956668162
