t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00255296],0.0,-0.05568863426995102,9.998999999999999
0.005,[0.01232738],0.005,-0.05607943170342436,10.098989999999999
0.01,[0.03060351],0.01,-0.05607943170342436,10.099989899999999
0.015,[0.05578238],0.015,-0.05627483042016103,10.099999898999998
0.02,[0.0864153],0.02,-0.056470229136897705,10.099999998989999
0.025,[0.12120724],0.025,-0.056665627853634375,10.0999999999899
0.03,[0.15901148],0.03,-0.05686102657037104,5.84984252762679
0.035,[0.1988288],0.035,-0.05686102657037104,2.9157581547238713
0.04,[0.23979115],0.04,-0.05353924838584765,1.3051593459187778
0.045,[0.28113801],0.045,-0.04787268560048421,0.44573768579468065
0.05,[0.32220865],0.05,-0.04122912923143742,0.11608898279831598
0.055,[0.3624503],0.055,-0.03751655361344069,0.06912788479902425
0.06,[0.40142238],0.06,-0.03360857927870728,0.09206737691899645
0.065,[0.43876286],0.065,-0.025988029325977144,0.2494550375547644
0.07,[0.47416955],0.07,-0.022080054991243738,0.3409923339548538
0.075,[0.50741735],0.075,-0.01739048578956365,0.45943528807566436
0.08,[0.5383412],0.08,-0.010942328137253534,0.7294253116778167
0.085,[0.56682253],0.085,-0.005666562785363437,0.7416440886707816
0.09,[0.59280076],0.09,0.0,0.8606007679124162
0.095,[0.61626651],0.095,0.003907974334733405,0.7793523187496565
0.1,[0.63725643],0.1,0.00781594866946681,0.7212936802230855
0.105,[0.65582807],0.105,0.015241099905460279,1.0098551065242232
0.11,[0.67204256],0.11,0.019735270390403698,0.9962546119610473
0.115,[0.68598428],0.115,0.025206434459030463,1.061797768799592
0.12,[0.69775982],0.12,0.031459193394603915,1.0620146207578918
0.125,[0.70748195],0.125,0.03693035746323068,1.2263232636995554
0.13,[0.71526793],0.13,0.04259692024859412,1.1920263013957166
0.135,[0.72124668],0.135,0.04865428046743089,1.1627154616816466
0.14,[0.72555603],0.14,0.05451624196953099,1.13775670634249
0.145,[0.72832772],0.145,0.06213679192226114,1.294631961215449
0.15,[0.72967736],0.15,0.06917114572478127,1.4997391741068267
0.155,[0.72971836],0.155,0.07483770851014471,1.3398453883493462
0.16,[0.72857963],0.16,0.08030887257877146,1.222634826776714
0.165,[0.726395],0.165,0.08636623279760824,1.1339977686956149
0.17,[0.72328966],0.17,0.09222819429970835,1.1108095577103738
0.17500000000000002,[0.71937408],0.17500000000000002,0.0992625481022285,1.1918843485353068
0.18,[0.71475584],0.18,0.10258432628675188,0.9007799812139833
0.185,[0.70955025],0.185,0.10727389548843196,0.8774788316006795
0.19,[0.70386091],0.19,0.11294045827379541,0.8514719889370684
0.195,[0.69777328],0.195,0.11880241977589551,0.8492111641321504
0.2,[0.69135543],0.2,0.12622757101188897,1.0082331685933885
0.20500000000000002,[0.68465713],0.20500000000000002,0.13248032994746242,1.0295402363868524
0.21,[0.67772843],0.21,0.1379514940160892,0.9227251487889584
