t_qd,qd_rad,t_q,q_rad,tau
0.0,0.00395685822732162,0.0,-0.007425151235993469,0.05691004731657545
0.005,0.019122273212987685,0.005,-0.0076205499527301395,0.1337141158285891
0.01,0.04752655221054572,0.01,-0.007425151235993469,0.27475851723269595
0.015,0.08675825540327804,0.015,-0.007425151235993469,0.4709170331963575
0.02,0.1346378968891235,0.02,-0.006838955085783458,0.7073842598745349
0.025,0.18921037557289702,0.025,-0.0062527589355734475,0.9773133722226884
0.03,0.2487356678885502,0.03,-0.005080366635153426,1.2690725815636268
0.035,0.3116781709941568,0.035,-0.0031263794677867237,1.5740051778674846
0.04,0.3766950431999235,0.04,0.00019539871673667023,1.8824577091860117
0.045,0.44262384659416965,0.045,0.0037125756179967346,2.194475637583983
0.05,0.5084697649129405,0.05,0.010160733270306851,2.4914081243062474
0.055,0.5733926230477834,0.055,0.015045701188723608,2.7915283687438746
0.06,0.6366939065126472,0.06,0.02129846012429706,3.0766949231977483
0.065,0.697803960404958,0.065,0.027551219059870506,3.350904441189724
0.07,0.7562694677868818,0.07,0.03302238312849727,3.6158042408843523
0.075,0.8117413961268435,0.075,0.03966593949754405,3.8598851167619457
0.08,0.8639634684657872,0.08,0.044550907415960815,4.096520701523164
0.085,0.9127610943901868,0.085,0.04963127405111425,4.315065897936429
0.09,0.9580309674226177,0.09,0.05393004581932099,4.519887374071344
0.095,0.9997314719440016,0.095,0.06037820347163111,4.696123034427582
0.1,1.0378737615021936,0.1,0.06545857010678453,4.86141178985147
0.105,1.072513437385391,0.105,0.07053893674193797,5.009190498578813
0.11,1.10374292583737,0.11,0.07503310722688138,5.142852818403692
0.115,1.1316846879629157,0.115,0.08226285974613817,5.2464014504268945
0.12,1.1564849935739823,0.12,0.08695242894781824,5.346945999667234
0.125,1.178308191684528,0.125,0.09242359301644502,5.428698863631555
0.13,1.1973319587544502,0.13,0.09809015580180845,5.495479040058131
0.135,1.2137430933922517,0.135,0.10492911088759192,5.543334111661413
0.14,1.2277334995167548,0.14,0.11157266725663871,5.580063699513248
0.145,1.239496778321287,0.145,0.11763002747547549,5.608589563701367
0.15,1.2492254872033757,0.15,0.12368738769431226,5.6269433240253415
0.155,1.2571088673900022,0.155,0.12896315304620237,5.6399801619650285
0.16,1.263330922334573,0.16,0.13443431711482912,5.643732477197719
0.165,1.2680689484797258,0.165,0.14146867091734927,5.6322491275932585
0.17,1.271492246938299,0.17,0.146353638835766,5.624939411239943
0.17500000000000002,1.2737608607983637,0.17500000000000002,0.15084780932070943,5.613810532872271
0.18,1.2750249757275405,0.18,0.15592817595586284,5.594728398147764
0.185,1.275424986989323,0.185,0.16335332719185633,5.559601997321011
0.19,1.2750911876312128,0.19,0.16960608612742978,5.526668645088034
0.195,1.2741432246322477,0.195,0.17585884506300323,5.490664586803695
0.2,1.2726900023365189,0.2,0.1799622181144733,5.4628812511783815
0.20500000000000002,1.2708300958922205,0.20500000000000002,0.1871919706337301,5.417432669249152
0.21,1.26865249406964,0.21,0.19266313470235683,5.379187459944121
0.215,1.266236720686222,0.215,0.19832969748772028,5.338774675221017
0.22,1.2636529014476128,0.22,0.2036054628396104,5.299477019324995
0.225,1.2609623615375525,0.225,0.2088812281915005,5.259644556500591
0.23,1.2582183735183923,0.23,0.2145477909768639,5.217591053266252
0.23500000000000001,1.2554669261267701,0.23500000000000001,0.22040975247896405,5.174523409428263
0.24,1.252747103981812,0.24,0.22627171398106416,5.1316140116974704
0.245,1.2500913864905736,0.245,0.23096128318274423,5.094887194636477
0.25,1.2475262581942452,0.25,0.23526005495095098,5.06056738743668
0.255,1.2450728415765115,0.255,0.23936342800242105,5.027783193588963
0.26,1.2427480349226419,0.26,0.24717937667188783,4.977079220570924
0.265,1.2405652668030491,0.265,0.25265054074051463,4.93880940250874
0.27,1.238533817231541,0.27,0.2575355086589314,4.904227189362246
0.275,1.2366588614466587,0.275,0.26183428042713813,4.873358451039307
