t_qd,qd_rad,t_q,q_rad,tau
0.0,0.00024907468608660615,0.0,-0.06448157652310119,0.32365900684509896
0.005,0.0012036527053535739,0.005,-0.06467697523983784,0.32941349116444507
0.01,0.002991298821814921,0.01,-0.0642861778063645,0.33639911477118345
0.015,0.0054598014976663545,0.015,-0.06389538037289116,0.3467864448168486
0.02,0.008471543196771422,0.02,-0.06311378550594449,0.3579339217249964
0.025,0.011903027625932034,0.025,-0.06213679192226114,0.3701980193511074
0.03,0.01564424098686072,0.03,-0.06057360218836778,0.3810734010864398
0.035,0.019598009480304344,0.035,-0.058815013737737745,0.3920306112216404
0.04,0.023679238084127908,0.04,-0.05686102657037104,0.4026426650621748
0.045,0.027814096328847678,0.045,-0.054907039403004336,0.41352079681654835
0.05,0.03193927321095913,0.05,-0.05217145736869095,0.4204397410308012
0.055,0.03600119242183068,0.055,-0.0492404766176409,0.42606315819129487
0.06,0.03995518271072825,0.06,-0.04533250228290749,0.4262555660930726
0.065,0.04376468594700235,0.065,-0.04161992666491077,0.426703165730233
0.07,0.047400485657355315,0.07,-0.03790735104691403,0.42627700367048105
0.075,0.05083945605032711,0.075,-0.03106839596113057,0.4092352030703723
0.08,0.05406408980563737,0.08,-0.027355820343133833,0.40675279076944365
0.085,0.057063055847615035,0.085,-0.023252447291663758,0.40118854221316064
0.09,0.059830146848385744,0.09,-0.018172080656510332,0.3895814922751982
0.095,0.062362126770722115,0.095,-0.010160733270306851,0.3621440664241998
0.1,0.06465837818601378,0.1,-0.004103373051470075,0.34329800046231984
0.105,0.06672191012735396,0.105,0.0017585884506300322,0.32426768430403674
0.11,0.06855884384315751,0.11,0.007034353802520129,0.3070395409605213
0.115,0.0701772720579981,0.115,0.012896315304620235,0.28579123591426153
0.12,0.07158666585903037,0.12,0.019539871673667025,0.2595959121862192
0.125,0.07279727608294047,0.125,0.026378826759450486,0.2314345791664766
0.13,0.0738202452301853,0.13,0.032045389544813924,0.2081997738477509
0.135,0.07466820149953575,0.135,0.03556256644607399,0.19484020098569677
0.14,0.0753549908688531,0.14,0.03986133821428073,0.17676951322924492
0.145,0.07589435232818736,0.145,0.04611409714985418,0.1481939052384451
0.15,0.0762993380588937,0.15,0.050803666351534264,0.12676409139589326
0.155,0.07658274665230203,0.155,0.05510243811974101,0.1066840586514186
0.16,0.07675650209157171,0.16,0.06369998165615451,0.06456369482914553
0.165,0.07683154048203825,0.165,0.06878034829130793,-0.0007165955376877098
