t_qd,qd_rad,t_q,q_rad,tau
0.0,0.003934518369356357,0.0,0.0,0.0
0.005,0.019014197238506437,0.005,-0.00019539871673667023,0.09604797977621553
0.01,0.04725748865174532,0.01,-0.00019539871673667023,0.23726443684240994
0.015,0.08626576461158343,0.015,0.0,0.43132882305791714
0.02,0.1338710459044981,0.02,0.00019539871673667023,0.6683782359388071
0.025,0.18812874379295705,0.025,0.0015631897338933619,0.9328243198158225
0.03,0.24730797827441145,0.03,0.0031263794677867237,1.220896032370871
0.035,0.30988143603099527,0.035,0.005080366635153426,1.5239785252519271
0.04,0.3745138343091217,0.04,0.009574537120096843,1.8246428240880026
0.045,0.4400490132987868,0.045,0.013677910171566917,2.1317631292776262
0.05,0.5054976225868616,0.05,0.01680428963935364,2.4433237460608415
0.055,0.5700242987531919,0.055,0.022080054991243738,2.7395194717211506
0.06,0.6329340226768998,0.06,0.03106839596113057,3.009042518646119
0.065,0.6936595107985325,0.065,0.036539560029757334,3.2852343928776864
0.07,0.75174964014581,0.07,0.04279231896533078,3.5443505471504455
0.075,0.8068573670321654,0.075,0.04884967918416756,3.789542371779933
0.08,0.8587278258781048,0.08,0.054320843252794335,4.02148968854018
0.085,0.9071874350642248,0.085,0.06018280475489443,4.234437451099395
0.09,0.9521336186877352,0.09,0.0650677726733112,4.434711148936155
0.095,0.9935251698927307,0.095,0.07034353802520128,4.615264173650715
0.1,1.0313733178653215,0.1,0.07561930337709137,4.778105363113446
0.105,1.0657335792290914,0.105,0.08050427129550815,4.925465251427593
0.11,1.0966981198675725,0.11,0.08636623279760824,5.050964883979404
0.115,1.124388733342456,0.115,0.09164199814949833,5.163028514090295
0.12,1.1489510091171515,0.12,0.09554997248423175,5.266291532886846
0.125,1.170548711511851,0.125,0.1018027314198052,5.343009459459866
0.13,1.1893584708108567,0.13,0.10746929420516863,5.408720009449991
0.135,1.205565880740952,0.135,0.11157266725663871,5.469235847780648
0.14,1.219361896425904,0.14,0.11606683774158212,5.515741596930716
0.145,1.2309391935154717,0.145,0.12192879924368223,5.544314343228241
0.15,1.2404892247369124,0.15,0.1281815581792557,5.560798709505558
0.155,1.2482000615207904,0.155,0.13404351968135578,5.570040339633002
0.16,1.2542547881236275,0.16,0.1379514940160892,5.580771903948363
0.165,1.2588299739600248,0.165,0.1416640696340859,5.585084347580072
0.17,1.2620941028549701,0.17,0.14752603113618606,5.5720946985760635
0.17500000000000002,1.26420647818288,0.17500000000000002,0.15202020162112945,5.5601853340163085
0.18,1.2653166453753233,0.18,0.15788216312322959,5.536426051448354
0.185,1.2655637698882922,0.185,0.1655027130759597,5.4995586754338115
0.19,1.2650766546737637,0.19,0.17077847842784977,5.470742923389298
0.195,1.2639740106875335,0.195,0.17585884506300323,5.439826790912442
0.2,1.262364168960986,0.2,0.18113461041489332,5.405397892024304
0.20500000000000002,1.2603451331763198,0.20500000000000002,0.1873873693504668,5.364038227626347
0.21,1.2580051185358476,0.21,0.19149074240193684,5.331820736529229
0.215,1.2554230749132436,0.215,0.19676650775382695,5.292531249546831
0.22,1.2526689829795215,0.22,0.20106527952203365,5.257266577349246
0.225,1.2498041979622723,0.225,0.20595024744045046,5.218517529720564
0.23,1.2468817344527385,0.23,0.2133753986764439,5.166779229632645
0.23500000000000001,1.2439468054105525,0.23500000000000001,0.22040975247896405,5.1169326343208885
0.24,1.2410378848179797,0.24,0.2264671126978008,5.0721010853932595
0.245,1.2381874263835366,0.245,0.2317428780496909,5.031469850565131
0.25,1.2354222114408828,0.25,0.23740944083505436,4.9893108692078725
0.255,1.2327637988670819,0.255,0.24307600362041779,4.947685918238313
0.26,1.2302290570784744,0.26,0.2483517689723079,4.9086333231968355
0.265,1.2278304251789254,0.265,0.257144711225458,4.852675404962148
0.27,1.2255764489345025,0.27,0.26281127401082144,4.813072671836262
0.275,1.2234728329206024,0.275,0.2676962419292382,4.778129721793116
0.28,1.221522862613782,0.28,0.2717996149807083,4.7478629806964125
0.28500000000000003,1.2197274756767642,0.28500000000000003,0.2757075893154417,4.719346154893457
0.29,1.218085381165093,0.29,0.2825465444012252,4.6769408913508235
0.295,1.2165932587493153,0.295,0.2887993033367986,4.63821647214978
0.3,1.2152464271479138,0.3,0.2929026763882687,4.610965438929991
0.305,1.2140392863508083,0.305,0.2973968468732121,4.5824600247152345
0.31,1.2129653556751627,0.31,0.30189101735815554,4.554620432668679
0.315,1.212017234895874,0.315,0.31087935832804237,4.5049388549279135
0.32,1.2111868625180917,0.32,0.31693671854687916,4.470500776748907
0.325,1.210466108310952,0.325,0.3220170851820326,4.441495640380714
0.33,1.2098468481214089,0.33,0.3286606415510793,4.4051807817025495
0.335,1.2093208259651949,0.335,0.3347180017699161,4.372263249119124
0.34,1.208879846838318,0.34,0.33960296968833287,4.345633017326118
0.34500000000000003,1.2085159022111098,0.34500000000000003,0.3462465260573797,4.310596265251445
0.35000000000000003,1.2082210309609398,0.35000000000000003,0.35464867087705654,4.267111787227493
0.355,1.2079873990477403,0.355,0.3599244362289466,4.239565282762271
0.36,1.2078077042536133,0.36,0.3657863977310467,4.209358536929147
0.365,1.2076751932501042,0.365,0.37145296051641014,4.180364396503195
0.37,1.2075835024756454,0.37,0.37731492201851025,4.150597117935128
0.375,1.207526596700418,0.375,0.3847400732545037,4.113187619130807
0.38,1.2074988469419985,0.38,0.3892342437394471,4.090578646915417
0.385,1.207495055167902,0.385,0.397050192408914,4.051480447898741
0.39,1.2075104672446524,0.39,0.40095816674364737,4.032018039169738
0.395,1.2075410807640368,0.395,0.4056477359453274,4.00872358280699
0.4,1.2075833730003394,0.4,0.41131429873069086,3.9806024877006703
0.405,1.207634003894408,0.405,0.4156130704988976,3.9593619894411662
0.41000000000000003,1.207690039892696,0.41000000000000003,0.4208888358507877,3.9332635075621063
0.41500000000000004,1.2077489226789462,0.41500000000000004,0.42577380376920443,3.909133213812433
0.42,1.2078084025779867,0.42,0.4318311639880412,3.8791439177423794
0.425,1.2078665739924455,0.425,0.43671613190645797,3.8550100196457318
0.43,1.2079218527247197,0.43,0.44218729597508477,3.827930660502483
0.435,1.2079729522625056,0.435,0.44824465619392156,3.7978994111280393
0.44,1.2080188593620134,0.44,0.4535204215458116,3.771750163090777
0.445,1.208058647763444,0.445,0.46153176893201514,3.7318924027466323
0.45,1.208091445691101,0.45,0.4673937304341152,3.7027454623783598
0.455,1.2081167487045528,0.455,0.472864894502742,3.6755164092654704
0.46,1.2081344488825296,0.46,0.4793130521550521,3.643363173464362
0.465,1.2081446539531835,0.465,0.48576120980736226,3.6111726518125264
0.47000000000000003,1.2081475685541376,0.47000000000000003,0.4926001648931457,3.5769918423935363
0.47500000000000003,1.2081434524204637,0.47500000000000003,0.49787593024503574,3.5505919493698426
0.48,1.2081327260392354,0.48,0.5021747020132425,3.5290440701459667
0.485,1.2081158973006332,0.485,0.5086228596655527,3.496718827410045
0.49,1.2080934554956355,0.49,0.5137032263007061,3.471204536584202
0.495,1.2080658381035558,0.495,0.5209329788199628,3.4349174881274496
0.5,1.2080333947637694,0.5,0.5264041428885896,3.4073992919653273
0.505,1.2079966140795928,0.505,0.530312117223323,3.3876753895747322
0.51,1.207956092049341,0.51,0.5361740787254231,3.358162870076137
0.515,1.2079122691788824,0.515,0.5416452427940499,3.3305878539112412
0.52,1.2078654516543739,0.52,0.5488749953133067,3.2942049385168395
0.525,1.2078159204644403,0.525,0.5553231529656169,3.2617164421651608
0.53,1.2077640270279293,0.53,0.5604035196007703,3.2360551000944704
0.535,1.2077101614292431,0.535,0.5654838862359236,3.210383905555379
0.54,1.2076546778709427,0.54,0.5713458477380239,3.180795503397628
0.545,1.2075978143252506,0.545,0.5795525938409639,3.139476513669869
0.55,1.2075397573732163,0.55,0.5838513656091707,3.117691616880985
0.555,1.2074808516439797,0.555,0.5881501373773773,3.0959026268436265
0.56,1.2074214148464322,0.56,0.595575288613371,3.0584792046358067
0.5650000000000001,1.2073616488227283,0.5650000000000001,0.5992878642313676,3.0396182609550446
0.5700000000000001,1.207301830063013,0.5700000000000001,0.6045636295832577,3.0129398018593774
