t_qd,qd_rad,t_q,q_rad,tau
0.0,0.0010714160592295392,0.0,-0.044550907415960815,0.22811161737595176
0.005,0.005166567630534783,0.005,-0.044550907415960815,0.24858737523247798
0.01,0.012800041184324814,0.01,-0.04435550869922414,0.2857777494177448
0.015,0.023278370824170256,0.015,-0.04357391383227746,0.3342591229625746
0.02,0.03599045293088353,0.02,-0.04279231896533078,0.3939062684261804
0.025,0.05039644241177919,0.025,-0.04122912923143742,0.45811028377385016
0.03,0.06601223000733288,0.03,-0.03927514206407072,0.5264032480860877
0.035,0.08241353770830875,0.035,-0.03693035746323068,0.5966626818853211
0.04,0.09922808318016942,0.04,-0.03126379467786724,0.6523633470796746
0.045,0.11612886239003774,0.045,-0.026965022909660494,0.7153270336196607
0.05,0.1328501577910139,0.05,-0.0236432447251371,0.7822714369296189
0.055,0.14917727636200992,0.055,-0.01582729605567029,0.8247663376621087
0.06,0.1649312648915991,0.06,-0.013091714021356905,0.8897935088807145
0.065,0.17997312792470913,0.065,-0.006838955085783458,0.9336744886040274
0.07,0.1941866866617119,0.07,0.0005861961502100108,0.9675545420590895
0.075,0.20747937084278079,0.075,0.005080366635153426,1.0114906223407376
0.08,0.2197918595388085,0.08,0.011919321720936885,1.0388107995131115
0.085,0.23108497233962264,0.085,0.016999688356090312,1.069835387478505
0.09,0.2413390273073282,0.09,0.022080054991243738,1.0956725148509376
0.095,0.2505574472935517,0.095,0.025988029325977144,1.1221985415162938
0.1,0.2587567532424792,0.1,0.03321778184523394,1.127025347390972
0.105,0.26595778938053816,0.105,0.03868894591386071,1.1356579387191925
0.11,0.272191312896793,0.11,0.044160109982487476,1.1394551705823484
0.115,0.27750201266392144,0.115,0.04826348303395755,1.145480151860653
0.12,0.2819398417481018,0.12,0.05451624196953099,1.1363973309235296
0.125,0.28555320793518885,0.125,0.06037820347163111,1.1251466668445058
0.13,0.288393956480518,0.13,0.06526317139004786,1.1149194199759012
0.135,0.2905188587144006,0.135,0.07073433545867464,1.0981831907996469
0.14,0.2919854444722591,0.14,0.0767916956775114,1.0752253824927287
0.145,0.29285114337968676,0.145,0.0826536571796115,1.0502409207177454
0.15,0.2931664401418461,0.15,0.09222819429970835,1.0039421998867608
0.155,0.2929753398848917,0.155,0.09867635195201847,0.9707438951074006
0.16,0.2923280662022704,0.16,0.10414751602064523,0.94015009416473
0.165,0.2912793741646071,0.165,0.10981407880600867,0.9065725303004522
0.17,0.2898750744334773,0.17,0.11899781849263219,0.8536313014123704
0.17500000000000002,0.28815284640678585,0.17500000000000002,0.12446898256125893,0.817664665656159
0.18,0.28615479344920786,0.18,0.13033094406335904,0.7783637029742404
0.185,0.2839283001487451,0.185,0.13443431711482912,0.7467136589077537
0.19,0.28151973088717963,0.19,0.13873308888303587,0.7131775340732666
0.195,0.27897013413129634,0.195,0.144008854234926,0.6740511877858988
0.2,0.27630990051971605,0.2,0.15123860675418274,0.6246016285329128
0.20500000000000002,0.27356281206942273,0.20500000000000002,0.15651437210607286,0.5844876566429551
0.21,0.2707535134334032,0.21,0.162962529758383,0.5382006128980743
0.215,0.2679046111656792,0.215,0.16843369382700976,0.4966004713737346
0.22,0.26503603016970334,0.22,0.17449105404584653,0.4519709174256027
0.225,0.2621666338467049,0.225,0.17937602196426328,0.4131992179192718
0.23,0.2593127384522174,0.23,0.1844563885994167,0.3735280051316631
0.23500000000000001,0.25648832294864166,0.23500000000000001,0.1909045462517268,0.32716521724071074
0.24,0.2537052344436734,0.24,0.19657110903709027,0.2849170230998334
0.245,0.2509730332698829,0.245,0.20223767182245372,0.2429244033125209
0.25,0.24829959399199217,0.25,0.20653644359066042,0.20806430808879942
0.255,0.24568751095665142,0.255,0.2159155819940206,0.14810896890070735
0.26,0.2431346233353123,0.26,0.22099594862917407,0.10994331202257449
0.265,0.24064504603446218,0.265,0.2256855178308541,0.07404807103338776
0.27,0.23822588048912352,0.27,0.23291527035011095,-0.0007491767658813778
0.275,0.23587897129703808,0.275,0.2383864344187377,-0.0007477120310323933
0.28,0.2336057389456182,0.28,0.24268520618694442,-0.0461415761301203
0.28500000000000003,0.23140876845229855,0.28500000000000003,0.2475701741053612,-0.08154388986343994
0.29,0.2292897236905274,0.29,0.25186894587356795,-0.11361671841455141
0.295,0.22724946030452817,0.295,0.25558152149156466,-0.14236215935634883
0.3,0.22528763419853437,0.3,0.25870790095935137,-0.16777323188488957
0.305,0.2234033803332735,0.305,0.26085728684345477,-0.18790366444143755
0.31,0.22159329339364914,0.31,0.26359286887776817,-0.21058684428109173
0.315,0.2198509666949915,0.315,0.2645698624614515,-0.22413466191061687
0.32,0.2181733331841525,0.32,0.2651560586116615,-0.23540098127213444
0.325,0.2165605755293048,0.325,0.26496065989492484,-0.24242711025039546
0.33,0.21501241558519665,0.33,0.26476526117818816,-0.2491320323789296
0.335,0.2135281861023837,0.335,0.26359286887776817,-0.250622258047428
0.34,0.21210450897200936,0.34,0.26124808427692814,-0.24594775058234244
0.34500000000000003,0.210735853867369,0.34500000000000003,0.25909869839282473,-0.2419716681973416
0.35000000000000003,0.2094198136355959,0.35000000000000003,0.256558515075248,-0.2357803582200232
0.355,0.2081547704141704,0.355,0.2520643445903046,-0.21956789482530514
0.36,0.20693718210094514,0.36,0.24854716768904456,-0.20800613878494081
0.365,0.20576557549145078,0.365,0.24522538950452114,-0.1971950291509871
0.37,0.2046405775911631,0.37,0.2409266177363144,-0.18126300632652914
0.375,0.20356270027176998,0.375,0.2360416498178977,-0.1621678292648651
0.38,0.2025315789580722,0.38,0.2303750870325342,-0.13893709185413977
0.385,0.20154628914866748,0.385,0.22607631526432748,-0.12231995705922025
0.39,0.20060560550367845,0.39,0.219823556328754,-0.09571404980641049
0.395,0.1997077620634487,0.395,0.21493858841033725,-0.0757374021362375
0.4,0.1988519261074094,0.4,0.21024901920865718,-0.05653131504531531
0.405,0.19803815490205073,0.405,0.20575484872371377,0.00048638747076230296
0.41000000000000003,0.1972662394906828,0.41000000000000003,0.20067448208856034,0.0005144773982972433
0.41500000000000004,0.19653573634821897,0.41500000000000004,0.19598491288688025,0.0005369493403251958
0.42,0.19584519081128118,0.42,0.1891459578010968,0.0005526265742835686
0.425,0.195192357409517,0.425,0.18543338218310007,0.04935544385420687
0.43,0.19457600739784883,0.43,0.18191620528184,0.06385903026144549
0.435,0.19399571561518417,0.435,0.17878982581405328,0.07657867881599098
0.44,0.1934508675270859,0.44,0.17605424377973988,0.0875156655313909
0.445,0.1929406894910775,0.445,0.17370945917889985,0.09666500050452055
0.45,0.19246422582513387,0.45,0.17156007329479647,0.10500260219567241
0.455,0.19202042594055493,0.455,0.1701922822776398,0.1095917490601877
0.46,0.19160791890583195,0.46,0.1680428963935364,0.11824344514956714
0.465,0.19122530106817304,0.465,0.1674567002433264,0.11922597690764844
0.47000000000000003,0.19087158432327836,0.47000000000000003,0.16667510537637972,0.12132902855534519
0.47500000000000003,0.1905456036465704,0.47500000000000003,0.16628430794290636,0.1216171402101296
0.48,0.19024624590315456,0.48,0.16628430794290636,0.12008352267099245
0.485,0.1899726143659629,0.485,0.16628430794290636,0.11867785080856384
0.49,0.1897236538008285,0.49,0.16628430794290636,0.11739728584255556
0.495,0.18949832498105265,0.495,0.16667510537637972,0.11428229406488045
0.5,0.1892954837222119,0.5,0.16726130152658972,0.11030386781132351
0.505,0.18911387547474867,0.505,0.16765209896006306,0.10741179756050222
0.51,0.1889523432187091,0.51,0.16862909254374644,0.10169053424564863
0.515,0.1888097380873543,0.515,0.16960608612742978,0.09606503273813892
0.52,0.1886849039596884,0.52,0.17077847842784977,0.08955114345269433
0.525,0.18857672003947348,0.525,0.1719508707282698,0.08312260615401139
0.53,0.18848406654275263,0.53,0.1733186617454265,0.07579640814872113
0.535,0.1884058251710542,0.535,0.17449105404584653,0.06952175911974291
0.54,0.1883408795825059,0.54,0.17624964249647657,0.06038460406947843
0.545,0.18828811777991436,0.545,0.17781283223036992,0.052286958183891785
0.55,0.1882464200247195,0.55,0.1791806232475266,0.04522290343994038
0.555,0.18821466917261925,0.555,0.18054841426468332,-0.00012166947144315325
0.56,0.1881917726091847,0.56,0.1823070027153133,-0.00013414069177834675
0.5650000000000001,0.18817667059442217,0.5650000000000001,0.18367479373247003,-0.00014411766804650156
0.5700000000000001,0.1881683389692544,0.5700000000000001,0.1850425847496267,-0.00015094908922903087
0.5750000000000001,0.18816580271036085,0.5750000000000001,0.18543338218310007,-0.00015296374667907083
0.58,0.18816814685866617,0.58,0.18621497705004675,-0.00014997483331112479
0.585,0.18817449149929383,0.585,0.1864103757667834,-0.00014183290345679543
0.59,0.18818400424342704,0.59,0.1864103757667834,-0.0001284184005813649
0.595,0.18819594740435477,0.595,0.1864103757667834,-0.00011308615895304245
0.6,0.18820967339062336,0.6,0.1866057744835201,-9.621972632240648e-05
0.605,0.1882246059974852,0.605,0.1864103757667834,-7.812594088991969e-05
0.61,0.18824020733535854,0.61,0.1864103757667834,-6.250075271193575e-05
0.615,0.18825598153957504,0.615,0.1866057744835201,-5.000060216954861e-05
0.62,0.1882715410572801,0.62,0.1866057744835201,-4.000048173563889e-05
0.625,0.18828657384237452,0.625,0.1866057744835201,-3.2000385388511114e-05
0.63,0.18830082752276345,0.63,0.1866057744835201,-2.5600308310808895e-05
0.635,0.18831412511662446,0.635,0.1864103757667834,-2.0480246648647118e-05
0.64,0.18832631243996706,0.64,0.1864103757667834,-1.6384197318917696e-05
0.645,0.1883372647579385,0.645,0.1864103757667834,-1.3107357855134158e-05
0.65,0.18834690635199214,0.65,0.1864103757667834,-1.0485886284107326e-05
0.655,0.18835521960480048,0.655,0.1864103757667834,-8.388709027285861e-06
0.66,0.18836223606157845,0.66,0.1866057744835201,-6.71096722182869e-06
0.665,0.1883680125390359,0.665,0.1864103757667834,-5.368773777462953e-06
0.67,0.1883726274452144,0.67,0.1866057744835201,-4.2950190219703625e-06
0.675,0.18837617624686837,0.675,0.1864103757667834,-3.4360152175762897e-06
0.68,0.1883787820942205,0.68,0.1864103757667834,-2.748812174061032e-06
0.685,0.18838060376570268,0.685,0.1864103757667834,-2.199049739248826e-06
0.6900000000000001,0.18838183798019445,0.6900000000000001,0.1866057744835201,-1.7592397913990608e-06
0.6950000000000001,0.18838281196541629,0.6950000000000001,0.1866057744835201,-1.4073918331192485e-06
0.7000000000000001,0.18838400409666267,0.7000000000000001,0.1866057744835201,-1.1259134664953989e-06
0.705,0.1883858915646926,0.705,0.1864103757667834,-9.007307731963192e-07
0.71,0.18838893964597084,0.71,0.1866057744835201,-7.205846185570553e-07
0.715,0.18839367403133886,0.715,0.1864103757667834,-5.764676948456443e-07
0.72,0.18840067900703605,0.72,0.1864103757667834,-4.6117415587651544e-07
0.725,0.18841077767208267,0.725,0.1864103757667834,-3.689393247012124e-07
0.73,0.18842507049758664,0.73,0.1866057744835201,-2.9515145976096994e-07
0.735,0.18844426544950138,0.735,0.1864103757667834,-2.3612116780877596e-07
0.74,0.18846895755913384,0.74,0.1864103757667834,-1.8889693424702077e-07
0.745,0.18849997846808011,0.745,0.1866057744835201,-1.5111754739761663e-07
0.75,0.18853831221038658,0.75,0.1864103757667834,-1.208940379180933e-07
0.755,0.18858561516607142,0.755,0.1866057744835201,-9.671523033447464e-08
0.76,0.18864327716535967,0.76,0.1864103757667834,-7.737218426757973e-08
0.765,0.18871196526164752,0.765,0.1866057744835201,-6.189774741406378e-08
0.77,0.18879227533819135,0.77,0.1866057744835201,-4.951819793125103e-08
0.775,0.18888474678478046,0.775,0.1864103757667834,-3.961455834500083e-08
0.78,0.18898984919519493,0.78,0.1866057744835201,-3.1691646676000666e-08
0.785,0.189107970829953,0.785,0.1864103757667834,-2.5353317340800534e-08
0.79,0.18923952080955656,0.79,0.1866057744835201,-2.0282653872640426e-08
0.795,0.1893847912048708,0.795,0.1864103757667834,-1.622612309811234e-08
0.8,0.18954372959100838,0.8,0.1864103757667834,-1.2980898478489876e-08
0.805,0.18971726053843663,0.805,0.1866057744835201,-1.03847187827919e-08
