t_qd,qd_rad,t_q,q_rad,tau
0.0,0.003361122769771862,0.0,-0.049045077900904226,0.2620310033533804
0.005,0.01624326780893165,0.005,-0.049045077900904226,0.3264417285491794
0.01,0.040371063957021,0.01,-0.04884967918416756,0.4461037157059428
0.015,0.07369613217552284,0.015,-0.04826348303395755,0.609794625567906
0.02,0.11436712489140735,0.02,-0.046504894583327516,0.8043492858712535
0.025,0.1607232964004132,0.025,-0.04513710356617083,1.0292806988728316
0.03,0.21128659657363566,0.03,-0.03927514206407072,1.252757147625501
0.035,0.26475261822366614,0.035,-0.034390174145653964,1.4956198180439044
0.04,0.31998069234469073,0.04,-0.028528212643553853,1.7423909990304904
0.045,0.37598339106640427,0.045,-0.022275453707980408,1.9910552370003058
0.05,0.4319156657268408,0.05,-0.014850302471986938,2.2335075332759975
0.055,0.48706381709502283,0.055,-0.010551530703780192,2.4876797234798302
0.06,0.5408344665361088,0.06,-0.005275765351890096,2.730088626889816
0.065,0.5927436708455867,0.065,-0.00019539871673667023,2.964176951153146
0.07,0.642406299587418,0.07,0.004884967918416756,3.1870424202400707
0.075,0.689525772027742,0.075,0.014068707605040257,3.3766832606915687
0.08,0.7338842311108671,0.08,0.017781283223036994,3.579882419363608
0.085,0.7753332143083969,0.085,0.021493858841033726,3.7685402503383902
0.09,0.8137848655004791,0.09,0.027355820343133833,3.9314693332499946
0.095,0.8492037182276704,0.095,0.03243618697828726,4.0831462712795386
0.1,0.8815990692169114,0.1,0.04142452794817409,4.200168927431794
0.105,0.9110179491987622,0.105,0.04552790099964417,4.3267365469280845
0.11,0.937538691001936,0.11,0.05138986250174427,4.430022516308963
0.115,0.9612650861875417,0.115,0.05510243811974101,4.530085268447415
0.12,0.9823211281967899,0.12,0.06272298807247115,4.597257652170333
0.125,1.0008463393659643,0.125,0.0695619431582546,4.655683721179717
0.13,1.0169915990742926,0.13,0.0762054995273014,4.703188068750067
0.135,1.03091543213614,0.135,0.0826536571796115,4.740563110496908
0.14,1.042780806981937,0.14,0.08773402381476494,4.77448548330945
0.145,1.052752416813954,0.145,0.0932051878833917,4.796985577533859
0.15,1.0609945304530337,0.15,0.1010211365528585,4.799114694707891
0.155,1.0676689711195566,0.155,0.10668769933822195,4.804152717974462
0.16,1.0729328200826318,0.16,0.11079107238969202,4.8099540046211064
0.165,1.0769379005706314,0.165,0.11919321720936885,4.787967808633616
0.17,1.0798301657437344,0.17,0.12329659026083893,4.781911569778496
0.17500000000000002,1.0817468911392367,0.17500000000000002,0.12759536202904564,4.770000778344348
0.18,1.0828163094499126,0.18,0.13208953251398908,4.752876569816507
0.185,1.0831604115634366,0.185,0.14088247476713922,4.710632010993176
