t_qd,qd_rad,t_q,q_rad,tau
0.0,0.0005372927469293648,0.0,-0.044550907415960815,0.2254410008144509
0.005,0.0025967262378499573,0.005,-0.044550907415960815,0.23573816826905386
0.01,0.0064543741196525966,0.01,-0.04435550869922414,0.2540494140943837
0.015,0.01178324670867274,0.015,-0.04357391383227746,0.27678350238508703
0.02,0.018287787674788072,0.02,-0.04279231896533078,0.3053940923055351
0.025,0.02570264339621325,0.025,-0.0420107240983841,0.3385547837979474
0.03,0.03379159732555356,0.03,-0.03966593949754405,0.3672619389378087
0.035,0.04234630351466338,0.035,-0.038493547197124035,0.40415565422015376
0.04,0.05118441941119429,0.04,-0.036734958746494004,0.43952980684211895
0.045,0.060148053639595266,0.045,-0.033803977995443955,0.4696639351043543
0.05,0.06910228688717257,0.05,-0.029309807510500538,0.49192943601958833
0.055,0.07793326788980362,0.055,-0.025206434459030463,0.515526973698893
0.06,0.08654625574866974,0.06,-0.020321466540613703,0.5341151190227957
0.065,0.09486392606619784,0.065,-0.015045701188723608,0.5492750292294866
0.07,0.10282477249113468,0.07,-0.009769935836833513,0.5626469409795368
0.075,0.11038146894536623,0.075,-0.0037125756179967346,0.5700812745472201
0.08,0.11749948247017905,0.08,0.004884967918416756,0.5626233949632964
0.085,0.12415538656444099,0.085,0.00820674610294015,0.5792400900920929
0.09,0.13033514024684184,0.09,0.013873308888303588,0.5817605967216989
0.095,0.1360333781930861,0.095,0.022080054991243738,0.5691793973340906
0.1,0.14125223962778394,0.1,0.028332813926817187,0.5639778327865774
0.105,0.14599993170869144,0.105,0.03771195233017736,0.5407949395398062
0.11,0.15028972960028472,0.11,0.044160109982487476,0.5299814612687834
0.115,0.15413833816506137,0.115,0.04787268560048421,0.5306442824287323
0.12,0.15756518868932892,0.12,0.05314845095237431,0.521386983591291
0.125,0.1605922794055148,0.125,0.05725182400384438,0.5159942419955751
0.13,0.16324328623090106,0.13,0.061550595772051124,0.5077463533460369
0.135,0.16554362690540486,0.135,0.07151593032562131,0.4694141328023562
0.14,0.16752005837547665,0.14,0.07659629696077475,0.45388865605826906
0.145,0.1691990812097355,0.145,0.08245825846287484,0.43296932198411964
0.15,0.17060656162953294,0.15,0.08753862509802827,0.41460117831938514
0.155,0.17176790041848605,0.155,0.09281439044991838,0.3940260754343365
0.16,0.17270777072345175,0.16,0.09906714938549181,0.36745925622500697
0.165,0.17344990663821444,0.165,0.10414751602064523,0.34576620177802053
0.17,0.17401693760539608,0.17,0.11040027495621868,0.31733604126003534
0.17500000000000002,0.17443026383677676,0.17500000000000002,0.11665303389179212,0.28813766119825057
0.18,0.17471039393462623,0.18,0.12564137486167898,0.24459563360540687
0.185,0.17487681706531386,0.185,0.13091714021356907,0.21904699375343717
0.19,0.17494705829122564,0.19,0.1365837029989325,0.19106384295941306
0.195,0.17493675911846887,0.195,0.1424456645010326,0.16170130518771592
0.2,0.17486019585564597,0.2,0.14791682856965938,0.13396168101253733
0.20500000000000002,0.17473040594294806,0.20500000000000002,0.1549511823721795,0.098140172422103
0.21,0.17455955971293433,0.21,0.16315792847511965,0.05625157874585831
0.215,0.17435875234983958,0.215,0.16882449126048307,-0.0007559328925633525
0.22,0.17413734458101118,0.22,0.17429565532910984,-0.0007542670922099676
0.225,0.17390320449559035,0.225,0.17957142068099996,-0.0007506341322632707
0.23,0.17366365682268609,0.23,0.18680117320025674,-0.06642840869316723
0.23500000000000001,0.17342539174677063,0.23500000000000001,0.1909045462517268,-0.0881241528292073
0.24,0.17319362187434525,0.24,0.1950079193031969,-0.10978415944881488
0.245,0.17297241774692143,0.245,0.1989158936379303,-0.13040713392121706
0.25,0.1727651208349609,0.25,0.20184687438898036,-0.14606523588774695
0.255,0.17257436239804402,0.255,0.20458245642329373,-0.16065880756675982
0.26,0.17240241196750358,0.26,0.2061456461571871,-0.1692913520890663
0.265,0.172250906988264,0.265,0.20712263974087047,-0.17488551794580692
0.27,0.1721206522020921,0.27,0.2080996333245538,-0.18036929631079993
0.275,0.17201249868688545,0.275,0.20829503204129046,-0.181835885404434
0.28,0.17192698019690458,0.28,0.20829503204129046,-0.1822087382834884
0.28500000000000003,0.1718638904457509,0.28500000000000003,0.20770883589108044,-0.17953791303320682
0.29,0.17182303532228713,0.29,0.20712263974087047,-0.17675662185698798
0.295,0.17180438879813026,0.295,0.2055594500069771,-0.16897988553582716
0.3,0.17180807289985375,0.3,0.20419165898982042,-0.1620689422849558
0.305,0.1718336684093179,0.305,0.20243307053919038,-0.15309596708065243
0.31,0.17188011579925008,0.31,0.20047908337182369,-0.14303949821294024
0.315,0.1719463637878163,0.315,0.19813429877098362,-0.13093514760177458
0.32,0.1720313308276019,0.32,0.1961803116036169,-0.12069412547571355
0.325,0.1721340668236364,0.325,0.1930539321358302,-0.10450464632537605
0.33,0.1722536316809583,0.33,0.1905137488182535,-0.09116733350640197
0.335,0.1723890100112025,0.335,0.18699657191699343,-0.07286679883430376
0.34,0.17253926480036763,0.34,0.18484718603289005,-0.06133493817680369
0.34500000000000003,0.17270297829639358,0.34500000000000003,0.18269780014878667,-0.04974021512356706
0.35000000000000003,0.1728786369340693,0.35000000000000003,0.1799622181144733,0.0002595753801343593
0.355,0.1730652424629396,0.355,0.17742203479689655,0.00028127053335513574
0.36,0.17326198911937749,0.36,0.17507725019605655,0.00030092697559574587
0.365,0.17346812726486838,0.365,0.1727324655952165,0.000316652129388234
0.37,0.17368296391962185,0.37,0.17077847842784977,0.00032808209259023
0.375,0.17390586262889823,0.375,0.16882449126048307,0.0003337755836558433
0.38,0.17413624289283058,0.38,0.16726130152658972,0.0003302792576843724
0.385,0.17437357937125167,0.385,0.16569811179269636,0.0003205812379152286
0.39,0.17461754100855614,0.39,0.16452571949227635,0.05076617960433893
0.395,0.1748678268176316,0.395,0.16374412462532967,0.05590902481330943
0.4,0.17512388725611086,0.4,0.162962529758383,0.06107370336503898
0.405,0.17538603350932594,0.405,0.16237633360817297,0.06529078620268441
0.41000000000000003,0.17565492672484195,0.41000000000000003,0.16218093489143628,0.06758909204086787
0.41500000000000004,0.17593060032341387,0.41500000000000004,0.16179013745796297,0.07089487302380604
0.42,0.1762131781386307,0.42,0.16198553617469966,0.07130605869488033
0.425,0.17650152600504349,0.425,0.16198553617469966,0.07272342953055523
0.43,0.17679370095287586,0.43,0.16198553617469966,0.07416135899310985
0.435,0.17708899202430406,0.435,0.16218093489143628,0.07464016422561794
0.44,0.1773874877266226,0.44,0.16237633360817297,0.07513567344127144
0.445,0.17768940417371443,0.445,0.1627671310416463,0.07467298761989521
0.45,0.17799516538589916,0.45,0.162962529758383,0.07520787506589655
0.455,0.17830644084513753,0.455,0.16374412462532967,0.07284043768269989
0.46,0.17862507573819492,0.46,0.16433032077553966,0.0714876588015488
0.465,0.17895144503154417,0.465,0.16511191564248637,0.06919725253758709
0.47000000000000003,0.17928587416779662,0.47000000000000003,0.16569811179269636,0.06792469443135582
0.47500000000000003,0.17962863483899089,0.47500000000000003,0.16667510537637972,0.0647414012799235
0.48,0.1799794204974226,0.48,0.16765209896006306,0.061598358462811975
0.485,0.1803379591775656,0.485,0.1682382951102731,0.06044931839996191
0.49,0.1807040069982933,0.49,0.16921528869395644,0.05738368709550803
0.495,0.18107880260016052,0.495,0.17077847842784977,0.051430694123972796
0.5,0.18146406958581016,0.5,0.17175547201153316,0.04846209312484836
0.505,0.18185828910093033,0.505,0.17234166816174315,0.04749308538240269
0.51,0.18225950500647997,0.51,0.17370945917889985,-9.846912696242733e-05
0.515,0.18266825096261094,0.515,0.17449105404584653,-0.00010637913753780999
0.52,0.18308410220716193,0.52,0.17507725019605655,-0.0001127071459981161
0.525,0.18350674185288635,0.525,0.17624964249647657,-0.00011661939293436646
0.53,0.18393829841288556,0.53,0.1766404399299499,-0.00011744887081937775
0.535,0.18437980703842638,0.535,0.1768358386466866,-0.00011466197363140328
0.54,0.18483054771467403,0.54,0.1768358386466866,-0.00010668165672105117
0.545,0.18528995189941003,0.545,0.1768358386466866,-9.339644420080248e-05
0.55,0.18575752299810652,0.55,0.1768358386466866,0.04453025412224305
0.555,0.18623315612637698,0.555,0.1768358386466866,0.04692290313073464
0.56,0.18671852213397497,0.56,0.1768358386466866,0.04936247002226806
0.5650000000000001,0.18721601350914832,0.5650000000000001,0.17703123736342324,0.05088197263745432
0.5700000000000001,0.18772584683868995,0.5700000000000001,0.1772266360801599,0.052461377159881424
0.5750000000000001,0.18824675748325212,0.5750000000000001,0.17742203479689655,0.05409357180589876
0.58,0.188777605465604,0.58,0.1780082309471066,0.05381938881228768
0.585,0.18931736840965016,0.585,0.17839902838057992,0.05456396232203186
0.59,0.1898651348217013,0.59,0.17859442709731663,0.05632444740427595
0.595,0.19042009776597418,0.595,0.1791806232475266,0.05616489833946403
0.6,0.19098154888138194,0.6,0.17976681939773664,0.0560373165775194
0.605,0.19154880073865424,0.605,0.18054841426468332,0.05496021593913698
0.61,0.1921223548099456,0.61,0.18152540784836665,0.05293640958550474
0.615,0.1927032042375435,0.615,0.18211160399857668,0.05290208861944219
0.62,0.19329145850614987,0.62,0.18328399629899667,0.04997417841814057
0.625,0.19388823629619217,0.625,0.18406559116594334,0.04904201668016789
0.63,0.19449458399979241,0.63,0.18523798346636342,0.046204182453476086
0.635,0.19510975809192566,0.635,0.18621497705004675,0.04438784584181952
0.64,0.19573252305755579,0.64,0.1871919706337301,-9.30008505318981e-05
0.645,0.19636175000239822,0.645,0.18836436293415013,-9.970419672939758e-05
0.65,0.1969964030982419,0.65,0.18934135651783346,-0.00010621703351939165
0.655,0.19763552794323572,0.655,0.19012295138478016,-0.00011142730295138692
0.66,0.1982782421267293,0.66,0.19070914753499016,-0.00011329519883299413
0.665,0.19892528414838273,0.665,0.1909045462517268,-0.00011133903604229637
0.67,0.199578299174129,0.67,0.19129534368520015,-0.00010517346648176015
0.675,0.20023545513489172,0.675,0.19129534368520015,0.04460376671712046
0.68,0.20089487274400186,0.68,0.19129534368520015,0.047914462069778695
0.685,0.201558418716582,0.685,0.19149074240193684,0.050269534674177975
0.6900000000000001,0.20222756712696666,0.6900000000000001,0.19149074240193684,0.05362789594607881
0.6950000000000001,0.2029014764598522,0.6950000000000001,0.1916861411186735,0.05603054440280536
0.7000000000000001,0.20357760629643726,0.7000000000000001,0.1918815398354102,0.058441126143000705
0.705,0.20425566693344285,0.705,0.1924677359856202,0.05890368917007764
0.71,0.2049381315972695,0.71,0.1930539321358302,0.0593853238929761
0.715,0.20562505573290085,0.715,0.19364012828604024,0.05988804738410271
0.72,0.20631445432260428,0.72,0.1942263244362502,0.06039987595329017
0.725,0.20700560289394346,0.725,0.19539871673667025,0.05798801008559792
0.73,0.20769822161142296,0.73,0.19598491288688025,0.058513304824451134
0.735,0.2083917440269422,0.735,0.19735270390403695,0.055134207018604366
0.74,0.20908638939194832,0.74,0.19832969748772028,0.053715111927258814
0.745,0.20978155307680674,0.745,0.1993066910714036,0.05229777891510262
0.75,0.21047560051288672,0.75,0.20047908337182369,0.04989835761914487
0.755,0.21116681960275258,0.755,0.20126067823877036,0.04943802083467096
0.76,0.2118535231513022,0.76,0.20243307053919038,0.04700166059623118
0.765,0.21253440560344217,0.765,0.2034100641228737,0.045513621595412036
0.77,0.21321007173459527,0.77,0.20536405129024043,-0.00011522264174405258
0.775,0.21388274496774845,0.775,0.20653644359066042,-0.00012208226902709918
0.78,0.21455262563094846,0.78,0.20790423460781715,-0.00012872013068553097
0.785,0.2152182298409079,0.785,0.2086858294747638,-0.0001328802601802819
0.79,0.2158783849259925,0.79,0.20927202562497385,-0.00013390804411209364
0.795,0.2165322156062559,0.795,0.20985822177518385,-0.0001312797917615595
0.8,0.21717919299282798,0.8,0.2100536204919205,-0.00012457655055315417
0.805,0.21782083622012796,0.805,0.21024901920865718,-0.00011346315842645739
0.81,0.2184602908888441,0.81,0.2100536204919205,-9.997180539712196e-05
0.8150000000000001,0.21909861729989874,0.8150000000000001,0.2100536204919205,0.04513925579641353
0.8200000000000001,0.21973514300980052,0.8200000000000001,0.2100536204919205,0.04833672967495395
0.8250000000000001,0.22036944247030668,0.8250000000000001,0.21024901920865718,0.05054540997669059
0.8300000000000001,0.22100166399540383,0.8300000000000001,0.21044441792539384,0.052739715124972435
0.835,0.22163406647234024,0.835,0.2108352153588672,0.053955893227471165
0.84,0.22226995793559529,0.84,0.21122601279234052,0.055185585364862656
0.845,0.22291024577082655,0.845,0.21161681022581388,0.0564341146447744
0.85,0.22355622063612812,0.85,0.21239840509276056,0.0557545761337827
0.855,0.22421111118936507,0.855,0.21298460124297056,0.05609459702704054
0.86,0.2248755871010692,0.86,0.21357079739318058,0.056482084777177526
0.865,0.22554651694846817,0.865,0.2141569935433906,0.056900324097591444
0.87,0.22622021413193125,0.87,0.2147431896936006,0.05733233577160022
0.875,0.2268952009127129,0.875,0.2153293858438106,0.05777074397082118
0.88,0.22757085738154179,0.88,0.21630637942749392,0.05625847227380711
0.885,0.22824617802950442,0.885,0.21708797429444063,0.055720331961029296
0.89,0.22892256065895417,0.89,0.218651164028334,0.05127973090469314
0.895,0.22960422433070118,0.895,0.21962815761201734,0.0497955285980532
0.9,0.2302932140118794,0.9,0.22080054991243736,0.047371323144445567
0.905,0.23098901702710337,0.905,0.22216834092959406,0.04400332892919891
0.91,0.23169125250191658,0.91,0.22314533451327742,-0.00010764508264596438
0.915,0.23239965899832501,0.915,0.22412232809696078,-0.00011487006191663412
0.92,0.23311408232634345,0.92,0.22509932168064412,-0.00012065004533316991
0.925,0.2338344634137172,0.925,0.22588091654759082,-0.00012527403206639853
0.93,0.23456082614134993,0.93,0.2264671126978008,-0.00012782306162098693
0.935,0.23529326515125373,0.935,0.2266625114145375,-0.00012756196560066864
0.9400000000000001,0.23603193374325576,0.9400000000000001,0.2270533088480108,0.044770372026768326
0.9450000000000001,0.23677682928561977,0.9450000000000001,0.2272487075647475,0.04752745456698032
0.9500000000000001,0.23752801862365622,0.9500000000000001,0.22744410628148415,0.05031753688263554
0.9550000000000001,0.23828603005926602,0.9550000000000001,0.22763950499822086,0.05314410448365398
