t_qd,qd_rad,t_q,q_rad,tau
0.0,0.002663363743146199,0.0,-0.06194139320552447,0.32302378474335336
0.005,0.01287240768716512,0.005,-0.06194139320552447,0.37406900446344793
0.01,0.03199898782989965,0.01,-0.061550595772051124,0.46774791800975385
0.015,0.05842938396010385,0.015,-0.06057360218836778,0.5950114802628621
0.02,0.09070448573480935,0.02,-0.05901041245447442,0.7485625292841661
0.025,0.12751203224478036,0.025,-0.05686102657037104,0.9218373221886429
0.03,0.16768373182986324,0.03,-0.05412544453605766,1.1089912998446174
0.035,0.21018990940979826,0.035,-0.049045077900904226,1.296078363613251
0.04,0.25413273915257856,0.04,-0.042401521531857445,1.4825181345210594
0.045,0.29873617709564165,0.045,-0.036734958746494004,1.67713423034423
0.05,0.343333581873241,0.05,-0.03028680109418389,1.8678016886419426
0.055,0.3873600013972298,0.055,-0.02383864344187377,2.055610423420205
0.06,0.4303453144316247,0.06,-0.018562878089983675,2.2440875015292963
0.065,0.471905653250723,0.065,-0.014068707605040257,2.4293583644778285
0.07,0.5117350269428426,0.07,-0.00781594866946681,2.5971923051229333
0.075,0.5495972241232278,0.075,-0.0019539871673667024,2.7571530268444264
0.08,0.585318881711014,0.08,0.004689569201680086,2.9025111676021775
0.085,0.6187811614819122,0.085,0.008988340969886831,3.0483028153468776
0.09,0.6499111819511533,0.09,0.014264106321776927,3.1775533771186275
0.095,0.6786774720907005,0.095,0.018953675523457014,3.297920410755958
0.1,0.7050847700533729,0.1,0.02442483959208378,3.4025889735444155
0.105,0.7291674008588815,0.105,0.030091402377447216,3.4946596282997238
0.11,0.750984347405393,0.11,0.036344161313020665,3.5724728180780803
0.115,0.7706175848143594,0.115,0.04533250228290749,3.625691101652411
0.12,0.7881673921627045,0.12,0.05197605865195429,3.680216247492217
0.125,0.8037426554467384,0.125,0.0584242163042644,3.7258480385653194
0.13,0.8174598002947855,0.13,0.06682636112394122,3.752420049038758
0.135,0.8294422696373993,0.135,0.07112513289214797,3.790836145176063
0.14,0.8398156084533479,0.14,0.0781594866946681,3.8075291568554204
0.145,0.8487059916238612,0.145,0.0834352520465582,3.8256007152383087
0.15,0.8562378027039176,0.15,0.08890641611518496,3.8359027257272746
0.155,0.8625340508109829,0.155,0.09496377633402173,3.837096185513872
0.16,0.8677158459531651,0.16,0.10121653526959519,3.8317405828232793
0.165,0.8718994014464706,0.165,0.10746929420516863,3.8213939386330305
0.17,0.8751962644064277,0.17,0.11274505955705873,3.811498925090238
0.17500000000000002,0.8777125297704709,0.17500000000000002,0.11938861592610552,3.790862068798718
0.18,0.8795511261926972,0.18,0.1281815581792557,3.756090018630897
0.185,0.8808115560382794,0.185,0.13404351968135578,3.7330832536975787
0.19,0.8815829673785167,0.19,0.14029627861692923,3.7056760802404822
0.195,0.8819445294169139,0.195,0.14596284140229268,3.679150728121319
0.2,0.8819693079486306,0.2,0.15280179648807612,3.645079566643519
0.20500000000000002,0.8817239943402001,0.20500000000000002,0.15768676440649287,3.6194279360433104
0.21,0.8812699720137408,0.21,0.165307314359223,3.5790548962745854
0.215,0.8806666126935941,0.215,0.1733186617454265,3.5359800698847796
0.22,0.8799682069105176,0.22,0.1791806232475266,3.5031771991724527
0.225,0.8792204442320972,0.225,0.1866057744835201,3.462311802171229
0.23,0.878463756097493,0.23,0.19461712186972355,3.4184709626238665
0.23500000000000001,0.8777336386566356,0.23500000000000001,0.20028368465508697,3.3864881820979353
0.24,0.8770585149752458,0.24,0.20634104487392377,3.3528262590809406
0.245,0.8764595666857113,0.245,0.21200760765928722,3.321499100893762
0.25,0.8759527338271657,0.25,0.21826036659486067,3.2877014596730145
0.255,0.8755507204265878,0.255,0.22431772681369744,3.25540484577582
