t_qd,qd_rad,t_q,q_rad,tau
0.0,0.004719489734088905,0.0,-0.04181532538164743,0.23267407557868164
0.005,0.022809377342391114,0.005,-0.04181532538164743,0.3231235136201927
0.01,0.05669777075472263,0.01,-0.04161992666491077,0.49158848709816694
0.015,0.10352133117655327,0.015,-0.04044753436449074,0.7198420273855561
0.02,0.16069470998132498,0.02,-0.038493547197124035,0.9959302443578579
0.025,0.22589550464907726,0.025,-0.03536716772933732,1.3062838257875875
0.03,0.2970542979647044,0.03,-0.03106839596113057,1.6405403838728108
0.035,0.3723444483121013,0.035,-0.025401833175767132,1.9885993286050028
0.04,0.4501720903556874,0.04,-0.01621809348914363,2.3317451922513004
0.045,0.5291607494753631,0.045,-0.009379138403360172,2.6924025894346526
0.05,0.6081282251116376,0.05,-0.0027355820343133836,3.053938935943417
0.055,0.6860711918992024,0.055,0.0031263794677867237,3.414272761869513
0.06,0.7621570646984577,0.06,0.010942328137253534,3.755563121797809
0.065,0.835709773957058,0.065,0.01680428963935364,4.093968301843961
0.07,0.9061874615293647,0.07,0.0236432447251371,4.412121967127666
0.075,0.9731722766239188,0.075,0.03302238312849727,4.700118352864507
0.08,1.036360765541944,0.08,0.03927514206407072,4.984771404601463
0.085,1.0955422013012135,0.085,0.04552790099964417,5.2493943101797
0.09,1.1505871020097602,0.09,0.050608267634797595,5.499201747874304
0.095,1.2014406721041309,0.095,0.05588403298668769,5.727078585448818
0.1,1.2481121734630687,0.1,0.06194139320552447,5.93013839207918
0.105,1.2906650972447289,0.105,0.06721715855741456,6.116515464971915
0.11,1.329209643681199,0.11,0.07464230979340802,6.272105465569406
0.115,1.3638927240277023,0.115,0.07991807514529814,6.419136460218559
0.12,1.3948901137533243,0.12,0.08558463793066157,6.545786130660721
0.125,1.4224087863352441,0.125,0.09379138403360171,6.642342191648314
0.13,1.4466763354661665,0.13,0.09945794681896515,6.735344266250265
0.135,1.4679220602383583,0.135,0.10610150318801194,6.808352822565315
0.14,1.4863793590193994,0.14,0.1135266544240054,6.863510581570181
0.145,1.5022922662892444,0.145,0.11997481207631551,6.91083309684139
0.15,1.5159000002389293,0.15,0.12485977999473229,6.954445940744559
0.155,1.5274325563995343,0.155,0.13169873508051574,6.977913157116129
0.16,1.5371202473840988,0.16,0.13814689273282588,6.994110192575371
0.165,1.54518070049078,0.165,0.14479044910187266,7.0011941713019175
0.17,1.5518211048289827,0.17,0.1522156003378661,6.997270032843665
0.17500000000000002,1.5572368308536513,0.17500000000000002,0.15612357467259955,7.004808468117901
0.18,1.561609840586008,0.18,0.16511191564248637,6.981730403230067
0.185,1.5651243267766153,0.185,0.17077847842784977,6.970968893296138
0.19,1.5679438947267699,0.19,0.1766404399299499,6.955756023968293
0.195,1.5702026050828537,0.195,0.18289319886552335,6.935783909656519
0.2,1.5720211210847859,0.2,0.18797356550067676,6.919473159358953
0.20500000000000002,1.5735082291017073,0.20500000000000002,0.19344472956930353,6.899551681395256
0.21,1.5747611653386984,0.21,0.19950208978814032,6.875528603321893
0.215,1.5758660455020868,0.215,0.2047778551400304,6.854673410848077
0.22,1.576898376391525,0.22,0.20966282305844713,6.835409612478138
0.225,1.5779236304531217,0.225,0.21513398712707393,6.813179571862951
0.23,1.5789978663336874,0.23,0.22080054991243736,6.790217544874934
0.23500000000000001,1.5801683804050148,0.23500000000000001,0.2256855178308541,6.771644961668262
0.24,1.5814743760657357,0.24,0.2325244729166376,6.74397991336597
0.245,1.5829651966433944,0.245,0.24170821260326106,6.705515116879563
