t_qd,qd_rad,t_q,q_rad,tau
0.0,0.0029517519661940842,0.0,-0.00879294225315016,0.05872347109672122
0.005,0.014266433103037266,0.005,-0.00879294225315016,0.11529687678093714
0.01,0.03546318709962903,0.01,-0.00879294225315016,0.22128064676389592
0.015,0.06474864789563697,0.015,-0.00879294225315016,0.3677079507439357
0.02,0.10050127965617149,0.02,-0.008597543536413491,0.545494115962925
0.025,0.14126607303807107,0.025,-0.00781594866946681,0.7454066580581934
0.03,0.1857481022048832,0.03,-0.006448157652310118,0.9609681874638818
0.035,0.23280504947921707,0.035,-0.0037125756179967346,1.1825592334710893
0.04,0.28143920496652913,0.04,0.0005861961502100108,1.4042062755148201
0.045,0.33078761017451813,0.045,0.005666562785363437,1.6255030144204172
0.05,0.38011048750238047,0.05,0.010160733270306851,1.8495876321116753
0.055,0.42878368203932193,0.055,0.018172080656510332,2.052824431130392
0.06,0.47629090220292536,0.06,0.024034042158610443,2.2609709220131227
0.065,0.5222101394180703,0.065,0.02989600366071055,2.461175056081206
0.07,0.5662064933992553,0.07,0.038884344630597374,2.6361458750604876
0.075,0.6080243441899978,0.075,0.044160109982487476,2.8187986050733196
0.08,0.6474721979813748,0.08,0.048458881750694224,2.9944967072841933
0.085,0.6844187143500808,0.085,0.05568863426995102,3.1430426802074587
0.09,0.7187879152715526,0.09,0.06018280475489443,3.2923875553309148
0.095,0.7505462804443704,0.095,0.06526317139004786,3.425753326371889
0.1,0.7797010758866336,0.1,0.07229752519256799,3.536336157252726
0.105,0.806296714005818,0.105,0.07776868926119475,3.641943025651211
0.11,0.8304012351449757,0.11,0.08167666359592816,3.74291335818989
0.115,0.8520994471628405,0.115,0.08558463793066157,3.8318546254187935
0.12,0.8714944513939541,0.12,0.09086040328255167,3.902442882865508
0.125,0.8887080968153123,0.125,0.09672236478465177,3.959194952902276
0.13,0.9038772752255302,0.13,0.10395211730390858,3.998887002709463
0.135,0.9171491452051269,0.135,0.11040027495621868,4.033001500627803
0.14,0.9286733436045843,0.14,0.1162622364583188,4.061309434140114
0.145,0.9385961027225586,0.145,0.12192879924368223,4.082588965183419
0.15,0.9470608830990993,0.15,0.127986159462519,4.09462490547614
0.155,0.9542155297861432,0.155,0.13716989914914252,4.084478512081603
0.16,0.960209759704514,0.16,0.14303186065124263,4.0851391114456455
0.165,0.9651794006000237,0.165,0.14967541702028941,4.0767689399041105
0.17,0.9692537464993839,0.17,0.1594453528571229,4.048290514877665
0.17500000000000002,0.972561461479662,0.17500000000000002,0.1655027130759597,4.034541908413608
0.18,0.975214408453871,0.18,0.17116927586132313,4.019473525140825
0.185,0.977308557472692,0.185,0.1768358386466866,4.001611212934504
0.19,0.9789322290992176,0.19,0.18289319886552335,3.9794425752740623
0.195,0.9801678070579147,0.195,0.1897321539513068,3.951425533879521
0.2,0.9810944133706243,0.2,0.1969619064705636,3.919909678239497
0.20500000000000002,0.9817826660591675,0.20500000000000002,0.20184687438898036,3.898924852244468
0.21,0.9822903967688568,0.21,0.2080996333245538,3.8701987112385168
0.215,0.9826648447270984,0.215,0.21239840509276056,3.8505762922874673
0.22,0.9829463405666274,0.22,0.219823556328754,3.8148573753841664
0.225,0.9831724291699643,0.225,0.22549011911411745,3.7876544925372504
0.23,0.9833732958995056,0.23,0.2311566818994809,3.7603256027087135
0.23500000000000001,0.9835703031366523,0.23500000000000001,0.23740944083505436,3.7300465165770382
0.24,0.9837821313884294,0.24,0.24522538950452114,3.692025652376957
0.245,0.984026727722087,0.245,0.25245514202377795,3.6570996617596547
0.25,0.9843163256012664,0.25,0.2575355086589314,3.633145650228339
0.255,0.9846553199201176,0.255,0.26359286887776817,3.6045536865272543
0.26,0.9850453520241568,0.26,0.27023642524681496,3.5732859578412923
0.265,0.9854881051362698,0.265,0.2784431713497551,3.534464756838585
0.27,0.985983959588401,0.27,0.28293734183469854,3.514472187835666
0.275,0.986531595676106,0.275,0.2905578917874287,3.4791068274394545
0.28,0.9871299773790271,0.28,0.29661525200626543,3.4518113020030072
0.28500000000000003,0.9877765588805437,0.28500000000000003,0.30189101735815554,3.4286648764656444
0.29,0.9884669866963527,0.29,0.30853457372720233,3.3988988286710597
0.295,0.9891992945679925,0.295,0.3165459211134058,3.362503307075525
0.3,0.9899723915831775,0.3,0.32006309801466587,3.348782648426975
0.305,0.9907816301528527,0.305,0.3249480659330826,3.3284037943087292
0.31,0.9916231538220512,0.31,0.3321778184523394,3.296462484158807
0.315,0.9924959194965477,0.315,0.3360857927870728,3.2812863081379176
0.32,0.9933978514998592,0.32,0.3411661594222262,3.260394028802944
0.325,0.9943276539771627,0.325,0.3470281209243264,3.23573314873835
0.33,0.9952858373114708,0.33,0.35289008242642644,3.2112141899469004
0.335,0.9962745945965255,0.335,0.3599244362289466,3.180986152997582
0.34,0.9973013771222402,0.34,0.3671541887482034,3.1499712595402793
0.34500000000000003,0.9983757090385732,0.34500000000000003,0.3732115489670402,3.1250560832360854
0.35000000000000003,0.9995012264771564,0.35000000000000003,0.37965970661935033,3.0984428543341123
0.355,1.0006775350633754,0.355,0.38532626940471365,3.0759915610717186
0.36,1.0019064561939268,0.36,0.3923606232072338,3.046964379898537
0.365,1.0031958822039566,0.365,0.399981173159964,3.015308745934366
0.37,1.0045548330853564,0.37,0.40545233722859075,2.9947476685976953
0.375,1.0059847605565815,0.375,0.41150969744742755,2.9716104957392084
0.38,1.007482481864009,0.38,0.41815325381647434,2.9458813131347688
0.385,1.00904497302867,0.385,0.42342901916836445,2.927314936361548
