t_qd,qd_rad,t_q,q_rad,tau
0.0,0.00020212221974308633,0.0,-0.07171132904235797,0.3595741572694972
0.005,0.0009753087567927395,0.005,-0.07210212647583132,0.3653995978893058
0.01,0.0024184989774556553,0.01,-0.07190672775909465,0.3716418218628599
0.015,0.004400894368139528,0.015,-0.07151593032562131,0.37960012449238695
0.02,0.006803369881629463,0.02,-0.07073433545867464,0.3877013275203867
0.025,0.009521043580009993,0.025,-0.0695619431582546,0.39541942354725595
0.03,0.012462438768044239,0.03,-0.06799875342436125,0.40229115028946194
0.035,0.015547404674229727,0.035,-0.06624016497373121,0.4088995460256164
0.04,0.01870634022277998,0.04,-0.06448157652310119,0.41587558732292734
0.045,0.021879470785454515,0.045,-0.06213679192226114,0.41998641033977974
0.05,0.02501536439042193,0.05,-0.05822881758752774,0.41609323013826977
0.055,0.02806931358948064,0.055,-0.05412544453605766,0.41081068835541285
0.06,0.031004978501027687,0.06,-0.0511944637850076,0.41079887018226585
0.065,0.033795048002755124,0.065,-0.046895692016800855,0.4032191165505398
0.07,0.03641818364310514,0.07,-0.04298771768206745,0.39675902828016724
0.075,0.038858362753842905,0.075,-0.038493547197124035,0.38645230445155065
0.08,0.04110499652420997,0.08,-0.034194775428917294,0.37615529993728947
0.085,0.04315182743216383,0.085,-0.029309807510500538,0.36192521182643683
0.09,0.04499457973362751,0.09,-0.02129846012429706,0.3310438129969155
0.095,0.04663065925751251,0.095,-0.01621809348914363,0.3137858879167553
0.1,0.048062335737438865,0.1,-0.010746929420516863,0.29355350755503895
0.105,0.04929594806786651,0.105,-0.005080366635153426,0.2713539003867966
0.11,0.05033792179415019,0.11,0.0037125756179967346,0.23256887351794947
0.115,0.05119462794001762,0.115,0.009769935836833513,0.20653915544582693
0.12,0.051875446299055515,0.12,0.015436498622196948,0.18158812498854662
0.125,0.05239228380606771,0.125,0.020321466540613703,0.15972962627100173
0.13,0.05275676499049037,0.13,0.026965022909660494,0.12832112317929537
0.135,0.05298018515015736,0.135,0.03126379467786724,0.10793616372139206
0.14,0.05307485394655737,0.14,0.03556256644607399,0.08691138804985873
0.145,0.0530529324375775,0.145,0.04044753436449074,0.06237813290220383
0.15,0.05292577169439533,0.15,0.044160109982487476,0.04318500532709991
0.155,0.05270495940458898,0.155,0.04767728688374754,-0.0006331090486469216
0.16,0.05240125741228766,0.16,0.05138986250174427,-0.0006180527426210043
0.165,0.052024525517877576,0.165,0.054320843252794335,-0.0005979565789763088
0.17,0.05158476411125983,0.17,0.05705642528710771,-0.0005726783694045964
0.17500000000000002,0.05109168387919348,0.17500000000000002,0.05920581117121108,-0.0005398040435952871
0.18,0.05055424410562629,0.18,0.060769000905104446,-0.05157463682218668
0.185,0.04997927957497197,0.185,0.06272298807247115,-0.06417788289876433
0.19,0.049371753294115354,0.19,0.06330918422268116,-0.07010063336512355
0.195,0.04873773953212059,0.195,0.06311378550594449,-0.07223861668292296
0.2,0.04808391404856704,0.2,0.06272298807247115,-0.07349818180821126
0.20500000000000002,0.047415120540751594,0.20500000000000002,0.061550595772051124,-0.0709253763066102
0.21,0.04673490118442,0.21,0.06037820347163111,-0.0684103109168176
0.215,0.04604739886792865,0.215,0.05901041245447442,-0.06495630559935459
0.22,0.045357336758338876,0.22,0.05744722272058106,-0.06054056690770359
0.225,0.04466898646815733,0.225,0.05568863426995102,-0.05514124453053072
0.23,0.0439859894666032,0.23,0.05393004581932099,-0.04971673090638297
0.23500000000000001,0.04331140670492985,0.23500000000000001,0.05158526121848094,4.424643971659584e-05
0.24,0.04264776810219747,0.24,0.04943587533437757,8.370386471704586e-05
0.245,0.041996899911856275,0.245,0.046895692016800855,0.00011987044404538388
0.25,0.041359052347528624,0.25,0.044160109982487476,0.00015110402717204334
0.255,0.040733593897071256,0.255,0.0420107240983841,0.0001772410535053654
0.26,0.04012108078294622,0.26,0.040252135647754074,0.0001970005147400285
0.265,0.039522832343625004,0.265,0.03868894591386071,0.0002093576042317755
0.27,0.038939826685106586,0.27,0.03693035746323068,0.00021579279632918957
0.275,0.038372575393754896,0.275,0.03497637029586397,0.00021749047051113733
0.28,0.03782037815887531,0.28,0.03360857927870728,0.00021539813036071203
0.28500000000000003,0.03728173809601419,0.28500000000000003,0.03243618697828726,0.0002114239385763828
0.29,0.03675613539093444,0.29,0.03126379467786724,0.00020594426548493038
0.295,0.036243949015225076,0.295,0.03028680109418389,0.00019811004751578494
0.3,0.035745490990382864,0.3,0.02911440879376387,0.00018839219364448509
0.305,0.035260699323475676,0.305,0.027942016493343845,0.00017946775071545068
0.31,0.03478889533385179,0.31,0.026965022909660494,0.00017002787670823412
0.315,0.03432920081649003,0.315,0.02618342804271381,0.00016132581767046641
0.32,0.03388074433660191,0.32,0.025401833175767132,0.0001520638507762632
0.325,0.03344262908182258,0.325,0.02462023830882045,0.044255457982439544
0.33,0.0330145313981768,0.33,0.024034042158610443,0.0450368022089188
0.335,0.03259653591417664,0.335,0.0236432447251371,0.04489234331137923
0.34,0.03218862362704545,0.34,0.023252447291663758,0.044797693807501614
0.34500000000000003,0.0317906877423131,0.34500000000000003,0.022666251141453746,0.04572943462675521
0.35000000000000003,0.03140254820935418,0.35000000000000003,0.02247085242471708,0.044756931979304214
0.355,0.031023964965856545,0.355,0.022080054991243738,0.044809813916278946
0.36,0.030654649918924616,0.36,0.0216892575577704,0.04490952447883097
0.365,0.030293443251586647,0.365,0.02129846012429706,0.04505016705355179
0.37,0.029938405501306053,0.37,0.020907662690823715,0.045221966304918745
0.375,0.029588640748232864,0.375,0.020712263974087045,0.04444453679155869
0.38,0.029244270108524793,0.38,0.020321466540613703,0.04467219129504309
0.385,0.028905428970573414,0.385,0.020126067823877037,0.04395024545686396
0.39,0.028571349779963597,0.39,0.019735270390403698,0.04423004968549712
0.395,0.02824070515035366,0.395,0.019735270390403698,4.662314915007197e-05
0.4,0.027913227318043934,0.4,0.019344472956930356,4.41994783120246e-05
0.405,0.027589167950349124,0.405,0.019149074240193686,4.11103818095922e-05
0.41000000000000003,0.027268074431584743,0.41000000000000003,0.018758276806720344,3.863910460764628e-05
0.41500000000000004,0.026948949623745267,0.41500000000000004,0.018562878089983675,3.666208284608955e-05
0.42,0.02663148217629888,0.42,0.018172080656510332,3.508046543684416e-05
0.425,0.02631623226393798,0.425,0.017781283223036994,3.381517150944785e-05
0.43,0.02600357045838989,0.43,0.01739048578956365,3.395309619952531e-05
0.435,0.02569341639464164,0.435,0.017195087072826982,3.406343595158728e-05
0.44,0.025385464735059964,0.44,0.01680428963935364,3.415170775323685e-05
0.445,0.02507950582445265,0.445,0.01660889092261697,3.422232519455651e-05
0.45,0.02477587522842216,0.45,0.0164134922058803,3.4278819147612235e-05
0.455,0.024475219735502794,0.455,0.016022694772406962,3.432401431005682e-05
0.46,0.024178078092477295,0.46,0.01582729605567029,3.436017044001248e-05
0.465,0.023884890393304006,0.465,0.01563189733893362,3.4389095343977016e-05
0.47000000000000003,0.02359600729982238,0.47000000000000003,0.015241099905460279,3.441223526714864e-05
0.47500000000000003,0.023311699000728145,0.47500000000000003,0.015045701188723608,3.443074720568594e-05
0.48,0.023032163833133393,0.48,0.014654903755250269,3.444555675651578e-05
0.485,0.02275686327857804,0.485,0.014264106321776927,3.4457404397179655e-05
0.49,0.022484649369045172,0.49,0.014068707605040257,3.4466882509710754e-05
0.495,0.022215226710904694,0.495,0.013677910171566917,3.447446499973563e-05
0.5,0.021948777359140543,0.5,0.013287112738093578,3.448053099175554e-05
0.505,0.021684805128449846,0.505,0.013091714021356905,3.4485383785371456e-05
0.51,0.02142273294179084,0.51,0.012700916587883566,3.4489266020264195e-05
0.515,0.021162727213227026,0.515,0.012310119154410226,0.044297532665892175
0.52,0.020904721089778748,0.52,0.011919321720936885,0.044961491700647824
0.525,0.020648051655270463,0.525,0.011723923004200214,0.04465514009949402
0.53,0.020392792293877835,0.53,0.011528524287463544,0.044355838466377646
0.535,0.02013967518042636,0.535,0.011137726853990204,0.0450442413386177
0.54,0.019889555592497103,0.54,0.011137726853990204,0.043793644416676
0.545,0.01964305583748983,0.545,0.010746929420516863,0.04451398346333801
0.55,0.019400203794302948,0.55,0.010551530703780192,0.04427579735455229
0.555,0.01916104556402528,0.555,0.010160733270306851,0.04503325778930292
0.56,0.018925589778658335,0.56,0.009965334553570182,0.04483123382133737
0.5650000000000001,0.018693476367355747,0.5650000000000001,0.009769935836833513,0.04464626944865643
0.5700000000000001,0.01846439714023755,0.5700000000000001,0.009574537120096843,0.04447675417686773
0.5750000000000001,0.01823823538378609,0.5750000000000001,0.009379138403360172,0.04432204880238892
0.58,0.018015068269685526,0.58,0.009379138403360172,2.470159970344515e-05
0.585,0.017795150077187568,0.585,0.009183739686623501,2.321175925873963e-05
0.59,0.017578681693212864,0.59,0.008988340969886831,2.2019886902975215e-05
0.595,0.017365345573885187,0.595,0.00879294225315016,2.1066389018363687e-05
0.6,0.01715447172685551,0.6,0.00840214481967682,0.04378193812660413
0.605,0.016945926178066898,0.605,0.00820674610294015,0.04371674388753026
0.61,0.01674004069113856,0.61,0.008011347386203481,0.04366474197352059
0.615,0.01653711985708975,0.615,0.00781594866946681,2.162099840413169e-05
0.62,0.016337403559449855,0.62,0.007425151235993469,0.0445843092151652
0.625,0.01614100362784141,0.625,0.007425151235993469,2.303871763460032e-05
0.63,0.015947527820383594,0.63,0.007034353802520129,0.04458890170275298
0.635,0.01575630603558113,0.635,0.006838955085783458,0.04460978067906487
0.64,0.015566783374930372,0.64,0.006448157652310118,0.04561614999649045
0.645,0.015378439053253017,0.645,0.006448157652310118,0.04467442475075382
0.65,0.015191293468783193,0.65,0.006057360218836778,0.04569268108589151
0.655,0.015005386430111196,0.655,0.006057360218836778,0.04476199340479562
0.66,0.014820323055786823,0.66,0.005861961502100107,0.04481274812666839
0.665,0.014636216348109719,0.665,0.005861961502100107,0.0438903268362999
0.67,0.01445360301427882,0.67,0.005666562785363437,0.04395274354924237
0.675,0.014272933599368397,0.675,0.005666562785363437,1.633424339635582e-05
0.68,0.01409457983300246,0.68,0.005471164068626767,1.536771438107367e-05
0.685,0.013918676251479523,0.685,0.005471164068626767,1.4594491168847945e-05
0.6900000000000001,0.01374527579654535,0.6900000000000001,0.005275765351890096,1.3975912599067364e-05
0.6950000000000001,0.01357442809383033,0.6950000000000001,0.004884967918416756,1.4631209575237404e-05
