timestamp_emg,emg_data
1776861352.8454688,"[[-0.02439075]
 [-0.002651  ]
 [-0.02532258]]"
1776861352.8454754,"[[-0.02534791]
 [-0.00910275]
 [-0.02345533]]"
1776861352.8454812,"[[-0.02648129]
 [-0.01163322]
 [-0.02383054]]"
1776861352.8454866,"[[-0.02729496]
 [-0.0088624 ]
 [-0.02450984]]"
1776861352.845492,"[[-0.02655808]
 [-0.00333571]
 [-0.02357281]]"
1776861352.8454971,"[[-0.02376134]
 [ 0.00218212]
 [-0.0230555 ]]"
1776861352.8455024,"[[-0.02054654]
 [ 0.00669715]
 [-0.02423404]]"
1776861352.845508,"[[-0.01934161]
 [ 0.0094839 ]
 [-0.02549377]]"
1776861352.8455138,"[[-0.02003061]
 [ 0.00835272]
 [-0.02575353]]"
1776861352.845519,"[[-0.02088229]
 [ 0.00321633]
 [-0.0250595 ]]"
1776861352.8455245,"[[-0.0209988 ]
 [-0.00177633]
 [-0.02399872]]"
1776861352.845571,"[[-0.02211373]
 [-0.00280894]
 [-0.02772563]]"
1776861352.8456032,"[[-0.02683758]
 [ 0.00169395]
 [-0.02212642]]"
1776861352.8456352,"[[-0.02883368]
 [-0.01692804]
 [-0.02747883]]"
1776861352.8457437,"[[-0.02585771]
 [-0.01665394]
 [-0.02544145]]"
1776861352.8457606,"[[-0.02225922]
 [-0.01380516]
 [-0.02211122]]"
1776861352.8457675,"[[-0.02156504]
 [-0.01011989]
 [-0.01871084]]"
1776861352.8457735,"[[-0.02254041]
 [-0.00621909]
 [-0.01931363]]"
1776861352.8460894,"[[-0.02619163]
 [-0.01684539]
 [-0.0225494 ]]"
1776861352.8462222,"[[-0.02053474]
 [-0.00086785]
 [-0.02236427]]"
1776861352.846616,"[[-0.02492895]
 [ 0.00260599]
 [-0.02804247]]"
1776861352.8466218,"[[-0.02230482]
 [ 0.00364849]
 [-0.02755898]]"
1776861352.8466487,"[[-0.02242082]
 [-0.02739503]
 [-0.01921853]]"
1776861352.846654,"[[-0.02161274]
 [-0.01749834]
 [-0.02098445]]"
1776861352.8466594,"[[-0.02019593]
 [-0.00763395]
 [-0.0203754 ]]"
1776861352.8466647,"[[-0.01891984]
 [-0.00472119]
 [-0.01962097]]"
1776861352.8466702,"[[-0.01774905]
 [-0.00452362]
 [-0.02065806]]"
1776861352.8466756,"[[-0.01669569]
 [-0.00171097]
 [-0.02287511]]"
1776861352.846687,"[[-0.01675252]
 [ 0.00343078]
 [-0.02399589]]"
1776861352.8467028,"[[-0.0155808 ]
 [ 0.00534232]
 [-0.02353905]]"
1776861352.8467185,"[[-0.01945699]
 [-0.00353796]
 [-0.02636608]]"
1776861352.846731,"[[-0.0190521 ]
 [-0.00963715]
 [-0.0285412 ]]"
1776861352.8467414,"[[-0.01028189]
 [ 0.00192188]
 [-0.02502393]]"
1776861352.8467467,"[[-0.00768615]
 [ 0.01229626]
 [-0.02431594]]"
1776861352.8467517,"[[-0.00678514]
 [ 0.01989639]
 [-0.0256389 ]]"
1776861352.8467624,"[[-0.00940641]
 [ 0.01908165]
 [-0.02906663]]"
1776861352.846978,"[[-0.03074436]
 [ 0.00282257]
 [-0.02048983]]"
1776861352.8483758,"[[-0.02386968]
 [-0.00624717]
 [-0.02990501]]"
1776861352.8484795,"[[-0.02575756]
 [-0.01083721]
 [-0.02148533]]"
1776861352.8485212,"[[-0.02261097]
 [ 0.0035361 ]
 [-0.02317148]]"
1776861352.8485417,"[[-0.024516  ]
 [ 0.00506977]
 [-0.02016246]]"
1776861352.848562,"[[-0.02639242]
 [ 0.00089232]
 [-0.01786281]]"
1776861352.8485723,"[[-0.0267233 ]
 [-0.0009285 ]
 [-0.01978692]]"
1776861352.848592,"[[-0.02852536]
 [-0.00541899]
 [-0.02332015]]"
1776861352.8490887,"[[-0.02044377]
 [-0.01616152]
 [-0.02495487]]"
1776861352.8490984,"[[-0.02181103]
 [-0.01550683]
 [-0.02477469]]"
1776861352.849128,"[[-0.02140753]
 [ 0.00280288]
 [-0.02695071]]"
1776861352.8491473,"[[-0.01683653]
 [ 0.00401705]
 [-0.02896784]]"
1776861352.849157,"[[-0.01500763]
 [ 0.00573157]
 [-0.03053969]]"
1776861352.8491666,"[[-0.01320282]
 [ 0.00820267]
 [-0.03094379]]"
1776861352.8491864,"[[-0.01432505]
 [ 0.00101373]
 [-0.02482198]]"
1776861352.8495846,"[[-0.0201491 ]
 [-0.01599252]
 [-0.022878  ]]"
1776861352.8496065,"[[-0.02011495]
 [-0.02032984]
 [-0.02361147]]"
1776861352.849613,"[[-0.01878291]
 [-0.01886664]
 [-0.02408001]]"
1776861352.8496735,"[[-0.01567119]
 [-0.00987489]
 [-0.02302967]]"
1776861352.8496807,"[[-0.01542235]
 [-0.00719405]
 [-0.02109964]]"
1776861352.84984,"[[-0.02089088]
 [-0.00365643]
 [-0.02207802]]"
1776861352.8498595,"[[-0.02712333]
 [-0.00833444]
 [-0.02675927]]"
1776861352.8498697,"[[-0.02766504]
 [-0.00875037]
 [-0.03077748]]"
1776861352.8498898,"[[-0.02305105]
 [-0.00360261]
 [-0.03018652]]"
1776861352.8500922,"[[-0.02444023]
 [-0.00940405]
 [-0.02558757]]"
1776861352.8501112,"[[-0.02394158]
 [-0.00468399]
 [-0.02498382]]"
1776861352.8502614,"[[-0.02852265]
 [-0.01254103]
 [-0.03044422]]"
1776861352.8502922,"[[-0.027607  ]
 [-0.01377918]
 [-0.03125983]]"
1776861352.8503592,"[[-0.02272786]
 [ 0.00100144]
 [-0.02710451]]"
1776861352.850402,"[[-0.0235677 ]
 [-0.00013879]
 [-0.02054905]]"
1776861352.8506417,"[[-0.02686087]
 [-0.00264227]
 [-0.02579966]]"
1776861352.850662,"[[-0.02622271]
 [-0.00447728]
 [-0.02475549]]"
1776861352.8506722,"[[-0.02746441]
 [-0.0061801 ]
 [-0.02647209]]"
1776861352.850682,"[[-0.02825174]
 [-0.01116458]
 [-0.02580287]]"
1776861352.850702,"[[-0.02819876]
 [-0.02087753]
 [-0.02164208]]"
1776861352.850951,"[[-0.01939278]
 [ 0.00286284]
 [-0.0209672 ]]"
1776861352.8509812,"[[-0.02100427]
 [ 0.0023602 ]
 [-0.02424144]]"
1776861352.8513346,"[[-0.02827429]
 [-0.00546406]
 [-0.02744124]]"
1776861352.8513556,"[[-0.03033708]
 [-0.00961165]
 [-0.02716158]]"
1776861352.852,"[[-0.02293741]
 [ 0.0084505 ]
 [-0.02194429]]"
1776861352.8521805,"[[-0.02330634]
 [-0.0008606 ]
 [-0.02422349]]"
1776861352.8522122,"[[-0.02554305]
 [-0.00402165]
 [-0.02261122]]"
1776861352.8522198,"[[-0.02835931]
 [-0.00728775]
 [-0.02340856]]"
1776861352.852244,"[[-0.02975953]
 [-0.00876168]
 [-0.02507185]]"
1776861352.8522508,"[[-0.02888995]
 [-0.00687761]
 [-0.02484441]]"
1776861352.8522582,"[[-0.02728658]
 [-0.00313108]
 [-0.02405392]]"
1776861352.8522687,"[[-0.02625853]
 [-0.00078694]
 [-0.02400922]]"
1776861352.8522792,"[[-0.0256175 ]
 [-0.00224494]
 [-0.02383108]]"
1776861352.8522892,"[[-0.02505349]
 [-0.00758312]
 [-0.02359888]]"
1776861352.85231,"[[-0.02521558]
 [-0.01385652]
 [-0.02314191]]"
1776861352.8523207,"[[-0.02448422]
 [-0.01080788]
 [-0.02265941]]"
1776861352.8523312,"[[-0.02218168]
 [-0.00858139]
 [-0.02303732]]"
1776861352.8523517,"[[-0.0204409 ]
 [-0.01055106]
 [-0.02494551]]"
1776861352.852421,"[[-0.01725326]
 [-0.00024995]
 [-0.02443399]]"
1776861352.85247,"[[-0.01728794]
 [-0.00179015]
 [-0.02447915]]"
1776861352.8524806,"[[-0.01925829]
 [-0.00208286]
 [-0.0247937 ]]"
1776861352.852524,"[[-0.02523165]
 [-0.01181987]
 [-0.02344857]]"
1776861352.852534,"[[-0.02297314]
 [-0.00951157]
 [-0.02227049]]"
