timestamp_imu,imu_data
1776861352.8546257,"[[-6.34765625e-03]
 [-1.00244141e+00]
 [-1.75781250e-02]
 [-5.79268312e+00]
 [-4.45121956e+00]
 [ 5.54878044e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.83203125e-02]
 [-9.76074219e-01]
 [-3.46679688e-01]
 [-2.13414645e+00]
 [ 1.27439032e+01]
 [-1.03658533e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.68554688e-01]
 [ 9.43359375e-01]
 [-6.34765625e-02]
 [-3.35365868e+00]
 [-1.58536589e+00]
 [ 4.45121956e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.8546495,"[[-7.81250000e-03]
 [-1.00390625e+00]
 [-1.66015625e-02]
 [-6.46341467e+00]
 [-4.81707335e+00]
 [ 5.30487823e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.68554688e-02]
 [-9.75097656e-01]
 [-3.47656250e-01]
 [-1.89024389e+00]
 [ 1.28048782e+01]
 [-1.03658533e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.73925781e-01]
 [ 9.44335938e-01]
 [-6.44531250e-02]
 [-3.41463423e+00]
 [-1.03658533e+00]
 [ 4.26829290e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.8669662,"[[-4.39453125e-03]
 [-1.01367188e+00]
 [-1.22070312e-02]
 [-7.13414669e+00]
 [-5.54878044e+00]
 [ 4.81707335e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.44140625e-02]
 [-9.76562500e-01]
 [-3.49121094e-01]
 [-2.19512200e+00]
 [ 1.21341467e+01]
 [-9.75609779e-01]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.78320312e-01]
 [ 9.50683594e-01]
 [-6.15234375e-02]
 [-3.47560978e+00]
 [-5.48780501e-01]
 [ 4.32926846e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.8670616,"[[ 0.00000000e+00]
 [-1.01806641e+00]
 [-7.81250000e-03]
 [-7.31707335e+00]
 [-6.76829290e+00]
 [ 4.81707335e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.34375000e-02]
 [-9.77539062e-01]
 [-3.51562500e-01]
 [-2.25609756e+00]
 [ 1.24390249e+01]
 [-1.09756100e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.82226562e-01]
 [ 9.49218750e-01]
 [-5.56640625e-02]
 [-3.47560978e+00]
 [-7.31707335e-01]
 [ 4.02439022e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.8806598,"[[ 7.81250000e-03]
 [-1.01855469e+00]
 [-6.34765625e-03]
 [-7.01219511e+00]
 [-7.43902445e+00]
 [ 5.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.63671875e-02]
 [-9.75097656e-01]
 [-3.52539062e-01]
 [-2.37804890e+00]
 [ 1.26219511e+01]
 [-9.75609779e-01]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.81738281e-01]
 [ 9.49707031e-01]
 [-5.22460938e-02]
 [-3.35365868e+00]
 [-1.09756100e+00]
 [ 4.14634132e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.880721,"[[ 1.56250000e-02]
 [-1.01855469e+00]
 [-3.41796875e-03]
 [-6.58536577e+00]
 [-6.09756088e+00]
 [ 5.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.78320312e-02]
 [-9.74121094e-01]
 [-3.54980469e-01]
 [-2.56097555e+00]
 [ 1.32317076e+01]
 [-9.14634168e-01]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.84179688e-01]
 [ 9.52636719e-01]
 [-4.93164062e-02]
 [-3.10975623e+00]
 [-1.46341467e+00]
 [ 4.63414621e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.8940642,"[[ 1.66015625e-02]
 [-1.02148438e+00]
 [-5.85937500e-03]
 [-6.34146357e+00]
 [-3.84146357e+00]
 [ 5.12195110e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.92968750e-02]
 [-9.78027344e-01]
 [-3.59375000e-01]
 [-2.56097555e+00]
 [ 1.34146347e+01]
 [-9.75609779e-01]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.82714844e-01]
 [ 9.51660156e-01]
 [-5.02929688e-02]
 [-3.10975623e+00]
 [-2.07317066e+00]
 [ 4.69512224e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.8941338,"[[ 7.81250000e-03]
 [-1.02197266e+00]
 [-3.90625000e-03]
 [-6.03658533e+00]
 [-2.74390244e+00]
 [ 5.79268312e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-3.12500000e-02]
 [-9.76074219e-01]
 [-3.57421875e-01]
 [-2.86585379e+00]
 [ 1.41463413e+01]
 [-1.03658533e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.78808594e-01]
 [ 9.49707031e-01]
 [-4.83398438e-02]
 [-2.98780489e+00]
 [-2.37804890e+00]
 [ 4.93902445e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.9076257,"[[ 3.90625000e-03]
 [-1.02294922e+00]
 [-1.46484375e-03]
 [-5.73170757e+00]
 [-2.68292689e+00]
 [ 6.09756088e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-3.27148438e-02]
 [-9.77539062e-01]
 [-3.56445312e-01]
 [-2.86585379e+00]
 [ 1.43292685e+01]
 [-9.75609779e-01]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.80761719e-01]
 [ 9.49707031e-01]
 [-5.56640625e-02]
 [-2.80487800e+00]
 [-2.68292689e+00]
 [ 5.06097555e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
1776861352.9077046,"[[-1.95312500e-03]
 [-1.01904297e+00]
 [-5.37109375e-03]
 [-5.60975599e+00]
 [-2.98780489e+00]
 [ 6.21951246e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-3.02734375e-02]
 [-9.78027344e-01]
 [-3.54980469e-01]
 [-2.80487800e+00]
 [ 1.43292685e+01]
 [-1.28048778e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [-2.73437500e-01]
 [ 9.50195312e-01]
 [-5.71289062e-02]
 [-2.86585379e+00]
 [-3.35365868e+00]
 [ 5.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]
 [ 0.00000000e+00]]"
