timestamp_emg,emg_data
1776861779.0997717,"[[-0.02190628]
 [ 0.00632704]
 [-0.02626603]]"
1776861779.0997925,"[[-0.02065584]
 [ 0.00090456]
 [-0.0261192 ]]"
1776861779.0997994,"[[-0.01994417]
 [-0.0029063 ]
 [-0.02562848]]"
1776861779.099839,"[[-0.02029412]
 [-0.00241241]
 [-0.02481071]]"
1776861779.0998845,"[[-0.02224654]
 [-0.00060928]
 [-0.0241163 ]]"
1776861779.099928,"[[-0.0251384 ]
 [-0.00150911]
 [-0.0236653 ]]"
1776861779.0999355,"[[-0.02660674]
 [-0.0045899 ]
 [-0.02336083]]"
1776861779.100097,"[[-0.02581855]
 [-0.00633529]
 [-0.02343227]]"
1776861779.1001937,"[[-0.02496311]
 [-0.00541804]
 [-0.02427767]]"
1776861779.1002584,"[[-0.02621502]
 [-0.00457327]
 [-0.02516641]]"
1776861779.100308,"[[-0.02997077]
 [-0.00735839]
 [-0.02488409]]"
1776861779.1004367,"[[-0.03301209]
 [-0.01227149]
 [-0.02367149]]"
1776861779.1005058,"[[-0.03180941]
 [-0.01508007]
 [-0.02279276]]"
1776861779.1005726,"[[-0.0289488 ]
 [-0.01489261]
 [-0.02282245]]"
1776861779.1006062,"[[-0.02808275]
 [-0.01233013]
 [-0.02311011]]"
1776861779.1006782,"[[-0.02907201]
 [-0.00851313]
 [-0.02313934]]"
1776861779.1007266,"[[-0.03123534]
 [-0.0061496 ]
 [-0.02300199]]"
1776861779.1007755,"[[-0.0332464 ]
 [-0.00586219]
 [-0.0219646 ]]"
1776861779.1008177,"[[-0.03338475]
 [-0.00498578]
 [-0.0199658 ]]"
1776861779.1008313,"[[-0.03226034]
 [-0.00107958]
 [-0.01904957]]"
1776861779.1008637,"[[-0.03115397]
 [ 0.00543786]
 [-0.01978426]]"
1776861779.1008954,"[[-0.03043925]
 [ 0.01106474]
 [-0.02036376]]"
1776861779.1009321,"[[-0.03075075]
 [ 0.01214208]
 [-0.02013412]]"
1776861779.1009674,"[[-0.03182517]
 [ 0.0093243 ]
 [-0.0201174 ]]"
1776861779.1009746,"[[-0.03212233]
 [ 0.00644863]
 [-0.02094189]]"
1776861779.10098,"[[-0.03149685]
 [ 0.00472812]
 [-0.02176016]]"
1776861779.1010015,"[[-0.03148619]
 [ 0.0031088 ]
 [-0.02176711]]"
1776861779.1010377,"[[-0.0328571 ]
 [ 0.00033099]
 [-0.02143891]]"
1776861779.101072,"[[-0.03401377]
 [-0.00692018]
 [-0.02057166]]"
1776861779.1010895,"[[-0.03306409]
 [-0.02041786]
 [-0.01915843]]"
1776861779.1010985,"[[-0.03054568]
 [-0.03492143]
 [-0.01952813]]"
1776861779.1011076,"[[-0.02709581]
 [-0.04058786]
 [-0.02225644]]"
1776861779.1011343,"[[-0.02288534]
 [-0.0331585 ]
 [-0.02485503]]"
1776861779.1011426,"[[-0.02058773]
 [-0.02130105]
 [-0.02646527]]"
1776861779.1011653,"[[-0.02107334]
 [-0.01341283]
 [-0.02666142]]"
1776861779.10123,"[[-0.02086095]
 [-0.00662255]
 [-0.0240486 ]]"
1776861779.1012895,"[[-0.02006406]
 [-0.00041926]
 [-0.02020677]]"
1776861779.1013033,"[[-0.02231848]
 [ 0.00124926]
 [-0.01824662]]"
1776861779.1013243,"[[-0.02669204]
 [-0.00031259]
 [-0.01982339]]"
1776861779.101334,"[[-0.03043808]
 [-0.00343674]
 [-0.02393704]]"
1776861779.1013398,"[[-0.03337916]
 [-0.00793062]
 [-0.02663628]]"
1776861779.1013453,"[[-0.03439606]
 [-0.01139434]
 [-0.02725044]]"
1776861779.1013505,"[[-0.03310137]
 [-0.01134279]
 [-0.02921945]]"
1776861779.101374,"[[-0.03221193]
 [-0.00811559]
 [-0.03285156]]"
1776861779.1014087,"[[-0.0320245 ]
 [-0.00652328]
 [-0.03474556]]"
1776861779.1014216,"[[-0.03151638]
 [-0.01120612]
 [-0.0324455 ]]"
1776861779.1014447,"[[-0.0324281 ]
 [-0.02043869]
 [-0.02654305]]"
1776861779.1015015,"[[-0.03360119]
 [-0.02943489]
 [-0.01991637]]"
1776861779.1015189,"[[-0.03106887]
 [-0.03349314]
 [-0.01547089]]"
1776861779.1015255,"[[-0.02579892]
 [-0.02804995]
 [-0.01380345]]"
1776861779.101531,"[[-0.0220496 ]
 [-0.01446627]
 [-0.01415801]]"
1776861779.1015365,"[[-0.02114016]
 [-0.0001993 ]
 [-0.01611127]]"
1776861779.101542,"[[-0.02058335]
 [ 0.01000174]
 [-0.01843671]]"
1776861779.101547,"[[-0.01774548]
 [ 0.01585602]
 [-0.01964213]]"
1776861779.101552,"[[-0.01293249]
 [ 0.01847013]
 [-0.01973531]]"
1776861779.1015575,"[[-0.00797106]
 [ 0.01973785]
 [-0.01906746]]"
1776861779.1015918,"[[-0.00505398]
 [ 0.02072384]
 [-0.01804643]]"
1776861779.101602,"[[-0.00633002]
 [ 0.02001727]
 [-0.01811165]]"
1776861779.101608,"[[-0.01023521]
 [ 0.01484693]
 [-0.01945878]]"
1776861779.1016135,"[[-0.01271469]
 [ 0.00528135]
 [-0.02098536]]"
1776861779.1016188,"[[-0.01357812]
 [-0.00298421]
 [-0.02344078]]"
1776861779.1016243,"[[-0.01506005]
 [-0.00484516]
 [-0.02661603]]"
1776861779.10163,"[[-0.01718038]
 [-0.00219274]
 [-0.02765244]]"
1776861779.1016357,"[[-0.0189623 ]
 [-0.00048879]
 [-0.02676756]]"
1776861779.1016407,"[[-0.02025593]
 [-0.00250841]
 [-0.02668761]]"
1776861779.1016462,"[[-0.02087542]
 [-0.00561881]
 [-0.02733909]]"
1776861779.101685,"[[-0.02101166]
 [-0.00746722]
 [-0.02744234]]"
1776861779.1016932,"[[-0.02139097]
 [-0.00878428]
 [-0.02667464]]"
1776861779.1016989,"[[-0.02067353]
 [-0.00677156]
 [-0.02502949]]"
1776861779.1017547,"[[-0.01786744]
 [-0.00076307]
 [-0.0239926 ]]"
1776861779.1018162,"[[-0.01548692]
 [ 0.00151425]
 [-0.02545227]]"
1776861779.1018522,"[[-0.01516037]
 [-0.004407  ]
 [-0.02787589]]"
1776861779.1018968,"[[-0.01622032]
 [-0.01467941]
 [-0.02844387]]"
1776861779.1019561,"[[-0.01861475]
 [-0.02331276]
 [-0.02735703]]"
1776861779.1019917,"[[-0.02201205]
 [-0.02420942]
 [-0.02599213]]"
1776861779.1019995,"[[-0.02516814]
 [-0.0161625 ]
 [-0.02470406]]"
1776861779.1020055,"[[-0.02742881]
 [-0.00696284]
 [-0.02361952]]"
1776861779.102011,"[[-0.0279869 ]
 [-0.00216041]
 [-0.02298393]]"
1776861779.102016,"[[-0.02617226]
 [-0.00010983]
 [-0.02284905]]"
1776861779.1020215,"[[-0.02392425]
 [-0.0026095 ]
 [-0.02287169]]"
1776861779.1020267,"[[-0.02304981]
 [-0.01013694]
 [-0.02341205]]"
1776861779.102032,"[[-0.02175075]
 [-0.01301687]
 [-0.02543363]]"
1776861779.1020372,"[[-0.01843348]
 [-0.00336621]
 [-0.02734914]]"
1776861779.1020424,"[[-0.0148951 ]
 [ 0.01537161]
 [-0.02734923]]"
