timestamp_imu,imu_data
1776861843.4126515,"[[ 0.0390625 ]
 [-1.00390625]
 [-0.21337891]
 [-5.91463423]
 [-2.68292689]
 [ 4.8780489 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09277344]
 [-0.99511719]
 [-0.23388672]
 [-2.195122  ]
 [15.30487823]
 [-0.60975611]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25341797]
 [ 0.93310547]
 [-0.24755859]
 [-1.89024389]
 [-4.20731735]
 [ 4.63414621]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.41272,"[[ 0.04052734]
 [-1.00146484]
 [-0.21386719]
 [-5.79268312]
 [-2.31707311]
 [ 4.93902445]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08984375]
 [-0.9921875 ]
 [-0.22705078]
 [-2.62195134]
 [15.7926836 ]
 [-0.42682928]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25341797]
 [ 0.93359375]
 [-0.24658203]
 [-2.07317066]
 [-3.96341467]
 [ 4.51219511]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.427272,"[[ 0.03808594]
 [-1.00195312]
 [-0.21240234]
 [-5.67073202]
 [-1.15853655]
 [ 5.36585379]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09277344]
 [-0.99560547]
 [-0.22216797]
 [-2.31707311]
 [16.76829338]
 [-0.30487806]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25634766]
 [ 0.93359375]
 [-0.24462891]
 [-2.3780489 ]
 [-4.45121956]
 [ 4.57317066]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.427323,"[[ 0.03808594]
 [-0.99804688]
 [-0.21044922]
 [-5.60975599]
 [-0.30487806]
 [ 5.42682934]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09423828]
 [-0.99755859]
 [-0.22412109]
 [-1.70731711]
 [16.52439117]
 [-0.24390244]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25244141]
 [ 0.93457031]
 [-0.24609375]
 [-2.3780489 ]
 [-4.63414621]
 [ 4.45121956]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.439118,"[[ 0.03369141]
 [-1.00244141]
 [-0.21191406]
 [-5.67073202]
 [-0.12195122]
 [ 5.36585379]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09179688]
 [-0.99316406]
 [-0.22753906]
 [-1.46341467]
 [16.89024353]
 [-0.06097561]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25292969]
 [ 0.93310547]
 [-0.24560547]
 [-2.3780489 ]
 [-4.45121956]
 [ 4.57317066]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4391947,"[[ 0.03125   ]
 [-1.00488281]
 [-0.20800781]
 [-5.60975599]
 [-0.67073172]
 [ 5.30487823]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09179688]
 [-0.99023438]
 [-0.22851562]
 [-1.64634144]
 [16.89024353]
 [-0.24390244]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25146484]
 [ 0.93457031]
 [-0.24609375]
 [-2.56097555]
 [-4.51219511]
 [ 4.39024401]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4535563,"[[ 0.02929688]
 [-1.00048828]
 [-0.20947266]
 [-5.42682934]
 [-1.46341467]
 [ 5.30487823]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09423828]
 [-0.99267578]
 [-0.22998047]
 [-1.82926834]
 [16.95121956]
 [-0.18292683]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25      ]
 [ 0.93652344]
 [-0.24707031]
 [-2.68292689]
 [-4.57317066]
 [ 4.39024401]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4535992,"[[ 0.03222656]
 [-1.00097656]
 [-0.21435547]
 [-5.67073202]
 [-1.34146345]
 [ 5.42682934]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.10205078]
 [-0.98779297]
 [-0.23291016]
 [-2.25609756]
 [16.82926941]
 [-0.18292683]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25      ]
 [ 0.93701172]
 [-0.24072266]
 [-2.86585379]
 [-4.14634132]
 [ 4.45121956]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4661267,"[[ 0.02636719]
 [-1.00390625]
 [-0.21435547]
 [-5.91463423]
 [-1.15853655]
 [ 5.30487823]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09228516]
 [-0.99365234]
 [-0.22558594]
 [-2.56097555]
 [15.7926836 ]
 [-0.30487806]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25488281]
 [ 0.93261719]
 [-0.24072266]
 [-2.62195134]
 [-3.29268289]
 [ 4.32926846]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4661813,"[[ 0.02294922]
 [-1.00537109]
 [-0.20751953]
 [-5.73170757]
 [-1.82926834]
 [ 5.30487823]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09423828]
 [-0.98974609]
 [-0.23242188]
 [-2.43902445]
 [15.42682934]
 [-0.24390244]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25341797]
 [ 0.93457031]
 [-0.24023438]
 [-2.3780489 ]
 [-3.04878044]
 [ 4.2682929 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4795656,"[[ 0.02490234]
 [-1.00390625]
 [-0.20458984]
 [-5.24390268]
 [-2.62195134]
 [ 5.30487823]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09960938]
 [-0.99365234]
 [-0.22949219]
 [-2.804878  ]
 [16.28048897]
 [-0.18292683]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25      ]
 [ 0.9375    ]
 [-0.23876953]
 [-2.31707311]
 [-2.98780489]
 [ 4.2682929 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.479627,"[[ 0.02441406]
 [-1.00634766]
 [-0.20263672]
 [-5.        ]
 [-3.17073178]
 [ 4.81707335]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09863281]
 [-0.99707031]
 [-0.22900391]
 [-2.56097555]
 [15.54878044]
 [-0.06097561]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24609375]
 [ 0.93945312]
 [-0.24169922]
 [-2.62195134]
 [-2.804878  ]
 [ 4.32926846]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4931364,"[[ 0.02832031]
 [-1.00292969]
 [-0.20654297]
 [-5.36585379]
 [-2.92682934]
 [ 4.81707335]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.10107422]
 [-0.99755859]
 [-0.23144531]
 [-2.5       ]
 [14.63414669]
 [-0.36585367]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24951172]
 [ 0.93554688]
 [-0.2421875 ]
 [-2.804878  ]
 [-3.04878044]
 [ 4.20731735]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.4932318,"[[ 0.03466797]
 [-1.00195312]
 [-0.21240234]
 [-5.73170757]
 [-2.68292689]
 [ 4.8780489 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09472656]
 [-0.99804688]
 [-0.23486328]
 [-2.31707311]
 [14.63414669]
 [-0.67073172]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24707031]
 [ 0.93603516]
 [-0.2421875 ]
 [-2.804878  ]
 [-3.53658533]
 [ 4.39024401]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.506232,"[[ 0.03710938]
 [-1.00341797]
 [-0.21386719]
 [-5.79268312]
 [-2.86585379]
 [ 5.42682934]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09277344]
 [-1.00097656]
 [-0.23046875]
 [-2.68292689]
 [15.18292713]
 [-0.85365856]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25146484]
 [ 0.94042969]
 [-0.24267578]
 [-2.62195134]
 [-3.17073178]
 [ 4.57317066]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.5063114,"[[ 0.03271484]
 [-1.00537109]
 [-0.21386719]
 [-5.48780489]
 [-3.04878044]
 [ 5.85365868]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09375   ]
 [-0.99951172]
 [-0.22949219]
 [-2.804878  ]
 [14.8780489 ]
 [-0.79268295]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25390625]
 [ 0.93603516]
 [-0.24169922]
 [-2.86585379]
 [-3.10975623]
 [ 4.75609779]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.5202467,"[[ 0.03515625]
 [-1.00634766]
 [-0.21044922]
 [-5.18292713]
 [-2.5       ]
 [ 5.79268312]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09130859]
 [-0.99462891]
 [-0.23291016]
 [-2.86585379]
 [15.54878044]
 [-0.79268295]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25195312]
 [ 0.93701172]
 [-0.23876953]
 [-2.92682934]
 [-3.71951222]
 [ 4.75609779]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.5202825,"[[ 0.03222656]
 [-1.00439453]
 [-0.20947266]
 [-5.1219511 ]
 [-2.01219511]
 [ 5.54878044]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09375   ]
 [-0.99804688]
 [-0.22705078]
 [-2.98780489]
 [15.7926836 ]
 [-0.67073172]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.25244141]
 [ 0.93945312]
 [-0.24267578]
 [-2.92682934]
 [-4.2682929 ]
 [ 4.75609779]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.5335364,"[[ 0.03320312]
 [-1.00292969]
 [-0.21142578]
 [-5.06097555]
 [-2.68292689]
 [ 5.30487823]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09667969]
 [-0.99755859]
 [-0.22509766]
 [-2.62195134]
 [15.6707325 ]
 [-0.5487805 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24707031]
 [ 0.94140625]
 [-0.2421875 ]
 [-3.17073178]
 [-4.2682929 ]
 [ 4.69512224]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.5335972,"[[ 0.03417969]
 [-1.00585938]
 [-0.21386719]
 [-4.93902445]
 [-3.23170733]
 [ 5.60975599]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.10009766]
 [-1.00048828]
 [-0.21923828]
 [-2.74390244]
 [15.9146347 ]
 [-0.60975611]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24365234]
 [ 0.94189453]
 [-0.24853516]
 [-3.35365868]
 [-3.84146357]
 [ 4.63414621]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861843.5469775,"[[ 0.03662109]
 [-1.00341797]
 [-0.21582031]
 [-5.18292713]
 [-2.74390244]
 [ 5.67073202]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09863281]
 [-0.99755859]
 [-0.22167969]
 [-2.62195134]
 [16.21951294]
 [-0.60975611]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24072266]
 [ 0.93847656]
 [-0.24658203]
 [-3.96341467]
 [-3.47560978]
 [ 4.57317066]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
