t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00395165],0.0,0.0,9.998999999999999
0.005,[0.01909705],0.005,0.0,10.098989999999999
0.01,[0.04746364],0.01,0.0,10.099989899999999
0.015,[0.08664294],0.015,0.0,10.099999898999998
0.02,[0.1344581],0.02,0.0,10.099999998989999
0.025,[0.18895636],0.025,0.0,10.0999999999899
0.03,[0.24839978],0.03,0.0,-9.8980000000001
0.035,[0.3112546],0.035,0.0,-10.09798
0.04,[0.37617955],0.04,0.0,-10.099979799999998
0.045,[0.44201352],0.045,0.0,-10.099999797999999
0.05,[0.50776264],0.05,0.0,-5.100499997979999
0.055,[0.57258736],0.055,0.0,-5.0505049999797995
0.06,[0.6357897],0.06,0.0,-5.050005049999798
0.065,[0.69680044],0.065,0.0,-5.050000050499998
0.07,[0.75516655],0.07,0.0,-5.050000000504999
0.075,[0.81053908],0.075,0.0,-5.050000000005049
0.08,[0.8626616],0.08,0.0,-5.05000000000005
0.085,[0.91135955],0.085,0.0,-5.05
0.09,[0.95652972],0.09,0.0,-5.05
0.095,[0.99813008],0.095,0.0,-5.05
0.1,[1.03617105],0.1,0.0,-5.05
0.105,[1.07070724],0.105,0.0,-5.05
0.11,[1.10182994],0.11,0.0,-5.05
0.115,[1.12966065],0.115,0.0,-5.05
0.12,[1.15434467],0.12,0.0,-5.05
0.125,[1.17604553],0.125,0.0,-5.05
0.13,[1.1949401],0.13,0.0,-5.318656851208127
0.135,[1.21121417],0.135,0.0,-2.3487218285852767
0.14,[1.22505864],0.14,0.0,-0.10963427143913632
0.145,[1.23666629],0.145,0.0,1.5957259810051612
0.15,[1.246229],0.15,0.00019539871673667023,2.8257415269673523
0.155,[1.25393558],0.155,0.0015631897338933619,3.757333862205651
0.16,[1.25997002],0.16,0.004884967918416756,4.44442313151768
0.165,[1.26450941],0.165,0.009965334553570182,4.898794937405326
0.17,[1.26772302],0.17,0.013482511454830247,5.353316797869342
0.17500000000000002,[1.26977152],0.17500000000000002,0.018562878089983675,5.617956809106767
0.18,[1.27080537],0.18,0.024034042158610443,5.731125434679387
0.185,[1.27096441],0.185,0.0289190100770272,5.772948690265986
0.19,[1.27037822],0.19,0.033999376712180625,5.815671575363355
0.195,[1.26916608],0.195,0.040056736931017405,5.733396330532395
0.2,[1.267437],0.2,0.04533250228290749,5.7173004007313395
0.20500000000000002,[1.26528993],0.20500000000000002,0.05099906506827094,5.73095824583227
0.21,[1.26281403],0.21,0.05686102657037104,5.755963062687156
0.215,[1.26008889],0.215,0.06330918422268116,5.747800397429988
0.22,[1.25718466],0.22,0.07053893674193797,5.690686728900947
0.225,[1.25416326],0.225,0.07405611364319802,5.759658766399303
0.23,[1.25107968],0.23,0.07835488541140477,5.82558327385612
0.23500000000000001,[1.24798146],0.23500000000000001,0.08382604948003153,5.850282973758793
0.24,[1.24490849],0.24,0.09125120071602501,5.840286408974861
0.245,[1.24189406],0.245,0.09574537120096842,5.896817214353288
0.25,[1.23896605],0.25,0.10043494040264851,5.864116440393372
0.255,[1.23614673],0.255,0.11000947752274534,5.711058030441468
0.26,[1.23345306],0.26,0.11508984415789876,5.643896697980917
0.265,[1.23089837],0.265,0.12095180565999888,5.6329884810223305
0.27,[1.22849274],0.27,0.12700916587883565,5.589791201493904
0.275,[1.22624273],0.275,0.1318941337972524,5.548421920155386
0.28,[1.22415193],0.28,0.1379514940160892,5.558599610597032
0.28500000000000003,[1.22222133],0.28500000000000003,0.14576744268555603,5.50576742398487
0.29,[1.22044961],0.29,0.15084780932070943,5.4538284492511675
0.295,[1.21883385],0.295,0.15573277723912618,5.41095919736815
0.3,[1.21736986],0.3,0.15983615029059628,5.378655391417267
0.305,[1.21605227],0.305,0.16452571949227635,5.333339102585426
0.31,[1.21487454],0.31,0.16980148484416643,5.294014380307526
0.315,[1.21382923],0.315,0.17507725019605655,5.245795473046341
0.32,[1.21290836],0.32,0.18074381298141998,5.193526691138737
0.325,[1.2121036],0.325,0.18601957833331006,5.138327266343529
0.33,[1.2114066],0.33,0.18992755266804345,5.110236934257404
0.335,[1.21080893],0.335,0.1969619064705636,5.05132293286915
0.34,[1.21030184],0.34,0.20223767182245372,5.0112760584599165
0.34500000000000003,[1.20987679],0.34500000000000003,0.2075134371743438,4.976314414281365
0.35000000000000003,[1.20952578],0.35000000000000003,0.21220300637602388,4.948732221490146
0.355,[1.20924125],0.355,0.21630637942749392,4.923031369331189
0.36,[1.20901613],0.36,0.2206051511957007,4.903152370606601
0.365,[1.20884371],0.365,0.22549011911411745,4.8767600591826294
0.37,[1.20871761],0.37,0.23154747933295422,4.842410269824654
0.375,[1.20863192],0.375,0.237018643401581,4.80990328256365
0.38,[1.20858127],0.38,0.2442483959208378,4.773412387249512
0.385,[1.20856091],0.385,0.24796097153883453,4.755665944693925
0.39,[1.20856656],0.39,0.25245514202377795,4.7344868582248685
0.395,[1.20859442],0.395,0.25792630609240474,4.708737438378108
0.4,[1.20864131],0.4,0.2665238496288182,4.66928940422339
0.405,[1.20870468],0.405,0.27160421626397163,4.645496372620173
0.41000000000000003,[1.20878213],0.41000000000000003,0.2755121905987051,4.626432109295963
0.41500000000000004,[1.20887144],0.41500000000000004,0.2823511456844885,4.595202464114901
0.42,[1.20897092],0.42,0.28860390462006197,4.566582743982935
0.425,[1.20907926],0.425,0.2944658661221621,4.53850153382318
0.43,[1.20919509],0.43,0.30032782762426213,4.510111833426205
0.435,[1.20931706],0.435,0.30501739682594226,4.487468080656371
0.44,[1.20944377],0.44,0.3095115673108857,4.463668448910217
0.445,[1.20957393],0.445,0.31752291469708915,4.427251921095745
0.45,[1.2097068],0.45,0.3226032813322426,4.40218085251095
0.455,[1.2098419],0.455,0.3319824197356028,4.358512552838148
0.46,[1.20997879],0.46,0.3382351786711762,4.326693914729673
0.465,[1.21011675],0.465,0.34429253889001293,4.295762783268627
0.47000000000000003,[1.21025482],0.47000000000000003,0.3497637029586398,4.267921314259942
0.47500000000000003,[1.21039208],0.47500000000000003,0.3560164618942132,4.236494279142286
0.48,[1.21052769],0.48,0.3605106323791566,4.2133706214594255
0.485,[1.21066086],0.485,0.3675449861816767,4.178421884318022
0.49,[1.21079087],0.49,0.3718437579498835,4.156339785318743
0.495,[1.21091705],0.495,0.3780965168854569,4.125036345281274
0.5,[1.21103889],0.5,0.3866940604218704,4.082869683480534
0.505,[1.21115599],0.505,0.39216522449049723,4.054739493811229
0.51,[1.21126793],0.51,0.39841798342607065,4.023200603658659
0.515,[1.21137421],0.515,0.40447534364490745,3.9926951152488632
0.52,[1.21147448],0.52,0.40916491284658746,3.9688894732645275
0.525,[1.21156846],0.525,0.4138544820482676,3.945450850665944
0.53,[1.21165601],0.53,0.4197164435503677,3.9164034442079165
0.535,[1.21173715],0.535,0.42616460120267785,3.8845126512746306
0.54,[1.21181201],0.54,0.4314403665545679,3.8586365292257665
0.545,[1.21188087],0.545,0.43671613190645797,3.833221034450948
0.55,[1.21194416],0.55,0.44277349212529477,3.803905218973659
0.555,[1.21200246],0.555,0.44824465619392156,3.777873053340633
0.56,[1.21205646],0.56,0.4541066176960216,3.750067015765186
0.5650000000000001,[1.21210701],0.5650000000000001,0.45938238304791174,3.725118072372678
0.5700000000000001,[1.21215502],0.5700000000000001,0.4650489458332752,3.6984970796542793
0.5750000000000001,[1.21220155],0.5750000000000001,0.4707155086186386,3.672055403328385
0.58,[1.21224772],0.58,0.47599127397052876,3.64773658151337
0.585,[1.21229473],0.585,0.4818532354726288,3.6207351824559724
0.59,[1.21234451],0.59,0.491232373875989,3.5837851933212583
0.595,[1.21239971],0.595,0.4967035379446158,3.5579461100003433
0.6,[1.21246221],0.6,0.5015885058630325,3.534237486181779
0.605,[1.21253335],0.605,0.5076458660818692,3.509421045361451
0.61,[1.21261495],0.61,0.5140940237341795,3.480772632276661
0.615,[1.2127103],0.615,0.5230823647040662,3.455349189589897
0.62,[1.21282393],0.62,0.5293351236396396,3.4259785857733243
0.625,[1.21295892],0.625,0.5351970851417398,3.4000784866690745
0.63,[1.21311697],0.63,0.5408636479271033,3.375953473519196
0.635,[1.21329984],0.635,0.5465302107124667,3.3526351655121287
0.64,[1.21351082],0.64,0.5555185516823535,3.3298466586738393
0.645,[1.21375509],0.645,0.5613805131844536,3.3085547480243855
0.65,[1.21403672],0.65,0.5668516772530804,3.286386890058653
0.655,[1.21435761],0.655,0.5725182400384438,3.260717441550417
0.66,[1.2147186],0.66,0.5787709989740173,3.2333050843644218
0.665,[1.21512009],0.665,0.5846329604761173,3.2086304166714252
0.67,[1.21556549],0.67,0.5936213014460042,3.2019608555427204
0.675,[1.2160608],0.675,0.5998740603815778,3.167649650847714
0.68,[1.21660789],0.68,0.6061268193171511,3.136021465586496
0.685,[1.21720502],0.685,0.6110117872355679,3.113300446901297
0.6900000000000001,[1.21785043],0.6900000000000001,0.6162875525874579,3.090240357191447
0.6950000000000001,[1.21854236],0.6950000000000001,0.6229311089565047,3.06148529879304
0.7000000000000001,[1.21927988],0.7000000000000001,0.6303562601924982,3.038174679000319
0.705,[1.22006192],0.705,0.6342642345272317,3.012976096899904
0.71,[1.22088566],0.71,0.6389538037289116,2.9965265155974827
0.715,[1.2217485],0.715,0.6448157652310118,2.9744190219882753
0.72,[1.22265212],0.72,0.6534133087674253,2.9721857523816793
0.725,[1.2235988],0.725,0.6571258843854221,2.928532301900171
0.73,[1.22458359],0.73,0.6616200548703655,2.902146422217937
0.735,[1.22560002],0.735,0.6661142253553088,2.8904814229772566
0.74,[1.22664579],0.74,0.6715853894239355,2.8733398317296857
0.745,[1.22771998],0.745,0.6766657560590891,2.857596272206383
0.75,[1.22882179],0.75,0.6825277175611891,2.837559451581411
0.755,[1.2299505],0.755,0.6887804764967627,2.8156595954213572
0.76,[1.23110553],0.76,0.694447039282126,2.7965560512806347
0.765,[1.2322864],0.765,0.6997228046340161,2.7794012478549197
0.77,[1.23349274],0.77,0.7046077725524329,2.7642231661301064
0.775,[1.23472425],0.775,0.7106651327712696,2.7432978032333204
0.78,[1.23598073],0.78,0.7167224929901064,2.7223526222410834
0.785,[1.23726202],0.785,0.7206304673248398,2.712083344597746
0.79,[1.23856799],0.79,0.7262970301102033,2.693420819890154
0.795,[1.23989856],0.795,0.73235439032904,2.6727160606880154
0.8,[1.24125367],0.8,0.7380209531144034,2.6539709537080545
0.805,[1.24263329],0.805,0.743101319749557,2.638249774872668
0.81,[1.24403742],0.81,0.7487678825349204,2.6198085147932697
0.8150000000000001,[1.24546611],0.8150000000000001,0.7544344453202838,2.6013680227460187
0.8200000000000001,[1.24691948],0.8200000000000001,0.7593194132387007,2.5870920136260644
0.8250000000000001,[1.2483977],0.8250000000000001,0.764399779873854,2.572312156984099
0.8300000000000001,[1.24990102],0.8300000000000001,0.7700663426592175,2.554607356020653
