t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00390937],0.0,0.0,9.998999999999999
0.005,[0.0188921],0.005,0.0,10.098989999999999
0.01,[0.04695203],0.01,0.0,10.099989899999999
0.015,[0.0857043],0.015,0.0,10.099999898999998
0.02,[0.13299415],0.02,0.0,10.099999998989999
0.025,[0.18688865],0.025,0.0,10.0999999999899
0.03,[0.24566757],0.03,0.0,-9.8980000000001
0.035,[0.3078139],0.035,0.0,-10.09798
0.04,[0.37200112],0.04,0.0,-10.099979799999998
0.045,[0.43708006],0.045,0.0,-10.099999797999999
0.05,[0.50206763],0.05,0.0,-5.100499997979999
0.055,[0.56613414],0.055,0.0,-5.0505049999797995
0.06,[0.62859016],0.06,0.0,-5.050005049999798
0.065,[0.68887356],0.065,0.0,-5.050000050499998
0.07,[0.7465365],0.07,0.0,-5.050000000504999
0.075,[0.80123444],0.075,0.0,-5.050000000005049
0.08,[0.85271497],0.08,0.0,-5.05000000000005
0.085,[0.9008058],0.085,0.0,-5.05
0.09,[0.94540499],0.09,0.0,-5.05
0.095,[0.9864722],0.095,0.0,-5.05
0.1,[1.02401907],0.1,0.0,-5.05
0.105,[1.05810076],0.105,0.0,-5.05
0.11,[1.08880868],0.11,0.0,-5.05
0.115,[1.11626372],0.115,0.0,-5.05
0.12,[1.14060993],0.12,0.0,-5.05
0.125,[1.16200939],0.125,0.0,-5.05
0.13,[1.18063793],0.13,0.0,-4.861156321546147
0.135,[1.19668027],0.135,0.0,-1.87858089269718
0.14,[1.210326],0.14,0.0,0.3442702462247473
0.145,[1.22176681],0.145,0.0,2.2250673365298375
0.15,[1.23119354],0.15,0.0005861961502100108,3.429206184983281
0.155,[1.23879316],0.155,0.005080366635153426,4.230114466220657
0.16,[1.24474721],0.16,0.009183739686623501,4.833527793584732
0.165,[1.24923102],0.165,0.013873308888303588,5.261677606486889
0.17,[1.25241231],0.17,0.01739048578956365,5.549580574629708
0.17500000000000002,[1.2544498],0.17500000000000002,0.023447846008400428,5.733999531514141
0.18,[1.25549236],0.18,0.027551219059870506,5.936696137248973
0.185,[1.25567875],0.185,0.0328269844117606,6.0119818994117145
0.19,[1.25513778],0.19,0.035953363879547326,6.1203943705479436
0.195,[1.25398788],0.195,0.04161992666491077,6.073188701620229
0.2,[1.25233691],0.2,0.04572329971638084,6.099378156618207
0.20500000000000002,[1.25028265],0.20500000000000002,0.050803666351534264,6.074411407489748
0.21,[1.24791292],0.21,0.056470229136897705,6.0158936953718
0.215,[1.24530596],0.215,0.06057360218836778,5.942532149860393
0.22,[1.24253125],0.22,0.06682636112394122,5.905551606898226
