t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00395115],0.0,0.00019539871673667023,9.998999999999999
0.005,[0.0190933],0.005,0.0,10.098989999999999
0.01,[0.04745023],0.01,0.0,10.099989899999999
0.015,[0.08660938],0.015,0.0,10.099999898999998
0.02,[0.1343883],0.02,0.0,10.099999998989999
0.025,[0.18882786],0.025,0.0,10.0999999999899
0.03,[0.24818577],0.03,0.0,-9.8980000000001
0.035,[0.31092646],0.035,0.00019539871673667023,-10.09798
0.04,[0.37570783],0.04,0.0,-10.099979799999998
0.045,[0.44136818],0.045,0.0,-10.099999797999999
0.05,[0.50691388],0.05,0.0,-5.100499997979999
0.055,[0.57150652],0.055,0.00019539871673667023,-5.0505049999797995
0.06,[0.63445063],0.06,0.0,-5.050005049999798
0.065,[0.69517986],0.065,0.0,-5.050000050499998
0.07,[0.7532428],0.07,0.00019539871673667023,-5.050000000504999
0.075,[0.80829267],0.075,0.0,-5.050000000005049
0.08,[0.86007648],0.08,0.00019539871673667023,-5.05000000000005
0.085,[0.90842357],0.085,0.00019539871673667023,-5.05
0.09,[0.95323456],0.09,0.0,-5.05
0.095,[0.99447036],0.095,0.0,-5.05
0.1,[1.03214437],0.1,0.00019539871673667023,-5.05
0.105,[1.0663154],0.105,0.0,-5.05
0.11,[1.09707946],0.11,0.0,-5.05
0.115,[1.12456222],0.115,0.0,-5.05
0.12,[1.14891262],0.12,0.00019539871673667023,-5.05
0.125,[1.17029757],0.125,0.0,-5.05
0.13,[1.18889707],0.13,0.00019539871673667023,-3.100934492771499
0.135,[1.20489978],0.135,0.00019539871673667023,-0.18411556048492625
0.14,[1.21849931],0.14,0.0,1.9730251857365249
0.145,[1.22989088],0.145,0.00019539871673667023,3.6091881409246342
0.15,[1.2392686],0.15,0.0021493858841033727,4.774411983652093
0.155,[1.24682363],0.155,0.010356131987043523,5.709117164540889
0.16,[1.25274213],0.16,0.01563189733893362,6.31194992158472
0.165,[1.25720285],0.165,0.02129846012429706,6.767721642089562
0.17,[1.26037619],0.17,0.027355820343133833,7.06580461035912
0.17500000000000002,[1.26242368],0.17500000000000002,0.03341318056197061,7.322031306026587
0.18,[1.26349688],0.18,0.0381027497636507,7.304692426324828
0.185,[1.26373811],0.185,0.046700293300064186,7.668747238778333
0.19,[1.26327912],0.19,0.0498266727678509,7.957432659410613
0.195,[1.26223967],0.195,0.05686102657037104,8.370402300695172
0.2,[1.2607292],0.2,0.06018280475489443,8.192137370640525
0.20500000000000002,[1.25884753],0.20500000000000002,0.06780335470762457,8.464848725579476
0.21,[1.25668603],0.21,0.07268832262604133,8.20063835066214
0.215,[1.25432473],0.215,0.0767916956775114,7.700317533997685
0.22,[1.25183256],0.22,0.08245825846287484,7.266000692479489
0.225,[1.2492718],0.225,0.08734322638129159,5.072160006924794
0.23,[1.24669633],0.23,0.09086040328255167,6.815765031186761
0.23500000000000001,[1.24415138],0.23500000000000001,0.09633156735117841,6.679107956277262
0.24,[1.24167624],0.24,0.1023889275700152,6.772751847323485
0.245,[1.23930462],0.245,0.10786009163864198,6.741213748189488
0.25,[1.23706423],0.25,0.11274505955705873,6.711691722021015
0.255,[1.23497724],0.255,0.11802082490894884,6.776659100043907
0.26,[1.23306091],0.26,0.12290579282736558,6.752711198540662
0.265,[1.23132801],0.265,0.12837695689599235,6.673968850889274
0.27,[1.2297874],0.27,0.13482511454830248,6.564481697422168
0.275,[1.22844447],0.275,0.14029627861692923,6.450302384324756
0.28,[1.22730162],0.28,0.14537664525208266,6.338891006995898
0.28500000000000003,[1.22635871],0.28500000000000003,0.15084780932070943,6.232606446960517
0.29,[1.22561346],0.29,0.15573277723912618,6.1397562271285855
0.295,[1.22506189],0.295,0.16120394130775295,6.056108641198528
0.3,[1.22469661],0.3,0.1655027130759597,5.7924416548599025
0.305,[1.22450953],0.305,0.1719508707282698,5.862953597111749
0.31,[1.22449614],0.31,0.17761743351363324,5.8653589228797145
0.315,[1.22465103],0.315,0.18308859758226,5.844234391399665
0.32,[1.22496887],0.32,0.19070914753499016,6.005340394294866
0.325,[1.2254448],0.325,0.1961803116036169,6.007797484208325
0.33,[1.22607274],0.33,0.20262846925592706,6.0846109544632005
0.335,[1.22684982],0.335,0.2086858294747638,6.0437538515820135
0.34,[1.22776545],0.34,0.21181220894255054,5.662223658523557
0.34500000000000003,[1.22880597],0.34500000000000003,0.22040975247896405,5.66455350277315
0.35000000000000003,[1.22997028],0.35000000000000003,0.2264671126978008,5.637025496618529
0.355,[1.23125609],0.355,0.2317428780496909,5.462646865670976
0.36,[1.23265445],0.36,0.23740944083505436,5.338990243303622
0.365,[1.23415697],0.365,0.24327140233715447,5.327438618598523
0.37,[1.23576277],0.37,0.25186894587356795,5.288878146743709
0.375,[1.23747032],0.375,0.25479992662461803,5.10871517212028
0.38,[1.2392637],0.38,0.25909869839282473,5.086729433387187
0.385,[1.24112998],0.385,0.2657422547618715,5.079190146652885
0.39,[1.24306476],0.39,0.27043182396355164,5.05929053320673
0.395,[1.24506372],0.395,0.2770753803325984,5.05835107533064
0.4,[1.24712286],0.4,0.2815695508175418,5.030232172592842
0.405,[1.24923559],0.405,0.28606372130248525,5.024210845612445
0.41000000000000003,[1.25139614],0.41000000000000003,0.2907532905041653,5.0167114826042525
0.41500000000000004,[1.25360146],0.41500000000000004,0.29583365713931875,5.006632761386278
0.42,[1.25584056],0.42,0.29896003660710546,5.002065085695302
0.425,[1.25810354],0.425,0.306385187843099,5.0310225115981035
0.43,[1.26039209],0.43,0.3097069660276223,4.9756988578162495
0.435,[1.26270483],0.435,0.31576432624645917,4.979170444943953
0.44,[1.26504141],0.44,0.32045389544813924,4.965960092681489
0.445,[1.26740929],0.445,0.32768364796739596,4.967475629270742
0.45,[1.26981649],0.45,0.3335456094694961,4.94338376515116
0.455,[1.27226543],0.455,0.33960296968833287,4.9205748564742295
0.46,[1.27475372],0.46,0.34487873504022304,4.903587397215398
0.465,[1.2772791],0.465,0.3509360952590598,4.884228589881919
0.47000000000000003,[1.27983944],0.47000000000000003,0.3564072593276865,4.868791360468668
0.47500000000000003,[1.28243544],0.47500000000000003,0.3634416131302067,4.862792990477647
0.48,[1.28506778],0.48,0.3675449861816767,4.836110251038093
0.485,[1.2877313],0.485,0.37203915666662013,4.8258517137663
0.49,[1.29042072],0.49,0.3769241245850368,4.816766059064164
0.495,[1.29313414],0.495,0.3829814848038737,4.801697451891484
0.5,[1.29587297],0.5,0.3900158386063938,4.798104201216533
0.505,[1.2986382],0.505,0.3945100090913372,4.768644870475741
0.51,[1.30143168],0.51,0.4025213564775407,4.781127842399534
0.515,[1.30425867],0.515,0.4068201282457474,4.751843484969473
0.52,[1.3071149],0.52,0.4119004948809009,4.728240409940284
0.525,[1.30999747],0.525,0.4197164435503677,4.73967263010093
0.53,[1.31290876],0.53,0.42284282301815435,4.697408655665917
0.535,[1.31583804],0.535,0.4277277909365711,4.680398120591858
0.54,[1.31878335],0.54,0.43573913832277467,4.709552003200081
0.545,[1.32176046],0.545,0.44199189725834814,4.687224591261785
0.55,[1.3247754],0.55,0.44824465619392156,4.666286516632412
0.555,[1.32782834],0.555,0.4554744087131783,4.658765333236873
0.56,[1.33093006],0.56,0.4628995599491718,4.646722549621379
0.5650000000000001,[1.33409189],0.5650000000000001,0.4693477176014819,4.626210388555879
0.5700000000000001,[1.33731294],0.5700000000000001,0.4750142803868453,4.609606437062579
0.5750000000000001,[1.34058997],0.5750000000000001,0.4822440329061022,4.596097806522093
0.58,[1.34392361],0.58,0.48810599440820224,4.579203094625144
0.585,[1.3473187],0.585,0.49592194307766907,4.563680863288722
0.59,[1.35078453],0.59,0.5023701007299791,4.549574345908134
0.595,[1.35432133],0.595,0.5076458660818692,4.539632681029145
0.6,[1.35792115],0.6,0.5127262327170228,4.530999331987701
0.605,[1.36157737],0.605,0.5178065993521761,4.523208614612141
0.61,[1.36528458],0.61,0.5236685608542763,4.512382243573009
0.615,[1.36903849],0.615,0.5289443262061664,4.505078348275682
0.62,[1.37283581],0.62,0.5351970851417398,4.493428033980873
0.625,[1.37667408],0.625,0.5404728504936299,4.4868578746913865
0.63,[1.3805516],0.63,0.5459440145622566,4.479535232858588
0.635,[1.38447406],0.635,0.5541507606651968,4.45247826607907
0.64,[1.38844656],0.64,0.5578633362831935,4.458249501492107
0.645,[1.39245991],0.645,0.5633345003518203,4.45259559653517
0.65,[1.39652134],0.65,0.5715412464547605,4.38015725216245
0.655,[1.40065885],0.655,0.5768170118066506,4.396554577075352
0.66,[1.40488141],0.66,0.5826789733087506,4.399784560349424
0.665,[1.40918164],0.665,0.5891271309610607,4.39478738165545
0.67,[1.41355751],0.67,0.5963568834803176,4.362123811941411
0.675,[1.41802154],0.675,0.6035866359995743,4.27981964476078
0.68,[1.42257458],0.68,0.6067130154673611,4.385940944740669
0.685,[1.42718882],0.685,0.6121841795359879,4.380037731227832
0.6900000000000001,[1.43186121],0.6900000000000001,0.6205863243556646,4.264397692050856
0.6950000000000001,[1.43660109],0.6950000000000001,0.6235173051067148,4.272195408059976
0.7000000000000001,[1.44140003],0.7000000000000001,0.6327010447933382,4.292361698270952
0.705,[1.44628204],0.705,0.6412985883297517,4.296337901372026
0.71,[1.45126967],0.71,0.6452065626644852,4.244566381272985
0.715,[1.45633671],0.715,0.6498961318661652,4.29949951437267
0.72,[1.46145408],0.72,0.6559534920850019,4.303247009915932
0.725,[1.46662167],0.725,0.6625970484540489,4.2343546874194065
0.73,[1.47184191],0.73,0.6663096240720454,4.324402757047281
0.735,[1.47710954],0.735,0.6747117688917224,4.229976629804929
0.74,[1.48242508],0.74,0.6780335470762457,4.311215298557009
0.745,[1.48777548],0.745,0.6835047111448725,4.305437683763662
0.75,[1.49314994],0.75,0.6893666726469726,4.273323071823365
0.755,[1.49854698],0.755,0.694447039282126,4.31570749566348
0.76,[1.50396386],0.76,0.7024583866683295,4.228729671928557
0.765,[1.50940909],0.765,0.7091019430373763,4.248208205597506
0.77,[1.51488455],0.77,0.7141823096725297,4.265693551873508
0.775,[1.520381],0.775,0.7198488724578932,4.274396740047096
0.78,[1.52589029],0.78,0.7259062326767299,4.277736276680175
0.785,[1.53140528],0.785,0.7313773967453567,4.281946445459315
0.79,[1.53691979],0.79,0.7358715672303001,4.28978735612747
0.795,[1.54241565],0.795,0.7397795415650336,4.31695638328798
0.8,[1.54786968],0.8,0.7446645094834503,4.318292480826576
0.805,[1.5532786],0.805,0.7491586799683937,4.324625017691258
0.81,[1.55864129],0.81,0.7536528504533371,4.332416494496345
0.8150000000000001,[1.56394755],0.8150000000000001,0.7583424196550171,4.335489599598979
0.8200000000000001,[1.56919419],0.8200000000000001,0.7640089824403806,4.331879510923359
0.8250000000000001,[1.57439897],0.8250000000000001,0.7720203298265842,4.23922922682064
0.8300000000000001,[1.57959049],0.8300000000000001,0.7769052977450008,4.2800443207222765
0.835,[1.58476652],0.835,0.7800316772127877,4.330502888736877
0.84,[1.58990723],0.84,0.7866752335818344,4.313314983636456
0.845,[1.59500942],0.845,0.7905832079165678,4.328599059220238
0.85,[1.60007256],0.85,0.7962497707019311,4.323915343700619
0.855,[1.60509665],0.855,0.8015255360538213,4.320685014226636
0.86,[1.61008508],0.86,0.8066059026889748,4.322207805471071
0.865,[1.61503639],0.865,0.8116862693241282,4.323705289172282
0.87,[1.61995332],0.87,0.817743629542965,4.303910332359265
0.875,[1.62484805],0.875,0.822433198744645,4.306024416377926
0.88,[1.62972579],0.88,0.8269273692295884,4.318303507443217
0.885,[1.63458157],0.885,0.8316169384312686,4.319769850917658
0.89,[1.63940728],0.89,0.8353295140492653,4.326065583633436
0.895,[1.64420572],0.895,0.8427546652852588,4.281470109224682
0.9,[1.64898481],0.9,0.8466626396199921,4.314990624229374
0.905,[1.6537326],0.905,0.8519384049718822,4.31556040907731
0.91,[1.65844268],0.91,0.8570187716070357,4.312930415311403
