t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00131497],0.0,-0.03224078826155059,9.998999999999999
0.005,[0.00635458],0.005,-0.03224078826155059,10.098989999999999
0.01,[0.01579251],0.01,-0.032045389544813924,10.099989899999999
0.015,[0.02882546],0.015,-0.03224078826155059,10.099999898999998
0.02,[0.04472637],0.02,-0.03224078826155059,10.099999998989999
0.025,[0.06284268],0.025,-0.03224078826155059,4.588768110072399
0.03,[0.08259408],0.03,-0.03224078826155059,-9.953112318899274
0.035,[0.10346829],0.035,-0.029700604943973877,-10.098531123188991
0.04,[0.12501616],0.04,-0.025401833175767132,-10.099985311231888
0.045,[0.14684786],0.045,-0.02129846012429706,-10.099999853112317
0.05,[0.16862906],0.05,-0.017976681939773663,-10.099999998531121
0.055,[0.19007655],0.055,-0.014654903755250269,-10.09999999998531
0.06,[0.21095442],0.06,-0.012505517871146895,-10.099999999999852
0.065,[0.23107031],0.065,-0.010356131987043523,-10.099999999999998
0.07,[0.25026775],0.07,-0.00781594866946681,-10.099999999999998
0.075,[0.26842233],0.075,-0.006448157652310118,-10.099999999999998
0.08,[0.2854416],0.08,-0.005275765351890096,-5.100499999999999
0.085,[0.3012615],0.085,-0.004884967918416756,-5.050504999999999
0.09,[0.31584587],0.09,-0.004689569201680086,-5.050005049999999
0.095,[0.32918136],0.095,-0.004689569201680086,-5.0500000505
0.1,[0.34127316],0.1,-0.004689569201680086,-5.050000000504999
0.105,[0.35214536],0.105,-0.004689569201680086,-5.050000000005049
0.11,[0.36183354],0.11,-0.004689569201680086,-5.05000000000005
0.115,[0.3703811],0.115,-0.004689569201680086,-5.05
0.12,[0.37784039],0.12,-0.004689569201680086,-4.251553160152268
0.125,[0.38427023],0.125,-0.004689569201680086,-2.430926786969526
0.13,[0.38973516],0.13,-0.004689569201680086,-0.7712694916077771
0.135,[0.39430386],0.135,-0.004689569201680086,0.5726450886410538
0.14,[0.39804464],0.14,-0.004689569201680086,1.173406774318494
0.145,[0.40102529],0.145,-0.0042987717682067455,1.950675757081367
0.15,[0.40331459],0.15,-0.0031263794677867237,2.3865031580709557
0.155,[0.40498079],0.155,-0.00019539871673667023,2.6152996274717184
0.16,[0.40609075],0.16,0.0035171769012600643,2.863692880172003
0.165,[0.40670894],0.165,0.0072297525192568,3.321798413136179
0.17,[0.40689528],0.17,0.013287112738093578,3.1378500605367057
0.17500000000000002,[0.40670449],0.17500000000000002,0.017976681939773663,3.022335245305062
0.18,[0.40618756],0.18,0.0236432447251371,2.620426809022518
0.185,[0.40539184],0.185,0.028137415210080514,2.1938103694684195
0.19,[0.40436058],0.19,0.03321778184523394,1.728400772294885
0.195,[0.40313562],0.195,0.036734958746494004,2.0703635401520333
0.2,[0.40175479],0.2,0.04435550869922414,1.5749441476833217
0.20500000000000002,[0.40024972],0.20500000000000002,0.04748188816701086,1.8059544582973497
0.21,[0.39865055],0.21,0.05197605865195429,1.7771846214342824
0.215,[0.39698423],0.215,0.05627483042016103,1.836789685625248
0.22,[0.39527339],0.22,0.06194139320552447,1.4346671135772249
0.225,[0.39353777],0.225,0.06682636112394122,1.637766152386535
0.23,[0.3917937],0.23,0.07249292390930466,1.3378494570953856
0.23500000000000001,[0.39005476],0.23500000000000001,0.0781594866946681,1.2209605678639939
0.24,[0.38833253],0.24,0.08304445461308485,1.1544764030510843
0.245,[0.38663731],0.245,0.08773402381476494,1.1325392130524878
0.25,[0.38497881],0.25,0.09203279558297167,1.340521797914859
0.255,[0.38336477],0.255,0.09945794681896515,1.2731586869370786
0.26,[0.38179861],0.26,0.10571070575453859,1.2235798200058032
0.265,[0.38028187],0.265,0.11235426212358537,1.138603749470432
0.27,[0.37881788],0.27,0.11606683774158212,1.289739302420835
0.275,[0.37741255],0.275,0.11977941335957885,1.4250951816464872
0.28,[0.37606982],0.28,0.126813767162099,1.4095077329299788
0.28500000000000003,[0.37478717],0.28500000000000003,0.13482511454830248,1.291845624272446
0.29,[0.37356056],0.29,0.14010087990019257,1.293759592078113
0.295,[0.37239009],0.295,0.14303186065124263,1.3109538659812492
0.3,[0.37127806],0.3,0.1471352337027127,1.1863004509385646
0.305,[0.37022487],0.305,0.1522156003378661,1.227243542240694
0.31,[0.36922892],0.31,0.15729596697301954,1.3242942312378454
0.315,[0.36828797],0.315,0.162962529758383,1.310850382111851
0.32,[0.36739955],0.32,0.1694106874106931,1.1703720854672828
0.325,[0.36656239],0.325,0.17312326302868986,1.1580990729589158
0.33,[0.36577597],0.33,0.1780082309471066,1.0764485247744122
0.335,[0.36503769],0.335,0.18269780014878667,1.0064125095677685
0.34,[0.36434282],0.34,0.1897321539513068,0.8755047417996962
0.34500000000000003,[0.36368625],0.34500000000000003,0.1950079193031969,0.8108391139867156
0.35000000000000003,[0.36306501],0.35000000000000003,0.1989158936379303,0.7544754211779704
0.355,[0.36247828],0.355,0.20321466540613706,0.7383906467265716
0.36,[0.36192526],0.36,0.2069272410241338,0.7256903799199889
0.365,[0.36140447],0.365,0.21239840509276056,0.7059229101728179
0.37,[0.36091311],0.37,0.2219729422128574,0.6286581910433025
0.375,[0.36044777],0.375,0.2280303024316942,0.5815463059782753
0.38,[0.36000658],0.38,0.2344784600840043,0.5470173468847663
0.385,[0.35958885],0.385,0.24151281388652443,0.513315957142405
0.39,[0.35919396],0.39,0.24639778180494118,0.49098070522749343
0.395,[0.35882149],0.395,0.2510873510066213,0.46935576578026517
0.4,[0.35847086],0.4,0.2581217048091414,0.4329066400364994
0.405,[0.35814145],0.405,0.26202967914387476,0.41701988504882914
0.41000000000000003,[0.35783302],0.41000000000000003,0.26750084321250156,0.3900624691926284
0.41500000000000004,[0.35754499],0.41500000000000004,0.2759029880321784,0.3455972318372828
0.42,[0.35727651],0.42,0.2790293674999651,0.33344282858599295
0.425,[0.35702704],0.425,0.2870407148861686,0.29143558424731525
0.43,[0.35679588],0.43,0.29329347382174203,0.26123923860974857
0.435,[0.35658237],0.435,0.29935083404057883,0.23208918890020505
0.44,[0.35638619],0.44,0.30833917501046565,0.18876510911756256
0.445,[0.35620719],0.445,0.3143965352293024,0.16069201663017063
0.45,[0.35604542],0.45,0.31928150314771914,0.1380197211441611
0.455,[0.35590082],0.455,0.3227986800489792,0.12077811217213512
0.46,[0.35577319],0.46,0.32670665438371266,0.10303060850794504
0.465,[0.35566257],0.465,0.3335456094694961,0.07259654780701977
0.47000000000000003,[0.3555693],0.47000000000000003,0.3382351786711762,0.051282491151753845
0.47500000000000003,[0.35549367],0.47500000000000003,0.34233855172264627,0.0328612511270229
0.48,[0.3554359],0.48,0.346637323490853,0.014446047831127058
0.485,[0.35539623],0.485,0.35269468370968976,-0.012583747185446602
0.49,[0.35537528],0.49,0.35972903751220986,-0.04072301781195587
0.495,[0.3553742],0.495,0.36422320799715335,-0.056880647551162594
0.5,[0.35539389],0.5,0.36774038489841343,-0.07349266749097748
0.505,[0.35543386],0.505,0.37047596693272683,-0.08896959415336439
0.51,[0.35549317],0.51,0.37457933998419685,-0.10160141969285373
0.515,[0.35557154],0.515,0.37770571945198356,-0.11341933276110579
0.52,[0.35566851],0.52,0.3804413014862969,-0.12390529724231797
0.525,[0.35578306],0.525,0.382199889936927,-0.12880208178300945
0.53,[0.35591446],0.53,0.383958478387557,-0.12974649817181994
0.535,[0.35606262],0.535,0.3851308706879771,-0.12883466771543378
0.54,[0.35622716],0.54,0.3855216681214504,-0.12946222380083097
0.545,[0.35640668],0.545,0.38591246555492376,-0.12943024159411007
0.55,[0.35659967],0.55,0.3857170668381871,-0.12142144145268209
0.555,[0.35680455],0.555,0.3855216681214504,-0.123759425572542
