t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00099604],0.0,-0.03360857927870728,9.998999999999999
0.005,[0.00481207],0.005,-0.03360857927870728,10.098989999999999
0.01,[0.01195337],0.01,-0.03341318056197061,10.099989899999999
0.015,[0.02180189],0.015,-0.03360857927870728,10.099999898999998
0.02,[0.03379634],0.02,-0.03360857927870728,10.099999998989999
0.025,[0.04743433],0.025,-0.03360857927870728,-3.9118686037208525
0.03,[0.0622688],0.03,-0.03360857927870728,-10.038118686037206
0.035,[0.07790439],0.035,-0.03360857927870728,-10.09938118686037
0.04,[0.09399703],0.04,-0.03360857927870728,-10.099993811868602
0.045,[0.11024958],0.045,-0.03341318056197061,-10.099999938118685
0.05,[0.12640874],0.05,-0.03341318056197061,-10.099999999381186
0.055,[0.14226474],0.055,-0.03360857927870728,-10.09999999999381
0.06,[0.15764369],0.06,-0.03341318056197061,-10.099999999999937
0.065,[0.17240251],0.065,-0.03360857927870728,-10.099999999999998
0.07,[0.18642788],0.07,-0.03360857927870728,-10.099999999999998
0.075,[0.1996318],0.075,-0.03360857927870728,-10.099999999999998
0.08,[0.21194949],0.08,-0.03360857927870728,-5.100499999999999
0.085,[0.22333763],0.085,-0.03360857927870728,-5.050504999999999
0.09,[0.23377648],0.09,-0.03341318056197061,-5.050005049999999
0.095,[0.24326182],0.095,-0.03360857927870728,-5.0500000505
0.1,[0.25179272],0.1,-0.03360857927870728,-5.050000000504999
0.105,[0.25938119],0.105,-0.03360857927870728,-5.050000000005049
0.11,[0.26605488],0.11,-0.03341318056197061,-5.05000000000005
0.115,[0.27184965],0.115,-0.03360857927870728,-5.05
0.12,[0.27680864],0.12,-0.03341318056197061,-5.809210996308961
0.125,[0.28097997],0.125,-0.03360857927870728,-2.411419457651561
0.13,[0.28441247],0.13,-0.03360857927870728,-0.8918019991033362
0.135,[0.28715761],0.135,-0.03360857927870728,1.1121715635420837
0.14,[0.2892741],0.14,-0.03360857927870728,2.429546506222048
0.145,[0.29082155],0.145,-0.03263158569502393,3.3079248331485256
0.15,[0.29185612],0.15,-0.02911440879376387,3.869273853367525
