t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.0008447],0.0,-0.05138986250174427,9.998999999999999
0.005,[0.00408218],0.005,-0.05138986250174427,10.098989999999999
0.01,[0.01014584],0.01,-0.05158526121848094,10.099989899999999
0.015,[0.01852086],0.015,-0.05158526121848094,10.099999898999998
0.02,[0.02874196],0.02,-0.05138986250174427,10.099999998989999
0.025,[0.04039173],0.025,-0.05138986250174427,4.460027837652981
0.03,[0.0530987],0.03,-0.05138986250174427,-9.954399721623469
0.035,[0.06653505],0.035,-0.04963127405111425,-10.098543997216234
0.04,[0.08041409],0.04,-0.04748188816701086,-10.09998543997216
0.045,[0.09448768],0.045,-0.04552790099964417,-10.099999854399721
0.05,[0.10854345],0.05,-0.04298771768206745,-10.099999998543996
0.055,[0.12240203],0.055,-0.039470540780807396,-10.099999999985439
0.06,[0.13591428],0.06,-0.03693035746323068,-10.099999999999854
0.065,[0.14895856],0.065,-0.0347809715791273,-10.099999999999998
0.07,[0.16143809],0.07,-0.03302238312849727,-10.099999999999998
0.075,[0.17327832],0.075,-0.031849990828077254,-10.099999999999998
0.08,[0.18442452],0.08,-0.03106839596113057,-5.100499999999999
0.085,[0.19483939],0.085,-0.030482199810920558,-5.050504999999999
0.09,[0.20450087],0.09,-0.02989600366071055,-5.050005049999999
0.095,[0.21340004],0.095,-0.02950520622723721,-5.0500000505
0.1,[0.22153926],0.1,-0.02911440879376387,-5.050000000504999
0.105,[0.22893035],0.105,-0.02911440879376387,-5.050000000005049
0.11,[0.235593],0.11,-0.02911440879376387,-7.026417949373548
0.115,[0.2415533],0.115,-0.02911440879376387,-4.728735918520264
0.12,[0.24684242],0.12,-0.02911440879376387,-3.0129859418321177
0.125,[0.2514954],0.125,-0.02911440879376387,-1.7680033216967055
0.13,[0.25555012],0.13,-0.02911440879376387,-0.8722702057370453
0.135,[0.25904638],0.135,-0.02911440879376387,-0.23357143326398003
0.14,[0.26202505],0.14,-0.02911440879376387,0.23525642181867706
0.145,[0.26452741],0.145,-0.02911440879376387,0.5966142338096657
0.15,[0.26659455],0.15,-0.0289190100770272,0.8571581315405903
0.155,[0.26826682],0.155,-0.028332813926817187,1.0421032548291667
0.16,[0.2695835],0.16,-0.026378826759450486,1.1654833248238923
0.165,[0.27058237],0.165,-0.023447846008400428,1.2429047710019752
0.17,[0.2712995],0.17,-0.017976681939773663,1.2755289115371231
0.17500000000000002,[0.27176899],0.17500000000000002,-0.012505517871146895,1.2855221380126813
0.18,[0.27202292],0.18,-0.00820674610294015,1.2877849460492412
0.185,[0.27209116],0.185,-0.0033217781845233945,1.2749864188690025
0.19,[0.2720014],0.19,0.0005861961502100108,1.2612758453728536
0.195,[0.27177903],0.195,0.005666562785363437,1.2367308720178223
0.2,[0.27144723],0.2,0.010942328137253534,1.2073441114459567
0.20500000000000002,[0.27102696],0.20500000000000002,0.01582729605567029,1.1765633312164885
0.21,[0.27053709],0.21,0.02129846012429706,1.1422393948481377
0.215,[0.26999442],0.215,0.026965022909660494,1.1049718644106452
0.22,[0.26941379],0.22,0.03263158569502393,1.0691861467644745
0.225,[0.26880822],0.225,0.0381027497636507,1.0355096134976296
0.23,[0.268189],0.23,0.04396471126575081,1.000526057120482
0.23500000000000001,[0.26756583],0.23500000000000001,0.04884967918416756,0.9714662291548244
0.24,[0.26694691],0.24,0.05412544453605766,0.9425404032939806
0.245,[0.26633912],0.245,0.05959660860468442,0.9136005958446344
0.25,[0.26574806],0.25,0.06584936754025787,0.8802417982103571
0.255,[0.26517823],0.255,0.07151593032562131,0.8511549254476941
0.26,[0.26463307],0.26,0.07991807514529814,0.8002340428510512
0.265,[0.26411511],0.265,0.08421684691350488,0.7805296645411828
0.27,[0.26362628],0.27,0.08812482124823828,0.7731871865225032
0.275,[0.26316786],0.275,0.09515917505075841,0.737118006754334
0.28,[0.26274047],0.28,0.0984809532352818,0.7373139656496824
0.28500000000000003,[0.26234437],0.28500000000000003,0.10258432628675188,0.7344067746593111
0.29,[0.26197937],0.29,0.10961868008927202,0.7041706034609331
0.295,[0.26164476],0.295,0.11528524287463544,0.6736081199066871
0.3,[0.26133963],0.3,0.11938861592610552,0.6644575339754063
0.305,[0.26106292],0.305,0.12407818512778561,0.638689900662132
0.31,[0.26081337],0.31,0.12954934919641237,0.6119114016501306
0.315,[0.26058956],0.315,0.13502051326503914,0.588320300536444
0.32,[0.26039001],0.32,0.14068707605040257,0.5631116308418523
0.325,[0.26021318],0.325,0.14615824011902934,0.5362984325599033
0.33,[0.26005754],0.33,0.1516294041876561,0.5098818529199717
0.335,[0.25992156],0.335,0.1563189733893362,0.4871963125137041
0.34,[0.25980374],0.34,0.16120394130775295,0.4633319036413029
0.34500000000000003,[0.25970267],0.34500000000000003,0.16589351050943302,0.4398267780037397
0.35000000000000003,[0.25961695],0.35000000000000003,0.17038768099437648,0.4161904743205705
0.355,[0.25954527],0.355,0.17507725019605655,0.3906989349632484
0.36,[0.25948636],0.36,0.1799622181144733,0.3634732330327001
0.365,[0.259439],0.365,0.18426098988268005,0.33863624772162026
0.37,[0.25940206],0.37,0.18934135651783346,0.30985229052165697
0.375,[0.25937446],0.375,0.1950079193031969,0.2782908882368972
0.38,[0.25935519],0.38,0.20008828593835032,0.25204541344143166
0.385,[0.2593433],0.385,0.20575484872371377,0.22382308248986185
0.39,[0.25933789],0.39,0.21181220894255054,0.19360014414691964
0.395,[0.25933811],0.395,0.21728337301117734,0.16621211469478803
0.4,[0.25934313],0.4,0.2225591383630674,0.1397620080961973
0.405,[0.25935217],0.405,0.22744410628148415,0.11522209960483037
