t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00567393],0.0,-0.05275765351890097,9.998999999999999
0.005,[0.02742027],0.005,-0.05275765351890097,10.098989999999999
0.01,[0.06814978],0.01,-0.05275765351890097,10.099989899999999
0.015,[0.12440304],0.015,-0.05275765351890097,10.099999898999998
0.02,[0.19305263],0.02,-0.05275765351890097,10.099999998989999
0.025,[0.27129228],0.025,-0.05275765351890097,10.0999999999899
0.03,[0.35662351],0.03,-0.05275765351890097,-9.8980000000001
0.035,[0.44684046],0.035,-0.05275765351890097,-10.09798
0.04,[0.54001286],0.04,-0.05275765351890097,-10.099979799999998
0.045,[0.63446892],0.045,-0.05275765351890097,-10.099999797999999
0.05,[0.72877723],0.05,-0.05275765351890097,-5.100499997979999
0.055,[0.82172745],0.055,-0.05275765351890097,-5.0505049999797995
0.06,[0.91231139],0.06,-0.05275765351890097,-5.050005049999798
0.065,[0.9997018],0.065,-0.05275765351890097,-5.050000050499998
0.07,[1.08323547],0.07,-0.05275765351890097,-5.050000000504999
0.075,[1.16240286],0.075,-0.052953052235637635,-5.050000000005049
0.08,[1.23683134],0.08,-0.05275765351890097,-5.05000000000005
0.085,[1.30626568],0.085,-0.052953052235637635,-5.05
0.09,[1.37055196],0.09,-0.05275765351890097,-5.05
0.095,[1.42962378],0.095,-0.052953052235637635,-5.05
0.1,[1.48349343],0.1,-0.052953052235637635,-5.05
0.105,[1.5322398],0.105,-0.052953052235637635,-5.05
0.11,[1.57599317],0.11,-0.052953052235637635,-5.05
0.115,[1.61492564],0.115,-0.052953052235637635,-5.05
0.12,[1.64924374],0.12,-0.05314845095237431,-5.05
0.125,[1.67918051],0.125,-0.05314845095237431,-5.05
0.13,[1.70498843],0.13,-0.052953052235637635,-5.05
0.135,[1.72693323],0.135,-0.05314845095237431,-5.05
0.14,[1.74528844],0.14,-0.05314845095237431,-4.938819991906283
0.145,[1.76033072],0.145,-0.05314845095237431,-2.3640647233906718
0.15,[1.77233586],0.15,-0.05314845095237431,-0.3900027404478813
0.155,[1.7815754],0.155,-0.05314845095237431,1.1196537838382028
0.16,[1.78831302],0.16,-0.05314845095237431,2.08043588954299
0.165,[1.7928032],0.165,-0.05236685608542762,3.120062457509216
0.17,[1.79529019],0.17,-0.04865428046743089,3.6910358767628795
0.17500000000000002,[1.79600569],0.17500000000000002,-0.04376931254901414,4.40911387776102
0.18,[1.79516866],0.18,-0.038884344630597374,4.937675857487754
0.185,[1.79298363],0.185,-0.03321778184523394,5.507642740193622
0.19,[1.78962763],0.19,-0.023447846008400428,3.1340216560833998
0.195,[1.78525466],0.195,-0.018562878089983675,2.8780701705607568
0.2,[1.78001833],0.2,-0.012505517871146895,2.4475896817772083
0.20500000000000002,[1.77406638],0.20500000000000002,-0.006643556369046789,2.609979392425623
0.21,[1.76753267],0.21,-0.0013677910171566918,3.0400434724759653
0.215,[1.76054096],0.215,0.0031263794677867237,6.0263202106155624
0.22,[1.75320656],0.22,0.0076205499527301395,7.85709225436633
0.225,[1.7456383],0.225,0.011528524287463544,9.862261824102077
0.23,[1.73792828],0.23,0.01758588450630032,10.097622618241019
0.23500000000000001,[1.73014622],0.23500000000000001,0.022666251141453746,10.09997622618241
0.24,[1.72235367],0.24,0.026574225476187156,10.099999762261822
0.245,[1.71460651],0.245,0.031849990828077254,9.185641060485809
0.25,[1.70694503],0.25,0.03790735104691403,7.646883941153902
0.255,[1.69939846],0.255,0.04279231896533078,7.331732688979315
0.26,[1.69199219],0.26,0.04826348303395755,7.002418150373243
0.265,[1.68474615],0.265,0.053343849669110974,6.466330497520629
0.27,[1.6776746],0.27,0.05901041245447442,6.377317972575554
0.275,[1.67078807],0.275,0.06389538037289116,6.65422380011362
0.28,[1.66409404],0.28,0.07014813930846461,6.842603107174523
0.28500000000000003,[1.65759157],0.28500000000000003,0.0781594866946681,6.474576002965356
0.29,[1.65127611],0.29,0.0820674610294015,6.875684252069421
0.295,[1.64515192],0.295,0.08773402381476494,7.2257326474789245
0.3,[1.63922719],0.3,0.09183739686623502,7.82159197094619
0.305,[1.63350666],0.305,0.09789475708507178,8.03683322830569
0.31,[1.62799105],0.31,0.10258432628675188,8.781253588251621
0.315,[1.6226806],0.315,0.1076646929219053,8.827924206814368
0.32,[1.61757511],0.32,0.1135266544240054,8.804017148543284
0.325,[1.61266976],0.325,0.12075640694326222,8.358272410958705
0.33,[1.60795579],0.33,0.12700916587883565,8.122648213628821
0.335,[1.60342435],0.335,0.13404351968135578,7.7944755153483385
0.34,[1.59907066],0.34,0.1404916773336659,7.6830477245375945
0.34500000000000003,[1.59489599],0.34500000000000003,0.14596284140229268,5.076330477245375
0.35000000000000003,[1.5909043],0.35000000000000003,0.15123860675418274,5.050263304772453
0.355,[1.58709889],0.355,0.15651437210607286,5.050002633047724
0.36,[1.58348234],0.36,0.16198553617469966,5.050000026330476
0.365,[1.58005653],0.365,0.16765209896006306,5.050000000263304
0.37,[1.57682267],0.37,0.17234166816174315,5.050000000002632
0.375,[1.57378128],0.375,0.17781283223036992,6.844593860488086
0.38,[1.57093242],0.38,0.18367479373247003,6.77689602726137
0.385,[1.56827592],0.385,0.18797356550067676,6.761291255561694
0.39,[1.56581043],0.39,0.1950079193031969,6.724144084079137
0.395,[1.56353299],0.395,0.19989288722161366,6.704468061441693
0.4,[1.56144038],0.4,0.2043870577065571,6.6876018841219675
0.405,[1.55952935],0.405,0.2108352153588672,6.6590642904220845
0.41000000000000003,[1.55779591],0.41000000000000003,0.2166971768609673,6.634332871411805
0.41500000000000004,[1.55623554],0.41500000000000004,0.22275453707980408,6.608531219679487
0.42,[1.55484337],0.42,0.22900729601537753,6.582257121085899
0.425,[1.55361435],0.425,0.23545545366768764,6.556332182696405
0.43,[1.5525432],0.43,0.24073121901957772,6.53437503092601
0.435,[1.55162425],0.435,0.24678857923841455,6.509167314809976
0.44,[1.55085242],0.44,0.25460452790788135,6.485132291071577
0.445,[1.55022317],0.445,0.2604664894099814,6.45738513179075
0.45,[1.54973052],0.45,0.26496065989492484,6.437180195896272
0.455,[1.54936728],0.455,0.27121341883049827,6.408973458772169
0.46,[1.54912621],0.46,0.27629378546565175,6.386983325781644
0.465,[1.54900009],0.465,0.28176494953427844,6.363508376290565
0.47000000000000003,[1.54898054],0.47000000000000003,0.2854775251522752,6.335653609436366
0.47500000000000003,[1.54905779],0.47500000000000003,0.28997169563721864,6.316087885757439
0.48,[1.54922261],0.48,0.29387966997195203,6.29680070715928
0.485,[1.54946726],0.485,0.29896003660710546,6.280925455751059
0.49,[1.54978559],0.49,0.3044312006757322,6.261790385931132
0.495,[1.55017246],0.495,0.3100977634610957,6.240681948036379
0.5,[1.55062326],0.5,0.3167413198301425,6.2183622701985515
0.505,[1.55113349],0.505,0.32143088903182254,6.1950248332224485
0.51,[1.55169794],0.51,0.326511255666976,6.175495879972108
0.515,[1.55231163],0.515,0.33120082486865604,6.157756856373673
0.52,[1.55297025],0.52,0.3368673876540195,6.134689428697818
0.525,[1.55366964],0.525,0.34233855172264627,6.112399818342291
0.53,[1.55440587],0.53,0.3474189183577997,6.0919630495409915
0.535,[1.55517519],0.535,0.3530854811431631,6.068772421765949
0.54,[1.55597406],0.54,0.35972903751220986,6.040477471450173
0.545,[1.55679987],0.545,0.3655909990143101,6.023048993765887
0.55,[1.55765097],0.55,0.37164835923314676,5.998275802223503
0.555,[1.55852448],0.555,0.3759471310013535,5.970292232960358
0.56,[1.55941838],0.56,0.3849354719712404,5.957358215343318
0.5650000000000001,[1.56033413],0.5650000000000001,0.3906020347566038,5.9311323511009775
0.5700000000000001,[1.56127215],0.5700000000000001,0.3960731988252306,5.909539816105829
0.5750000000000001,[1.56223062],0.5750000000000001,0.40154436289385737,5.883551453765454
0.58,[1.56320681],0.58,0.4068201282457474,5.855104417411028
0.585,[1.56419793],0.585,0.4122912923143742,5.838744109620834
0.59,[1.56520268],0.59,0.4175670576662643,5.817221398819848
0.595,[1.56622001],0.595,0.4247968101855211,5.786729625852092
0.6,[1.56724862],0.6,0.43026797425414787,5.765357915204234
0.605,[1.56828976],0.605,0.43808392292361464,5.7562291037936175
0.61,[1.56934522],0.61,0.44218729597508477,5.718873629910821
0.615,[1.57041194],0.615,0.44668146646002815,5.695870627515344
0.62,[1.57148606],0.62,0.4523480292453916,5.676391412051324
0.625,[1.5725677],0.625,0.45879618689770174,5.6639094965904775
0.63,[1.57365769],0.63,0.4627041612324352,5.637092838605976
0.635,[1.57475453],0.635,0.46837072401779856,5.617074398682163
0.64,[1.57585694],0.64,0.47345109065295204,5.599583246031068
0.645,[1.57696498],0.645,0.4795084508717888,5.576749122788783
0.65,[1.5780787],0.65,0.4851750136571522,5.555416537616522
0.655,[1.57920199],0.655,0.49377255719356566,5.558238371614296
0.66,[1.58034019],0.66,0.4982667276785091,5.5137720271712265
0.665,[1.58149385],0.665,0.5049102840475559,5.501199287750675
0.67,[1.58266122],0.67,0.5088182583822893,5.464643223501186
0.675,[1.58383681],0.675,0.511944637850076,5.4307027902004235
0.68,[1.58501527],0.68,0.5191743903693328,5.4269084293493695
0.685,[1.58619648],0.685,0.5234731621375396,5.397243533625372
0.6900000000000001,[1.58737885],0.6900000000000001,0.5281627313392196,5.3769869151027265
0.6950000000000001,[1.58856058],0.6950000000000001,0.5350016864250031,5.360264748838016
0.7000000000000001,[1.58974198],0.7000000000000001,0.5387142620429999,5.340772724911476
0.705,[1.59092246],0.705,0.5445762235450999,5.320038387248499
0.71,[1.59210155],0.71,0.5500473876137267,5.3006334104957435
0.715,[1.59328329],0.715,0.5592311273003503,5.300018233556505
0.72,[1.59447316],0.72,0.5633345003518203,5.258356028341008
0.725,[1.59566871],0.725,0.5670470759698171,5.2274389011848665
0.73,[1.59686785],0.73,0.5754492207894939,5.231602957183796
0.735,[1.59807579],0.735,0.5817019797250673,5.199824594960391
0.74,[1.59929518],0.74,0.5873685425104307,5.173147188119803
0.745,[1.60052484],0.745,0.5928397065790576,5.149775801858854
0.75,[1.60176398],0.75,0.5985062693644211,5.126962220077341
0.755,[1.60301209],0.755,0.6039774334330478,5.106254932630118
0.76,[1.604269],0.76,0.6094485975016745,5.086426533181169
0.765,[1.60553382],0.765,0.6139427679866178,5.061780743510479
0.77,[1.60680606],0.77,0.6200001282054547,5.0533242989775
0.775,[1.60808764],0.775,0.6260574884242914,5.031366943191272
0.78,[1.60938048],0.78,0.6315286524929183,5.012544951628795
0.785,[1.61068546],0.785,0.6377814114284917,4.990385282581681
0.79,[1.61200738],0.79,0.6459881575314318,4.995396470356384
0.795,[1.6133558],0.795,0.6526317139004786,4.97489167082225
0.8,[1.61473666],0.8,0.6582982766858421,4.9461928958815555
0.805,[1.61614998],0.805,0.6635740420377321,4.922864817338247
0.81,[1.61759446],0.81,0.670217598406779,4.895017453330598
0.8150000000000001,[1.61906906],0.8150000000000001,0.6756887624754058,4.874700281884826
0.8200000000000001,[1.62057294],0.8200000000000001,0.6811599265440325,4.855664284531287
0.8250000000000001,[1.62210544],0.8250000000000001,0.6860448944624493,4.840309721531957
0.8300000000000001,[1.623666],0.8300000000000001,0.691516058531076,4.822513395505681
0.835,[1.62525407],0.835,0.6973780200331761,4.80307455790554
0.84,[1.62686909],0.84,0.702849184101803,4.7852706533106195
0.845,[1.62851284],0.845,0.7102743353377963,4.7798654028149
0.85,[1.63018657],0.85,0.7137915122390565,4.742456988039819
0.855,[1.63188639],0.855,0.7200442711746298,4.726217234606027
0.86,[1.6336086],0.86,0.7247338403763098,4.70749311940171
0.865,[1.63535175],0.865,0.7307912005951467,4.691173678762957
0.87,[1.63711417],0.87,0.7358715672303001,4.6697651590146
0.875,[1.63889369],0.875,0.7407565351487168,4.654642950294503
0.88,[1.64068809],0.88,0.7458369017838703,4.638380726616972
0.885,[1.64249572],0.885,0.7515034645692338,4.619169303948766
0.89,[1.64431497],0.89,0.7573654260713338,4.598923936279811
0.895,[1.64614436],0.895,0.762054995273014,4.584795678864026
0.9,[1.64798263],0.9,0.7671353619081673,4.569164592838059
0.905,[1.64982874],0.905,0.7737789182772141,4.546185844281028
0.91,[1.65168196],0.91,0.7794454810625776,4.528393144570627
0.915,[1.65354184],0.915,0.7847212464144676,4.513012940648095
0.92,[1.65540829],0.92,0.7898016130496212,4.499040548801988
0.925,[1.65728152],0.925,0.7944911822513011,4.487414232201716
0.93,[1.65916209],0.93,0.7997669476031912,4.473282518023743
0.935,[1.66105083],0.935,0.8054335103885547,4.457536773188243
0.9400000000000001,[1.66294887],0.9400000000000001,0.8112954718906548,4.441125972951097
0.9450000000000001,[1.6648576],0.9450000000000001,0.8167666359592817,4.426936297462447
0.9500000000000001,[1.66677864],0.9500000000000001,0.8232147936115918,4.408203643702829
0.9550000000000001,[1.66871382],0.9550000000000001,0.8282951602467451,4.3964454238190775
0.96,[1.67066512],0.96,0.8339617230321086,4.382080219830153
0.965,[1.67264249],0.965,0.843145462718732,4.406504130534462
0.97,[1.67466263],0.97,0.8493982216543056,4.375457137141453
0.975,[1.67673231],0.975,0.8552601831564056,4.349742759057002
0.98,[1.67885118],0.98,0.8619037395254524,4.333841391825234
0.985,[1.6810189],0.985,0.8663979100103958,4.306729113982619
0.99,[1.68323204],0.99,0.8720644727957593,4.290162250890262
0.995,[1.68548764],0.995,0.878121833014596,4.272608773297017
1.0,[1.6877936],1.0,0.8867193765510096,4.292991860625625
1.0050000000000001,[1.6901654],1.0050000000000001,0.8923859393363729,4.266704163517652
1.01,[1.69260693],1.01,0.8980525021217365,4.242637655545518
1.0150000000000001,[1.69511211],1.0150000000000001,0.9045006597740466,4.217343980642756
1.02,[1.69767529],1.02,0.9105580199928834,4.19614981628442
1.025,[1.70029295],1.025,0.9168107789284567,4.185747475002176
1.03,[1.70296168],1.03,0.9213049494134001,4.162204568849637
1.035,[1.70568425],1.035,0.9306840878167605,4.173336709700328
1.04,[1.70847213],1.04,0.9369368467523338,4.147459982558451
1.045,[1.7113268],1.045,0.9429942069711705,4.123807810046141
1.05,[1.71423945],1.05,0.948660769756534,4.1044105984010475
1.055,[1.71721091],1.055,0.9574537120096842,4.102797399374022
1.06,[1.72024759],1.06,0.9625340786448376,4.076114274766259
1.065,[1.72334278],1.065,0.9674190465632543,4.059683440889353
1.07,[1.72647938],1.07,0.971131622181251,4.027580830480463
1.075,[1.72963959],1.075,0.9758211913829312,4.0156330680446395
1.08,[1.73281883],1.08,0.9844187349193447,4.032477156071929
1.085,[1.73602372],1.085,0.9891083041210248,4.007779080169207
1.09,[1.73925006],1.09,0.9939932720394414,3.9909539753272427
1.095,[1.74249571],1.095,1.0018092207089084,4.00215871407712
1.1,[1.74577047],1.1,1.0072803847775351,3.986122964820682
1.105,[1.74907295],1.105,1.0113837578290052,3.9596701480556824
1.11,[1.75239457],1.11,1.0186135103482619,3.9600962504891086
1.115,[1.7557356],1.115,1.0236938769834154,3.946812390384952
1.12,[1.75909627],1.12,1.0297512372022521,3.933408637753375
1.125,[1.76247356],1.125,1.0354177999876155,3.9204843652475403
1.1300000000000001,[1.76586248],1.1300000000000001,1.0397165717558223,3.9032907851966505
1.135,[1.7692527],1.135,1.0438199448072925,3.8845677323429197
1.1400000000000001,[1.77263836],1.1400000000000001,1.0506588998930757,3.89374477989482
1.145,[1.77601699],1.145,1.053589880644126,3.856921436268287
1.1500000000000001,[1.77937732],1.1500000000000001,1.0580840511290694,3.8505380576205286
1.155,[1.78271117],1.155,1.0623828228972763,3.858245983553868
1.16,[1.78602075],1.16,1.0680493856826394,3.854602008246462
1.165,[1.78931004],1.165,1.0735205497512663,3.8484853773450305
1.17,[1.79258243],1.17,1.0797733086868397,3.8365871719951494
1.175,[1.79584539],1.175,1.08739385863957,3.8363145902771505
1.18,[1.79910538],1.18,1.0911064342575667,3.809121056391307
1.185,[1.80235818],1.185,1.0954052060257735,3.8029877256667968
1.19,[1.80559914],1.19,1.1016579649613467,3.78916200170417
1.195,[1.80882865],1.195,1.106933730313237,3.778851597840589
1.2,[1.8120471],1.2,1.1114279007981802,3.771704377890923
1.205,[1.81525443],1.205,1.1165082674333338,3.7612355878010906
1.21,[1.81845019],1.21,1.121588634068487,3.750170995394977
1.215,[1.82162722],1.215,1.124519614819537,3.706016752551623
1.22,[1.82477913],1.22,1.1321401647722673,3.7349272245848226
1.225,[1.82791052],1.225,1.1372205314074209,3.705713378109138
1.23,[1.83101752],1.23,1.1403469108752076,3.6681666941996376
1.235,[1.83409068],1.235,1.1467950685275177,3.682718056395572
1.24,[1.83713069],1.24,1.1510938402957245,3.6642329469485584
1.245,[1.84013579],1.245,1.1559788082141411,3.6370955464337977
1.25,[1.84310354],1.25,1.162622364583188,3.6471089776150722
1.2550000000000001,[1.84603868],1.2550000000000001,1.1675073325016045,3.631304013152436
1.26,[1.8489428],1.26,1.1727830978534948,3.6069256039954727
1.2650000000000001,[1.85181116],1.2650000000000001,1.1764956734714915,3.5876479751115915
