t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.0039567],0.0,0.0,9.998999999999999
0.005,[0.0191215],0.005,0.0,10.098989999999999
0.01,[0.04752464],0.01,0.0,10.099989899999999
0.015,[0.08675476],0.015,0.00019539871673667023,10.099999898999998
0.02,[0.13463247],0.02,0.0,10.099999998989999
0.025,[0.18920275],0.025,0.0,10.0999999999899
0.03,[0.24872564],0.03,0.0,-9.8980000000001
0.035,[0.3116656],0.035,0.00019539871673667023,-10.09798
0.04,[0.37667985],0.04,0.0,-10.099979799999998
0.045,[0.44260598],0.045,0.0,-10.099999797999999
0.05,[0.5084492],0.05,0.0,-5.100499997979999
0.055,[0.57336936],0.055,0.0,-5.0505049999797995
0.06,[0.63666793],0.06,0.0,-5.050005049999798
0.065,[0.69777521],0.065,0.0,-5.050000050499998
0.07,[0.75623784],0.07,0.0,-5.050000000504999
0.075,[0.81170667],0.075,0.0,-5.050000000005049
0.08,[0.86392525],0.08,0.0,-5.05000000000005
0.085,[0.91271881],0.085,0.00019539871673667023,-5.05
0.09,[0.95798392],0.09,0.00019539871673667023,-5.05
0.095,[0.99967884],0.095,0.0,-5.05
0.1,[1.0378145],0.1,0.0,-5.05
0.105,[1.07244627],0.105,0.0,-5.05
0.11,[1.10366636],0.11,0.0,-5.05
0.115,[1.13159693],0.115,0.0,-5.05
0.12,[1.15638392],0.12,0.0,-5.05
0.125,[1.17819145],0.125,0.0,-5.05
0.13,[1.19719691],0.13,0.0,-4.7623946003723345
0.135,[1.21358661],0.135,0.0,-1.7953016995419089
0.14,[1.22755198],0.14,0.0,0.4093839932119665
0.145,[1.23928632],0.145,0.0,2.099464972031674
0.15,[1.24898199],0.15,0.00039079743347334047,3.3199132370862587
0.155,[1.25682805],0.155,0.0027355820343133836,4.188746113713023
0.16,[1.26300837],0.16,0.007425151235993469,4.796124856373355
0.165,[1.26770001],0.165,0.012505517871146895,5.219511639649042
0.17,[1.27107195],0.17,0.017781283223036994,5.509688957153418
0.17500000000000002,[1.27328424],0.17500000000000002,0.024034042158610443,5.697817782443404
0.18,[1.27448719],0.18,0.02950520622723721,5.823951706884623
0.185,[1.27482104],0.185,0.03536716772933732,5.900210418979562
0.19,[1.2744156],0.19,0.0433785151155408,5.932137331101145
0.195,[1.27339023],0.195,0.04943587533437757,5.9491625573371865
0.2,[1.27185391],0.2,0.05549323555321435,5.948638240010949
0.20500000000000002,[1.26990541],0.20500000000000002,0.06037820347163111,5.940968308384646
0.21,[1.2676336],0.21,0.06448157652310119,5.927639349388724
0.215,[1.2651178],0.215,0.0695619431582546,5.902995785030317
0.22,[1.26242827],0.22,0.07640089824403806,5.864755290936714
0.225,[1.25962666],0.225,0.0814812648791915,5.831771275603296
0.23,[1.25676657],0.23,0.08734322638129159,5.792573923267238
0.23500000000000001,[1.25389408],0.23500000000000001,0.0932051878833917,5.752151756287978
0.24,[1.25104831],0.24,0.09809015580180845,5.7155225004412475
0.245,[1.248262],0.245,0.10395211730390858,5.673790157192
0.25,[1.24556207],0.25,0.11000947752274534,5.631036729713323
0.255,[1.24297017],0.255,0.11645763517505547,5.586567522757215
0.26,[1.24050319],0.26,0.12368738769431226,5.538785837550478
0.265,[1.23817381],0.265,0.13052634278009573,5.4933501139146825
0.27,[1.23599096],0.27,0.1365837029989325,5.452213234927818
0.275,[1.23396031],0.275,0.14322725936797928,5.408961893693395
0.28,[1.23208467],0.28,0.14889382215334274,5.371274169835863
0.28500000000000003,[1.23036442],0.28500000000000003,0.15397418878849614,5.337293920637223
0.29,[1.22879784],0.29,0.15983615029059628,5.300397305950609
0.295,[1.22738152],0.295,0.16569811179269636,5.264117364655625
0.3,[1.22611061],0.3,0.1705830797111131,5.233176675610605
0.305,[1.22497913],0.305,0.17507725019605655,5.204971326032383
0.31,[1.22398021],0.31,0.18074381298141998,5.171673452399267
0.315,[1.22310634],0.315,0.18758276806720342,5.133152970658313
0.32,[1.22234953],0.32,0.19285853341909354,5.102903230544351
0.325,[1.22170151],0.325,0.1975481026207736,5.076178855720405
0.33,[1.2211539],0.33,0.2028238679726637,5.047085978102359
0.335,[1.22069828],0.335,0.20849043075802715,5.016490633345222
0.34,[1.22032636],0.34,0.21689257557770397,4.9727534605042845
0.34500000000000003,[1.22003004],0.34500000000000003,0.22001895504549068,4.9553740449331745
0.35000000000000003,[1.21980148],0.35000000000000003,0.22509932168064412,4.928921331859717
0.355,[1.21963319],0.355,0.2303750870325342,4.9017089118354225
0.36,[1.21951805],0.36,0.23565085238442432,4.874581106276017
0.365,[1.21944934],0.365,0.24073121901957772,4.8487365741297666
0.37,[1.21942079],0.37,0.24796097153883453,4.81250685986356
0.375,[1.21942656],0.375,0.25186894587356795,4.792807350226965
0.38,[1.21946129],0.38,0.2563631163585114,4.770525449599275
0.385,[1.21952006],0.385,0.26202967914387476,4.742538691083842
0.39,[1.21959838],0.39,0.2673054444957649,4.71652884281348
0.395,[1.21969224],0.395,0.27160421626397163,4.695453087971855
0.4,[1.21979802],0.4,0.27687998161586175,4.669479411807359
0.405,[1.2199125],0.405,0.28215574696775186,4.643756387873041
0.41000000000000003,[1.22003286],0.41000000000000003,0.2887993033367986,4.611251881456173
0.41500000000000004,[1.22015664],0.41500000000000004,0.29368427125521535,4.5872095277638145
0.42,[1.2202817],0.42,0.30032782762426213,4.554800006885132
0.425,[1.22040622],0.425,0.30579899169288893,4.527892686852464
0.43,[1.22052868],0.43,0.3106839596113057,4.5039955221562185
0.435,[1.22064782],0.435,0.31713211726361584,4.472602307861346
0.44,[1.22076261],0.44,0.32104009159834923,4.453606240650323
0.445,[1.22087227],0.445,0.328269844117606,4.418328899994496
0.45,[1.2209762],0.45,0.3325686158858127,4.39727780725438
0.455,[1.22107399],0.455,0.3378443812377029,4.371551944748597
0.46,[1.22116539],0.46,0.3435109440230663,4.343868134144813
0.465,[1.22125034],0.465,0.35230388627621645,4.301248332077799
0.47000000000000003,[1.22132892],0.47000000000000003,0.3569934554778965,4.278155590357693
0.47500000000000003,[1.22140132],0.47500000000000003,0.3636370118469433,4.24569699160065
0.48,[1.22146782],0.48,0.37203915666662013,4.2048050928672325
0.485,[1.22152884],0.485,0.3782919156021936,4.174120185010604
0.49,[1.22158486],0.49,0.3841538771042937,4.1453977463143525
0.495,[1.22163638],0.495,0.3900158386063938,4.116935667752658
0.5,[1.22168394],0.5,0.39646399625870393,4.085325789794719
0.505,[1.2217281],0.505,0.4019351603273307,4.058812127256117
0.51,[1.22176951],0.51,0.4089695141298508,4.025225760882521
0.515,[1.22180907],0.515,0.4163946653658443,3.9911306105906843
0.52,[1.22184789],0.52,0.4216704307177344,3.96551806343234
0.525,[1.22188687],0.525,0.42792318965330783,3.935626838850341
0.53,[1.2219268],0.53,0.4331989550051979,3.910538229215816
0.535,[1.22196851],0.535,0.439060916507298,3.8827635310747532
0.54,[1.22201292],0.54,0.4453136754428715,3.853603228911306
0.545,[1.22206094],0.545,0.45000324464455155,3.830994619595055
0.55,[1.2221134],0.55,0.45566980742991503,3.8046011713162753
0.555,[1.22217112],0.555,0.4613363702152784,3.778269167291879
0.56,[1.22223512],0.56,0.4679799265843252,3.7486001706772063
0.5650000000000001,[1.22230673],0.5650000000000001,0.4736464893696886,3.7242378606543776
0.5700000000000001,[1.22238704],0.5700000000000001,0.4779452611378954,3.7019078942739925
0.5750000000000001,[1.22247665],0.5750000000000001,0.48380722263999554,3.6757133840897445
0.58,[1.22257598],0.58,0.4877151969747289,3.6557805344069423
0.585,[1.22268537],0.585,0.492990962326619,3.63251233518791
0.59,[1.22280548],0.59,0.49963451869566583,3.6036982825482236
0.595,[1.2229372],0.595,0.5041286891806092,3.5826481264995556
0.6,[1.22308119],0.6,0.5090136570990259,3.5616532108749257
0.605,[1.22323814],0.605,0.5154618147513361,3.5331049834014463
0.61,[1.22340892],0.61,0.5209329788199628,3.5095601872418825
0.615,[1.22359503],0.615,0.527381136472273,3.4875783389652493
0.62,[1.22379912],0.62,0.5344154902747932,3.4621354199076038
0.625,[1.22402351],0.625,0.5393004581932099,3.4365257110056033
0.63,[1.22426986],0.63,0.5459440145622566,3.4171029158822264
0.635,[1.2245404],0.635,0.5518059760643568,3.3906843107250992
0.64,[1.22483682],0.64,0.5570817414162468,3.3682665989333596
0.645,[1.22515996],0.645,0.5627483042016103,3.344824857059373
0.65,[1.22551072],0.65,0.5682194682702371,3.3228097503075618
0.655,[1.22589004],0.655,0.5740814297723372,3.29941407594277
0.66,[1.22629942],0.66,0.5807249861413839,3.278010180122802
0.665,[1.22674042],0.665,0.5858053527765374,3.2541628121936452
0.67,[1.22721388],0.67,0.5912765168451641,3.235610421148656
0.675,[1.22772022],0.675,0.5963568834803176,3.2123934479992706
0.68,[1.2282594],0.68,0.601437250115471,3.192706079116059
0.685,[1.22883253],0.685,0.6082762052012545,3.178515288711326
0.6900000000000001,[1.22944089],0.6900000000000001,0.6117933821025145,3.151050482640716
0.6950000000000001,[1.23008348],0.6950000000000001,0.6180461410380881,3.131443515145042
0.7000000000000001,[1.23075927],0.7000000000000001,0.6225403115230315,3.1108739816651534
0.705,[1.23146762],0.705,0.6282068743083947,3.089570878145196
0.71,[1.23220778],0.71,0.6328964435100749,3.072629428563609
0.715,[1.23297858],0.715,0.636999816561545,3.0513671801751197
0.72,[1.23377875],0.72,0.6432525754971185,3.0348245864382295
0.725,[1.23460693],0.725,0.6475513472653252,3.0045110577805705
0.73,[1.23545969],0.73,0.6522409164670053,2.9829714787818697
0.735,[1.23633518],0.735,0.6588844728360521,2.973668362464749
0.74,[1.23723554],0.74,0.6643556369046788,2.9575239445165726
