t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.0039567],0.0,0.0,9.998999999999999
0.005,[0.0191215],0.005,0.0,10.098989999999999
0.01,[0.04752464],0.01,-0.00019539871673667023,10.099989899999999
0.015,[0.08675476],0.015,0.0,10.099999898999998
0.02,[0.13463247],0.02,-0.00019539871673667023,10.099999998989999
0.025,[0.18920275],0.025,0.0,10.0999999999899
0.03,[0.24872564],0.03,0.0,-9.8980000000001
0.035,[0.3116656],0.035,0.0,-10.09798
0.04,[0.37667985],0.04,0.0,-10.099979799999998
0.045,[0.44260598],0.045,0.0,-10.099999797999999
0.05,[0.5084492],0.05,0.0,-5.100499997979999
0.055,[0.57336936],0.055,0.0,-5.0505049999797995
0.06,[0.63666793],0.06,-0.00019539871673667023,-5.050005049999798
0.065,[0.69777521],0.065,0.0,-5.050000050499998
0.07,[0.75623784],0.07,0.0,-5.050000000504999
0.075,[0.81170667],0.075,-0.00019539871673667023,-5.050000000005049
0.08,[0.86392525],0.08,0.0,-5.05000000000005
0.085,[0.91271881],0.085,0.0,-5.05
0.09,[0.95798392],0.09,0.0,-5.05
0.095,[0.99967884],0.095,-0.00019539871673667023,-5.05
0.1,[1.0378145],0.1,-0.00019539871673667023,-5.05
0.105,[1.07244627],0.105,0.0,-5.05
0.11,[1.10366636],0.11,-0.00019539871673667023,-5.05
0.115,[1.13159693],0.115,0.0,-5.05
0.12,[1.15638392],0.12,0.0,-5.05
0.125,[1.17819145],0.125,-0.00019539871673667023,-5.05
0.13,[1.19719691],0.13,0.0,-4.7623946003723345
0.135,[1.21358661],0.135,-0.00019539871673667023,-1.7943139807904178
0.14,[1.22755198],0.14,0.0,0.4093938703994814
0.145,[1.23928632],0.145,0.0,2.099465070803549
0.15,[1.24898199],0.15,0.00019539871673667023,3.320880461721824
0.155,[1.25682805],0.155,0.002540183317576713,4.189893808235133
0.16,[1.26300837],0.16,0.007034353802520129,4.798497777320647
0.165,[1.26770001],0.165,0.012114720437673556,5.22236650937817
0.17,[1.27107195],0.17,0.01758588450630032,5.511645472312314
0.17500000000000002,[1.27328424],0.17500000000000002,0.0236432447251371,5.702472549791015
0.18,[1.27448719],0.18,0.0289190100770272,5.8284211017087335
0.185,[1.27482104],0.185,0.033803977995443955,5.909436685155267
0.19,[1.2744156],0.19,0.039470540780807396,5.9524667569797
0.195,[1.27339023],0.195,0.044550907415960815,5.973992787923038
0.2,[1.27185391],0.2,0.05002207148458758,5.975850379552443
0.20500000000000002,[1.26990541],0.20500000000000002,0.05529783683647768,5.965987434702076
0.21,[1.2676336],0.21,0.05959660860468442,5.951528129416994
0.215,[1.2651178],0.215,0.06350458293941783,5.9324352084931835
0.22,[1.26242827],0.22,0.06917114572478127,5.899932865226187
0.225,[1.25962666],0.225,0.07366531620972468,5.869847553597161
0.23,[1.25676657],0.23,0.07835488541140477,5.836623154546567
0.23500000000000001,[1.25389408],0.23500000000000001,0.08363065076329486,5.799061901489322
0.24,[1.25104831],0.24,0.08949261226539497,5.75774569200044
0.245,[1.248262],0.245,0.09437758018381173,5.7208628751829345
0.25,[1.24556207],0.25,0.10219352885327855,5.669483069002423
0.255,[1.24297017],0.255,0.10590610447127527,5.6384837987613805
0.26,[1.24050319],0.26,0.11079107238969202,5.602280232677018
0.265,[1.23817381],0.265,0.1156760403081088,5.566380095966393
0.27,[1.23599096],0.27,0.12036560950978886,5.532324520481547
0.275,[1.23396031],0.275,0.12622757101188897,5.493120577922453
0.28,[1.23208467],0.28,0.1318941337972524,5.4553563748410845
0.28500000000000003,[1.23036442],0.28500000000000003,0.13736529786587917,5.419382436949217
0.29,[1.22879784],0.29,0.14342265808471594,5.3812986246901255
0.295,[1.22738152],0.295,0.14967541702028941,5.342972345604875
0.3,[1.22611061],0.3,0.15377879007175946,5.316171675984016
0.305,[1.22497913],0.305,0.15846835927343958,5.287186297057527
0.31,[1.22398021],0.31,0.16433032077553966,5.252986296535752
0.315,[1.22310634],0.315,0.1694106874106931,5.223198254882863
0.32,[1.22234953],0.32,0.1754680476295299,5.189185168841566
0.325,[1.22170151],0.325,0.18054841426468332,5.160497825394236
0.33,[1.2211539],0.33,0.18582417961657338,5.131389874155748
0.335,[1.22069828],0.335,0.1891459578010968,5.112403340469459
0.34,[1.22032636],0.34,0.1942263244362502,5.085396995504123
0.34500000000000003,[1.22003004],0.34500000000000003,0.1989158936379303,5.060533068412483
0.35000000000000003,[1.21980148],0.35000000000000003,0.20243307053919038,5.04178635479311
0.355,[1.21963319],0.355,0.20770883589108044,5.014673817420424
0.36,[1.21951805],0.36,0.21357079739318058,4.984834121770221
0.365,[1.21944934],0.365,0.21962815761201734,4.954237868728411
0.37,[1.2194208],0.37,0.2264671126978008,4.920006336630143
0.375,[1.21942661],0.375,0.23154747933295422,4.894400262990549
0.38,[1.21946141],0.38,0.23780023826852767,4.8635469148718435
0.385,[1.21952033],0.385,0.24170821260326106,4.84430104559936
0.39,[1.21959895],0.39,0.24600698437146784,4.823450910246271
0.395,[1.21969331],0.395,0.2506965535731479,4.800698536709175
0.4,[1.21979987],0.4,0.25440912919114467,4.782777367747784
0.405,[1.21991557],0.405,0.26105268556019146,4.751334671611353
0.41000000000000003,[1.22003782],0.41000000000000003,0.2665238496288182,4.725008140265215
0.41500000000000004,[1.22016433],0.41500000000000004,0.2700410265300783,4.707804561634442
0.42,[1.22029308],0.42,0.2751213931652317,4.683910715333638
0.425,[1.22042254],0.425,0.2815695508175418,4.653751610145668
0.43,[1.22055157],0.43,0.28664991745269525,4.629345957587775
0.435,[1.22067918],0.435,0.28977629692048196,4.614315385050297
0.44,[1.22080456],0.44,0.29602905585605543,4.584938160897972
0.445,[1.2209274],0.445,0.3038450045255222,4.549426450239846
0.45,[1.22104773],0.45,0.3075575801435189,4.530645340766483
0.455,[1.22116548],0.455,0.3132241429288824,4.50473022153106
0.46,[1.22128067],0.46,0.31693671854687916,4.486128388339374
0.465,[1.22139336],0.465,0.32338487619918926,4.456075779559151
0.47000000000000003,[1.2215039],0.47000000000000003,0.32983303385149937,4.426182516615697
0.47500000000000003,[1.22161276],0.47500000000000003,0.3335456094694961,4.407580078370059
0.48,[1.22172021],0.48,0.33960296968833287,4.378707750311999
0.485,[1.22182667],0.485,0.34566032990716966,4.350347512367977
0.49,[1.22193269],0.49,0.35152229140926977,4.3224636417411
0.495,[1.22203873],0.495,0.3564072593276865,4.29816204046954
0.5,[1.22214507],0.5,0.36109682852936664,4.275399084862637
0.505,[1.22225198],0.505,0.36695879003146675,4.247916902185111
0.51,[1.22235979],0.51,0.37145296051641014,4.225217354417062
0.515,[1.2224687],0.515,0.37711952330177356,4.197989146172499
0.52,[1.22257889],0.52,0.3831768835206103,4.168726904834909
0.525,[1.2226906],0.525,0.3880618514390271,4.145092553374884
0.53,[1.22280407],0.53,0.39294681935744386,4.121666618407503
0.535,[1.22291953],0.535,0.39841798342607065,4.095270367460384
0.54,[1.22303725],0.54,0.4050615397951174,4.06369208520702
0.545,[1.2231577],0.545,0.41131429873069086,4.0353215115801495
0.55,[1.22328146],0.55,0.4165900640825809,4.009377969375676
0.555,[1.2234089],0.555,0.4220612281512078,3.9840071582449097
0.56,[1.22354033],0.56,0.42616460120267785,3.9640556255885437
0.5650000000000001,[1.22367683],0.5650000000000001,0.43573913832277467,3.9273283935103285
0.5700000000000001,[1.22382032],0.5700000000000001,0.4417964985416114,3.8971684210847153
0.5750000000000001,[1.22397192],0.5750000000000001,0.4468768651767649,3.8725875832609993
0.58,[1.22413152],0.58,0.4513710356617082,3.847277559534638
0.585,[1.22429909],0.585,0.4578191933140183,3.822159298398659
0.59,[1.22447499],0.59,0.46309495866590844,3.792206470820642
0.595,[1.22465955],0.595,0.46876152145127187,3.7718519521762057
0.6,[1.22485342],0.6,0.47384188808642536,3.7461319513722735
0.605,[1.2250564],0.605,0.47735906498768543,3.723912214313095
0.61,[1.22526814],0.61,0.4849796149404155,3.6980082832163537
0.615,[1.22548984],0.615,0.4910369751592523,3.6692799084876855
0.62,[1.22572235],0.62,0.4967035379446158,3.641653728653852
0.625,[1.22596558],0.625,0.5015885058630325,3.619194998916101
0.63,[1.22621938],0.63,0.507255068648396,3.5924167546476977
0.635,[1.22648356],0.635,0.5127262327170228,3.566519380231893
0.64,[1.22675785],0.64,0.5172204032019662,3.54566211431576
0.645,[1.22704194],0.645,0.5228869659873295,3.519373635831731
0.65,[1.22733548],0.65,0.5293351236396396,3.4890466856542814
0.655,[1.22763794],0.655,0.5340246928413197,3.4649988704894983
0.66,[1.2279488],0.66,0.5389096607597365,3.446152722226077
0.665,[1.22826811],0.665,0.54574861584552,3.4143058752702
0.67,[1.22859605],0.67,0.5525875709313035,3.383734645280479
0.675,[1.22893255],0.675,0.5572771401329836,3.3616939563017176
0.68,[1.22927766],0.68,0.5635298990685569,3.3359873238183693
0.685,[1.22963151],0.685,0.5676332721200271,3.3157981281584994
0.6900000000000001,[1.22999398],0.6900000000000001,0.5731044361886538,3.2924075722263737
0.6950000000000001,[1.23036512],0.6950000000000001,0.5789663976907539,3.267162948556956
0.7000000000000001,[1.23074531],0.7000000000000001,0.5838513656091707,3.246851788366143
0.705,[1.23113505],0.705,0.5891271309610607,3.224920576073013
0.71,[1.23153557],0.71,0.5965522821970541,3.199875990418
0.715,[1.23194833],0.715,0.6012418513987344,3.1740259301903557
0.72,[1.23237486],0.72,0.6088624013514644,3.1545887761438176
0.725,[1.23281735],0.725,0.6141381667033546,3.125867518616382
0.73,[1.2332754],0.73,0.6172645461711412,3.099295363171862
0.735,[1.23374742],0.735,0.6244942986903982,3.0809174534164283
