t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00727121],0.0,-0.038493547197124035,9.998999999999999
0.005,[0.03513951],0.005,-0.038493547197124035,10.098989999999999
0.01,[0.08733581],0.01,-0.038493547197124035,10.099989899999999
0.015,[0.15942882],0.015,-0.038493547197124035,10.099999898999998
0.02,[0.24741346],0.02,-0.038493547197124035,10.099999998989999
0.025,[0.347697],0.025,-0.038493547197124035,10.0999999999899
0.03,[0.45708195],0.03,-0.038493547197124035,-9.8980000000001
0.035,[0.57274644],0.035,-0.038493547197124035,-10.09798
0.04,[0.69222284],0.04,-0.038493547197124035,-10.099979799999998
0.045,[0.81337501],0.045,-0.038493547197124035,-10.099999797999999
0.05,[0.93437484],0.05,-0.038493547197124035,-5.100499997979999
0.055,[1.05367834],0.055,-0.038493547197124035,-5.0505049999797995
0.06,[1.17000186],0.06,-0.038493547197124035,-5.050005049999798
0.065,[1.28229847],0.065,-0.038493547197124035,-5.050000050499998
0.07,[1.38973503],0.07,-0.038493547197124035,-5.050000000504999
0.075,[1.49166992],0.075,-0.038493547197124035,-5.050000000005049
0.08,[1.58763185],0.08,-0.038493547197124035,-5.05000000000005
0.085,[1.67729963],0.085,-0.038493547197124035,-5.05
0.09,[1.7604832],0.09,-0.038493547197124035,-5.05
0.095,[1.83710585],0.095,-0.038493547197124035,-5.05
0.1,[1.90718767],0.1,-0.038493547197124035,-5.05
0.105,[1.97083041],0.105,-0.038493547197124035,-5.05
0.11,[2.02820353],0.11,-0.038493547197124035,-5.05
0.115,[2.07953152],0.115,-0.038493547197124035,-5.05
0.12,[2.12508256],0.12,-0.038493547197124035,-5.05
0.125,[2.16515824],0.125,-0.038493547197124035,-5.05
0.13,[2.20008458],0.13,-0.038493547197124035,-5.05
0.135,[2.23020395],0.135,-0.038493547197124035,-3.068202693301382
0.14,[2.25586814],0.14,-0.038493547197124035,0.9464611241828258
0.145,[2.27743238],0.145,-0.038493547197124035,4.051386409247469
0.15,[2.29525015],0.15,-0.0381027497636507,6.295078114351911
0.155,[2.30966891],0.155,-0.03497637029586397,7.895913360402349
0.16,[2.32102653],0.16,-0.031459193394603915,9.041074322112134
0.165,[2.32964838],0.165,-0.028137415210080514,9.854055220611045
0.17,[2.33584505],0.17,-0.024229440875347112,10.097540552206109
0.17500000000000002,[2.3399106],0.17500000000000002,-0.020712263974087045,10.09997540552206
0.18,[2.34212131],0.18,-0.01680428963935364,10.099999754055219
0.185,[2.34273484],0.185,-0.012505517871146895,10.09999999754055
0.19,[2.34198978],0.19,-0.00781594866946681,10.099999999975404
0.195,[2.34010549],0.195,-0.0031263794677867237,10.099999999999753
0.2,[2.33728223],0.2,0.0021493858841033727,10.099999999999996
0.20500000000000002,[2.33370151],0.20500000000000002,0.005471164068626767,5.100499999999999
0.21,[2.32952662],0.21,0.010551530703780192,5.050504999999999
0.215,[2.32490335],0.215,0.013873308888303588,5.050005049999999
0.22,[2.31996081],0.22,0.018172080656510332,5.0500000505
0.225,[2.31481231],0.225,0.022666251141453746,5.050000000504999
0.23,[2.30955633],0.23,0.026378826759450486,5.050000000005049
0.23500000000000001,[2.30427756],0.23500000000000001,0.02911440879376387,5.05000000000005
0.24,[2.2990479],0.24,0.033999376712180625,5.05
0.245,[2.29392751],0.245,0.03790735104691403,5.05
0.25,[2.28896586],0.25,0.0420107240983841,5.05
0.255,[2.28420272],0.255,0.04611409714985418,5.05
0.26,[2.27966915],0.26,0.050803666351534264,5.05
0.265,[2.27538846],0.265,0.054907039403004336,5.05
0.27,[2.27137706],0.27,0.05822881758752774,5.05
0.275,[2.26764536],0.275,0.06252758935573448,5.05
0.28,[2.26419856],0.28,0.06799875342436125,5.05
0.28500000000000003,[2.26103731],0.28500000000000003,0.07132053160888463,5.05
0.29,[2.2581585],0.29,0.07601010081056472,5.05
0.295,[2.2555558],0.295,0.07913648027835145,5.05
0.3,[2.25322033],0.3,0.08284905589634818,5.05
0.305,[2.25114107],0.305,0.08753862509802827,5.05
0.31,[2.24930543],0.31,0.09183739686623502,5.05
0.315,[2.24769958],0.315,0.0965269660679151,5.05
0.32,[2.24630885],0.32,0.09984874425243849,5.05
0.325,[2.24511806],0.325,0.10453831345411858,5.05
0.33,[2.24411177],0.33,0.10903248393906198,5.05
0.335,[2.24327453],0.335,0.11274505955705873,5.05
0.34,[2.24259112],0.34,0.1168484326085288,5.05
0.34500000000000003,[2.24204663],0.34500000000000003,0.12095180565999888,5.05
0.35000000000000003,[2.24162669],0.35000000000000003,0.12583677357841566,5.05
0.355,[2.24131749],0.355,0.13072174149683238,5.05
0.36,[2.24110596],0.36,0.13482511454830248,5.05
0.365,[2.24097976],0.365,0.13873308888303587,5.05
0.37,[2.24092736],0.37,0.14205486706755927,5.05
0.375,[2.24093806],0.375,0.14596284140229268,5.05
0.38,[2.24100196],0.38,0.14967541702028941,5.05
0.385,[2.24111004],0.385,0.15338799263828612,5.05
0.39,[2.24125408],0.39,0.1586637579901762,5.05
0.395,[2.24142665],0.395,0.16257173232490962,5.05
0.4,[2.24162111],0.4,0.16706590280985303,5.05
0.405,[2.24183156],0.405,0.17097387714458645,5.05
0.41000000000000003,[2.2420528],0.41000000000000003,0.17449105404584653,5.05
0.41500000000000004,[2.24228032],0.41500000000000004,0.17898522453078994,5.05
0.42,[2.24251017],0.42,0.18211160399857668,5.05
0.425,[2.24273904],0.425,0.1866057744835201,5.05
0.43,[2.2429641],0.43,0.19149074240193684,5.05
0.435,[2.24318303],0.435,0.19657110903709027,5.05
0.44,[2.24339395],0.44,0.19969748850487698,5.05
0.445,[2.24359537],0.445,0.20321466540613706,5.05
0.45,[2.24378616],0.45,0.2086858294747638,5.05
0.455,[2.24396552],0.455,0.2133753986764439,5.05
0.46,[2.24413291],0.46,0.2161109807107573,5.05
0.465,[2.24428806],0.465,0.22099594862917407,5.05
0.47000000000000003,[2.24443085],0.47000000000000003,0.22470852424717075,5.05
0.47500000000000003,[2.24456141],0.47500000000000003,0.22900729601537753,5.05
0.48,[2.24467999],0.48,0.2331106690668476,5.05
0.485,[2.24478701],0.485,0.23858183313547435,5.05
0.49,[2.24488293],0.49,0.24209901003673442,5.05
0.495,[2.24496834],0.495,0.24776557282209788,5.05
0.5,[2.24504388],0.5,0.2505011548564112,5.05
0.505,[2.24511023],0.505,0.25499532534135466,5.05
0.51,[2.24516808],0.51,0.2600756919765081,5.05
0.515,[2.24521814],0.515,0.2633974701610315,5.05
0.52,[2.2452611],0.52,0.26808703936271155,5.05
0.525,[2.24529768],0.525,0.271995013697445,5.05
0.53,[2.24532855],0.53,0.276098386748915,5.05
0.535,[2.24535439],0.535,0.28059255723385845,5.05
0.54,[2.24537582],0.54,0.2850867277188019,5.05
0.545,[2.24539345],0.545,0.28938549948700865,5.05
0.55,[2.24540786],0.55,0.29329347382174203,5.05
0.555,[2.2454196],0.555,0.2977876443066855,5.05
0.56,[2.24542919],0.56,0.30169561864141886,5.05
0.5650000000000001,[2.24543709],0.5650000000000001,0.30618978912636224,5.05
0.5700000000000001,[2.24544379],0.5700000000000001,0.310488560894569,5.05
0.5750000000000001,[2.24544976],0.5750000000000001,0.31361494036235577,5.05
0.58,[2.2454553],0.58,0.31752291469708915,5.05
0.585,[2.24546074],0.585,0.32123549031508586,5.05
0.59,[2.2454664],0.59,0.325925059516766,5.05
0.595,[2.2454726],0.595,0.330614628718446,5.05
0.6,[2.24547969],0.6,0.33452260305317943,5.05
0.605,[2.24548796],0.605,0.3384305773879129,5.05
0.61,[2.24549766],0.61,0.34331554530632963,5.05
0.615,[2.24550899],0.615,0.346637323490853,5.05
0.62,[2.24552217],0.62,0.35171769012600645,5.05
0.625,[2.24553739],0.625,0.3560164618942132,5.05
0.63,[2.24555474],0.63,0.3595336387954733,5.05
0.635,[2.24557429],0.635,0.36266001826325994,5.05
0.64,[2.2455962],0.64,0.36617719516452,5.05
0.645,[2.24562062],0.645,0.3700851694992534,5.05
0.65,[2.24564769],0.65,0.3736023464005135,5.05
0.655,[2.24567754],0.655,0.3782919156021936,5.05
0.66,[2.24571038],0.66,0.383372282237347,5.05
0.665,[2.24574639],0.665,0.3866940604218704,5.05
0.67,[2.24578562],0.67,0.3919698257737605,5.05
0.675,[2.24582809],0.675,0.3952916039582839,5.05
0.68,[2.24587383],0.68,0.3995903757264907,5.05
0.685,[2.24592281],0.685,0.4038891474946974,5.05
0.6900000000000001,[2.24597485],0.6900000000000001,0.4072109256792208,5.05
0.6950000000000001,[2.2460298],0.6950000000000001,0.41150969744742755,5.05
0.7000000000000001,[2.24608762],0.7000000000000001,0.41483147563195094,5.05
0.705,[2.24614824],0.705,0.41834865253321096,5.05
0.71,[2.24621158],0.71,0.42245202558468103,5.05
0.715,[2.24627769],0.715,0.4275323922198345,5.05
0.72,[2.24634671],0.72,0.43163576527130454,5.05
0.725,[2.24641829],0.725,0.43476214473909125,5.05
0.73,[2.24649182],0.73,0.44003791009098137,5.05
0.735,[2.24656704],0.735,0.44355508699224144,5.05
0.74,[2.24664384],0.74,0.44824465619392156,5.05
0.745,[2.24672228],0.745,0.4525434279621283,5.05
0.75,[2.24680239],0.75,0.4566468010135984,5.05
0.755,[2.24688403],0.755,0.4595777817646485,5.05
0.76,[2.2469671],0.76,0.46368115481611855,5.05
0.765,[2.24705164],0.765,0.4689569201680086,5.05
0.77,[2.24713788],0.77,0.4732556919362153,5.05
0.775,[2.24722582],0.775,0.476968267554212,5.05
0.78,[2.24731549],0.78,0.4818532354726288,5.05
0.785,[2.24740709],0.785,0.48673820339104557,5.05
0.79,[2.24750065],0.79,0.49181857002619894,5.05
0.795,[2.24759618],0.795,0.49650813922787906,5.05
0.8,[2.24769371],0.8,0.5000253161291391,5.05
0.805,[2.24779291],0.805,0.5041286891806092,5.05
0.81,[2.24789371],0.81,0.5092090558157627,5.05
0.8150000000000001,[2.24799659],0.8150000000000001,0.5140940237341795,5.05
0.8200000000000001,[2.24810174],0.8200000000000001,0.5181973967856495,5.05
0.8250000000000001,[2.24820877],0.8250000000000001,0.5224961685538563,5.05
0.8300000000000001,[2.24831736],0.8300000000000001,0.5262087441718529,5.05
0.835,[2.24842761],0.835,0.5312891108070064,5.05
0.84,[2.24853981],0.84,0.5353924838584764,5.05
0.845,[2.248654],0.845,0.5394958569099465,5.05
