t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00069816],0.0,-0.05393004581932099,9.998999999999999
0.005,[0.00337288],0.005,-0.05393004581932099,10.098989999999999
0.01,[0.0083794],0.01,-0.05393004581932099,10.099989899999999
0.015,[0.01528859],0.015,-0.05393004581932099,10.099999898999998
0.02,[0.02371265],0.02,-0.05393004581932099,10.099999998989999
0.025,[0.03330469],0.025,-0.05393004581932099,1.136332888127688
0.03,[0.04375748],0.03,-0.05393004581932099,-9.987636671118722
0.035,[0.05480083],0.035,-0.053343849669110974,-10.098876366711186
0.04,[0.06619909],0.04,-0.05275765351890097,-10.099988763667112
0.045,[0.0777488],0.045,-0.05217145736869095,-10.09999988763667
0.05,[0.089276],0.05,-0.05158526121848094,-10.099999998876365
0.055,[0.10063395],0.055,-0.0511944637850076,-10.099999999988762
0.06,[0.11170098],0.06,-0.05099906506827094,-10.099999999999886
0.065,[0.12237817],0.065,-0.050803666351534264,-10.099999999999998
0.07,[0.13258709],0.07,-0.050608267634797595,-10.099999999999998
0.075,[0.14226765],0.075,-0.050608267634797595,-10.099999999999998
0.08,[0.15137596],0.08,-0.050608267634797595,-5.100499999999999
0.085,[0.15988237],0.085,-0.050608267634797595,-5.050504999999999
0.09,[0.16777002],0.09,-0.050608267634797595,-5.050005049999999
0.095,[0.17503427],0.095,-0.050412868918060925,-5.0500000505
0.1,[0.18168116],0.1,-0.050608267634797595,-5.050000000504999
0.105,[0.18772381],0.105,-0.050608267634797595,-6.425905549181109
0.11,[0.19318057],0.11,-0.050608267634797595,-3.5573724166337626
0.115,[0.19807477],0.115,-0.050608267634797595,-1.623905728381117
0.12,[0.20243354],0.12,-0.050608267634797595,-0.4055888350489618
0.125,[0.2062875],0.125,-0.050412868918060925,0.4061210518243975
0.13,[0.20967031],0.13,-0.050608267634797595,1.2423653139905875
0.135,[0.21261638],0.135,-0.050412868918060925,1.4465664264693678
0.14,[0.21515889],0.14,-0.04943587533437757,1.641608137455785
0.145,[0.21733116],0.145,-0.04748188816701086,1.7443647040034782
0.15,[0.21916674],0.15,-0.04357391383227746,1.6125914434732025
0.155,[0.22069717],0.155,-0.04044753436449074,1.1406160067605127
0.16,[0.22195198],0.16,-0.03751655361344069,0.9641316675339772
0.165,[0.22296008],0.165,-0.03224078826155059,0.8648444460461012
0.17,[0.22374921],0.17,-0.028332813926817187,0.5823574883685446
0.17500000000000002,[0.22434482],0.17500000000000002,-0.024815637025557124,0.42765282297824414
0.18,[0.22477066],0.18,-0.021103061407560384,0.43069116149124576
0.185,[0.22504887],0.185,-0.017195087072826982,0.3844652840726658
0.19,[0.22519971],0.19,-0.013873308888303588,0.3130917526626526
