t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00370076],0.0,-0.03771195233017736,9.998999999999999
0.005,[0.01786352],0.005,-0.03771195233017736,10.098989999999999
0.01,[0.04432764],0.01,-0.03771195233017736,10.099989899999999
0.015,[0.08074788],0.015,-0.03771195233017736,10.099999898999998
0.02,[0.12499317],0.02,-0.03771195233017736,10.099999998989999
0.025,[0.17514328],0.025,-0.03771195233017736,-9.898000000010098
0.03,[0.22946301],0.03,-0.03771195233017736,-10.0979800000001
0.035,[0.28645392],0.035,-0.03771195233017736,-10.0999798
0.04,[0.34484024],0.04,-0.03751655361344069,-10.099999797999999
0.045,[0.40349689],0.045,-0.03771195233017736,-10.09999999798
0.05,[0.46146257],0.05,-0.03771195233017736,-5.1004999999797995
0.055,[0.51795905],0.055,-0.03771195233017736,-5.050504999999798
0.06,[0.57238333],0.06,-0.03771195233017736,-5.0500050499999976
0.065,[0.62425929],0.065,-0.03771195233017736,-5.0500000505
0.07,[0.67320905],0.07,-0.03771195233017736,-5.050000000504999
0.075,[0.71896695],0.075,-0.03771195233017736,-5.050000000005049
0.08,[0.76136399],0.08,-0.03771195233017736,-5.05000000000005
0.085,[0.80029091],0.085,-0.03771195233017736,-5.05
0.09,[0.83568929],0.09,-0.03771195233017736,-5.05
0.095,[0.86754333],0.095,-0.03771195233017736,-5.05
0.1,[0.8958724],0.1,-0.03771195233017736,-5.05
0.105,[0.9207601],0.105,-0.03771195233017736,-5.05
0.11,[0.94234362],0.11,-0.03771195233017736,-5.05
0.115,[0.96076871],0.115,-0.03771195233017736,-5.05
0.12,[0.97619888],0.12,-0.03771195233017736,-6.478910324682416
0.125,[0.98882279],0.125,-0.03771195233017736,0.3298844632707443
0.13,[0.99883591],0.13,-0.03771195233017736,3.8482601112667694
0.135,[1.00643694],0.135,-0.03751655361344069,5.3697334494277795
0.14,[1.01181213],0.14,-0.03517176901260064,5.80387873834305
0.145,[1.015135],0.145,-0.031459193394603915,2.5331004997833264
0.15,[1.01656631],0.15,-0.027942016493343845,-2.2088749774291006
0.155,[1.01626673],0.155,-0.024815637025557124,-3.709443117097738
0.16,[1.01441993],0.16,-0.0216892575577704,-3.545623554244067
0.165,[1.01121424],0.165,-0.018758276806720344,0.5338630542062409
0.17,[1.0068154],0.17,-0.014850302471986938,0.18805361779314347
0.17500000000000002,[1.00136818],0.17500000000000002,-0.011723923004200214,6.509240218388157
0.18,[0.9950336],0.18,-0.008988340969886831,9.443366972856161
0.185,[0.98797276],0.185,-0.005666562785363437,10.09343366972856
0.19,[0.98028825],0.19,-0.0005861961502100108,3.9511105603100574
0.195,[0.97204517],0.195,0.003907974334733405,4.045412183045573
0.2,[0.96334169],0.2,0.0076205499527301395,4.544826141786116
0.20500000000000002,[0.95430184],0.20500000000000002,0.010942328137253534,3.2256421651874447
0.21,[0.94503693],0.21,0.014264106321776927,5.218396366550922
0.215,[0.93564641],0.215,0.017781283223036994,10.051183963665508
0.22,[0.92621054],0.22,0.020907662690823715,10.099511839636653
0.225,[0.91680058],0.225,0.024034042158610443,10.099995118396365
0.23,[0.90748832],0.23,0.027746617776607176,10.099999951183962
0.23500000000000001,[0.89832409],0.23500000000000001,0.03224078826155059,10.099999999511839
0.24,[0.88934136],0.24,0.036344161313020665,10.099999999995116
0.245,[0.88057995],0.245,0.04083833179796408,10.09999999999995
0.25,[0.87208381],0.25,0.044746306132697485,9.919375340255954
0.255,[0.86389283],0.255,0.04865428046743089,10.098193753402558
0.26,[0.85604468],0.26,0.05236685608542762,10.099981937534025
0.265,[0.84857367],0.265,0.05588403298668769,5.100499819375339
0.27,[0.8415058],0.27,0.059987406038157755,5.050504998193753
0.275,[0.83486034],0.275,0.06350458293941783,5.050005049981937
0.28,[0.8286537],0.28,0.06819415214109792,5.050000050499818
0.28500000000000003,[0.82289904],0.28500000000000003,0.07112513289214797,5.050000000504998
0.29,[0.81760433],0.29,0.07464230979340802,5.050000000005049
0.295,[0.81277545],0.295,0.08030887257877146,5.05000000000005
0.3,[0.80842871],0.3,0.08382604948003153,5.05
0.305,[0.80458524],0.305,0.08714782766455492,5.05
0.31,[0.80124901],0.31,0.09105580199928834,5.05
0.315,[0.79842188],0.315,0.09496377633402173,5.05
0.32,[0.79611301],0.32,0.0984809532352818,5.05
0.325,[0.79432859],0.325,0.10258432628675188,5.05
0.33,[0.79308147],0.33,0.10610150318801194,5.05
0.335,[0.79237171],0.335,0.10922788265579866,5.05
0.34,[0.79218019],0.34,0.11372205314074207,5.05
0.34500000000000003,[0.79249685],0.34500000000000003,0.11704383132526547,6.620439268537826
0.35000000000000003,[0.7933086],0.35000000000000003,0.12036560950978886,5.569017180006794
0.355,[0.79460037],0.355,0.12466438127799562,5.071869371785921
0.36,[0.79637507],0.36,0.12935395047967568,4.808202752313962
0.365,[0.79861872],0.365,0.13248032994746242,4.3369930228519475
0.37,[0.80129219],0.37,0.13580210813198582,3.919066262403568
0.375,[0.80436619],0.375,0.13951468374998255,3.642952768086494
0.38,[0.80781923],0.38,0.144008854234926,3.5560604809070324
0.385,[0.81162512],0.385,0.14733063241944935,3.5632511974562098
0.39,[0.81575309],0.39,0.15143400547091945,3.576917437480209
0.395,[0.82016057],0.395,0.15514658108891616,3.628261077070403
0.4,[0.82480372],0.4,0.15983615029059628,3.5966946732368084
0.405,[0.82965483],0.405,0.16335332719185633,3.6191009230848494
0.41000000000000003,[0.8346855],0.41000000000000003,0.16628430794290636,3.638911673700921
0.41500000000000004,[0.83986028],0.41500000000000004,0.17116927586132313,3.645501141200041
0.42,[0.84513964],0.42,0.17429565532910984,3.6578994020700386
0.425,[0.85048791],0.425,0.17957142068099996,3.658081690375244
0.43,[0.85588649],0.43,0.18367479373247003,3.6675337582377883
0.435,[0.86131066],0.435,0.18680117320025674,3.6695623917858695
0.44,[0.86672347],0.44,0.1905137488182535,3.6769281336092074
0.445,[0.87209668],0.445,0.1942263244362502,3.680007487753516
0.45,[0.87740825],0.45,0.1975481026207736,3.678602207551509
0.455,[0.88263409],0.455,0.202042273105717,3.662363297868903
0.46,[0.88774777],0.46,0.20516865257350375,3.6418338969506605
0.465,[0.89272086],0.465,0.20946742434171048,3.604931002933039
0.47000000000000003,[0.89752333],0.47000000000000003,0.21298460124297056,3.5579025106293845
0.47500000000000003,[0.90212568],0.47500000000000003,0.21650177814423063,3.523143937510999
0.48,[0.90650199],0.48,0.22080054991243736,3.4787264772277533
0.485,[0.91063045],0.485,0.22431772681369744,3.4495567463039234
0.49,[0.9144943],0.49,0.22842109986516748,3.424838572557684
0.495,[0.91808182],0.495,0.23213367548316424,3.39772349904907
0.5,[0.92138535],0.5,0.23662784596810765,3.3791096570134544
0.505,[0.92440239],0.505,0.23994962415263102,3.370393285909684
0.51,[0.92713561],0.51,0.24385759848736446,3.3616430866962714
0.515,[0.92959173],0.515,0.24776557282209788,3.355233587417117
0.52,[0.93178114],0.52,0.25186894587356795,3.3504927823721395
0.525,[0.93371753],0.525,0.255386122774828,3.3507283630338365
0.53,[0.93541634],0.53,0.25870790095935137,3.3427612241105655
0.535,[0.93689394],0.535,0.26202967914387476,3.34422782835667
0.54,[0.93816982],0.54,0.2661330521953449,3.351085127581497
0.545,[0.93926526],0.545,0.26965022909660497,3.3389252707134722
0.55,[0.94020035],0.55,0.273167405997865,3.339780426572992
0.555,[0.94099587],0.555,0.27687998161586175,3.3406377248328307
0.56,[0.94167422],0.56,0.28059255723385845,3.344033264907851
0.5650000000000001,[0.94225871],0.5650000000000001,0.2843051328518552,3.350910534767847
0.5700000000000001,[0.94277369],0.5700000000000001,0.28821310718658855,3.359235307574327
0.5750000000000001,[0.94324419],0.5750000000000001,0.2913394866543753,3.3713734781129507
0.58,[0.94368834],0.58,0.2944658661221621,3.358301057299717
0.585,[0.94411708],0.585,0.29915543532384214,3.3592069165324063
0.59,[0.94455053],0.59,0.3032588083753122,3.38901672773434
0.595,[0.9450157],0.595,0.30736218142678234,3.3702976321733726
0.6,[0.94553044],0.6,0.31146555447825236,3.3453034544650597
0.605,[0.94610305],0.605,0.31595972496319574,3.311296908814723
0.61,[0.94673578],0.61,0.3198676992979292,3.2722334293965902
0.615,[0.94742502],0.615,0.3241664710661359,3.2257405288840073
0.62,[0.94816037],0.62,0.328269844117606,3.156916837645565
0.625,[0.94892501],0.625,0.3315916223021294,3.10229795667995
0.63,[0.94969824],0.63,0.33589039407033616,3.0286263082023868
0.635,[0.95045435],0.635,0.34018916583854286,2.9391606702703044
0.64,[0.95116801],0.64,0.34312014658959294,2.9272928825713422
0.645,[0.95182232],0.645,0.34683272220758965,2.888600882898882
0.65,[0.95240567],0.65,0.3507406965423231,2.8741697657857226
0.655,[0.95290792],0.655,0.35464867087705654,2.831887579940611
0.66,[0.95331796],0.66,0.3583612464950532,2.7961682855426866
0.665,[0.95362236],0.665,0.36266001826325994,2.740797412141011
0.67,[0.95380922],0.67,0.36676339131473,2.724479719893077
0.675,[0.95387597],0.675,0.3698897707825168,2.73511275914834
0.68,[0.95382814],0.68,0.37379774511725017,2.718327136136225
0.685,[0.95367146],0.685,0.3779011181687203,2.702859465342407
0.6900000000000001,[0.95341144],0.6900000000000001,0.381613693786717,2.688108474349811
0.6950000000000001,[0.95305443],0.6950000000000001,0.3849354719712404,2.6709168404509325
0.7000000000000001,[0.9526082],0.7000000000000001,0.38884344630597373,2.665468927546714
0.705,[0.95207847],0.705,0.3933376167909172,2.603490070216959
0.71,[0.95146435],0.71,0.39685479369217724,2.5697850848635366
0.715,[0.95076323],0.715,0.40056736931017395,2.532008556580217
0.72,[0.94996953],0.72,0.40623393209553743,2.452242299307295
0.725,[0.94907716],0.725,0.40994650771353414,2.452944444812597
0.73,[0.94808716],0.73,0.4140498807650042,2.40981630700664
0.735,[0.94699568],0.735,0.4191302474001577,2.334193210938693
0.74,[0.94579587],0.74,0.4226474243014178,2.3392301326815295
0.745,[0.94449115],0.745,0.4259692024859411,2.306641393400655
0.75,[0.94308995],0.75,0.4289001832369912,2.310795674749018
0.755,[0.9416009],0.755,0.4331989550051979,2.2683756175037484
