t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00421345],0.0,-0.0381027497636507,9.998999999999999
0.005,[0.02035739],0.005,-0.0381027497636507,10.098989999999999
0.01,[0.05058477],0.01,-0.0381027497636507,10.099989899999999
0.015,[0.0923186],0.015,-0.03790735104691403,10.099999898999998
0.02,[0.14322686],0.02,-0.0381027497636507,10.099999998989999
0.025,[0.20121951],0.025,-0.0381027497636507,10.0999999999899
0.03,[0.26443889],0.03,-0.0381027497636507,9.546503914697109
0.035,[0.33124575],0.035,-0.03790735104691403,-9.903534960853028
0.04,[0.40021014],0.04,-0.0381027497636507,-10.098035349608528
0.045,[0.4700974],0.045,-0.0381027497636507,-10.099980353496084
0.05,[0.53985119],0.05,-0.0381027497636507,-5.1004998035349605
0.055,[0.60858067],0.055,-0.0381027497636507,-5.050504998035349
0.06,[0.67554699],0.06,-0.0381027497636507,-5.050005049980353
0.065,[0.74014746],0.065,-0.0381027497636507,-5.050000050499803
0.07,[0.80190361],0.07,-0.0381027497636507,-5.050000000504998
0.075,[0.86044913],0.075,-0.0381027497636507,-5.050000000005049
0.08,[0.91551765],0.08,-0.0381027497636507,-5.05000000000005
0.085,[0.96693023],0.085,-0.0381027497636507,-5.05
0.09,[1.014583],0.09,-0.0381027497636507,-5.05
0.095,[1.05843735],0.095,-0.0381027497636507,-5.05
0.1,[1.09851068],0.1,-0.0381027497636507,-5.05
0.105,[1.1348671],0.105,-0.0381027497636507,-5.05
0.11,[1.16760921],0.11,-0.0381027497636507,-5.05
0.115,[1.19687082],0.115,-0.0381027497636507,-5.05
0.12,[1.22281047],0.12,-0.0381027497636507,-5.05
0.125,[1.24560547],0.125,-0.03790735104691403,-5.05
0.13,[1.26544658],0.13,-0.0381027497636507,-5.05
0.135,[1.28253346],0.135,-0.0381027497636507,-3.1884541704687317
0.14,[1.29707108],0.14,-0.0381027497636507,-0.1799553431347638
0.145,[1.30926672],0.145,-0.0381027497636507,2.1949166003001057
0.15,[1.31932715],0.15,-0.0381027497636507,4.052305403755774
0.155,[1.32745646],0.155,-0.03693035746323068,5.612812465386549
0.16,[1.33385409],0.16,-0.034194775428917294,6.9474849202327675
0.165,[1.33871175],0.165,-0.031459193394603915,7.7604191980460975
0.17,[1.342212],0.17,-0.027746617776607176,8.598210004821208
0.17500000000000002,[1.34453001],0.17500000000000002,-0.024034042158610443,9.390563490427784
0.18,[1.34583052],0.18,-0.020712263974087045,9.578696277611968
0.185,[1.3462659],0.185,-0.016999688356090312,9.915944622691152
0.19,[1.34598001],0.19,-0.013482511454830247,10.09815944622691
0.195,[1.34510496],0.195,-0.010160733270306851,10.099981594462268
0.2,[1.34375887],0.2,-0.006838955085783458,10.09999981594462
0.20500000000000002,[1.34205162],0.20500000000000002,-0.002540183317576713,10.099999998159445
0.21,[1.34008149],0.21,0.0011723923004200215,10.099999999981593
0.215,[1.33793288],0.215,0.004689569201680086,5.1004999999998155
0.22,[1.33568005],0.22,0.0076205499527301395,5.050504999999998
0.225,[1.33338767],0.225,0.011723923004200214,5.050005049999999
0.23,[1.33111148],0.23,0.014850302471986938,5.0500000505
0.23500000000000001,[1.32889887],0.23500000000000001,0.018758276806720344,5.050000000504999
0.24,[1.32679309],0.24,0.02247085242471708,5.050000000005049
0.245,[1.32483329],0.245,0.02579263060924047,5.05000000000005
0.25,[1.32305104],0.25,0.029309807510500538,5.05
0.255,[1.32147435],0.255,0.03497637029586397,5.05
0.26,[1.32013072],0.26,0.04044753436449074,5.05
0.265,[1.31904225],0.265,0.04435550869922414,5.05
0.27,[1.31821883],0.27,0.04826348303395755,5.05
0.275,[1.31765966],0.275,0.05275765351890097,5.05
0.28,[1.31735835],0.28,0.05744722272058106,5.05
0.28500000000000003,[1.3173017],0.28500000000000003,0.061355197055314455,6.686725729325045
0.29,[1.31747116],0.29,0.0650677726733112,5.556314067279319
0.295,[1.31784479],0.295,0.06799875342436125,4.747083104004918
0.3,[1.31839817],0.3,0.07151593032562131,4.1916816619951875
0.305,[1.31910911],0.305,0.07581470209382805,4.056640801712104
0.31,[1.31995879],0.31,0.08011347386203481,4.257628244710464
0.315,[1.32092826],0.315,0.08363065076329486,4.359115836324236
0.32,[1.32199613],0.32,0.08773402381476494,4.681727573541843
0.325,[1.32314257],0.325,0.09164199814949833,4.94926970409788
0.33,[1.32434978],0.33,0.09476837761728506,5.1086067686309065
0.335,[1.32560089],0.335,0.09867635195201847,5.2562295347648496
0.34,[1.32688308],0.34,0.1018027314198052,5.52830267043795
0.34500000000000003,[1.32818564],0.34500000000000003,0.10492911088759192,5.683366337799384
0.35000000000000003,[1.32949853],0.35000000000000003,0.10805549035537865,5.86199972475358
0.355,[1.33081778],0.355,0.11294045827379541,6.108303490593344
0.36,[1.33214492],0.36,0.1168484326085288,6.21631942332992
0.365,[1.33347818],0.365,0.12017021079305219,6.1953226736162295
0.37,[1.33481269],0.37,0.12427358384452228,6.19679947494208
