t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.0060592],0.0,-0.03907974334733405,9.998999999999999
0.005,[0.02928032],0.005,-0.03907974334733405,10.098989999999999
0.01,[0.07276477],0.01,-0.03907974334733405,10.099989899999999
0.015,[0.13280919],0.015,-0.03907974334733405,10.099999898999998
0.02,[0.20606646],0.02,-0.038884344630597374,10.099999998989999
0.025,[0.28953117],0.025,-0.038884344630597374,10.0999999999899
0.03,[0.38052527],0.03,-0.03907974334733405,-9.8980000000001
0.035,[0.47668392],0.035,-0.03907974334733405,-10.09798
0.04,[0.57593758],0.04,-0.03907974334733405,-10.099979799999998
0.045,[0.67649317],0.045,-0.03907974334733405,-10.099999797999999
0.05,[0.77681471],0.05,-0.03907974334733405,-5.100499997979999
0.055,[0.87560852],0.055,-0.03907974334733405,-5.0505049999797995
0.06,[0.97179816],0.06,-0.03907974334733405,-5.050005049999798
0.065,[1.06450088],0.065,-0.03907974334733405,-5.050000050499998
0.07,[1.15301369],0.07,-0.03907974334733405,-5.050000000504999
0.075,[1.23678928],0.075,-0.03907974334733405,-5.050000000005049
0.08,[1.31542476],0.08,-0.03907974334733405,-5.05000000000005
0.085,[1.38864987],0.085,-0.03907974334733405,-5.05
0.09,[1.456299],0.09,-0.03907974334733405,-5.05
0.095,[1.5182913],0.095,-0.03907974334733405,-5.05
0.1,[1.57463685],0.1,-0.03907974334733405,-5.05
0.105,[1.62543501],0.105,-0.038884344630597374,-5.05
0.11,[1.67084163],0.11,-0.03907974334733405,-5.05
0.115,[1.71105846],0.115,-0.03907974334733405,-5.05
0.12,[1.74632401],0.12,-0.03907974334733405,-5.05
0.125,[1.77689896],0.125,-0.03907974334733405,-5.05
0.13,[1.80307126],0.13,-0.03907974334733405,-4.977401192231339
0.135,[1.82514821],0.135,-0.03907974334733405,1.551361569300415
0.14,[1.84344369],0.14,-0.03907974334733405,4.197257342411488
0.145,[1.85826828],0.145,-0.038493547197124035,8.074992026189316
0.15,[1.86992156],0.15,-0.03497637029586397,7.87052674017884
0.155,[1.87870009],0.155,-0.03165459211134058,9.660004334100194
0.16,[1.88490301],0.16,-0.027942016493343845,9.735326961167232
0.165,[1.88881521],0.165,-0.024034042158610443,9.447402839352153
0.17,[1.89070847],0.17,-0.020516865257350376,9.33367402174514
0.17500000000000002,[1.89084824],0.17500000000000002,-0.01563189733893362,10.073999367352009
0.18,[1.88947664],0.18,-0.010746929420516863,9.899938825793349
0.185,[1.88681353],0.185,-0.0062527589355734475,9.65305918229859
0.19,[1.88306438],0.19,-0.0015631897338933619,10.095530591822985
0.195,[1.87842167],0.195,0.0021493858841033727,5.10045530591823
0.2,[1.87306401],0.2,0.005275765351890096,5.050504553059182
0.20500000000000002,[1.86715499],0.20500000000000002,0.00820674610294015,5.050005045530591
0.21,[1.86084318],0.21,0.012505517871146895,5.0500000504553055
0.215,[1.85425631],0.215,0.01660889092261697,5.050000000504553
0.22,[1.84750477],0.22,0.019735270390403698,5.050000000005045
0.225,[1.84068874],0.225,0.023447846008400428,5.05000000000005
0.23,[1.83389627],0.23,0.026378826759450486,5.05
0.23500000000000001,[1.82720058],0.23500000000000001,0.030677598527657227,5.05
0.24,[1.82066137],0.24,0.03458557286239063,5.05
0.245,[1.81432914],0.245,0.0381027497636507,5.05
0.25,[1.80824448],0.25,0.04103373051470075,5.05
0.255,[1.80243875],0.255,0.044160109982487476,5.05
0.26,[1.7969364],0.26,0.04767728688374754,5.05
0.265,[1.79175305],0.265,0.05158526121848094,5.05
0.27,[1.78689663],0.27,0.05549323555321435,5.05
0.275,[1.78237089],0.275,0.058815013737737745,5.05
0.28,[1.7781759],0.28,0.06233219063899781,5.05
0.28500000000000003,[1.77430599],0.28500000000000003,0.06643556369046788,5.05
0.29,[1.77075066],0.29,0.07034353802520128,5.05
0.295,[1.7674953],0.295,0.07503310722688138,5.05
0.3,[1.76452209],0.3,0.07894108156161479,5.05
0.305,[1.76181352],0.305,0.0820674610294015,5.05
0.31,[1.75935272],0.31,0.0859754353641349,5.05
0.315,[1.75712367],0.315,0.08949261226539497,5.05
0.32,[1.75511134],0.32,0.09300978916665503,5.05
0.325,[1.75329895],0.325,0.0971131622181251,5.05
0.33,[1.75166856],0.33,0.09984874425243849,5.05
0.335,[1.75020294],0.335,0.10356131987043524,5.05
0.34,[1.74888704],0.34,0.10727389548843196,5.05
0.34500000000000003,[1.74770793],0.34500000000000003,0.11040027495621868,5.05
0.35000000000000003,[1.7466525],0.35000000000000003,0.11469904672442544,5.05
0.355,[1.74570782],0.355,0.11841162234242215,5.05
0.36,[1.74486316],0.36,0.12153800181020889,5.05
0.365,[1.74410901],0.365,0.12642296972862566,5.05
0.37,[1.74343602],0.37,0.12935395047967568,5.05
0.375,[1.74283619],0.375,0.1326757286641991,5.05
0.38,[1.74230205],0.38,0.13736529786587917,5.05
0.385,[1.7418255],0.385,0.14225026578429595,5.05
0.39,[1.7413988],0.39,0.1465490375525027,5.05
0.395,[1.74101605],0.395,0.15006621445376275,5.05
0.4,[1.74067347],0.4,0.1529971952048128,5.05
0.405,[1.74036879],0.405,0.15592817595586284,5.05
0.41000000000000003,[1.74010066],0.41000000000000003,0.15905455542364957,5.05
0.41500000000000004,[1.73986907],0.41500000000000004,0.16374412462532967,5.05
0.42,[1.73967526],0.42,0.16862909254374644,5.05
0.425,[1.73951972],0.425,0.1733186617454265,5.05
0.43,[1.73940156],0.43,0.1766404399299499,5.05
0.435,[1.7393188],0.435,0.18015761683120995,5.05
0.44,[1.73926919],0.44,0.1844563885994167,5.05
0.445,[1.73925038],0.445,0.18816896421741344,5.05
0.45,[1.73925959],0.45,0.19207693855214686,5.05
0.455,[1.73929373],0.455,0.19637571032035359,5.05
0.46,[1.7393496],0.46,0.20047908337182369,5.05
0.465,[1.73942422],0.465,0.2047778551400304,5.05
0.47000000000000003,[1.73951492],0.47000000000000003,0.20770883589108044,5.05
0.47500000000000003,[1.73961923],0.47500000000000003,0.21142141150907717,5.05
0.48,[1.73973529],0.48,0.2153293858438106,5.05
0.485,[1.73986173],0.485,0.21826036659486067,5.05
0.49,[1.73999746],0.49,0.22216834092959406,5.05
0.495,[1.74014301],0.495,0.22763950499822086,5.05
0.5,[1.74030054],0.5,0.23213367548316424,5.05
0.505,[1.74047228],0.505,0.23623704853463434,5.05
0.51,[1.74066057],0.51,0.23994962415263102,5.05
0.515,[1.74086846],0.515,0.24405299720410112,5.05
0.52,[1.74109969],0.52,0.24776557282209788,5.05
0.525,[1.74135863],0.525,0.2520643445903046,5.05
