t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00338901],0.0,-0.0498266727678509,9.998999999999999
0.005,[0.01637285],0.005,-0.0498266727678509,10.098989999999999
0.01,[0.04067067],0.01,-0.0498266727678509,10.099989899999999
0.015,[0.07419041],0.015,-0.0498266727678509,10.099999898999998
0.02,[0.11504366],0.02,-0.0498266727678509,10.099999998989999
0.025,[0.16153361],0.025,-0.0498266727678509,-5.0341948286306675
0.03,[0.21214748],0.03,-0.0498266727678509,-10.049341948286305
0.035,[0.26555289],0.035,-0.0498266727678509,-10.099493419482862
0.04,[0.32058722],0.04,-0.0498266727678509,-10.099994934194827
0.045,[0.3762465],0.045,-0.0498266727678509,-10.099999949341948
0.05,[0.43166901],0.05,-0.0498266727678509,-10.099999999493418
0.055,[0.48612457],0.055,-0.0498266727678509,-10.099999999994933
0.06,[0.53901819],0.06,-0.0498266727678509,-10.099999999999948
0.065,[0.58987686],0.065,-0.0498266727678509,-10.099999999999998
0.07,[0.63832234],0.07,-0.0498266727678509,-10.099999999999998
0.075,[0.68406145],0.075,-0.0498266727678509,-10.099999999999998
0.08,[0.72688155],0.08,-0.0498266727678509,-5.100499999999999
0.085,[0.76664086],0.085,-0.0498266727678509,-5.050504999999999
0.09,[0.80325942],0.09,-0.0498266727678509,-5.050005049999999
0.095,[0.83671048],0.095,-0.05002207148458758,-5.0500000505
0.1,[0.86701268],0.1,-0.0498266727678509,-5.050000000504999
0.105,[0.89422283],0.105,-0.0498266727678509,-5.050000000005049
0.11,[0.91843371],0.11,-0.0498266727678509,-5.05000000000005
0.115,[0.93976737],0.115,-0.0498266727678509,-5.05
0.12,[0.9583599],0.12,-0.0498266727678509,-5.05
0.125,[0.97435306],0.125,-0.0498266727678509,-6.9278496254089985
0.13,[0.98789613],0.13,-0.0498266727678509,-4.078387806123449
0.135,[0.99915178],0.135,-0.0498266727678509,-3.0682361607221402
0.14,[1.00829184],0.14,-0.0498266727678509,-1.7386313641779865
0.145,[1.01548923],0.145,-0.0498266727678509,-0.3101890062174304
0.15,[1.02091553],0.15,-0.0498266727678509,2.1355910005047782
0.155,[1.0247433],0.155,-0.0498266727678509,4.790607499601934
0.16,[1.02714368],0.16,-0.04884967918416756,6.108885957452921
0.165,[1.02827566],0.165,-0.04591869843311751,6.661945587747351
0.17,[1.02828595],0.17,-0.0420107240983841,6.7908092759455325
0.17500000000000002,[1.02731327],0.17500000000000002,-0.03732115489670401,6.701792681657796
0.18,[1.02548786],0.18,-0.03321778184523394,5.53108235300799
0.185,[1.022931],0.185,-0.028528212643553853,4.937243208391136
0.19,[1.01975486],0.19,-0.02462023830882045,4.677345589833402
0.195,[1.0160624],0.195,-0.0216892575577704,4.59904747265478
0.2,[1.01194751],0.2,-0.017781283223036994,4.591190057744142
0.20500000000000002,[1.00749513],0.20500000000000002,-0.013677910171566917,4.6137283120164145
0.21,[1.00278154],0.21,-0.009183739686623501,4.63715971979151
0.215,[0.99787468],0.215,-0.005471164068626767,4.657722795516034
0.22,[0.9928346],0.22,-0.0021493858841033727,4.665510818723382
0.225,[0.98771386],0.225,0.0015631897338933619,4.659681598201725
0.23,[0.98255801],0.23,0.005080366635153426,4.642499654045987
0.23500000000000001,[0.97741021],0.23500000000000001,0.00840214481967682,5.322619280661182
0.24,[0.97230688],0.24,0.012896315304620235,4.83784389006056
0.245,[0.96727002],0.245,0.016999688356090312,4.576156068467744
0.25,[0.9623174],0.25,0.021493858841033726,4.423002296805455
0.255,[0.95746711],0.255,0.024815637025557124,4.337471562235596
0.26,[0.95273317],0.26,0.0289190100770272,3.7244531568910886
0.265,[0.94813008],0.265,0.032045389544813924,4.585364168495866
0.27,[0.94367254],0.27,0.03556256644607399,4.908863440213965
0.275,[0.93936696],0.275,0.03907974334733405,4.958338989665254
0.28,[0.93521271],0.28,0.042401521531857445,4.876415414449218
0.28500000000000003,[0.93120727],0.28500000000000003,0.046504894583327516,4.734208469404391
0.29,[0.92734659],0.29,0.050217470201324256,4.16919757641454
0.295,[0.92362951],0.295,0.05353924838584765,4.307041538915028
0.3,[0.92005316],0.3,0.05803341887079106,3.9037335663154353
0.305,[0.91660918],0.305,0.06174599448878779,4.104771878430568
0.31,[0.91328875],0.31,0.06604476625699454,3.7918540773869194
0.315,[0.91008279],0.315,0.06936654444151794,3.9937667990793897
0.32,[0.90698626],0.32,0.07307912005951467,3.7609244519565297
0.325,[0.9039976],0.325,0.0762054995273014,4.179820226100143
0.33,[0.90111409],0.33,0.08050427129550815,4.041304932826778
0.335,[0.89832791],0.335,0.08382604948003153,4.129176572928061
0.34,[0.89562706],0.34,0.08734322638129159,3.916549822088333
