t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.00699526],0.0,-0.05510243811974101,9.998999999999999
0.005,[0.03380749],0.005,-0.05510243811974101,10.098989999999999
0.01,[0.08403209],0.01,-0.054907039403004336,10.099989899999999
0.015,[0.15341589],0.015,-0.05510243811974101,10.099999898999998
0.02,[0.23811598],0.02,-0.054907039403004336,10.099999998989999
0.025,[0.33468281],0.025,-0.05510243811974101,10.0999999999899
0.03,[0.44004228],0.03,-0.05510243811974101,-9.8980000000001
0.035,[0.55148276],0.035,-0.05510243811974101,-10.09798
0.04,[0.66663789],0.04,-0.05510243811974101,-10.099979799999998
0.045,[0.78345889],0.045,-0.05510243811974101,-10.099999797999999
0.05,[0.90019247],0.05,-0.05510243811974101,-5.100499997979999
0.055,[1.01535967],0.055,-0.05510243811974101,-5.0505049999797995
0.06,[1.12772864],0.06,-0.05510243811974101,-5.050005049999798
0.065,[1.23629025],0.065,-0.05510243811974101,-5.050000050499998
0.07,[1.34024081],0.07,-0.054907039403004336,-5.050000000504999
0.075,[1.43896497],0.075,-0.05510243811974101,-5.050000000005049
0.08,[1.53200806],0.08,-0.05510243811974101,-5.05000000000005
0.085,[1.61905501],0.085,-0.05510243811974101,-5.05
0.09,[1.69992172],0.09,-0.05510243811974101,-5.05
0.095,[1.77453496],0.095,-0.05510243811974101,-5.05
0.1,[1.8429094],0.1,-0.054907039403004336,-5.05
0.105,[1.90514073],0.105,-0.05510243811974101,-5.05
0.11,[1.96139415],0.11,-0.05510243811974101,-5.05
0.115,[2.01187992],0.115,-0.05510243811974101,-5.05
0.12,[2.05684826],0.12,-0.05510243811974101,-5.05
0.125,[2.0965915],0.125,-0.05510243811974101,-5.05
0.13,[2.13142445],0.13,-0.05510243811974101,-5.05
0.135,[2.16166765],0.135,-0.05510243811974101,-5.511635317381973
0.14,[2.18764691],0.14,-0.05510243811974101,-1.4017958114423092
0.145,[2.2096997],0.145,-0.05510243811974101,1.110657382789593
0.15,[2.22816889],0.15,-0.054907039403004336,3.080549550643383
0.155,[2.24338614],0.155,-0.05451624196953099,4.039739295924965
0.16,[2.25566936],0.16,-0.05217145736869095,5.383504036044401
0.165,[2.26532737],0.165,-0.04865428046743089,6.57028183060141
0.17,[2.27265929],0.17,-0.044160109982487476,7.535921214108773
0.17500000000000002,[2.2779479],0.17500000000000002,-0.04103373051470075,7.819051018391268
0.18,[2.28145237],0.18,-0.03751655361344069,8.286080075962321
0.185,[2.28341272],0.185,-0.034194775428917294,8.77438295326942
0.19,[2.28405568],0.19,-0.029700604943973877,9.19982738738213
0.195,[2.28359173],0.195,-0.025988029325977144,9.122384642617556
0.2,[2.28221288],0.2,-0.022666251141453746,9.664518983557539
0.20500000000000002,[2.2800948],0.20500000000000002,-0.018367479373247002,10.095645189835574
0.21,[2.27739706],0.21,-0.0144595050385136,10.099956451898354
0.215,[2.27425822],0.215,-0.010746929420516863,10.099999564518983
0.22,[2.27079903],0.22,-0.005861961502100107,5.1004999956451895
0.225,[2.26712729],0.225,-0.0027355820343133836,5.050504999956451
0.23,[2.26333342],0.23,0.0005861961502100108,5.050005049999564
