t_qd,qd_rad,t_q,q_rad,tau
0.0,[-9.44458638e-06],0.0,0.0,-9.998999999999999
0.005,[-4.56427677e-05],0.005,0.0,-10.098989999999999
0.01,[-0.00011344],0.01,0.0,-9.96640493460432
0.015,[-0.00020708],0.015,0.0,-6.9120030575144975
0.02,[-0.00032137],0.02,0.0,-4.773060251681387
0.025,[-0.00045162],0.025,0.0,-0.10942464314794287
0.03,[-0.0005937],0.03,0.0,2.153014715426574
0.035,[-0.00074394],0.035,0.0,3.0220066448984846
0.04,[-0.00089913],0.04,0.0009769935836833512,3.13472979690258
0.045,[-0.00105649],0.045,0.0035171769012600643,2.8659596549662276
0.05,[-0.00121366],0.05,0.006643556369046789,2.4401960330344803
0.055,[-0.00136862],0.055,0.010356131987043523,1.975807204586517
0.06,[-0.00151972],0.06,0.014264106321776927,1.5358288831809954
0.065,[-0.00166558],0.065,0.01739048578956365,1.1535474303340871
0.07,[-0.00180513],0.07,0.020712263974087045,0.8304799975250239
0.075,[-0.00193753],0.075,0.025401833175767132,0.5545927970666108
0.08,[-0.00206218],0.08,0.02950520622723721,0.33518799205662186
0.085,[-0.00217865],0.085,0.03321778184523394,0.16408869724546427
0.09,[-0.00228669],0.09,0.036539560029757334,0.03267090882821032
0.095,[-0.00238622],0.095,0.03966593949754405,-0.06071091029121836
0.1,[-0.00247725],0.1,0.04318311639880412,-0.13580274318977958
0.105,[-0.00255991],0.105,0.04611409714985418,-0.19083681858916376
0.11,[-0.00263444],0.11,0.049045077900904226,-0.2331358886812191
0.115,[-0.00270111],0.115,0.05158526121848094,-0.2632891562025002
0.12,[-0.00276027],0.12,0.05412544453605766,-0.29360460111417047
0.125,[-0.00281233],0.125,0.05627483042016103,-0.313705994302414
0.13,[-0.00285769],0.13,0.05803341887079106,-0.3252891487459013
0.135,[-0.00289681],0.135,0.0597920073214211,-0.33162630596918913
0.14,[-0.00293015],0.14,0.060964399621841116,-0.33545476746085284
0.145,[-0.00295816],0.145,0.06174599448878779,-0.3415894065290786
0.15,[-0.0029813],0.15,0.06213679192226114,-0.34435999193932126
0.155,[-0.00300003],0.155,0.06233219063899781,-0.34438081978478197
0.16,[-0.00301478],0.16,0.06233219063899781,-0.34228708960065785
0.165,[-0.00302598],0.165,0.06213679192226114,-0.3391510226119423
0.17,[-0.00303403],0.17,0.061550595772051124,-0.33323198522099584
0.17500000000000002,[-0.00303931],0.17500000000000002,0.06057360218836778,-0.3251809463085214
0.18,[-0.00304218],0.18,0.0597920073214211,-0.31792441865764426
0.185,[-0.00304298],0.185,0.05822881758752774,-0.3071956923780108
0.19,[-0.00304201],0.19,0.056665627853634375,-0.2964212858080382
0.195,[-0.00303957],0.195,0.05510243811974101,-0.2854453009924456
0.2,[-0.0030359],0.2,0.05275765351890097,-0.27082161044734404
0.20500000000000002,[-0.00303125],0.20500000000000002,0.050412868918060925,-0.25608949700411926
0.21,[-0.00302582],0.21,0.048458881750694224,-0.24341651702748188
0.215,[-0.00301982],0.215,0.04591869843311751,-0.22808977902939728
0.22,[-0.0030134],0.22,0.0433785151155408,-0.21301657075873612
0.225,[-0.00300671],0.225,0.04083833179796408,-0.19808298561976106
0.23,[-0.00299988],0.23,0.03829814848038737,-0.18338825898034028
0.23500000000000001,[-0.00299303],0.23500000000000001,0.035757965162810657,-0.16898435726011932
