t_qd,qd_rad,t_q,q_rad,tau
0.0,[0.0075931],0.0,-0.0433785151155408,9.998999999999999
0.005,[0.03669512],0.005,-0.04318311639880412,10.098989999999999
0.01,[0.09120217],0.01,-0.0433785151155408,10.099989899999999
0.015,[0.16648679],0.015,-0.04318311639880412,10.099999898999998
0.02,[0.25836661],0.02,-0.04318311639880412,10.099999998989999
0.025,[0.36308987],0.025,-0.04318311639880412,10.0999999999899
0.03,[0.47731752],0.03,-0.04318311639880412,-9.8980000000001
0.035,[0.59810277],0.035,-0.04318311639880412,-10.09798
0.04,[0.72286874],0.04,-0.0433785151155408,-10.099979799999998
0.045,[0.8493847],0.045,-0.04318311639880412,-10.099999797999999
0.05,[0.97574164],0.05,-0.04318311639880412,-5.100499997979999
0.055,[1.10032724],0.055,-0.04318311639880412,-5.0505049999797995
0.06,[1.22180102],0.06,-0.04318311639880412,-5.050005049999798
0.065,[1.33906969],0.065,-0.04318311639880412,-5.050000050499998
0.07,[1.4512632],0.07,-0.04318311639880412,-5.050000000504999
0.075,[1.55771157],0.075,-0.04318311639880412,-5.050000000005049
0.08,[1.65792265],0.08,-0.04318311639880412,-5.05000000000005
0.085,[1.75156106],0.085,-0.04318311639880412,-5.05
0.09,[1.83842836],0.09,-0.04318311639880412,-5.05
0.095,[1.91844442],0.095,-0.04318311639880412,-5.05
0.1,[1.99163027],0.1,-0.04318311639880412,-5.05
0.105,[2.05809214],0.105,-0.04318311639880412,-5.05
0.11,[2.11800698],0.11,-0.04318311639880412,-5.05
0.115,[2.17160923],0.115,-0.04318311639880412,-5.05
0.12,[2.21917892],0.12,-0.04318311639880412,-5.05
0.125,[2.26103102],0.125,-0.04318311639880412,-5.05
0.13,[2.29750592],0.13,-0.04318311639880412,-5.05
0.135,[2.32896114],0.135,-0.04318311639880412,-3.186966796256749
0.14,[2.35576407],0.14,-0.04318311639880412,1.0033108197977056
0.145,[2.37828564],0.145,-0.04318311639880412,4.246624650495345
0.15,[2.39689501],0.15,-0.04279231896533078,6.594798545736412
0.155,[2.41195503],0.155,-0.04103373051470075,8.137690028386482
0.16,[2.42381848],0.16,-0.03790735104691403,9.238312096630516
0.165,[2.43282514],0.165,-0.033803977995443955,10.016899657547585
0.17,[2.43929936],0.17,-0.02872361136029053,10.099168996575475
0.17500000000000002,[2.44354823],0.17500000000000002,-0.0255972318925038,10.099991689965753
0.18,[2.44586024],0.18,-0.0216892575577704,10.099999916899657
0.185,[2.44650442],0.185,-0.018172080656510332,10.099999999168995
0.19,[2.44572993],0.19,-0.013873308888303588,10.099999999991688
0.195,[2.44376585],0.195,-0.010160733270306851,10.099999999999916
0.2,[2.44082129],0.2,-0.007034353802520129,10.099999999999998
0.20500000000000002,[2.43708576],0.20500000000000002,-0.002540183317576713,5.100499999999999
0.21,[2.43272981],0.21,0.0009769935836833512,5.050504999999999
0.215,[2.42790567],0.215,0.005080366635153426,5.050005049999999
0.22,[2.42274815],0.22,0.008988340969886831,5.0500000505
